Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,11.1,11.2,10.8,11.1,11.1,12209600
2020-09-24,11.0,11.0,10.2,11.0,11.0,14988900
2020-09-25,11.0,11.1,10.5,10.5,10.5,10257700
2020-09-28,10.6,10.7,10.2,10.4,10.4,9217100
2020-09-29,10.4,10.6,9.85,9.9,9.9,17764900
2020-09-30,10.0,10.3,9.8,9.9,9.9,13409900
2020-10-01,10.0,10.1,8.7,8.95,8.95,30949000
2020-10-02,9.0,10.3,8.8,10.1,10.1,58287700
2020-10-05,10.3,10.8,9.8,10.0,10.0,26152700
2020-10-06,9.95,10.1,9.85,9.85,9.85,9636700
2020-10-07,9.85,10.0,9.6,9.7,9.7,12525100
2020-10-08,9.8,10.5,9.65,10.0,10.0,26451300
2020-10-09,10.1,10.2,9.4,9.55,9.55,15931500
2020-10-12,9.65,9.9,9.6,9.8,9.8,14922500
2020-10-14,9.8,10.2,9.7,10.2,10.2,17630500
2020-10-15,10.1,10.3,9.7,9.75,9.75,16308800
2020-10-16,9.85,9.9,9.1,9.6,9.6,15311600
2020-10-19,9.45,9.55,9.0,9.0,9.0,7857900
2020-10-20,9.0,9.35,9.0,9.3,9.3,9871700
2020-10-21,9.35,9.4,9.05,9.1,9.1,5308700
2020-10-22,9.15,9.25,8.95,9.1,9.1,6101900
2020-10-26,9.05,9.25,8.9,9.0,9.0,3475100
2020-10-27,9.0,9.4,8.95,9.3,9.3,10010100
2020-10-28,9.3,9.35,9.05,9.2,9.2,6217000
2020-10-29,9.2,9.3,9.1,9.15,9.15,9889500
2020-10-30,9.1,9.2,8.95,9.0,9.0,7633500
2020-11-02,9.05,9.15,8.95,8.95,8.95,6478600
2020-11-03,9.05,9.15,8.95,9.1,9.1,9516200
2020-11-04,9.15,9.25,8.95,8.95,8.95,10057700
2020-11-05,9.0,9.2,8.95,9.2,9.2,14505300
2020-11-06,9.2,9.3,9.05,9.15,9.15,12661600
2020-11-09,9.25,9.3,9.05,9.15,9.15,8274000
2020-11-10,9.15,9.2,8.35,8.65,8.65,15349600
2020-11-11,8.7,9.15,8.65,9.15,9.15,15143100
2020-11-12,9.1,9.15,8.95,9.0,9.0,6398700
2020-11-13,9.05,9.7,8.95,9.65,9.65,30948900
2020-11-16,9.7,9.75,9.35,9.35,9.35,21957500
2020-11-17,9.4,9.5,9.2,9.25,9.25,11881100
2020-11-18,9.2,9.25,8.85,9.05,9.05,15903900
2020-11-19,9.0,9.1,8.95,8.95,8.95,9038300
2020-11-20,9.0,9.05,8.75,8.9,8.9,14661100
2020-11-23,8.95,9.05,8.8,8.85,8.85,10090000
2020-11-24,8.9,8.95,8.75,8.75,8.75,6139000
2020-11-25,8.75,8.9,8.6,8.65,8.65,9452500
2020-11-26,8.7,8.85,8.65,8.75,8.75,7572800
2020-11-27,8.8,9.15,8.7,9.05,9.05,23273400
2020-11-30,9.1,9.15,8.8,8.8,8.8,14047800
2020-12-01,8.85,8.9,8.7,8.85,8.85,7321100
2020-12-02,8.85,8.95,8.6,8.8,8.8,11725900
2020-12-03,8.8,8.9,8.75,8.8,8.8,5588200
2020-12-04,8.8,8.85,8.65,8.7,8.7,8022200
2020-12-08,8.7,8.85,8.65,8.7,8.7,8464500
