Date,Open,High,Low,Close,Adj Close,Volume
2021-11-02,9.4,12.1,8.65,10.3,10.3,668250000
2021-11-03,10.1,10.2,8.3,8.3,8.3,120411300
2021-11-04,8.4,8.55,7.65,7.7,7.7,75470900
2021-11-05,7.75,7.85,7.35,7.75,7.75,31395800
2021-11-08,7.9,8.1,7.7,7.9,7.9,18456300
2021-11-09,7.85,7.9,7.6,7.7,7.7,6266100
2021-11-10,7.7,7.75,7.5,7.5,7.5,6215700
2021-11-11,7.55,7.65,7.45,7.45,7.45,5795400
2021-11-12,7.5,7.55,7.25,7.25,7.25,4711500
2021-11-15,7.0,7.15,6.85,6.95,6.95,3066100
2021-11-16,6.95,7.05,6.8,7.05,7.05,1333100
2021-11-17,7.05,7.4,7.05,7.35,7.35,3126500
2021-11-18,7.35,7.35,7.2,7.25,7.25,1158400
2021-11-19,7.2,7.25,7.0,7.0,7.0,2567600
2021-11-22,7.05,7.15,6.95,7.15,7.15,1312300
2021-11-23,7.2,7.3,7.1,7.3,7.3,1575600
2021-11-24,7.35,7.5,7.3,7.5,7.5,3526400
2021-11-25,7.45,7.5,7.2,7.3,7.3,2320600
2021-11-26,7.25,7.3,7.1,7.2,7.2,1684200
2021-11-29,7.15,7.2,7.0,7.05,7.05,1662800
2021-11-30,7.1,7.2,7.0,7.1,7.1,944600
2021-12-01,7.15,7.15,7.0,7.1,7.1,633700
2021-12-02,7.0,7.15,7.0,7.1,7.1,840100
2021-12-03,7.15,7.2,7.05,7.05,7.05,1319900
2021-12-07,7.1,7.35,7.05,7.3,7.3,2857600
2021-12-08,7.4,7.6,7.2,7.6,7.6,4527400
2021-12-09,7.6,7.65,7.45,7.5,7.5,1840200
2021-12-13,7.55,7.75,7.45,7.65,7.65,2434600
2021-12-14,7.6,7.65,7.5,7.55,7.55,1308300
2021-12-15,7.55,7.6,7.25,7.25,7.25,2224200
2021-12-16,7.3,7.5,7.3,7.45,7.45,2299400
