Date,Open,High,Low,Close,Adj Close,Volume
2020-09-16,2.52,2.52,2.42,2.46,2.46,189200
2020-09-17,2.38,2.44,2.36,2.38,2.38,568900
2020-09-18,2.44,2.72,2.4,2.72,2.72,3257700
2020-09-21,3.0,3.0,2.82,2.88,2.88,2959300
2020-09-22,2.8,2.88,2.74,2.78,2.78,405800
2020-09-23,2.76,3.06,2.76,3.02,3.02,3105100
2020-09-24,3.34,3.36,2.9,3.04,3.04,9985900
2020-09-25,3.08,3.08,2.8,2.92,2.92,4256200
2020-09-28,2.9,2.92,2.78,2.78,2.78,1265100
2020-09-29,2.78,2.8,2.62,2.64,2.64,1940800
2020-09-30,2.58,2.8,2.58,2.6,2.6,2128600
2020-10-01,2.62,2.64,2.52,2.52,2.52,1057200
2020-10-02,2.54,2.62,2.52,2.6,2.6,706800
2020-10-05,2.62,2.7,2.58,2.58,2.58,1099100
2020-10-06,2.64,2.64,2.6,2.62,2.62,375700
2020-10-07,2.6,2.8,2.6,2.74,2.74,1976300
2020-10-08,2.8,2.84,2.6,2.7,2.7,1232400
2020-10-09,2.68,2.76,2.68,2.68,2.68,219700
2020-10-12,2.72,2.74,2.68,2.7,2.7,108100
2020-10-14,2.66,2.7,2.66,2.66,2.66,64200
2020-10-15,2.7,2.7,2.62,2.62,2.62,256100
2020-10-16,2.64,2.66,2.54,2.54,2.54,128200
2020-10-19,2.5,2.5,2.42,2.42,2.42,380900
2020-10-20,2.34,2.48,2.34,2.38,2.38,129100
2020-10-21,2.46,2.46,2.34,2.34,2.34,184200
2020-10-22,2.32,2.4,2.22,2.24,2.24,242000
2020-10-26,2.26,2.3,2.22,2.24,2.24,382300
2020-10-27,2.26,2.3,2.2,2.3,2.3,178700
2020-10-28,2.28,2.28,2.22,2.22,2.22,290800
2020-10-29,2.26,2.26,2.24,2.24,2.24,65700
2020-10-30,2.24,2.26,2.2,2.2,2.2,93100
2020-11-02,2.24,2.24,2.14,2.18,2.18,31700
2020-11-03,2.2,2.28,2.18,2.2,2.2,266500
2020-11-04,2.22,2.4,2.22,2.26,2.26,1291600
2020-11-05,2.3,2.36,2.28,2.32,2.32,349700
2020-11-06,2.34,2.34,2.28,2.28,2.28,176900
2020-11-09,2.32,2.34,2.28,2.3,2.3,177400
2020-11-10,2.34,2.34,2.28,2.3,2.3,177500
2020-11-11,2.32,2.32,2.24,2.26,2.26,88900
2020-11-13,2.3,2.32,2.22,2.26,2.26,142800
2020-11-16,2.26,2.26,2.18,2.2,2.2,241200
2020-11-17,2.22,2.22,2.16,2.18,2.18,273900
2020-11-18,2.18,2.2,2.16,2.2,2.2,95800
2020-11-19,2.16,2.22,2.16,2.2,2.2,232000
2020-11-20,2.22,2.22,2.18,2.22,2.22,197000
2020-11-23,2.22,2.42,2.22,2.38,2.38,1478600
2020-11-24,2.4,2.44,2.26,2.26,2.26,1561700
2020-11-25,2.3,2.34,2.26,2.28,2.28,444000
2020-11-26,2.26,2.28,2.26,2.26,2.26,219900
2020-11-27,2.28,2.28,2.26,2.26,2.26,223300
2020-11-30,2.26,2.28,2.22,2.22,2.22,90700
2020-12-01,2.22,2.3,2.2,2.2,2.2,881600
2020-12-02,2.22,2.24,2.22,2.24,2.24,43000
2020-12-03,2.24,2.26,2.2,2.22,2.22,111500
2020-12-04,2.22,2.24,2.2,2.22,2.22,151000
2020-12-08,2.22,2.22,2.18,2.2,2.2,144200
2020-12-09,2.2,2.2,2.16,2.18,2.18,740400
2020-12-14,2.18,2.18,2.1,2.1,2.1,567500
2020-12-15,2.1,2.22,2.1,2.14,2.14,824500
2020-12-16,2.18,2.2,2.12,2.12,2.12,419900
2020-12-17,2.16,2.18,2.12,2.14,2.14,324200
2020-12-18,2.16,2.16,2.12,2.12,2.12,138800
2020-12-21,2.1,2.12,1.99,2.02,2.02,330700
2020-12-22,2.02,2.04,1.99,2.02,2.02,306200
2020-12-23,2.02,2.04,1.97,1.97,1.97,328100
2020-12-24,2.0,2.02,1.92,1.95,1.95,573700
2020-12-25,1.97,2.02,1.97,1.99,1.99,330200
2020-12-28,2.0,2.08,1.99,2.0,2.0,237600
2020-12-29,2.02,2.02,1.99,2.0,2.0,61600
2020-12-30,1.96,1.97,1.92,1.93,1.93,517900
2021-01-04,1.89,1.92,1.81,1.83,1.83,1961800
2021-01-05,1.85,1.89,1.85,1.87,1.87,918600
2021-01-06,1.87,1.95,1.86,1.88,1.88,504900
2021-01-07,1.87,2.04,1.87,2.0,2.0,2205800
2021-01-08,2.1,2.16,1.94,1.96,1.96,3358500
2021-01-11,2.02,2.08,1.93,1.95,1.95,1736300
2021-01-12,1.97,1.99,1.94,1.96,1.96,524500
2021-01-13,1.99,2.0,1.97,1.98,1.98,283500
2021-01-14,1.99,1.99,1.95,1.95,1.95,256600
2021-01-15,1.97,1.97,1.92,1.92,1.92,269600
2021-01-18,1.92,1.93,1.89,1.91,1.91,269000
2021-01-19,1.9,1.92,1.89,1.91,1.91,469600
2021-01-20,1.93,1.96,1.92,1.95,1.95,206400
2021-01-21,1.96,1.96,1.93,1.94,1.94,415700
2021-01-22,1.94,1.95,1.9,1.93,1.93,346300
2021-01-25,1.92,1.93,1.89,1.9,1.9,230100
2021-01-26,1.9,1.97,1.9,1.94,1.94,423400
2021-01-27,1.94,1.96,1.92,1.93,1.93,374000
2021-01-28,1.92,1.93,1.92,1.93,1.93,205000
2021-01-29,1.95,1.95,1.91,1.92,1.92,174300
2021-02-01,1.95,1.95,1.89,1.92,1.92,215400
2021-02-02,1.95,1.95,1.92,1.93,1.93,110000
2021-02-03,1.95,1.95,1.92,1.92,1.92,253100
2021-02-04,1.91,1.96,1.91,1.94,1.94,539600
2021-02-05,1.94,2.02,1.94,2.0,2.0,1066000
2021-02-08,2.06,2.06,2.02,2.02,2.02,478200
2021-02-09,2.04,2.46,2.04,2.46,2.46,8292100
2021-02-10,2.62,2.9,2.54,2.76,2.76,14503100
2021-02-11,2.7,3.02,2.6,2.82,2.82,9168100
2021-02-15,2.8,2.94,2.78,2.88,2.88,3952700
2021-02-16,2.88,2.92,2.84,2.9,2.9,1423500
2021-02-17,2.9,2.9,2.86,2.86,2.86,856500
2021-02-18,2.86,2.9,2.82,2.84,2.84,835100
2021-02-19,2.8,2.9,2.6,2.86,2.86,1527000
2021-02-22,2.86,2.88,2.7,2.7,2.7,726500
2021-02-23,2.66,2.78,2.66,2.68,2.68,328300
2021-02-24,2.68,2.74,2.64,2.7,2.7,342700
2021-02-25,2.74,2.96,2.66,2.96,2.96,1961100
2021-03-01,3.04,3.06,2.9,2.96,2.96,2291700
2021-03-02,3.06,3.38,3.0,3.22,3.22,9398100
2021-03-03,3.28,3.32,3.1,3.12,3.12,3620200
2021-03-04,3.12,3.34,3.04,3.16,3.16,6157900
2021-03-05,3.24,3.38,3.2,3.26,3.26,6778600
2021-03-08,3.28,3.42,3.26,3.42,3.42,3928600
2021-03-09,4.44,4.44,3.6,4.44,4.44,12676800
2021-03-10,5.1,5.75,4.72,5.1,5.1,14542900
2021-03-11,5.4,5.45,4.84,5.25,5.25,5953500
2021-03-12,5.5,6.5,5.5,6.2,6.2,10591900
2021-03-15,6.1,6.8,5.95,6.55,6.55,10679000
2021-03-16,6.55,6.95,6.5,6.85,6.85,5644700
2021-03-17,7.1,7.35,6.9,7.2,7.2,4891000
2021-03-18,7.2,7.7,7.2,7.7,7.7,4581700
2021-03-19,8.4,9.95,8.15,9.9,9.9,12417500
2021-03-22,11.9,12.8,11.0,12.8,12.8,9423600
2021-03-23,13.0,15.8,13.0,14.5,14.5,13828100
2021-03-24,15.0,15.1,11.0,12.7,12.7,7128700
2021-03-25,13.1,13.4,12.7,13.1,13.1,2729100
2021-03-26,13.3,13.5,13.1,13.3,13.3,1332500
2021-03-29,14.1,14.1,13.6,13.9,13.9,2486200
2021-03-30,13.9,14.1,13.7,14.0,14.0,947300
2021-03-31,13.8,14.0,13.8,14.0,14.0,648400
2021-04-01,14.0,15.0,13.9,14.9,14.9,2768100
2021-04-02,15.1,15.2,14.6,15.0,15.0,1028100
2021-04-05,15.0,15.0,13.5,14.6,14.6,851100
2021-04-07,14.4,14.8,13.9,14.8,14.8,817800
2021-04-08,14.2,14.8,14.2,14.8,14.8,456200
2021-04-09,14.8,14.8,14.5,14.6,14.6,637100
2021-04-12,14.9,18.299999,14.8,17.1,17.1,6275500
2021-04-16,16.799999,18.0,16.299999,17.0,17.0,1345900
2021-04-19,17.0,17.799999,16.799999,17.5,17.5,1014200
