Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,7.2,7.25,7.1,7.15,7.15,1864200
2020-09-24,7.1,7.4,7.1,7.25,7.25,2940600
2020-09-25,7.4,7.8,7.4,7.7,7.7,15382500
2020-09-28,7.75,8.05,7.7,8.0,8.0,11148100
2020-09-29,8.1,8.1,7.8,7.8,7.8,5367200
2020-09-30,7.85,7.9,7.65,7.7,7.7,2523100
2020-10-01,7.75,7.8,7.45,7.75,7.75,3381900
2020-10-02,7.8,8.1,7.7,8.0,8.0,6617600
2020-10-05,8.05,8.05,7.9,7.9,7.9,2118700
2020-10-06,8.0,8.5,7.95,8.3,8.3,17305700
2020-10-07,8.3,8.7,8.2,8.3,8.3,16096500
2020-10-08,8.3,8.35,8.05,8.1,8.1,5748300
2020-10-09,8.15,8.15,7.7,7.7,7.7,8121600
2020-10-12,7.75,7.9,7.75,7.75,7.75,2178200
2020-10-14,7.7,7.85,7.45,7.45,7.45,5126800
2020-10-15,7.45,7.6,7.3,7.3,7.3,3484100
2020-10-16,7.35,7.4,7.1,7.2,7.2,2444800
2020-10-19,7.05,7.15,6.9,6.9,6.9,3729100
2020-10-20,6.9,7.3,6.9,7.1,7.1,3391700
2020-10-21,7.2,7.3,7.05,7.15,7.15,2294800
2020-10-22,7.15,7.2,6.9,6.9,6.9,4192200
2020-10-26,6.9,6.95,6.8,6.85,6.85,1677700
2020-10-27,6.8,7.2,6.8,7.2,7.2,2969400
2020-10-28,7.2,7.2,7.0,7.1,7.1,2912100
2020-10-29,7.05,7.1,6.95,6.95,6.95,4327900
2020-10-30,7.0,7.05,6.85,6.9,6.9,995900
2020-11-02,6.9,6.95,6.65,6.8,6.8,2330200
2020-11-03,6.8,7.15,6.8,7.1,7.1,4427900
2020-11-04,7.2,7.35,7.05,7.3,7.3,4238500
2020-11-05,7.4,7.65,7.35,7.55,7.55,6407600
2020-11-06,7.55,7.65,7.45,7.55,7.55,2033700
2020-11-09,7.6,7.65,7.5,7.55,7.55,1722300
2020-11-10,7.6,7.65,7.15,7.2,7.2,5162500
2020-11-11,7.2,7.45,7.2,7.3,7.3,2045600
2020-11-12,7.3,7.4,7.2,7.35,7.35,1196500
2020-11-13,7.35,7.8,7.25,7.75,7.75,6671700
2020-11-16,7.95,7.95,7.75,7.85,7.85,5164900
2020-11-17,7.95,8.3,7.8,8.1,8.1,11596500
2020-11-18,8.1,8.25,8.0,8.1,8.1,2847100
2020-11-19,8.1,8.25,8.05,8.1,8.1,4390900
2020-11-20,8.1,8.35,8.1,8.2,8.2,5273900
2020-11-23,8.25,8.45,8.2,8.35,8.35,5268100
2020-11-24,8.6,8.6,8.2,8.2,8.2,6025900
