Date,Open,High,Low,Close,Adj Close,Volume
2020-09-21,3.02,3.04,3.02,3.04,3.04,26200
2020-09-22,3.04,3.04,3.0,3.02,3.02,41900
2020-09-23,3.0,3.04,3.0,3.02,3.02,17700
2020-09-24,3.02,3.02,3.0,3.02,3.02,17800
2020-09-25,3.0,3.04,2.98,3.02,3.02,2900
2020-09-28,3.02,3.04,2.98,3.04,3.04,145300
2020-09-29,3.02,3.02,2.98,3.0,3.0,75400
2020-09-30,3.0,3.1,2.96,3.02,3.02,42900
2020-10-01,3.0,3.0,3.0,3.0,3.0,1100
2020-10-02,3.0,3.0,2.96,2.98,2.98,119900
2020-10-05,2.98,3.04,2.98,3.04,3.04,63300
2020-10-06,3.0,3.04,3.0,3.0,3.0,54500
2020-10-07,3.02,3.06,3.02,3.04,3.04,117600
2020-10-08,3.06,3.08,3.06,3.08,3.08,22500
2020-10-09,3.08,3.12,3.08,3.1,3.1,195400
2020-10-12,3.1,3.32,3.1,3.22,3.22,406600
2020-10-14,3.22,3.22,3.14,3.14,3.14,109400
2020-10-15,3.14,3.2,3.08,3.08,3.08,95200
2020-10-16,3.08,3.1,3.06,3.06,3.06,55700
2020-10-19,3.08,3.08,3.04,3.04,3.04,50800
2020-10-20,3.06,3.12,3.06,3.12,3.12,45900
2020-10-21,3.04,3.06,3.04,3.04,3.04,114200
2020-10-22,3.06,3.06,3.04,3.06,3.06,20700
2020-10-26,3.04,3.06,3.04,3.06,3.06,17800
2020-10-27,3.06,3.06,3.02,3.06,3.06,11000
2020-10-28,3.06,3.08,3.04,3.04,3.04,25700
2020-10-29,3.02,3.02,2.98,3.02,3.02,228700
2020-10-30,3.0,3.0,3.0,3.0,3.0,1600
2020-11-02,3.0,3.0,3.0,3.0,3.0,17300
2020-11-03,3.0,3.04,2.98,3.0,3.0,105600
2020-11-04,2.98,3.0,2.96,2.98,2.98,49600
2020-11-05,2.98,3.0,2.92,3.0,3.0,115500
2020-11-06,2.98,3.14,2.98,3.06,3.06,77300
2020-11-09,3.04,3.08,3.04,3.08,3.08,85300
2020-11-10,3.08,3.14,3.02,3.14,3.14,188100
2020-11-11,3.12,3.2,3.12,3.16,3.16,218300
2020-11-12,3.14,3.2,2.98,3.12,3.12,494400
2020-11-13,3.18,3.32,3.18,3.22,3.22,379100
2020-11-16,3.3,3.3,3.08,3.1,3.1,85900
2020-11-17,3.12,3.14,3.06,3.06,3.06,264100
2020-11-18,3.06,3.1,3.04,3.1,3.1,37000
2020-11-19,3.1,3.12,3.06,3.12,3.12,64900
2020-11-20,3.08,3.1,3.06,3.08,3.08,51500
2020-11-23,3.1,3.1,2.98,3.06,3.06,363600
2020-11-24,3.06,3.08,2.98,3.06,3.06,209700
2020-11-25,3.02,3.1,3.02,3.06,3.06,267900
2020-11-26,3.06,3.1,3.06,3.1,3.1,133300
2020-11-27,3.08,3.1,3.08,3.08,3.08,36100
2020-11-30,3.1,3.1,3.04,3.04,3.04,700
2020-12-01,3.1,3.1,3.06,3.06,3.06,39700
2020-12-02,3.06,3.1,3.06,3.08,3.08,45600
2020-12-03,3.08,3.08,3.04,3.04,3.04,30100
2020-12-04,3.06,3.06,3.02,3.04,3.04,40800
2020-12-08,3.06,3.06,3.04,3.04,3.04,44300
2020-12-09,3.06,3.06,3.02,3.04,3.04,22800
2020-12-14,3.02,3.04,3.02,3.02,3.02,57300
2020-12-15,3.06,3.06,3.02,3.04,3.04,17900
2020-12-16,3.06,3.1,3.04,3.1,3.1,57900
2020-12-17,3.1,3.12,3.06,3.08,3.08,146200
2020-12-18,3.1,3.1,3.04,3.08,3.08,50400
2020-12-21,3.02,3.02,2.96,2.96,2.96,253500
2020-12-22,2.98,2.98,2.96,2.96,2.96,65700
2020-12-23,2.98,3.02,2.96,3.0,3.0,104900
2020-12-24,3.0,3.02,2.96,2.96,2.96,62500
2020-12-25,2.98,3.06,2.96,3.02,3.02,270400
2020-12-28,3.0,3.0,2.98,2.98,2.98,133000
2020-12-29,2.96,3.0,2.94,3.0,3.0,79100
2020-12-30,3.0,3.0,2.9,2.94,2.94,121800
2021-01-04,2.96,2.98,2.96,2.98,2.98,2800
2021-01-05,3.02,3.08,3.0,3.06,3.06,153100
2021-01-06,3.08,3.18,3.08,3.12,3.12,290700
2021-01-07,3.18,3.22,3.18,3.18,3.18,253400
2021-01-08,3.18,3.2,3.12,3.14,3.14,175900
2021-01-11,3.12,3.16,3.12,3.16,3.16,81400
2021-01-12,3.12,3.18,3.12,3.18,3.18,192600
2021-01-13,3.16,3.18,3.16,3.16,3.16,97100
2021-01-14,3.18,3.26,3.16,3.2,3.2,215400
2021-01-15,3.28,3.36,3.22,3.34,3.34,627700
2021-01-18,3.34,3.38,3.32,3.38,3.38,376500
2021-01-19,3.38,3.44,3.38,3.42,3.42,313600
2021-01-20,3.44,3.44,3.36,3.38,3.38,89400
2021-01-21,3.4,3.4,3.28,3.38,3.38,108300
2021-01-22,3.38,3.38,3.3,3.3,3.3,186700
2021-01-25,3.32,3.34,3.32,3.32,3.32,8500
2021-01-26,3.3,3.3,3.28,3.28,3.28,29500
2021-01-27,3.26,3.26,3.24,3.24,3.24,32700
2021-01-28,3.22,3.28,3.18,3.18,3.18,66500
2021-01-29,3.18,3.18,3.1,3.1,3.1,81300
2021-02-01,3.1,3.14,3.02,3.04,3.04,274200
2021-02-02,3.04,3.12,3.04,3.1,3.1,82300
2021-02-03,3.1,3.14,3.08,3.08,3.08,120300
2021-02-04,3.08,3.08,3.04,3.04,3.04,120600
2021-02-05,3.06,3.1,3.06,3.1,3.1,126400
2021-02-08,3.1,3.2,3.06,3.08,3.08,280300
2021-02-09,3.08,3.1,3.08,3.08,3.08,104400
2021-02-10,3.12,3.12,3.08,3.08,3.08,87000
2021-02-11,3.08,3.14,3.08,3.14,3.14,79500
2021-02-15,3.14,3.14,3.06,3.1,3.1,180000
2021-02-16,3.1,3.12,3.08,3.08,3.08,77300
2021-02-17,3.08,3.1,3.06,3.08,3.08,122600
2021-02-18,3.08,3.1,3.04,3.06,3.06,320900
2021-02-19,3.1,3.12,3.06,3.08,3.08,83800
2021-02-22,3.1,3.12,3.06,3.06,3.06,356700
2021-02-23,3.1,3.16,3.06,3.1,3.1,741100
2021-02-24,3.12,3.14,3.0,3.06,3.06,370800
2021-02-25,3.1,3.1,3.06,3.06,3.06,224200
2021-03-01,3.06,3.08,3.02,3.02,3.02,581200
2021-03-02,3.02,3.06,3.0,3.02,3.02,311100
2021-03-03,3.02,3.02,2.98,3.02,3.02,474300
2021-03-04,3.0,3.02,2.98,3.0,3.0,196200
2021-03-05,2.98,3.0,2.98,2.98,2.98,174200
2021-03-08,3.0,3.0,2.98,2.98,2.98,153200
2021-03-09,3.0,3.0,2.96,2.98,2.98,224800
2021-03-10,3.0,3.02,3.0,3.02,3.02,65400
2021-03-11,3.02,3.02,2.98,2.98,2.98,272100
2021-03-12,2.98,3.0,2.98,2.98,2.98,193600
2021-03-15,2.98,3.0,2.96,2.98,2.98,208400
2021-03-16,3.0,3.02,2.98,3.02,3.02,217900
2021-03-17,3.02,3.02,3.0,3.0,3.0,100800
2021-03-18,3.0,3.02,2.98,3.02,3.02,83000
2021-03-19,3.02,3.02,2.98,3.0,3.0,134100
2021-03-22,3.04,3.16,3.0,3.16,3.16,673800
2021-03-23,3.18,3.18,3.06,3.08,3.08,317200
2021-03-24,3.06,3.26,3.04,3.24,3.24,1561900
2021-03-25,3.3,3.48,3.28,3.38,3.38,3335200
2021-03-26,3.36,3.36,3.3,3.3,3.3,1180600
2021-03-29,3.34,3.34,3.2,3.24,3.24,1409800
2021-03-30,3.22,3.24,3.18,3.2,3.2,1043900
2021-03-31,3.22,3.24,3.18,3.2,3.2,362200
2021-04-01,3.2,3.3,3.18,3.2,3.2,390600
2021-04-02,3.24,3.24,3.2,3.24,3.24,188500
2021-04-05,3.22,3.24,3.12,3.12,3.12,238200
2021-04-07,3.12,3.12,3.04,3.1,3.1,218800
2021-04-08,3.1,3.12,3.04,3.08,3.08,107100
2021-04-09,3.08,3.12,3.08,3.12,3.12,149000
2021-04-12,3.1,3.14,3.04,3.04,3.04,81800
2021-04-16,3.04,3.12,3.04,3.1,3.1,144700
2021-04-19,3.1,3.12,3.08,3.12,3.12,55300
2021-04-20,3.12,3.18,3.1,3.14,3.14,147600
2021-04-21,3.16,3.22,3.16,3.2,3.2,156700
2021-04-22,3.3,3.34,3.16,3.2,3.2,971300
2021-04-23,3.22,3.3,3.22,3.28,3.28,245800
2021-04-26,3.2,3.44,3.2,3.38,3.38,2512600
2021-04-27,3.46,3.88,3.46,3.84,3.84,7464000
2021-04-28,4.22,4.36,4.04,4.18,4.18,5035500
2021-04-29,4.18,4.18,4.0,4.06,4.06,2225400
2021-04-30,4.06,4.06,3.82,3.9,3.9,1614600
2021-05-05,3.9,4.12,3.9,4.12,4.12,1436600
2021-05-06,4.16,4.3,4.16,4.28,4.28,2945500
2021-05-07,4.32,4.34,4.22,4.26,4.26,2143500
2021-05-10,4.26,4.34,4.16,4.32,4.32,1711800
2021-05-11,5.1,5.4,5.1,5.25,5.25,10663500
2021-05-12,5.2,5.6,5.15,5.5,5.5,5195300
2021-05-13,5.3,5.45,4.88,5.15,5.15,3528900
2021-05-14,5.2,5.2,4.86,4.98,4.98,1598900
2021-05-17,4.86,4.86,4.6,4.76,4.76,1496000
2021-05-18,4.66,4.82,4.66,4.8,4.8,690200
2021-05-19,4.82,4.92,4.82,4.82,4.82,738300
2021-05-20,4.92,5.0,4.84,4.86,4.86,545500
2021-05-21,4.96,4.96,4.72,4.84,4.84,355200
2021-05-24,4.86,4.86,4.7,4.8,4.8,359000
2021-05-25,4.8,4.8,4.72,4.72,4.72,344100
2021-05-27,4.72,4.74,4.4,4.74,4.74,3105700
2021-05-28,4.72,4.84,4.7,4.8,4.8,419800
2021-05-31,4.86,4.9,4.8,4.9,4.9,1088500
2021-06-01,4.92,5.0,4.92,5.0,5.0,830900
2021-06-02,5.0,5.1,4.96,5.05,5.05,806400
2021-06-04,5.0,5.0,4.9,4.94,4.94,546900
2021-06-07,4.94,5.0,4.94,4.96,4.96,655100
2021-06-08,5.0,5.0,4.94,4.94,4.94,325800
2021-06-09,4.96,5.05,4.92,5.05,5.05,746200
2021-06-10,5.05,5.2,5.05,5.15,5.15,2121900
2021-06-11,5.15,5.15,4.9,4.9,4.9,1101500
2021-06-14,4.92,4.92,4.66,4.72,4.72,949500
2021-06-15,4.72,4.74,4.7,4.7,4.7,322600
2021-06-16,4.66,4.7,4.64,4.66,4.66,278200
2021-06-17,4.64,4.66,4.46,4.48,4.48,777800
2021-06-18,4.5,4.56,4.44,4.5,4.5,495800
2021-06-21,4.44,4.44,4.38,4.38,4.38,350000
2021-06-22,4.34,4.5,4.34,4.38,4.38,378500
2021-06-23,4.4,4.44,4.36,4.38,4.38,200700
2021-06-24,4.34,4.4,4.3,4.3,4.3,298500
2021-06-25,4.38,4.38,4.34,4.38,4.38,239700
2021-06-28,4.36,4.44,4.3,4.44,4.44,144300
2021-06-29,4.48,4.48,4.42,4.44,4.44,229800
2021-06-30,4.44,4.54,4.42,4.52,4.52,398300
2021-07-01,4.58,4.68,4.58,4.68,4.68,389600
2021-07-02,4.68,4.72,4.5,4.62,4.62,325800
2021-07-05,4.7,4.7,4.58,4.62,4.62,62800
2021-07-06,4.66,4.74,4.64,4.72,4.72,668000
2021-07-07,4.78,4.78,4.58,4.58,4.58,316600
2021-07-08,4.54,4.54,4.38,4.42,4.42,323500
2021-07-09,4.24,4.4,4.24,4.38,4.38,177600
2021-07-12,4.4,4.44,4.34,4.44,4.44,175900
2021-07-13,4.44,4.46,4.38,4.46,4.46,61500
2021-07-14,4.36,4.42,4.34,4.42,4.42,94100
2021-07-15,4.4,4.42,4.32,4.34,4.34,212400
2021-07-16,4.34,4.38,4.34,4.38,4.38,20900
2021-07-19,4.32,4.4,4.3,4.4,4.4,107800
2021-07-20,4.38,4.44,4.28,4.3,4.3,142700
2021-07-21,4.34,4.38,4.32,4.32,4.32,158900
2021-07-22,4.38,4.38,4.28,4.34,4.34,162500
2021-07-23,4.38,4.38,4.32,4.36,4.36,41200
2021-07-27,4.42,4.84,4.42,4.78,4.78,831500
2021-07-29,4.84,4.92,4.8,4.9,4.9,1581200
2021-07-30,4.9,4.9,4.72,4.72,4.72,788000
2021-08-02,4.78,4.78,4.66,4.68,4.68,181600
2021-08-03,4.74,4.74,4.66,4.68,4.68,217700
2021-08-04,4.74,4.78,4.68,4.78,4.78,171300
2021-08-05,4.8,4.8,4.74,4.78,4.78,276300
2021-08-06,4.84,4.9,4.82,4.9,4.9,370500
2021-08-09,4.94,5.15,4.94,5.05,5.05,1766300
2021-08-10,4.6,4.68,4.4,4.5,4.5,4217400
2021-08-11,4.6,4.6,4.5,4.52,4.52,1961300
2021-08-13,4.5,4.56,4.48,4.54,4.54,1390300
2021-08-16,4.54,4.56,4.42,4.52,4.52,443100
2021-08-17,4.54,4.56,4.48,4.5,4.5,96300
2021-08-18,4.48,4.52,4.46,4.5,4.5,80700
2021-08-19,4.46,4.52,4.44,4.44,4.44,88400
2021-08-20,4.44,4.5,4.4,4.46,4.46,196100
2021-08-23,4.46,4.5,4.44,4.5,4.5,97900
2021-08-24,4.44,4.5,4.44,4.46,4.46,106500
2021-08-25,4.46,4.5,4.44,4.44,4.44,59300
2021-08-26,4.46,4.52,4.46,4.48,4.48,91400
2021-08-27,4.44,4.5,4.44,4.48,4.48,60900
2021-08-30,4.5,4.5,4.44,4.48,4.48,139600
2021-08-31,4.5,4.5,4.42,4.44,4.44,245100
2021-09-01,4.44,4.48,4.44,4.44,4.44,9300
2021-09-02,4.44,4.46,4.44,4.44,4.44,20500
2021-09-03,4.46,4.6,4.44,4.5,4.5,168600
2021-09-06,4.58,4.58,4.46,4.5,4.5,72100
2021-09-07,4.5,4.52,4.46,4.52,4.52,118300
2021-09-08,4.56,4.6,4.54,4.54,4.54,196000
2021-09-09,4.52,4.58,4.52,4.54,4.54,87300
2021-09-10,4.54,4.6,4.52,4.52,4.52,265400
2021-09-13,4.54,4.6,4.54,4.6,4.6,46100
2021-09-14,4.58,4.6,4.56,4.56,4.56,171300
2021-09-15,4.6,4.62,4.6,4.62,4.62,198600
2021-09-16,4.64,4.64,4.6,4.62,4.62,93300
2021-09-17,4.62,4.64,4.6,4.64,4.64,37000
2021-09-20,4.6,4.62,4.58,4.58,4.58,46700
