Date,Open,High,Low,Close,Adj Close,Volume
2020-09-22,7.6,7.6,7.55,7.55,7.55,41800
2020-09-23,7.6,7.6,7.55,7.55,7.55,762300
2020-09-24,7.6,7.6,7.55,7.55,7.55,90800
2020-09-25,7.6,7.6,7.55,7.6,7.6,27400
2020-09-28,7.6,7.6,7.55,7.6,7.6,49900
2020-09-29,7.6,7.65,7.6,7.6,7.6,72500
2020-09-30,7.6,7.65,7.6,7.65,7.65,171000
2020-10-01,7.65,7.65,7.6,7.6,7.6,32600
2020-10-02,7.65,7.65,7.55,7.55,7.55,93700
2020-10-05,7.55,7.6,7.55,7.6,7.6,35300
2020-10-06,7.6,7.65,7.6,7.6,7.6,34300
2020-10-07,7.6,7.6,7.6,7.6,7.6,31500
2020-10-08,7.6,7.65,7.55,7.6,7.6,51800
2020-10-12,7.6,7.7,7.6,7.7,7.7,332100
2020-10-14,7.75,7.75,7.65,7.65,7.65,73400
2020-10-15,7.65,7.65,7.5,7.5,7.5,50500
2020-10-16,7.55,7.6,7.55,7.6,7.6,48500
2020-10-19,7.55,7.55,7.5,7.5,7.5,74000
2020-10-20,7.4,7.5,7.4,7.5,7.5,26000
2020-10-21,7.55,7.6,7.5,7.55,7.55,151200
2020-10-22,7.6,7.6,7.55,7.55,7.55,245800
2020-10-26,7.65,7.65,7.55,7.55,7.55,14700
2020-10-27,7.55,7.6,7.55,7.6,7.6,26500
2020-10-28,7.55,7.65,7.5,7.6,7.6,43500
2020-10-29,7.6,7.6,7.6,7.6,7.6,45300
2020-10-30,7.6,7.6,7.55,7.6,7.6,40900
2020-11-02,7.6,7.65,7.6,7.65,7.65,29100
2020-11-03,7.7,7.7,7.65,7.7,7.7,32200
2020-11-04,7.75,7.75,7.65,7.65,7.65,8600
2020-11-05,7.7,7.7,7.6,7.65,7.65,38800
2020-11-06,7.65,7.65,7.65,7.65,7.65,8000
2020-11-09,7.7,7.8,7.7,7.8,7.8,100200
2020-11-10,7.95,7.95,7.7,7.8,7.8,185500
2020-11-11,7.95,8.25,7.95,8.15,8.15,510500
2020-11-12,8.15,8.15,8.0,8.15,8.15,79500
2020-11-13,8.2,8.2,8.1,8.15,8.15,85000
