Date,Open,High,Low,Close,Adj Close,Volume
2022-05-03,3.7,3.7,3.7,3.7,3.7,0
2022-05-05,6.2,9.2,6.2,9.2,9.2,749472300
2022-05-06,8.95,9.3,7.2,7.25,7.25,452414400
2022-05-09,7.65,7.85,6.85,7.45,7.45,139935100
2022-05-10,7.45,7.85,7.25,7.25,7.25,97164900
2022-05-11,7.3,7.3,6.9,6.9,6.9,25705200
2022-05-12,6.85,6.85,6.0,6.1,6.1,22547100
2022-05-13,6.3,6.45,6.05,6.1,6.1,11035100
2022-05-17,6.25,6.95,6.2,6.85,6.85,29762600
2022-05-18,6.8,7.65,6.7,7.55,7.55,48215500
2022-05-19,7.25,7.6,7.2,7.25,7.25,17511000
2022-05-20,7.4,7.55,6.2,6.85,6.85,21726500
2022-05-23,6.7,7.1,6.6,7.05,7.05,6315201
2022-05-24,7.0,7.1,6.75,7.05,7.05,2373707
2022-05-25,7.1,7.1,6.9,6.95,6.95,1996631
2022-05-26,7.0,7.4,6.85,7.3,7.3,6153321
2022-05-27,7.25,7.4,7.1,7.25,7.25,4717513
2022-05-30,7.3,7.35,7.15,7.2,7.2,1692275
2022-05-31,7.25,7.35,6.75,6.9,6.9,5417921
2022-06-01,6.95,7.0,6.85,6.9,6.9,1072022
2022-06-02,6.9,7.2,6.9,7.1,7.1,3176780
2022-06-06,7.0,8.0,7.0,7.8,7.8,13297696
2022-06-07,7.7,7.9,7.5,7.7,7.7,7556776
2022-06-08,7.75,7.8,7.4,7.6,7.6,7065959
2022-06-09,7.65,7.65,7.3,7.45,7.45,4045102
2022-06-10,7.35,7.9,7.3,7.85,7.85,11008480
2022-06-13,7.55,7.8,6.85,7.05,7.05,17821091
2022-06-14,7.0,7.3,6.75,7.3,7.3,4435288
2022-06-15,7.3,7.3,6.85,7.0,7.0,3510465
2022-06-16,7.15,7.3,6.7,6.9,6.9,4108309
2022-06-17,6.85,7.05,6.75,6.95,6.95,2589126
2022-06-20,7.0,7.2,6.9,7.05,7.05,1804352
2022-06-21,7.15,7.3,7.05,7.25,7.25,2042759
2022-06-22,7.25,7.25,6.95,7.05,7.05,1257201
2022-06-23,7.1,7.2,7.0,7.1,7.1,1284950
2022-06-24,7.2,7.25,7.0,7.05,7.05,2328500
2022-06-27,7.1,7.4,7.1,7.4,7.4,5168601
2022-06-28,7.4,7.6,7.2,7.2,7.2,6009120
2022-06-29,7.15,7.3,7.05,7.1,7.1,1610502
2022-06-30,7.15,7.15,6.85,6.95,6.95,3086732
2022-07-01,7.0,7.0,6.85,6.9,6.9,915613
2022-07-04,6.85,6.9,6.6,6.65,6.65,2835650
2022-07-05,6.6,6.7,5.9,6.2,6.2,6774760
2022-07-06,6.15,6.15,6.0,6.1,6.1,2749001
2022-07-07,6.25,6.25,6.1,6.2,6.2,648935
2022-07-08,6.2,6.25,6.1,6.15,6.15,347600
2022-07-11,6.15,6.2,6.1,6.1,6.1,324231
2022-07-12,6.1,6.2,6.1,6.1,6.1,337600
2022-07-14,6.05,6.1,5.95,5.95,5.95,718101
2022-07-15,5.9,6.05,5.85,5.95,5.95,434800
2022-07-18,6.0,6.25,6.0,6.25,6.25,495950
2022-07-19,6.25,6.25,6.05,6.05,6.05,501300
2022-07-20,6.15,6.35,6.1,6.2,6.2,595800
2022-07-21,6.25,6.25,6.1,6.1,6.1,336803
2022-07-22,6.2,6.45,6.2,6.4,6.4,1344266
2022-07-25,6.4,6.65,6.3,6.6,6.6,1574889
2022-07-26,6.65,6.65,6.5,6.5,6.5,313010
2022-07-27,6.5,6.55,6.45,6.5,6.5,206105
2022-08-01,6.55,6.75,6.55,6.75,6.75,859699
2022-08-02,6.7,6.75,6.6,6.65,6.65,487400
2022-08-03,6.6,6.95,6.6,6.6,6.6,1816771
2022-08-04,6.6,6.75,6.6,6.75,6.75,242800
2022-08-05,6.75,6.9,6.7,6.75,6.75,649802
2022-08-08,6.75,6.95,6.75,6.9,6.9,391100
2022-08-09,7.0,7.05,6.9,7.05,7.05,528801
2022-08-10,7.1,7.1,6.8,6.9,6.9,1464302
2022-08-11,6.9,7.5,6.15,6.15,6.15,11366659
2022-08-15,6.2,6.45,6.2,6.35,6.35,1536132
2022-08-16,6.4,6.4,6.2,6.25,6.25,760802
2022-08-17,6.35,6.4,6.25,6.35,6.35,1462500
2022-08-18,6.35,6.65,6.3,6.55,6.55,2309727
2022-08-19,6.6,6.75,6.55,6.6,6.6,2066412
2022-08-22,6.75,7.0,6.65,6.85,6.85,4381000
2022-08-23,6.9,6.9,6.65,6.65,6.65,2838419
2022-08-24,6.7,7.0,6.65,6.8,6.8,4075504
2022-08-25,6.75,6.95,6.75,6.8,6.8,2397001
2022-08-26,6.85,7.2,6.8,7.1,7.1,6629841
2022-08-29,6.8,7.1,6.8,6.95,6.95,3615620
2022-08-30,7.1,7.85,7.0,7.7,7.7,34114411
2022-08-31,8.5,8.85,8.1,8.85,8.85,129797247
2022-09-01,9.0,9.2,8.25,8.4,8.4,75705149
2022-09-02,8.3,9.55,8.25,8.45,8.45,113899464
2022-09-05,8.75,9.5,8.55,9.5,9.5,36685891
2022-09-06,9.3,10.1,9.1,10.0,10.0,25294648
2022-09-07,9.9,10.9,9.65,10.8,10.8,20181680
2022-09-08,10.6,10.9,10.0,10.6,10.6,14253712
2022-09-09,10.4,11.0,10.1,10.8,10.8,10260488
2022-09-12,10.6,10.8,10.3,10.6,10.6,7275751
2022-09-13,10.5,10.6,9.4,10.2,10.2,27512485
2022-09-14,9.9,10.4,9.85,10.3,10.3,8710229
2022-09-15,10.2,10.6,10.0,10.4,10.4,8312945
2022-09-16,10.2,10.6,9.45,10.0,10.0,15069470
2022-09-19,10.0,10.3,9.45,10.3,10.3,9536881
2022-09-20,10.5,10.9,9.8,10.0,10.0,18235049
2022-09-21,10.0,10.3,9.9,10.1,10.1,3373760
2022-09-22,10.0,10.8,10.0,10.5,10.5,12669006
2022-09-23,10.5,11.2,10.3,11.2,11.2,16591538
2022-09-26,11.4,12.2,11.0,11.0,11.0,52111380
2022-09-27,10.7,11.0,9.55,9.55,9.55,55203749
2022-09-28,9.3,10.0,9.2,9.8,9.8,33190501
2022-09-29,10.0,10.0,9.25,9.25,9.25,16348264
2022-09-30,9.25,9.25,8.7,8.9,8.9,15571869
2022-10-03,8.9,8.9,8.25,8.6,8.6,5794771
2022-10-04,8.75,9.45,8.7,9.3,9.3,8806518
2022-10-05,9.35,9.4,9.0,9.2,9.2,3111847
2022-10-06,9.3,9.6,9.2,9.4,9.4,4517704
2022-10-07,9.35,9.35,8.85,9.0,9.0,4628457
2022-10-10,8.85,9.15,8.7,9.05,9.05,3019959
2022-10-11,9.0,9.35,8.9,9.0,9.0,4573510
2022-10-12,9.05,9.1,8.95,9.1,9.1,1760957
2022-10-17,9.15,9.8,9.05,9.7,9.7,6656220
2022-10-18,9.7,9.8,9.45,9.8,9.8,4823867
2022-10-19,9.75,9.8,9.5,9.6,9.6,4098389
2022-10-20,9.6,9.8,9.55,9.6,9.6,7064561
2022-10-21,9.6,9.65,9.2,9.55,9.55,6879018
2022-10-25,9.4,9.5,9.25,9.5,9.5,4144577
2022-10-26,9.5,10.1,9.4,10.0,10.0,21430832
2022-10-27,10.1,10.2,9.25,9.35,9.35,16791585
2022-10-28,9.4,9.5,9.25,9.4,9.4,4127232
2022-10-31,9.5,9.5,9.3,9.4,9.4,2547042
2022-11-01,9.35,9.45,8.1,8.3,8.3,25815669
2022-11-02,8.3,8.35,7.25,7.35,7.35,35243093
2022-11-03,7.3,7.6,7.1,7.25,7.25,11114703
2022-11-04,7.3,7.7,7.2,7.45,7.45,14990551
2022-11-07,7.45,7.55,7.35,7.4,7.4,2977556
2022-11-08,7.45,7.45,7.3,7.3,7.3,2749403
2022-11-09,7.3,7.3,7.0,7.15,7.15,4605315
2022-11-10,7.1,7.6,7.0,7.45,7.45,8321356
2022-11-11,7.55,7.7,7.3,7.35,7.35,5493601
2022-11-14,7.25,7.3,6.85,7.15,7.15,4841511
2022-11-15,6.9,7.4,6.6,7.4,7.4,10080718
2022-11-16,7.25,7.4,7.1,7.25,7.25,3006903
2022-11-17,7.25,7.5,7.15,7.4,7.4,3539086
2022-11-18,7.35,7.55,7.05,7.45,7.45,5891136
2022-11-21,7.35,7.45,7.25,7.25,7.25,2515310
2022-11-22,7.2,7.4,7.15,7.3,7.3,2847828
2022-11-23,7.3,7.5,7.3,7.35,7.35,1851810
2022-11-24,7.35,7.4,7.15,7.25,7.25,2900809
2022-11-25,7.3,7.3,7.2,7.25,7.25,621686
2022-11-28,7.25,7.3,7.15,7.25,7.25,1188824
2022-11-29,7.25,8.15,7.2,7.9,7.9,19583016
2022-11-30,7.8,8.0,7.65,7.75,7.75,6893225
2022-12-01,7.8,7.95,7.65,7.85,7.85,3416079
2022-12-02,7.9,7.9,7.7,7.75,7.75,2203022
2022-12-06,7.75,7.75,7.3,7.3,7.3,4593824
2022-12-07,7.3,7.45,7.15,7.25,7.25,2654641
2022-12-08,7.3,7.3,7.2,7.25,7.25,632631
2022-12-09,7.3,7.4,7.25,7.35,7.35,566755
2022-12-13,7.4,7.4,7.15,7.25,7.25,2054116
2022-12-14,7.25,7.3,7.15,7.15,7.15,789113
2022-12-15,6.85,7.0,6.85,6.95,6.95,934211
2022-12-16,6.85,7.0,6.85,6.95,6.95,1121911
2022-12-19,6.95,7.25,6.85,7.15,7.15,1364564
2022-12-20,7.2,7.2,6.7,6.75,6.75,4715975
2022-12-21,6.8,7.2,6.75,6.95,6.95,1433633
2022-12-22,7.05,7.05,6.85,6.85,6.85,939002
2022-12-23,6.9,6.95,6.8,6.9,6.9,486128
2022-12-26,6.9,7.05,6.9,6.95,6.95,888721
2022-12-27,6.95,7.25,6.95,7.1,7.1,1395210
2022-12-28,7.2,7.25,7.1,7.1,7.1,852328
2022-12-29,7.15,7.15,7.0,7.0,7.0,406306
2022-12-30,7.0,7.4,7.0,7.25,7.25,3476939
2023-01-03,7.25,7.4,7.1,7.15,7.15,1375822
2023-01-04,7.2,7.2,6.95,6.95,6.95,1883908
2023-01-05,7.0,7.0,6.75,6.8,6.8,3417328
2023-01-06,6.8,6.95,6.8,6.9,6.9,2165789
2023-01-09,6.95,7.15,6.8,7.05,7.05,4970234
2023-01-10,7.05,7.2,7.0,7.1,7.1,1588249
2023-01-11,7.15,7.4,7.05,7.25,7.25,5566431
2023-01-12,7.35,7.55,7.1,7.15,7.15,10180818
2023-01-13,7.2,7.3,7.05,7.15,7.15,2848403
2023-01-16,7.15,7.2,7.1,7.1,7.1,1261590
2023-01-17,7.15,7.2,7.05,7.1,7.1,692501
2023-01-18,7.1,7.2,7.05,7.1,7.1,1544308
2023-01-19,7.05,7.15,7.0,7.0,7.0,1314001
2023-01-20,7.05,7.15,7.0,7.1,7.1,1608602
2023-01-23,7.15,7.15,7.05,7.05,7.05,1092100
2023-01-24,7.1,7.5,7.1,7.45,7.45,13325784
2023-01-25,7.65,7.9,7.35,7.35,7.35,20275808
2023-01-26,7.4,7.95,7.35,7.85,7.85,20742853
2023-01-27,8.0,8.1,7.65,7.65,7.65,14241252
2023-01-30,7.65,7.8,7.45,7.5,7.5,5650970
2023-01-31,7.55,7.85,7.5,7.55,7.55,7900053
2023-02-01,7.55,7.75,7.5,7.7,7.7,4849148
2023-02-02,7.85,7.85,7.6,7.6,7.6,4620205
2023-02-03,7.6,7.65,7.3,7.3,7.3,6976935
2023-02-06,7.3,7.35,7.05,7.05,7.05,4491893
2023-02-07,7.1,7.25,7.0,7.05,7.05,4131005
2023-02-08,7.1,7.25,7.1,7.15,7.15,2843164
2023-02-09,7.1,7.25,7.05,7.15,7.15,1583605
2023-02-10,7.15,7.15,7.0,7.05,7.05,2310500
2023-02-13,7.05,7.2,6.95,7.05,7.05,3088251
2023-02-14,7.1,7.15,6.9,6.95,6.95,3137134
2023-02-15,6.95,7.05,6.65,6.75,6.75,3316398
2023-02-16,6.75,6.95,6.7,6.85,6.85,1205816
2023-02-17,6.85,6.85,6.7,6.8,6.8,1110451
2023-02-20,6.75,6.75,6.2,6.35,6.35,7880955
2023-02-21,6.35,6.6,6.3,6.5,6.5,3827720
2023-02-22,6.45,6.9,6.45,6.8,6.8,3260875
2023-02-23,6.8,6.95,6.8,6.85,6.85,1195503
2023-02-24,6.85,6.85,6.65,6.7,6.7,1309744
2023-02-27,6.8,6.8,6.45,6.45,6.45,1454213
2023-02-28,6.45,6.6,6.35,6.4,6.4,2631701
2023-03-01,6.45,6.5,6.35,6.35,6.35,802041
2023-03-02,6.35,6.4,6.25,6.3,6.3,1013346
2023-03-03,6.3,6.4,6.25,6.35,6.35,363223
2023-03-07,6.4,6.4,6.3,6.35,6.35,681141
2023-03-08,6.4,6.45,6.25,6.45,6.45,452204
2023-03-09,6.5,6.7,6.5,6.55,6.55,1403512
2023-03-10,6.5,6.65,6.45,6.5,6.5,439185
2023-03-13,6.4,6.4,6.1,6.1,6.1,2232212
2023-03-14,6.15,6.2,5.95,6.0,6.0,2718856
2023-03-15,6.05,6.3,6.05,6.3,6.3,1063203
2023-03-16,6.2,6.3,6.15,6.25,6.25,853106
2023-03-17,6.35,6.4,6.2,6.25,6.25,496402
2023-03-20,6.2,6.3,6.1,6.25,6.25,686902
2023-03-21,6.2,6.4,6.2,6.35,6.35,795716
2023-03-22,6.35,6.4,6.2,6.25,6.25,470914
2023-03-23,6.3,6.35,6.2,6.25,6.25,378200
2023-03-24,6.2,6.35,6.2,6.3,6.3,638903
2023-03-27,6.3,6.35,6.2,6.2,6.2,489001
2023-03-28,6.25,6.6,6.25,6.5,6.5,1383826
2023-03-29,6.55,6.6,6.3,6.45,6.45,1148099
2023-03-30,6.45,6.5,6.4,6.45,6.45,539106
2023-03-31,6.45,6.5,6.35,6.4,6.4,570247
2023-04-03,6.45,6.45,6.3,6.35,6.35,326245
