Date,Open,High,Low,Close,Adj Close,Volume
2021-03-24,0.79,0.82,0.79,0.8,0.8,12560700
2021-03-25,0.81,0.82,0.79,0.79,0.79,8140800
2021-03-26,0.79,0.81,0.78,0.78,0.78,3093500
2021-03-29,0.79,0.8,0.76,0.79,0.79,5556600
2021-03-30,0.81,0.87,0.79,0.84,0.84,19217300
2021-03-31,0.86,0.9,0.86,0.89,0.89,17882500
2021-04-01,1.01,1.01,0.98,0.98,0.98,1991200
2021-04-02,1.03,1.04,1.01,1.03,1.03,13064900
2021-04-05,1.05,1.05,0.96,1.01,1.01,19094500
2021-04-07,1.0,1.03,0.96,0.99,0.99,15674500
2021-04-08,0.99,1.1400000000000001,0.98,1.09,1.09,87482700
2021-04-09,1.18,1.18,1.04,1.05,1.05,39047600
2021-04-12,1.04,1.11,0.99,1.05,1.05,31321100
2021-04-16,1.09,1.1,1.02,1.07,1.07,19778200
2021-04-19,1.09,1.1400000000000001,1.08,1.11,1.11,23978600
2021-04-20,1.1,1.28,1.08,1.23,1.23,113270900
2021-04-21,1.25,1.28,1.21,1.24,1.24,46611500
2021-04-22,1.24,1.34,1.24,1.29,1.29,44352500
2021-04-23,1.29,1.34,1.25,1.26,1.26,55153300
2021-04-26,1.25,1.32,1.21,1.29,1.29,20882000
2021-04-27,1.3,1.45,1.26,1.31,1.31,73898300
2021-04-28,1.3,1.3599999999999999,1.28,1.28,1.28,16640700
2021-04-29,1.3,1.38,1.28,1.34,1.34,27276300
2021-04-30,1.38,1.38,1.33,1.33,1.33,14043000
2021-05-05,1.33,1.33,1.29,1.3,1.3,7628000
2021-05-06,1.26,1.34,1.26,1.3,1.3,15415600
2021-05-07,1.31,1.31,1.27,1.27,1.27,5708900
2021-05-10,1.28,1.3,1.26,1.28,1.28,5150700
2021-05-11,1.27,1.3,1.26,1.28,1.28,6438200
2021-05-12,1.29,1.29,1.25,1.26,1.26,3445900
2021-05-13,1.2,1.24,0.9,1.0,1.0,18559900
2021-05-14,1.06,1.2,1.04,1.11,1.11,20683600
2021-05-17,1.16,1.16,1.05,1.08,1.08,5919600
2021-05-18,1.04,1.1,1.0,1.06,1.06,7219300
2021-05-19,1.07,1.12,1.06,1.09,1.09,6197500
2021-05-20,1.08,1.17,1.07,1.12,1.12,14152300
2021-05-21,1.13,1.21,1.12,1.15,1.15,22412200
2021-05-24,1.12,1.13,1.05,1.06,1.06,4277800
2021-05-25,1.07,1.09,1.05,1.06,1.06,3227500
2021-05-27,1.06,1.1,1.06,1.07,1.07,1301200
2021-05-28,1.08,1.1,1.07,1.07,1.07,3082000
2021-05-31,1.09,1.13,1.06,1.09,1.09,5244200
2021-06-01,1.1,1.11,1.08,1.1,1.1,4186100
2021-06-02,1.1,1.12,1.09,1.1,1.1,4590200
2021-06-04,1.1,1.15,1.08,1.1400000000000001,1.1400000000000001,16823600
2021-06-07,1.17,1.17,1.11,1.12,1.12,11216100
2021-06-08,1.13,1.1400000000000001,1.1,1.1,1.1,2920900
2021-06-09,1.11,1.1400000000000001,1.1,1.13,1.13,15314200
2021-06-10,1.1400000000000001,1.22,1.13,1.22,1.22,120751400
2021-06-11,1.26,1.28,1.19,1.19,1.19,112555700
2021-06-14,1.2,1.24,1.2,1.21,1.21,16828200
2021-06-15,1.21,1.22,1.15,1.16,1.16,15502800
2021-06-16,1.17,1.19,1.15,1.16,1.16,11000500
2021-06-17,1.15,1.16,1.12,1.1400000000000001,1.1400000000000001,13915600
2021-06-18,1.1400000000000001,1.15,1.1,1.11,1.11,6717700
2021-06-21,1.1,1.12,1.07,1.11,1.11,4966000
2021-06-22,1.1400000000000001,1.19,1.13,1.17,1.17,17889900
2021-06-23,1.17,1.17,1.1,1.1,1.1,7775000
