Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,6.9,7.1,6.85,7.0,7.0,29826900
2020-09-24,7.0,7.0,6.75,6.9,6.9,54133700
2020-09-25,6.95,7.0,6.85,6.9,6.9,15410200
2020-09-28,6.9,7.05,6.9,6.95,6.95,17611100
2020-09-29,6.95,7.0,6.9,6.95,6.95,14212700
2020-09-30,6.95,7.0,6.8,6.8,6.8,19316000
2020-10-01,6.85,6.95,6.8,6.9,6.9,17680100
2020-10-02,6.85,6.9,6.65,6.75,6.75,35260900
2020-10-05,6.8,6.85,6.75,6.75,6.75,14917200
2020-10-06,6.8,6.9,6.75,6.8,6.8,22399100
2020-10-07,6.8,6.95,6.75,6.9,6.9,19311100
2020-10-08,6.95,7.05,6.9,7.0,7.0,23604000
2020-10-09,7.1,7.1,7.0,7.0,7.0,22168900
2020-10-12,7.05,7.1,6.9,7.0,7.0,16813300
2020-10-14,7.0,7.05,6.95,7.0,7.0,21880300
2020-10-15,6.95,7.0,6.75,6.8,6.8,32703300
2020-10-16,6.85,6.85,6.65,6.75,6.75,38504400
2020-10-19,6.7,6.75,6.55,6.6,6.6,33074900
2020-10-20,6.55,6.7,6.5,6.55,6.55,38146500
2020-10-21,6.6,6.7,6.5,6.5,6.5,25126000
2020-10-22,6.55,6.65,6.45,6.45,6.45,39500700
2020-10-26,6.45,6.45,6.35,6.4,6.4,32008800
2020-10-27,6.4,6.55,6.35,6.5,6.5,23852800
2020-10-28,6.45,6.6,6.45,6.5,6.5,17893700
2020-10-29,6.45,6.5,6.4,6.4,6.4,17090400
2020-10-30,6.45,6.45,6.35,6.4,6.4,24465100
2020-11-02,6.4,6.5,6.4,6.45,6.45,13495400
2020-11-03,6.5,6.6,6.45,6.55,6.55,23408000
2020-11-04,6.55,6.65,6.5,6.55,6.55,20924200
2020-11-05,6.6,6.75,6.55,6.75,6.75,36975800
2020-11-06,6.8,6.85,6.6,6.7,6.7,42264300
2020-11-09,6.9,7.0,6.8,6.95,6.95,45804400
2020-11-10,7.2,7.4,7.05,7.2,7.2,84797900
2020-11-11,7.35,7.5,7.25,7.4,7.4,56330000
2020-11-12,7.4,7.5,7.25,7.3,7.3,60639100
2020-11-13,7.3,7.5,7.25,7.4,7.4,41949900
2020-11-16,7.5,7.6,7.45,7.5,7.5,33951900
2020-11-17,7.55,7.8,7.55,7.6,7.6,62720800
2020-11-18,7.55,7.75,7.55,7.75,7.75,31148300
2020-11-19,7.75,7.8,7.65,7.7,7.7,37463500
2020-11-20,7.7,7.8,7.65,7.8,7.8,33286700
2020-11-23,7.85,8.0,7.8,7.95,7.95,56350400
2020-11-24,8.0,8.1,7.8,7.85,7.85,58837100
2020-11-25,7.95,8.0,7.7,7.85,7.85,37142300
2020-11-26,7.85,8.0,7.8,7.95,7.95,35198600
2020-11-27,8.0,8.2,7.9,8.1,8.1,75495900
2020-11-30,8.0,8.05,7.75,7.85,7.85,98137000
2020-12-01,7.85,8.05,7.85,8.05,8.05,40521100
2020-12-02,8.0,8.15,7.9,7.95,7.95,45075200
2020-12-03,8.0,8.2,7.95,8.2,8.2,65156300
2020-12-04,8.1,8.2,8.05,8.2,8.2,47334200
2020-12-08,8.05,8.45,8.05,8.35,8.35,111261100
2020-12-09,8.3,8.5,8.25,8.5,8.5,118638700
2020-12-14,8.4,8.45,8.1,8.15,8.15,69320600
2020-12-15,8.1,8.3,8.05,8.25,8.25,69136800
2020-12-16,8.3,8.45,8.15,8.4,8.4,58619400
2020-12-17,8.4,8.6,8.4,8.5,8.5,83613800
2020-12-18,8.45,8.65,8.45,8.65,8.65,94722700
2020-12-21,8.1,8.3,8.05,8.05,8.05,94041800
2020-12-22,8.05,8.2,7.85,8.1,8.1,64356600
2020-12-23,8.1,8.2,8.0,8.0,8.0,47108700
