Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,8.75,8.8,8.6,8.8,8.8,0
2020-01-03,8.75,8.75,8.75,8.75,8.75,0
2020-01-06,8.75,8.75,8.7,8.7,8.7,0
2020-01-07,8.75,8.8,8.75,8.8,8.8,0
2020-01-08,8.75,8.75,8.7,8.75,8.75,0
2020-01-09,8.75,8.75,8.75,8.75,8.75,0
2020-01-10,8.7,8.7,8.7,8.7,8.7,0
2020-01-13,8.8,8.85,8.7,8.7,8.7,0
2020-01-14,8.8,8.8,8.8,8.8,8.8,0
2020-01-16,8.75,8.75,8.75,8.75,8.75,0
2020-01-17,8.75,8.9,8.75,8.9,8.9,0
2020-01-20,8.9,8.9,8.7,8.8,8.8,0
2020-01-21,8.75,8.75,8.7,8.75,8.75,0
2020-01-22,8.7,8.75,8.7,8.7,8.7,0
2020-01-23,8.7,8.7,8.7,8.7,8.7,0
2020-01-24,8.75,8.95,8.75,8.95,8.95,0
2020-01-29,8.95,8.95,8.95,8.95,8.95,0
2020-01-30,8.95,8.95,8.95,8.95,8.95,0
2020-01-31,8.7,8.9,8.65,8.65,8.65,0
2020-02-03,8.7,8.7,8.7,8.7,8.7,0
2020-02-04,8.7,8.75,8.7,8.7,8.7,0
2020-02-07,8.85,8.85,8.8,8.8,8.8,0
2020-02-13,8.8,8.8,8.8,8.8,8.8,0
2020-02-14,8.8,8.8,8.6,8.65,8.65,0
2020-02-17,8.65,8.65,8.65,8.65,8.65,0
2020-02-18,8.6,8.65,8.6,8.65,8.65,0
2020-02-19,8.65,8.65,8.65,8.65,8.65,0
2020-02-20,8.55,8.65,8.55,8.65,8.65,0
2020-02-21,8.7,8.75,8.7,8.75,8.75,0
2020-02-24,8.75,8.75,8.55,8.55,8.55,0
2020-02-25,8.5,8.5,8.15,8.35,8.35,0
2020-02-26,8.15,8.2,8.0,8.2,8.2,0
2020-02-27,8.15,8.15,8.0,8.0,8.0,0
2020-02-28,7.95,7.95,7.8,7.8,7.8,0
2020-03-02,7.7,7.85,7.6,7.65,7.65,0
2020-03-03,7.65,7.75,7.6,7.6,7.6,0
2020-03-04,7.65,7.7,7.6,7.7,7.7,0
2020-03-05,7.7,7.75,7.7,7.75,7.75,0
2020-03-06,7.75,7.75,7.7,7.7,7.7,0
2020-03-09,7.65,7.65,7.55,7.55,7.55,0
2020-03-10,7.5,7.55,7.5,7.5,7.5,0
2020-03-11,7.5,7.5,7.4,7.4,7.4,0
2020-03-12,7.4,7.4,6.0,6.9,6.9,0
2020-03-13,6.8,6.8,6.5,6.6,6.6,0
2020-03-16,6.6,6.6,6.45,6.45,6.45,0
2020-03-17,6.3,6.3,6.05,6.05,6.05,0
