Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,4.46,4.56,4.42,4.48,4.48,5275800
2020-09-24,4.48,4.56,4.44,4.52,4.52,5445500
2020-09-25,4.54,4.58,4.46,4.48,4.48,5522700
2020-09-28,4.5,4.5,4.44,4.46,4.46,3188300
2020-09-29,4.46,4.48,4.4,4.4,4.4,4530400
2020-09-30,4.4,4.4,4.16,4.16,4.16,16467700
2020-10-01,4.14,4.24,4.1,4.24,4.24,4001600
2020-10-02,4.24,4.24,4.14,4.14,4.14,2756600
2020-10-05,4.18,4.22,4.12,4.16,4.16,3923000
2020-10-06,4.18,4.28,4.16,4.28,4.28,6964100
2020-10-07,4.26,4.3,4.22,4.24,4.24,3428000
2020-10-08,4.3,4.36,4.26,4.28,4.28,6519100
2020-10-09,4.3,4.3,4.14,4.16,4.16,5235200
2020-10-12,4.16,4.24,4.16,4.18,4.18,1627200
2020-10-14,4.18,4.18,4.06,4.06,4.06,6573700
2020-10-15,4.06,4.08,3.92,3.92,3.92,8720300
2020-10-16,3.94,4.0,3.92,3.94,3.94,2360800
2020-10-19,3.86,3.9,3.7,3.7,3.7,8353700
2020-10-20,3.7,3.88,3.7,3.8,3.8,8488600
2020-10-21,3.8,3.86,3.8,3.82,3.82,2027600
2020-10-22,3.8,3.8,3.72,3.72,3.72,10408400
2020-10-26,3.72,3.76,3.72,3.76,3.76,1205900
2020-10-27,3.74,3.74,3.68,3.74,3.74,1931200
2020-10-28,3.76,3.84,3.76,3.82,3.82,2191200
2020-10-29,3.76,3.84,3.76,3.82,3.82,1551000
2020-10-30,3.82,3.88,3.8,3.8,3.8,3120400
2020-11-02,3.8,3.84,3.76,3.78,3.78,1955900
2020-11-03,3.78,3.84,3.76,3.84,3.84,3249700
2020-11-04,3.84,3.9,3.84,3.84,3.84,4011500
2020-11-05,3.86,3.96,3.84,3.94,3.94,3788100
2020-11-06,3.94,3.98,3.84,3.9,3.9,9226200
2020-11-09,3.94,4.0,3.9,3.98,3.98,4793800
2020-11-10,4.06,4.16,4.02,4.1,4.1,19124700
2020-11-11,4.1,4.14,4.06,4.1,4.1,7742400
2020-11-12,4.06,4.16,4.06,4.12,4.12,4196400
2020-11-13,4.12,4.18,4.1,4.16,4.16,4387200
2020-11-16,4.16,4.38,4.16,4.34,4.34,11007800
2020-11-17,4.46,4.48,4.4,4.4,4.4,12093000
2020-11-18,4.4,4.42,4.34,4.42,4.42,5053600
2020-11-19,4.42,4.52,4.4,4.42,4.42,12036900
2020-11-20,4.4,4.46,4.36,4.46,4.46,7655800
2020-11-23,4.48,4.68,4.48,4.68,4.68,13844100
2020-11-24,4.7,4.74,4.56,4.56,4.56,18213200
2020-11-25,4.58,4.64,4.48,4.58,4.58,11774600
2020-11-26,4.58,4.6,4.56,4.6,4.6,3842400
2020-11-27,4.6,5.1,4.56,4.92,4.92,47935500
2020-11-30,4.92,4.94,4.74,4.74,4.74,15471700
2020-12-01,4.8,4.88,4.8,4.84,4.84,5987700
2020-12-02,4.84,4.84,4.78,4.8,4.8,3688600
2020-12-03,4.8,4.92,4.8,4.86,4.86,7427100
2020-12-04,4.88,5.05,4.88,4.94,4.94,21956200
2020-12-08,4.94,5.05,4.9,5.0,5.0,12786000
2020-12-09,5.05,5.2,5.0,5.1,5.1,25383200
2020-12-14,5.1,5.15,5.0,5.0,5.0,6962200
2020-12-15,5.0,5.1,4.96,5.05,5.05,7411400
2020-12-16,5.1,5.15,5.0,5.05,5.05,8139600
2020-12-17,5.05,5.3,5.05,5.15,5.15,15392300
2020-12-18,5.15,5.2,4.94,4.98,4.98,23101900
2020-12-21,4.76,4.92,4.6,4.6,4.6,16574500
2020-12-22,4.58,4.8,4.56,4.8,4.8,11026100
2020-12-23,4.74,4.84,4.74,4.76,4.76,4873400
2020-12-24,4.74,4.86,4.7,4.84,4.84,3613600
2020-12-25,4.86,4.88,4.82,4.84,4.84,2950700
2020-12-28,4.84,4.88,4.76,4.76,4.76,3809000
2020-12-29,4.76,4.8,4.66,4.72,4.72,7063700
2020-12-30,4.74,4.76,4.6,4.66,4.66,8378700
2021-01-04,4.58,4.66,4.56,4.66,4.66,5739000
2021-01-05,4.62,4.7,4.58,4.68,4.68,6750000
2021-01-06,4.68,4.88,4.66,4.8,4.8,13529900
2021-01-07,4.84,4.94,4.82,4.92,4.92,10048200
2021-01-08,4.98,5.0,4.88,4.9,4.9,12574600
2021-01-11,4.98,4.98,4.86,4.88,4.88,5544400
2021-01-12,4.9,4.9,4.84,4.88,4.88,2823000
2021-01-13,4.9,4.96,4.88,4.92,4.92,7637600
2021-01-14,4.92,4.96,4.9,4.92,4.92,3432000
2021-01-15,4.92,4.92,4.84,4.88,4.88,5316900
2021-01-18,4.86,4.88,4.82,4.82,4.82,2425200
2021-01-19,4.84,4.88,4.82,4.82,4.82,2705000
2021-01-20,4.86,4.86,4.82,4.84,4.84,1795200
2021-01-21,4.84,4.92,4.82,4.84,4.84,6562500
2021-01-22,4.82,4.86,4.8,4.8,4.8,2417200
2021-01-25,4.8,4.82,4.7,4.76,4.76,4091200
2021-01-26,4.74,4.8,4.74,4.78,4.78,2528500
2021-01-27,4.84,4.88,4.78,4.8,4.8,3691100
2021-01-28,4.8,4.8,4.74,4.8,4.8,4028800
2021-01-29,4.8,4.82,4.74,4.78,4.78,2893900
2021-02-01,4.76,4.82,4.76,4.78,4.78,2524400
2021-02-02,4.78,4.84,4.78,4.84,4.84,1443200
2021-02-03,4.88,4.98,4.84,4.84,4.84,18818800
2021-02-04,4.88,4.92,4.84,4.88,4.88,3932000
2021-02-05,4.88,4.94,4.86,4.9,4.9,6331300
2021-02-08,4.92,4.98,4.9,4.9,4.9,7228000
2021-02-09,4.92,4.94,4.88,4.92,4.92,4361900
2021-02-10,4.92,4.92,4.9,4.9,4.9,2522200
2021-02-11,4.92,5.15,4.88,5.1,5.1,30021000
2021-02-15,5.2,5.25,5.1,5.2,5.2,23615100
2021-02-16,5.2,5.25,5.15,5.15,5.15,16386200
2021-02-17,5.15,5.2,5.1,5.15,5.15,18821800
2021-02-18,5.15,5.25,5.1,5.15,5.15,24279200
2021-02-19,5.2,5.2,5.1,5.15,5.15,16604100
2021-02-22,5.2,5.2,5.1,5.15,5.15,21741900
2021-02-23,5.15,5.25,5.1,5.2,5.2,28515300
2021-02-24,4.74,4.76,4.66,4.7,4.7,30402100
2021-02-25,4.7,4.7,4.64,4.66,4.66,9948600
2021-03-01,4.66,4.66,4.6,4.62,4.62,6369500
2021-03-02,4.64,4.7,4.64,4.68,4.68,7050100
2021-03-03,4.68,4.68,4.62,4.68,4.68,7519600
2021-03-04,4.66,4.68,4.6,4.6,4.6,11569800
2021-03-05,4.6,4.76,4.6,4.76,4.76,15700200
2021-03-08,4.78,4.8,4.72,4.76,4.76,10704600
2021-03-09,4.76,4.76,4.72,4.74,4.74,3558800
2021-03-10,4.76,4.98,4.74,4.94,4.94,27567800
2021-03-11,5.0,5.1,4.94,4.96,4.96,12646100
2021-03-12,4.98,5.05,4.94,4.98,4.98,11298700
2021-03-15,5.05,5.05,4.96,5.0,5.0,7353300
2021-03-16,5.05,5.05,4.96,5.05,5.05,10004700
2021-03-17,5.05,5.05,4.96,4.98,4.98,9203400
2021-03-18,5.0,5.05,4.96,4.96,4.96,7878900
2021-03-19,4.96,4.98,4.92,4.98,4.98,5111900
2021-03-22,4.98,5.15,4.96,5.05,5.05,22940400
2021-03-23,5.1,5.2,5.05,5.2,5.2,19442500
2021-03-24,5.2,5.3,5.1,5.2,5.2,23860600
2021-03-25,5.3,5.3,5.1,5.15,5.15,19550800
2021-03-26,5.2,5.2,5.0,5.05,5.05,5761800
2021-03-29,5.2,5.2,5.1,5.1,5.1,4268400
2021-03-30,5.1,5.15,5.05,5.1,5.1,7034900
2021-03-31,5.1,5.15,5.05,5.1,5.1,5549900
2021-04-01,5.1,5.15,5.05,5.1,5.1,3043600
2021-04-02,5.15,5.15,5.1,5.1,5.1,5285700
2021-04-05,5.1,5.15,5.0,5.1,5.1,10842700
2021-04-07,5.05,5.1,4.96,4.98,4.98,10272000
2021-04-08,4.98,5.05,4.96,5.0,5.0,5527700
2021-04-09,5.0,5.05,5.0,5.05,5.05,2924600
2021-04-12,5.05,5.1,4.98,4.98,4.98,7528600
2021-04-16,4.96,5.05,4.94,5.0,5.0,6847900
2021-04-19,5.05,5.1,5.0,5.05,5.05,5000300
2021-04-20,5.1,5.1,5.0,5.0,5.0,4242500
2021-04-21,5.0,5.1,5.0,5.05,5.05,4314000
2021-04-22,5.05,5.1,4.98,5.0,5.0,10194400
2021-04-23,5.0,5.05,4.98,5.0,5.0,5597300
2021-04-26,4.98,5.05,4.98,5.0,5.0,4174500
2021-04-27,5.0,5.05,4.96,4.98,4.98,11306000
2021-04-28,5.0,5.1,4.98,5.05,5.05,6919000
2021-04-29,5.1,5.1,5.05,5.05,5.05,2899000
2021-04-30,5.1,5.1,5.05,5.05,5.05,4949200
2021-05-05,5.05,5.1,5.05,5.05,5.05,4855500
2021-05-06,5.05,5.2,5.05,5.2,5.2,22725300
2021-05-07,5.2,5.25,5.05,5.1,5.1,12317600
2021-05-10,5.1,5.15,5.05,5.1,5.1,3807600
2021-05-11,5.1,5.15,5.05,5.1,5.1,7441900
2021-05-12,5.1,5.15,5.0,5.05,5.05,6611200
2021-05-13,5.0,5.05,4.9,4.98,4.98,15457200
2021-05-14,5.0,5.05,4.96,5.05,5.05,3817800
2021-05-17,5.05,5.05,4.94,5.0,5.0,4736700
2021-05-18,5.05,5.05,4.98,5.05,5.05,5196600
2021-05-19,5.05,5.05,5.0,5.0,5.0,901200
2021-05-20,5.0,5.1,5.0,5.05,5.05,2901400
2021-05-21,5.05,5.05,5.0,5.0,5.0,1951800
2021-05-24,5.0,5.05,4.98,5.0,5.0,6210800
2021-05-25,5.0,5.0,4.96,4.98,4.98,9790700
2021-05-27,4.98,5.0,4.96,5.0,5.0,3843400
2021-05-28,5.0,5.05,4.98,4.98,4.98,5332600
2021-05-31,4.98,5.05,4.98,5.0,5.0,4687500
2021-06-01,5.0,5.05,5.0,5.05,5.05,3264600
2021-06-02,5.05,5.1,5.0,5.0,5.0,5002100
2021-06-04,5.0,5.65,5.0,5.45,5.45,59032100
2021-06-07,5.6,5.8,5.5,5.65,5.65,41648800
2021-06-08,5.65,5.65,5.4,5.4,5.4,17450900
2021-06-09,5.4,5.6,5.35,5.45,5.45,13588000
2021-06-10,5.5,5.7,5.5,5.6,5.6,17834400
2021-06-11,5.6,5.6,5.45,5.55,5.55,9771500
2021-06-14,5.6,5.6,5.45,5.55,5.55,7507700
2021-06-15,5.55,5.8,5.55,5.55,5.55,45710200
2021-06-16,5.6,5.6,5.5,5.5,5.5,7812200
2021-06-17,5.5,5.55,5.45,5.5,5.5,7570100
2021-06-18,5.5,5.55,5.45,5.5,5.5,8708900
2021-06-21,5.45,5.45,5.3,5.4,5.4,8999400
2021-06-22,5.45,5.45,5.3,5.3,5.3,7179000
2021-06-23,5.35,5.4,5.2,5.2,5.2,10212800
2021-06-24,5.15,5.25,5.1,5.25,5.25,6912300
2021-06-25,5.25,5.3,5.15,5.2,5.2,5456300
2021-06-28,5.1,5.15,5.05,5.15,5.15,3808200
2021-06-29,5.1,5.25,5.1,5.15,5.15,2554700
2021-06-30,5.2,5.25,5.15,5.15,5.15,4158100
2021-07-01,5.15,5.25,5.15,5.15,5.15,3269200
2021-07-02,5.15,5.25,5.1,5.1,5.1,4046600
2021-07-05,5.1,5.15,5.05,5.05,5.05,3471200
2021-07-06,5.05,5.1,5.05,5.1,5.1,3074000
2021-07-07,5.05,5.1,5.0,5.05,5.05,5342000
2021-07-08,5.0,5.05,4.9,4.9,4.9,19330700
2021-07-09,4.82,4.92,4.82,4.92,4.92,6956400
2021-07-12,4.94,4.94,4.9,4.92,4.92,2584500
2021-07-13,4.88,5.0,4.88,4.96,4.96,2875000
2021-07-14,4.94,4.98,4.92,4.98,4.98,2237500
2021-07-15,4.96,5.05,4.96,5.0,5.0,3668000
2021-07-16,5.0,5.0,4.96,4.98,4.98,3311900
2021-07-19,4.94,4.96,4.9,4.94,4.94,3846600
