Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,5.45,5.7,5.4,5.7,5.7,0
2020-01-03,5.55,5.55,5.25,5.25,5.25,0
2020-01-06,5.3,5.3,5.15,5.15,5.15,0
2020-01-09,5.0,5.5,5.0,5.5,5.5,0
2020-01-14,5.1,5.15,5.1,5.15,5.15,0
2020-01-15,5.05,5.1,5.05,5.05,5.05,0
2020-01-16,5.05,5.05,5.05,5.05,5.05,0
2020-01-17,5.05,5.05,5.05,5.05,5.05,0
2020-01-20,5.3,6.0,5.3,5.8,5.8,0
2020-01-22,5.6,5.6,5.4,5.4,5.4,0
2020-01-23,5.1,5.1,5.1,5.1,5.1,0
2020-01-27,5.2,5.2,5.2,5.2,5.2,0
2020-01-28,5.4,5.4,5.05,5.05,5.05,0
2020-01-29,5.05,5.05,5.05,5.05,5.05,0
2020-01-30,5.05,5.05,5.05,5.05,5.05,0
2020-02-03,5.35,5.35,5.35,5.35,5.35,0
2020-02-05,5.4,5.4,5.4,5.4,5.4,0
2020-02-06,5.4,5.4,5.4,5.4,5.4,0
2020-02-07,5.35,5.35,5.05,5.1,5.1,0
2020-02-14,5.1,5.1,5.1,5.1,5.1,0
2020-02-17,5.2,5.2,5.1,5.2,5.2,0
2020-02-18,5.05,5.15,5.05,5.15,5.15,0
2020-02-20,5.0,5.0,5.0,5.0,5.0,0
2020-02-21,5.2,5.2,5.05,5.05,5.05,0
2020-02-24,4.9399999999999995,5.0,4.9,5.0,5.0,0
2020-02-25,5.05,5.05,5.05,5.05,5.05,0
2020-02-26,4.62,4.66,4.62,4.66,4.66,0
2020-02-27,4.4,5.05,4.4,5.05,5.05,0
2020-02-28,5.05,5.05,4.8,4.8,4.8,0
2020-03-02,4.9,4.9,4.58,4.58,4.58,0
2020-03-03,4.88,4.9,4.88,4.9,4.9,0
2020-03-04,4.86,4.9,4.86,4.9,4.9,0
2020-03-10,4.9,4.9,4.9,4.9,4.9,0
2020-03-11,4.7,4.7,4.7,4.7,4.7,0
2020-03-12,4.42,4.5,4.4,4.4,4.4,0
2020-03-13,5.2,5.2,3.5,4.4,4.4,0
2020-03-17,4.1,4.1,4.1,4.1,4.1,0
2020-03-18,4.0,4.0,4.0,4.0,4.0,0
2020-03-20,3.4,4.0,3.4,4.0,4.0,0
2020-03-23,3.4,4.0,3.4,4.0,4.0,0
2020-03-24,3.98,3.98,3.98,3.98,3.98,0
2020-03-25,3.98,4.0,3.98,4.0,4.0,0
2020-03-26,4.0,4.0,4.0,4.0,4.0,0
2020-03-27,4.0,4.0,3.56,4.0,4.0,0
2020-03-31,4.0,4.0,4.0,4.0,4.0,0
2020-04-01,4.0,4.0,3.66,3.66,3.66,0
2020-04-02,3.98,4.0,3.98,4.0,4.0,0
2020-04-07,4.0,4.0,3.96,3.96,3.96,0
