Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,4.64,4.64,4.64,4.64,4.64,0
2020-01-03,4.5,4.52,4.5,4.5,4.5,0
2020-01-07,4.4,4.5,4.0,4.5,4.5,0
2020-01-08,4.76,4.76,4.76,4.76,4.76,0
2020-01-10,4.08,4.6,4.02,4.6,4.6,0
2020-01-13,4.5,4.6,4.5,4.6,4.6,0
2020-01-20,4.2,4.2,4.2,4.2,4.2,0
2020-01-21,4.6,4.6,4.6,4.6,4.6,0
2020-01-22,4.4,4.4,4.38,4.38,4.38,0
2020-01-24,4.58,4.58,4.58,4.58,4.58,0
2020-01-30,4.22,4.5,4.22,4.4,4.4,0
2020-01-31,4.26,4.32,4.18,4.22,4.22,0
2020-02-03,4.18,4.18,4.18,4.18,4.18,0
2020-02-07,4.5600000000000005,4.5600000000000005,4.5600000000000005,4.5600000000000005,4.5600000000000005,0
2020-02-14,4.68,4.68,4.68,4.68,4.68,0
2020-02-17,4.5600000000000005,4.5600000000000005,4.5600000000000005,4.5600000000000005,4.5600000000000005,0
2020-02-24,4.2,4.2,4.2,4.2,4.2,0
2020-02-25,4.2,4.7,4.2,4.28,4.28,0
2020-02-26,4.2,4.2,3.8,3.82,3.82,0
2020-02-27,4.0,4.0,3.9,3.9,3.9,0
2020-02-28,3.9,4.2,3.9,3.9,3.9,0
2020-03-02,4.58,4.6,4.58,4.6,4.6,0
2020-03-05,4.0,4.02,4.0,4.02,4.02,0
2020-03-16,5.1,5.1,4.5,4.5,4.5,0
2020-03-17,3.2,3.2,3.2,3.2,3.2,0
2020-03-26,2.88,3.68,2.88,3.68,3.68,0
2020-03-27,4.22,4.22,4.22,4.22,4.22,0
2020-03-31,4.4,4.72,4.4,4.72,4.72,0
2020-04-07,4.98,4.98,4.98,4.98,4.98,0
2020-04-16,4.72,4.72,4.72,4.72,4.72,0
2020-04-22,4.74,4.74,4.74,4.74,4.74,0
2020-04-23,4.74,4.8,4.74,4.8,4.8,0
2020-04-24,4.32,4.76,4.32,4.76,4.76,0
2020-05-11,4.66,4.66,4.44,4.66,4.66,0
2020-05-12,4.66,4.66,4.66,4.66,4.66,0
2020-05-14,4.98,4.98,4.98,4.98,4.98,0
2020-05-25,4.3,4.5,4.24,4.28,4.28,0
2020-05-26,4.18,4.28,4.18,4.2,4.2,0
2020-05-27,4.28,4.6,4.28,4.6,4.6,0
2020-05-28,4.6,4.98,4.6,4.6,4.6,0
2020-05-29,4.4,4.86,4.4,4.4,4.4,0
2020-06-01,4.2,4.86,4.2,4.86,4.86,0
2020-06-04,4.5600000000000005,4.5600000000000005,4.5600000000000005,4.5600000000000005,4.5600000000000005,0
2020-06-05,4.5600000000000005,4.8,4.5600000000000005,4.8,4.8,0
2020-06-08,4.8,4.8,4.8,4.8,4.8,0
2020-06-17,4.3,4.72,4.3,4.72,4.72,0
2020-06-25,4.22,4.22,4.22,4.22,4.22,0
2020-06-26,4.26,4.26,4.22,4.22,4.22,0
2020-07-03,4.6,4.6,4.6,4.6,4.6,0
2020-07-07,4.02,4.14,4.0,4.08,4.08,0
2020-07-08,4.14,4.2,4.14,4.2,4.2,0
2020-07-10,4.2,4.2,4.2,4.2,4.2,0
2020-07-13,4.22,4.22,4.22,4.22,4.22,0
2020-07-14,4.22,4.22,4.22,4.22,4.22,0
2020-07-15,4.14,4.78,4.14,4.78,4.78,0
2020-07-16,4.2,4.22,4.2,4.2,4.2,0
2020-07-17,4.2,4.2,4.2,4.2,4.2,0
2020-07-20,4.08,4.38,4.0,4.38,4.38,0
2020-07-23,4.38,4.78,4.38,4.78,4.78,0
2020-07-24,4.2,4.2,4.08,4.08,4.08,0
2020-07-29,4.1,4.12,4.0,4.06,4.06,0
2020-07-30,4.04,4.08,3.9,3.94,3.94,0
2020-07-31,3.92,3.96,3.82,3.82,3.82,0
2020-08-03,3.86,4.16,3.84,3.84,3.84,0
2020-08-04,3.88,4.08,3.88,4.08,4.08,0
2020-08-05,3.88,3.88,3.88,3.88,3.88,0
2020-08-06,3.86,4.14,3.86,4.14,4.14,0
2020-08-07,3.86,3.86,3.86,3.86,3.86,0
2020-08-10,3.84,4.08,3.84,4.08,4.08,0
2020-08-11,4.0,4.0,4.0,4.0,4.0,0
2020-08-14,3.88,4.0,3.88,4.0,4.0,0
2020-08-17,3.88,3.88,3.88,3.88,3.88,0
2020-08-19,4.18,4.18,3.88,3.88,3.88,0
2020-08-20,3.8,3.8,3.8,3.8,3.8,0
2020-08-21,3.84,3.86,3.84,3.86,3.86,0
2020-08-24,3.8,3.8,3.8,3.8,3.8,0
2020-08-25,3.8,3.92,3.8,3.92,3.92,0
2020-08-26,3.96,4.04,3.96,4.04,4.04,0
2020-08-27,3.82,4.1,3.82,4.1,4.1,0
2020-08-28,4.1,4.1,4.1,4.1,4.1,0
2020-08-31,4.0,4.0,4.0,4.0,4.0,0
2020-09-01,4.0,4.0,4.0,4.0,4.0,0
2020-09-02,4.0,4.0,4.0,4.0,4.0,0
2020-09-03,4.0,4.0,4.0,4.0,4.0,0
2020-09-11,4.0,4.0,4.0,4.0,4.0,0
2020-09-15,3.86,3.86,3.86,3.86,3.86,0
2020-09-17,4.0,4.0,4.0,4.0,4.0,0
2020-09-18,4.04,4.04,4.04,4.04,4.04,0
2020-09-24,4.0,4.0,4.0,4.0,4.0,0
2020-09-25,4.0,4.0,4.0,4.0,4.0,0
2020-09-29,4.44,4.44,4.44,4.44,4.44,0
2020-09-30,4.0,4.04,4.0,4.02,4.02,0
2020-10-05,4.4,4.4,4.4,4.4,4.4,0
2020-10-06,4.0,4.0,4.0,4.0,4.0,0
2020-10-07,4.0,4.0,4.0,4.0,4.0,0
2020-10-08,4.1,4.1,3.82,4.0,4.0,0
2020-10-14,4.0,4.0,4.0,4.0,4.0,0
2020-10-15,3.84,3.84,3.82,3.82,3.82,0
2020-10-19,4.0,4.0,3.84,3.84,3.84,0
2020-10-22,3.82,3.82,3.82,3.82,3.82,0
2020-10-26,3.82,3.82,3.82,3.82,3.82,0
2020-10-28,3.9,3.9,3.9,3.9,3.9,0
2020-10-29,3.92,3.92,3.9,3.9,3.9,0
2020-10-30,4.0,4.0,4.0,4.0,4.0,0
2020-11-03,4.26,4.28,4.26,4.26,4.26,0
2020-11-04,4.38,4.4,4.32,4.32,4.32,0
2020-11-05,4.3,4.3,4.12,4.12,4.12,0
2020-11-09,4.28,4.28,4.28,4.28,4.28,0
2020-11-10,4.24,4.24,4.18,4.18,4.18,0
2020-11-17,4.1,4.38,4.1,4.22,4.22,0
