Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,6.2,6.3,6.05,6.2,6.2,1235100
2020-09-24,6.15,6.2,6.05,6.1,6.1,357800
2020-09-25,6.15,6.2,6.1,6.1,6.1,527600
2020-09-28,6.15,6.2,5.95,6.1,6.1,1615200
2020-09-29,6.1,6.1,6.0,6.1,6.1,294900
2020-09-30,6.1,6.45,6.1,6.35,6.35,4735600
2020-10-01,6.35,6.4,6.15,6.4,6.4,2466300
2020-10-02,6.35,6.85,6.2,6.8,6.8,5526700
2020-10-05,6.85,8.05,6.8,7.95,7.95,19700800
2020-10-06,8.2,8.2,7.8,7.85,7.85,9944600
2020-10-07,7.85,8.05,7.65,7.9,7.9,5777900
2020-10-08,7.95,8.1,7.7,7.7,7.7,4725100
2020-10-09,7.75,7.95,7.6,7.95,7.95,3213800
2020-10-12,8.0,8.15,7.8,7.85,7.85,3429000
2020-10-14,7.8,8.0,7.7,7.75,7.75,3104100
2020-10-15,7.75,7.9,7.3,7.6,7.6,2831500
2020-10-16,7.55,7.6,7.15,7.3,7.3,3770800
2020-10-19,7.2,7.2,6.85,6.85,6.85,4317300
2020-10-20,6.8,7.1,6.8,7.0,7.0,1631200
2020-10-21,7.15,7.3,7.0,7.25,7.25,2111300
2020-10-22,7.45,7.85,7.4,7.5,7.5,7758400
2020-10-26,7.45,7.7,7.35,7.45,7.45,1981700
2020-10-27,7.5,7.75,7.35,7.65,7.65,2607400
2020-10-28,7.75,7.8,7.55,7.65,7.65,1828500
2020-10-29,7.6,8.0,7.55,8.0,8.0,4636200
2020-10-30,8.1,8.45,7.9,8.1,8.1,10473700
2020-11-02,8.25,8.6,8.15,8.6,8.6,5786500
2020-11-03,8.6,8.65,8.4,8.45,8.45,2726700
2020-11-04,8.45,8.65,8.35,8.45,8.45,2797100
2020-11-05,8.5,8.55,8.3,8.4,8.4,1714400
2020-11-06,8.45,8.75,8.05,8.2,8.2,4622700
2020-11-09,8.25,8.3,7.65,7.8,7.8,2534400
2020-11-10,7.6,7.6,7.0,7.1,7.1,4663600
2020-11-11,7.6,7.85,7.6,7.65,7.65,4568300
2020-11-12,7.55,7.75,7.55,7.75,7.75,2055300
2020-11-13,7.8,7.9,7.25,7.35,7.35,4283700
2020-11-16,7.4,7.4,7.25,7.3,7.3,1178000
2020-11-17,7.25,7.35,6.85,6.9,6.9,4477400
2020-11-18,6.9,7.1,6.9,7.1,7.1,1394400
2020-11-19,7.1,7.2,7.05,7.2,7.2,993000
2020-11-20,7.2,7.2,7.05,7.1,7.1,1157400
2020-11-23,7.1,7.2,7.0,7.05,7.05,989900
2020-11-24,7.15,7.6,7.15,7.6,7.6,5957200
2020-11-25,7.65,7.7,7.3,7.35,7.35,3398600
2020-11-26,7.3,7.45,7.25,7.35,7.35,1342900
2020-11-27,7.4,7.4,7.05,7.15,7.15,2624800
2020-11-30,7.15,7.15,6.95,6.95,6.95,2447300
2020-12-01,7.0,7.35,6.95,7.15,7.15,5539800
2020-12-02,7.1,7.25,7.05,7.1,7.1,2030600
2020-12-03,7.15,7.15,7.05,7.1,7.1,687600
2020-12-04,7.1,7.2,7.0,7.05,7.05,1587000
2020-12-08,7.1,7.25,7.05,7.15,7.15,2762800
2020-12-09,7.15,7.35,7.15,7.25,7.25,2283900
2020-12-14,7.25,7.4,7.25,7.3,7.3,1006000
2020-12-15,7.35,7.45,7.35,7.45,7.45,2181200
2020-12-16,7.55,7.55,7.35,7.4,7.4,1199400
2020-12-17,7.4,7.45,7.3,7.35,7.35,771700
2020-12-18,7.35,7.4,7.1,7.15,7.15,982000
2020-12-21,7.0,7.35,6.9,6.9,6.9,2205800
2020-12-22,6.85,7.25,6.85,7.05,7.05,1112000
2020-12-23,7.0,7.2,6.95,7.0,7.0,2125900
2020-12-24,7.0,7.1,7.0,7.0,7.0,1035200
2020-12-25,7.05,7.1,6.9,7.1,7.1,2350100
2020-12-28,7.0,7.1,6.95,7.05,7.05,1425200
2020-12-29,7.05,7.25,7.05,7.1,7.1,534400
2020-12-30,7.1,7.1,6.95,6.95,6.95,464500
2021-01-04,6.9,7.15,6.9,7.05,7.05,516400
2021-01-05,7.1,7.2,7.05,7.1,7.1,623300
2021-01-06,7.1,7.35,7.1,7.15,7.15,2822200
2021-01-07,7.2,7.45,7.15,7.35,7.35,3043000
2021-01-08,7.4,7.45,7.15,7.2,7.2,1962500
2021-01-11,7.15,7.3,7.1,7.2,7.2,1119700
2021-01-12,7.1,7.2,7.1,7.15,7.15,755400
2021-01-13,7.2,7.35,7.1,7.25,7.25,2705800
2021-01-14,7.25,7.25,7.15,7.15,7.15,1042900
2021-01-15,7.1,7.15,7.05,7.1,7.1,1011000
2021-01-18,7.05,7.1,6.95,7.1,7.1,1726500
2021-01-19,7.1,7.15,7.0,7.05,7.05,923200
2021-01-20,7.1,7.2,7.0,7.2,7.2,1909800
2021-01-21,7.2,7.25,7.05,7.1,7.1,762400
2021-01-22,7.15,7.15,7.0,7.0,7.0,899600
2021-01-25,7.0,7.15,7.0,7.15,7.15,405900
2021-01-26,7.15,7.15,7.05,7.15,7.15,471800
2021-01-27,7.15,7.15,7.0,7.1,7.1,620300
2021-01-28,7.05,7.1,6.9,7.0,7.0,1652900
2021-01-29,6.95,7.05,6.9,6.95,6.95,1169600
2021-02-01,6.9,7.0,6.85,7.0,7.0,765600
2021-02-02,7.0,7.0,6.9,6.95,6.95,284800
2021-02-03,6.95,7.05,6.95,7.0,7.0,644100
2021-02-04,7.05,7.05,6.95,7.05,7.05,283600
2021-02-05,7.05,7.05,6.9,7.05,7.05,1171100
2021-02-08,7.05,7.05,6.95,7.0,7.0,694000
2021-02-09,7.0,7.4,7.0,7.4,7.4,4051100
2021-02-10,7.5,7.5,7.35,7.4,7.4,2465800
2021-02-11,7.45,7.5,7.25,7.35,7.35,1248200
2021-02-15,7.4,7.4,7.2,7.3,7.3,549800
2021-02-16,7.25,7.5,7.15,7.5,7.5,1624700
2021-02-17,6.55,6.95,6.4,6.6,6.6,20138300
2021-02-18,6.9,6.95,6.75,6.9,6.9,5715300
2021-02-19,6.9,7.1,6.85,7.0,7.0,3170700
2021-02-22,7.0,7.0,6.8,6.8,6.8,3134400
2021-02-23,6.75,6.9,6.75,6.9,6.9,1165700
2021-02-24,6.9,6.9,6.8,6.85,6.85,1413900
2021-02-25,6.85,6.9,6.8,6.85,6.85,1279600
2021-03-01,6.8,6.95,6.75,6.9,6.9,1825400
2021-03-02,6.9,7.1,6.9,6.9,6.9,2879000
2021-03-03,6.95,7.05,6.9,6.95,6.95,1040000
2021-03-04,6.95,7.0,6.9,7.0,7.0,1098600
