Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,12.1,12.3,12.0,12.2,12.2,633600
2020-09-24,12.1,12.2,11.9,12.0,12.0,672200
2020-09-25,12.0,12.2,11.9,12.2,12.2,888200
2020-09-28,12.2,12.8,12.2,12.6,12.6,1079300
2020-09-29,12.8,12.8,12.3,12.4,12.4,809400
2020-09-30,12.5,12.7,12.1,12.1,12.1,3209700
2020-10-01,12.4,12.4,12.1,12.2,12.2,1420900
2020-10-02,12.2,12.3,12.1,12.1,12.1,568200
2020-10-05,12.2,12.3,12.0,12.0,12.0,871500
2020-10-06,12.1,12.1,11.7,11.7,11.7,2496200
2020-10-07,11.9,12.1,11.8,12.1,12.1,1562400
2020-10-08,12.2,12.6,12.1,12.2,12.2,3667800
2020-10-09,12.3,12.3,11.8,12.0,12.0,1452000
2020-10-12,12.0,12.0,11.6,11.6,11.6,2328300
2020-10-14,11.6,11.8,11.4,11.7,11.7,1902800
2020-10-15,11.6,11.7,11.4,11.6,11.6,1092600
2020-10-16,11.6,11.7,11.3,11.5,11.5,1214100
2020-10-19,11.4,11.4,10.7,10.8,10.8,4427000
2020-10-20,10.8,11.2,10.8,11.2,11.2,1137200
2020-10-21,10.8,11.0,10.8,10.8,10.8,565200
2020-10-22,11.0,11.4,10.9,11.4,11.4,5888900
2020-10-26,11.4,11.4,11.0,11.0,11.0,1944400
2020-10-27,11.0,11.2,10.9,11.2,11.2,568600
2020-10-28,11.2,11.4,11.0,11.0,11.0,1065400
2020-10-29,11.0,11.1,10.8,11.0,11.0,849000
2020-10-30,11.0,11.2,10.8,10.8,10.8,1532700
2020-11-02,10.8,11.1,10.7,11.0,11.0,1428900
2020-11-03,11.1,11.2,11.0,11.2,11.2,544100
2020-11-04,11.2,11.4,11.0,11.1,11.1,747900
2020-11-05,11.2,11.6,11.2,11.6,11.6,1651600
2020-11-06,11.6,11.6,11.2,11.3,11.3,1076200
2020-11-09,11.4,11.8,11.2,11.4,11.4,3912900
2020-11-10,12.1,12.5,11.4,12.0,12.0,16650800
2020-11-11,12.2,12.3,11.8,11.9,11.9,6461100
2020-11-12,11.9,11.9,11.7,11.8,11.8,2415100
2020-11-13,11.8,12.1,11.7,11.8,11.8,2899100
2020-11-16,11.9,12.2,11.8,12.0,12.0,4580400
2020-11-17,12.1,12.3,11.7,11.8,11.8,6621700
2020-11-18,11.7,11.9,11.5,11.7,11.7,3926600
2020-11-19,11.7,12.0,11.5,12.0,12.0,4875200
2020-11-20,12.0,12.4,11.9,12.4,12.4,7301400
2020-11-23,12.4,13.4,12.4,13.2,13.2,14515600
2020-11-24,13.2,13.4,12.9,13.2,13.2,7330300
2020-11-25,13.3,13.5,12.8,13.4,13.4,7371700
2020-11-26,13.3,13.7,13.2,13.7,13.7,6553500
2020-11-27,13.7,14.0,13.6,13.7,13.7,4460000
2020-11-30,13.7,13.8,13.2,13.2,13.2,6022600
2020-12-01,13.3,13.6,13.2,13.5,13.5,5284200
2020-12-02,13.4,13.5,13.2,13.5,13.5,5540500
2020-12-03,13.5,13.8,13.4,13.7,13.7,7169300
2020-12-04,13.7,13.7,13.4,13.4,13.4,2484900
2020-12-08,13.4,14.1,13.3,13.9,13.9,12482400
2020-12-09,13.9,14.2,13.7,13.8,13.8,6848000
2020-12-14,13.8,14.5,13.8,14.1,14.1,10308500
2020-12-15,14.2,14.4,13.9,14.1,14.1,5757200
2020-12-16,14.5,14.6,14.1,14.1,14.1,16962400
2020-12-17,14.3,14.7,14.3,14.4,14.4,10135100
2020-12-18,14.4,14.7,14.3,14.5,14.5,9771000
2020-12-21,13.5,13.8,12.8,13.1,13.1,16001000
2020-12-22,13.0,13.2,12.6,13.2,13.2,6328500
2020-12-23,13.2,13.3,12.9,13.2,13.2,3914300
2020-12-24,13.1,13.4,12.9,13.4,13.4,2429900
2020-12-25,13.3,13.5,13.0,13.0,13.0,4333000
2020-12-28,13.0,13.1,12.8,12.9,12.9,3222600
2020-12-29,12.9,12.9,12.6,12.8,12.8,4292800
2020-12-30,12.9,12.9,12.3,12.6,12.6,5839700
2021-01-04,12.4,12.8,12.0,12.8,12.8,3567600
2021-01-05,12.6,12.9,12.6,12.9,12.9,2467100
2021-01-06,12.9,13.4,12.8,13.3,13.3,3691100
2021-01-07,13.3,13.4,13.0,13.2,13.2,2372900
2021-01-08,13.2,13.2,12.9,13.0,13.0,1970000
2021-01-11,13.0,13.1,12.6,12.7,12.7,4553400
2021-01-12,12.7,13.0,12.6,13.0,13.0,1291600
2021-01-13,13.0,13.1,12.8,13.1,13.1,1800600
2021-01-14,13.1,13.1,12.8,13.1,13.1,2301600
2021-01-15,13.0,13.0,12.8,13.0,13.0,1881200
2021-01-18,12.9,13.0,12.7,12.9,12.9,2473800
2021-01-19,12.9,13.0,12.7,13.0,13.0,3512700
2021-01-20,13.0,13.0,12.7,12.8,12.8,2779100
2021-01-21,12.8,13.4,12.8,13.3,13.3,7589700
2021-01-22,13.3,13.3,13.0,13.1,13.1,1851700
2021-01-25,13.2,13.2,12.7,12.9,12.9,2094500
2021-01-26,12.9,12.9,12.7,12.8,12.8,1974100
2021-01-27,12.8,12.8,12.6,12.6,12.6,3009800
2021-01-28,12.5,12.6,12.3,12.4,12.4,3136200
2021-01-29,12.4,12.5,12.0,12.1,12.1,4542500
2021-02-01,12.3,12.6,12.2,12.6,12.6,3139400
2021-02-02,12.5,12.6,12.2,12.4,12.4,2597400
2021-02-03,12.4,12.8,12.4,12.5,12.5,2687400
2021-02-04,12.5,12.6,12.3,12.6,12.6,1263700
2021-02-05,12.6,12.8,12.5,12.8,12.8,2742600
2021-02-08,12.9,13.2,12.9,13.1,13.1,3947300
2021-02-09,13.4,13.6,13.2,13.5,13.5,8519300
2021-02-10,13.5,13.5,13.3,13.4,13.4,2450100
2021-02-11,13.4,13.4,13.2,13.4,13.4,1457800
2021-02-15,13.4,13.4,13.0,13.1,13.1,2659600
2021-02-16,13.0,13.3,13.0,13.1,13.1,1016400
2021-02-17,13.0,13.3,13.0,13.3,13.3,1313300
2021-02-18,13.3,13.4,13.1,13.2,13.2,1751800
2021-02-19,13.3,13.3,13.1,13.3,13.3,2388300
2021-02-22,13.2,13.4,12.9,13.3,13.3,4265700
2021-02-23,13.3,14.0,13.1,14.0,14.0,13257200
2021-02-24,14.3,14.5,13.9,14.1,14.1,10638900
2021-02-25,14.1,14.2,13.8,14.0,14.0,2946500
2021-03-01,13.8,14.4,13.5,14.3,14.3,4880000
2021-03-02,14.3,14.3,14.0,14.1,14.1,3142000
2021-03-03,14.1,14.4,14.1,14.3,14.3,4217900
2021-03-04,14.1,15.0,13.9,14.9,14.9,14241900
2021-03-05,14.8,15.1,14.5,14.6,14.6,7433200
2021-03-08,14.8,15.3,14.7,15.2,15.2,9454900
2021-03-09,15.5,15.6,15.1,15.6,15.6,8491400
2021-03-10,15.6,15.8,15.4,15.8,15.8,5219600
2021-03-11,15.8,15.8,15.3,15.6,15.6,4403500
2021-03-12,15.5,15.5,14.9,15.3,15.3,4820200
2021-03-15,15.2,15.3,15.0,15.2,15.2,2831100
2021-03-16,15.1,15.6,15.1,15.6,15.6,3644400
2021-03-17,15.6,15.6,15.0,15.1,15.1,5073200
2021-03-18,15.3,15.3,14.9,15.1,15.1,4345600
2021-03-19,15.0,15.2,14.7,15.0,15.0,5214300
2021-03-22,15.0,15.2,15.0,15.2,15.2,3444500
2021-03-23,15.2,15.2,14.9,15.0,15.0,2488700
2021-03-24,14.7,14.8,14.6,14.7,14.7,1987300
2021-03-25,14.7,14.8,14.6,14.8,14.8,1230800
2021-03-26,14.8,14.8,14.4,14.6,14.6,3410500
2021-03-29,14.7,14.8,14.4,14.7,14.7,3361600
2021-03-30,14.7,15.1,14.6,15.0,15.0,7172600
2021-03-31,15.2,15.6,15.1,15.3,15.3,10875000
2021-04-01,15.4,15.4,15.0,15.1,15.1,3358100
2021-04-02,15.1,15.2,15.0,15.0,15.0,1020000
2021-04-05,15.0,15.0,14.5,14.7,14.7,2780400
2021-04-07,14.3,14.4,13.8,14.0,14.0,5929800
2021-04-08,13.9,14.1,13.7,14.0,14.0,2416000
2021-04-09,14.1,14.1,13.8,14.0,14.0,1061000
2021-04-12,13.8,13.8,13.4,13.7,13.7,2472300
2021-04-16,13.6,13.7,13.3,13.6,13.6,2349100
2021-04-19,13.6,13.9,13.6,13.9,13.9,2375200
2021-04-20,14.0,14.1,13.7,13.9,13.9,1419100
2021-04-21,13.8,14.0,13.7,14.0,14.0,941600
2021-04-22,14.0,14.1,13.8,13.8,13.8,828900
2021-04-23,13.6,13.8,13.5,13.7,13.7,1676100
2021-04-26,13.5,13.9,13.5,13.8,13.8,1062600
2021-04-27,13.8,14.0,13.8,13.8,13.8,515200
2021-04-28,13.8,13.9,13.6,13.8,13.8,1214800
2021-04-29,13.9,14.1,13.8,13.9,13.9,3720800
2021-04-30,13.8,14.0,13.8,13.8,13.8,1464800
2021-05-05,13.9,13.9,13.3,13.3,13.3,3168800
2021-05-06,13.3,13.7,13.3,13.5,13.5,2780000
2021-05-07,13.6,13.7,13.4,13.5,13.5,1451400
2021-05-10,13.6,13.6,13.4,13.4,13.4,1345700
2021-05-11,13.4,13.5,13.1,13.3,13.3,2302600
2021-05-12,13.3,13.4,13.0,13.1,13.1,1612800
2021-05-13,13.0,13.1,12.7,13.0,13.0,3134700
2021-05-14,13.0,13.1,12.8,12.9,12.9,1370300
2021-05-17,12.9,13.1,12.7,12.9,12.9,865500
2021-05-18,13.1,13.6,13.0,13.6,13.6,2522600
2021-05-19,13.6,13.6,13.2,13.3,13.3,879400
2021-05-20,13.4,13.6,13.4,13.4,13.4,1086000
2021-05-21,13.5,13.5,13.2,13.2,13.2,921600
2021-05-24,13.2,13.3,13.1,13.1,13.1,700300
2021-05-25,13.1,13.3,13.1,13.1,13.1,946200
2021-05-27,13.1,13.8,13.1,13.6,13.6,5320300
2021-05-28,13.6,13.9,13.5,13.6,13.6,2784400
