Date,Open,High,Low,Close,Adj Close,Volume
2020-09-30,2.65,2.65,2.65,2.65,2.65,0
2020-10-01,3.78,5.55,3.74,5.45,5.45,839971000
2020-10-02,5.5,5.75,4.84,4.86,4.86,259465300
2020-10-05,4.94,5.2,4.88,4.94,4.94,75215500
2020-10-06,5.05,5.2,4.58,4.66,4.66,64241600
2020-10-07,4.76,4.76,4.22,4.44,4.44,39041400
2020-10-08,4.36,4.6,4.26,4.28,4.28,36568400
2020-10-09,4.26,4.36,3.94,4.02,4.02,24082700
2020-10-12,4.08,4.22,3.98,4.08,4.08,30972600
2020-10-14,4.06,4.08,3.94,3.98,3.98,13994100
2020-10-15,4.02,4.32,4.0,4.18,4.18,81454900
2020-10-16,4.22,4.34,4.04,4.08,4.08,43002200
2020-10-19,4.0,4.2,3.96,4.1,4.1,17118300
2020-10-20,4.12,4.8,4.12,4.74,4.74,97811600
2020-10-21,4.66,4.88,4.62,4.68,4.68,73026700
2020-10-22,4.64,5.0,4.6,4.62,4.62,83270400
2020-10-26,4.68,4.82,4.46,4.56,4.56,28930800
2020-10-27,4.6,4.68,4.48,4.58,4.58,23064300
2020-10-28,4.62,4.64,4.52,4.56,4.56,11557800
2020-10-29,4.56,4.56,4.44,4.44,4.44,6110400
2020-10-30,4.48,4.68,4.46,4.66,4.66,28790100
2020-11-02,4.68,5.0,4.68,4.96,4.96,63911700
2020-11-03,4.98,5.1,4.8,4.8,4.8,38844800
2020-11-04,4.86,4.92,4.74,4.76,4.76,16475400
2020-11-05,4.82,4.96,4.8,4.86,4.86,20603300
2020-11-06,4.9,4.94,4.72,4.76,4.76,17743100
2020-11-09,4.8,4.88,4.72,4.8,4.8,16072800
2020-11-10,4.84,4.84,4.46,4.46,4.46,17919500
2020-11-11,4.5,4.56,4.48,4.52,4.52,5588500
2020-11-12,4.52,4.74,4.5,4.66,4.66,13480700
2020-11-13,4.7,4.82,4.66,4.74,4.74,10706900
2020-11-16,4.54,4.74,4.54,4.6,4.6,10855100
