Date,Open,High,Low,Close,Adj Close,Volume
2022-06-06,8.3,8.35,8.3,8.3,8.3,89708
2022-06-07,8.1,8.2,8.1,8.2,8.2,51903
2022-06-08,8.15,8.2,8.1,8.2,8.2,188528
2022-06-09,8.15,8.2,8.1,8.15,8.15,109800
2022-06-10,8.1,8.1,8.05,8.1,8.1,225200
2022-06-13,8.0,8.05,8.0,8.05,8.05,183600
2022-06-14,8.0,8.0,7.9,7.95,7.95,402230
2022-06-15,7.9,7.9,7.85,7.9,7.9,274200
2022-06-16,7.8,8.1,7.8,7.85,7.85,153125
2022-06-17,7.85,7.85,7.7,7.7,7.7,115024
2022-06-20,7.7,7.75,7.5,7.65,7.65,194000
2022-06-21,7.75,7.9,7.5,7.9,7.9,384300
2022-06-22,7.85,7.85,7.7,7.85,7.85,29600
2022-06-23,7.8,7.8,7.65,7.8,7.8,66600
2022-06-24,7.8,7.95,7.75,7.95,7.95,301800
2022-06-27,7.75,7.95,7.75,7.95,7.95,79300
2022-06-28,7.9,8.05,7.9,8.05,8.05,130900
2022-06-30,8.05,8.05,7.9,7.9,7.9,3064
2022-07-01,7.9,7.9,7.8,7.8,7.8,16800
2022-07-04,7.9,7.9,7.8,7.8,7.8,16600
2022-07-05,7.8,7.8,7.45,7.75,7.75,133000
2022-07-06,7.7,7.7,7.65,7.7,7.7,13900
2022-07-07,7.65,7.65,7.55,7.65,7.65,31201
2022-07-08,7.65,7.7,7.55,7.7,7.7,22600
2022-07-11,7.65,7.7,7.6,7.7,7.7,64200
2022-07-12,7.7,7.7,7.7,7.7,7.7,10800
2022-07-14,7.7,7.7,7.65,7.65,7.65,15300
2022-07-15,7.6,7.6,7.55,7.6,7.6,3200
2022-07-18,7.5,7.55,7.4,7.45,7.45,27660
2022-07-19,7.45,7.5,7.4,7.5,7.5,14401
2022-07-20,7.5,7.85,7.45,7.85,7.85,20000
2022-07-21,7.6,7.75,7.55,7.75,7.75,14500
2022-07-22,7.55,7.7,7.55,7.55,7.55,26800
