Date,Open,High,Low,Close,Adj Close,Volume
2019-05-21,3.38,3.38,3.34,3.34,3.34,6700
2019-05-22,3.36,3.36,3.36,3.36,3.36,7100
2019-05-27,3.36,3.38,3.36,3.38,3.38,2200
2019-05-28,3.32,3.32,3.32,3.32,3.32,10000
2019-05-29,3.4,3.4,3.3,3.3,3.3,20000
2019-05-30,3.32,3.32,3.32,3.32,3.32,6000
2019-05-31,3.32,3.32,3.32,3.32,3.32,2700
2019-06-05,3.32,3.32,3.32,3.32,3.32,9500
2019-06-07,3.32,3.32,3.32,3.32,3.32,17700
2019-06-10,3.3,3.3,3.3,3.3,3.3,6500
2019-06-11,3.32,3.32,3.3,3.3,3.3,21700
2019-06-12,3.3,3.3,3.3,3.3,3.3,3200
2019-06-14,3.32,3.32,3.32,3.32,3.32,21400
2019-06-20,3.34,3.38,3.34,3.38,3.38,15000
2019-06-21,3.36,3.4,3.36,3.38,3.38,21200
2019-06-24,3.38,3.42,3.36,3.4,3.4,20700
2019-06-25,3.38,3.4,3.34,3.36,3.36,78100
2019-06-26,3.4,3.4,3.4,3.4,3.4,7500
2019-06-27,3.38,3.38,3.38,3.38,3.38,27500
2019-07-01,3.36,3.36,3.34,3.34,3.34,42000
2019-07-02,3.36,3.36,3.36,3.36,3.36,50000
2019-07-04,3.4,3.4,3.36,3.36,3.36,19100
2019-07-05,3.34,3.38,3.32,3.38,3.38,2500
2019-07-09,3.42,3.56,3.42,3.44,3.44,323700
2019-07-10,3.44,3.46,3.42,3.44,3.44,836400
2019-07-11,3.44,3.44,3.42,3.42,3.42,84400
2019-07-12,3.42,3.42,3.42,3.42,3.42,242000
2019-07-15,3.42,3.42,3.4,3.42,3.42,108300
2019-07-18,3.38,3.4,3.38,3.38,3.38,128400
2019-07-19,3.38,3.38,3.38,3.38,3.38,44100
2019-07-22,3.36,3.38,3.36,3.38,3.38,19000
2019-07-23,3.38,3.38,3.36,3.36,3.36,316400
2019-07-24,3.38,3.42,3.38,3.4,3.4,13200
2019-07-25,3.42,3.42,3.42,3.42,3.42,100
2019-07-26,3.42,3.44,3.42,3.44,3.44,300
2019-07-31,3.38,3.42,3.38,3.42,3.42,200
2019-08-01,3.48,3.48,3.48,3.48,3.48,100
2019-08-09,3.38,3.46,3.38,3.46,3.46,200
2019-08-13,3.42,3.42,3.4,3.4,3.4,25100
2019-08-14,3.46,3.46,3.46,3.46,3.46,100
2019-08-16,3.56,3.58,3.52,3.56,3.56,195500
2019-08-19,3.56,3.56,3.54,3.56,3.56,8800
2019-08-20,3.54,3.7,3.52,3.52,3.52,93000
2019-08-21,3.56,3.6,3.54,3.6,3.6,4400
2019-08-22,3.58,3.58,3.5,3.58,3.58,66400
2019-08-23,3.58,3.58,3.56,3.58,3.58,27600
2019-08-26,3.56,3.58,3.54,3.58,3.58,400
2019-08-27,3.62,3.62,3.5,3.54,3.54,173500
2019-08-28,3.16,3.16,3.0,3.06,3.06,88300
2019-08-29,3.08,3.08,3.04,3.06,3.06,4700
2019-08-30,3.06,3.06,3.06,3.06,3.06,3600
2019-09-02,3.06,3.06,3.0,3.02,3.02,25800
2019-09-03,3.04,3.06,3.04,3.04,3.04,800
2019-09-04,3.02,3.14,2.94,3.04,3.04,25500
2019-09-05,3.02,3.06,3.02,3.06,3.06,1400
2019-09-06,3.04,3.06,3.04,3.06,3.06,3500
2019-09-09,3.02,3.04,3.02,3.02,3.02,15200
2019-09-10,3.02,3.04,3.02,3.04,3.04,4600
2019-09-13,3.06,3.06,3.06,3.06,3.06,400
2019-09-17,3.06,3.06,3.04,3.06,3.06,14300
2019-09-18,3.06,3.06,3.02,3.06,3.06,18000
2019-09-19,3.04,3.04,3.04,3.04,3.04,500
2019-09-20,3.04,3.08,3.04,3.06,3.06,7800
2019-09-23,3.06,3.06,3.06,3.06,3.06,2000
2019-09-25,3.04,3.04,3.04,3.04,3.04,3000
2019-09-26,3.08,3.1,3.08,3.1,3.1,11600
2019-10-01,3.1,3.1,3.08,3.08,3.08,36500
2019-10-02,3.08,3.08,3.08,3.08,3.08,12000
2019-10-04,3.12,3.12,3.12,3.12,3.12,2100
2019-10-07,3.1,3.1,3.1,3.1,3.1,100
2019-10-09,3.08,3.08,3.08,3.08,3.08,1000
