Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,0.81,0.83,0.81,0.82,0.82,25783300.0
2020-09-24,0.83,0.86,0.81,0.81,0.81,62951400.0
2020-09-25,0.83,0.83,0.8,0.8,0.8,30297000.0
2020-09-28,0.81,0.82,0.79,0.8,0.8,24800500.0
2020-09-29,0.81,0.81,0.78,0.78,0.78,15516300.0
2020-09-30,0.78,0.79,0.73,0.74,0.74,59448700.0
2020-10-01,0.75,0.75,0.68,0.7,0.7,63749700.0
2020-10-02,0.69,0.84,0.69,0.81,0.81,133404100.0
2020-10-05,0.81,0.87,0.81,0.86,0.86,116796600.0
2020-10-06,0.88,0.91,0.83,0.86,0.86,174347200.0
2020-10-07,0.86,0.88,0.84,0.85,0.85,55365000.0
2020-10-08,0.85,0.87,0.81,0.85,0.85,82334400.0
2020-10-09,0.85,0.86,0.82,0.83,0.83,32743800.0
2020-10-12,0.84,0.86,0.83,0.83,0.83,34105400.0
2020-10-14,0.83,0.84,0.8,0.82,0.82,25392400.0
2020-10-15,0.81,0.88,0.81,0.82,0.82,72967500.0
2020-10-16,0.83,0.83,0.79,0.82,0.82,30059200.0
2020-10-19,0.81,0.81,0.78,0.78,0.78,29563800.0
2020-10-20,0.78,0.8,0.76,0.76,0.76,18159700.0
2020-10-21,0.77,0.79,0.73,0.74,0.74,33198300.0
2020-10-22,0.74,0.78,0.72,0.78,0.78,55916100.0
2020-10-26,0.8,0.83,0.79,0.83,0.83,94078400.0
2020-10-27,0.83,0.83,0.8,0.83,0.83,38756800.0
2020-10-28,0.83,0.86,0.82,0.84,0.84,54894400.0
2020-10-29,0.83,0.84,0.81,0.81,0.81,23182300.0
2020-10-30,0.81,0.82,0.78,0.8,0.8,25016700.0
2020-11-02,0.81,0.82,0.8,0.8,0.8,8858000.0
2020-11-03,0.8,0.82,0.79,0.82,0.82,19655400.0
2020-11-04,0.82,0.82,0.79,0.8,0.8,15282400.0
2020-11-05,0.81,0.84,0.79,0.83,0.83,59405900.0
2020-11-06,0.83,0.84,0.81,0.81,0.81,15097000.0
2020-11-09,0.81,0.83,0.8,0.81,0.81,24551800.0
2020-11-10,0.82,0.83,0.8,0.8,0.8,28017400.0
2020-11-11,0.8,0.88,0.8,0.82,0.82,274165000.0
2020-11-12,0.82,0.83,0.81,0.82,0.82,31497400.0
2020-11-13,0.82,0.83,0.81,0.81,0.81,19913900.0
2020-11-16,0.81,0.83,0.8,0.81,0.81,24387500.0
2020-11-17,0.81,0.81,0.79,0.79,0.79,80204300.0
2020-11-18,0.79,0.82,0.78,0.81,0.81,57032500.0
2020-11-19,0.81,0.83,0.81,0.81,0.81,26600400.0
2020-11-20,0.82,0.84,0.8,0.8,0.8,42984100.0
2020-11-23,0.8,0.82,0.79,0.8,0.8,38161900.0
2020-11-24,0.8,0.81,0.79,0.79,0.79,17617600.0
2020-11-25,0.79,0.81,0.79,0.79,0.79,18286900.0
2020-11-26,0.79,0.81,0.79,0.79,0.79,19927900.0
2020-11-27,0.79,0.79,0.77,0.77,0.77,36763300.0
2020-11-30,0.78,0.81,0.76,0.77,0.77,44293500.0
2020-12-01,0.77,0.78,0.76,0.76,0.76,21330000.0
2020-12-02,0.76,0.79,0.76,0.76,0.76,25242500.0
2020-12-03,0.76,0.78,0.76,0.78,0.78,13635200.0
2020-12-04,0.77,0.78,0.76,0.77,0.77,10554400.0
2020-12-08,0.76,0.77,0.74,0.75,0.75,35427500.0
2020-12-09,0.74,0.75,0.73,0.73,0.73,19845000.0
2020-12-14,0.72,0.74,0.71,0.71,0.71,23553000.0
2020-12-15,0.71,0.76,0.71,0.74,0.74,42247600.0
2020-12-16,0.74,0.76,0.73,0.74,0.74,28611200.0
2020-12-17,0.74,0.75,0.73,0.73,0.73,11688600.0
2020-12-18,0.73,0.76,0.73,0.74,0.74,32879100.0
2020-12-21,0.72,0.76,0.71,0.75,0.75,34425800.0
2020-12-22,0.74,0.81,0.73,0.81,0.81,72021800.0
2020-12-23,0.81,0.82,0.78,0.81,0.81,84445800.0
2020-12-24,0.82,0.86,0.79,0.85,0.85,121175900.0
2020-12-25,0.85,0.92,0.85,0.92,0.92,185161700.0
2020-12-28,0.94,0.97,0.87,0.89,0.89,363841000.0
2020-12-29,0.89,0.92,0.89,0.89,0.89,43760500.0
2020-12-30,0.89,0.9,0.84,0.84,0.84,87783100.0
2021-01-04,0.84,0.84,0.81,0.82,0.82,39018000.0
2021-01-05,0.82,0.84,0.81,0.82,0.82,19589900.0
2021-01-06,0.82,0.83,0.81,0.82,0.82,15610800.0
2021-01-07,0.81,0.86,0.81,0.84,0.84,56742800.0
2021-01-08,0.84,0.88,0.84,0.86,0.86,84742500.0
2021-01-11,0.86,0.86,0.84,0.84,0.84,31990300.0
2021-01-12,0.84,0.86,0.84,0.84,0.84,19186900.0
2021-01-13,0.84,0.86,0.84,0.85,0.85,16434100.0
2021-01-14,0.84,0.85,0.83,0.83,0.83,21970300.0
2021-01-15,0.83,0.87,0.83,0.86,0.86,111621300.0
2021-01-18,0.86,0.87,0.84,0.84,0.84,53955000.0
2021-01-19,0.85,0.87,0.85,0.85,0.85,36920400.0
2021-01-20,0.86,0.86,0.84,0.84,0.84,21781100.0
2021-01-21,0.84,0.86,0.84,0.84,0.84,19756700.0
2021-01-22,0.84,0.84,0.83,0.83,0.83,15228400.0
2021-01-25,0.83,0.84,0.82,0.83,0.83,14544300.0
2021-01-26,0.83,0.84,0.82,0.83,0.83,14355100.0
2021-01-27,0.83,0.84,0.82,0.83,0.83,12627600.0
2021-01-28,0.82,0.83,0.8,0.83,0.83,35277000.0
2021-01-29,0.83,0.83,0.81,0.83,0.83,13518000.0
2021-02-01,0.82,0.82,0.81,0.82,0.82,17779100.0
2021-02-02,0.82,0.86,0.81,0.86,0.86,58734300.0
2021-02-03,0.86,0.88,0.83,0.83,0.83,38529000.0
2021-02-04,0.83,0.85,0.82,0.83,0.83,18245000.0
2021-02-05,0.83,0.84,0.81,0.82,0.82,24493300.0
2021-02-08,0.82,0.83,0.8,0.8,0.8,25939100.0
2021-02-09,0.8,0.84,0.8,0.83,0.83,40624300.0
2021-02-10,0.83,0.83,0.82,0.83,0.83,18171300.0
2021-02-11,0.82,0.84,0.82,0.83,0.83,8242900.0
2021-02-15,0.83,0.84,0.82,0.82,0.82,13555700.0
2021-02-16,0.82,0.83,0.82,0.82,0.82,35414400.0
2021-02-17,0.82,0.86,0.82,0.85,0.85,107025000.0
2021-02-18,0.85,0.86,0.84,0.84,0.84,81642300.0
2021-02-19,0.84,0.86,0.83,0.84,0.84,25294400.0
2021-02-22,0.84,0.85,0.82,0.83,0.83,13767100.0
2021-02-23,0.83,0.84,0.82,0.84,0.84,9774200.0
2021-02-24,0.84,0.84,0.82,0.83,0.83,11998900.0
2021-02-25,0.82,0.93,0.82,0.89,0.89,198810500.0
2021-03-01,0.92,0.92,0.87,0.9,0.9,95234000.0
2021-03-02,0.9,0.91,0.89,0.9,0.9,32507600.0
2021-03-03,0.89,0.92,0.89,0.92,0.92,34706500.0
2021-03-04,0.92,0.92,0.9,0.91,0.91,46559500.0
2021-03-05,0.91,0.95,0.9,0.95,0.95,58796600.0
2021-03-08,0.96,1.04,0.9,0.95,0.95,412321200.0
2021-03-09,0.94,0.98,0.94,0.98,0.98,65256700.0
2021-03-10,0.99,1.0,0.98,0.98,0.98,44361000.0
2021-03-11,0.99,1.02,0.98,0.98,0.98,72235500.0
2021-03-12,0.98,1.01,0.96,0.99,0.99,44790000.0
2021-03-15,1.0,1.02,0.99,1.01,1.01,43018800.0
2021-03-16,1.01,1.03,1.0,1.02,1.02,37406900.0
2021-03-17,1.01,1.03,1.01,1.02,1.02,16762300.0
2021-03-18,1.02,1.03,1.01,1.02,1.02,24215300.0
2021-03-19,1.02,1.06,1.01,1.02,1.02,96403900.0
2021-03-22,1.03,1.05,1.02,1.05,1.05,29969300.0
2021-03-23,1.06,1.1,1.05,1.09,1.09,103825300.0
2021-03-24,1.08,1.13,1.08,1.13,1.13,64175100.0
2021-03-25,1.13,1.18,1.12,1.16,1.16,117041000.0
2021-03-26,1.17,1.25,1.16,1.2,1.2,206000200.0
2021-03-29,1.21,1.26,1.21,1.25,1.25,102066400.0
2021-03-30,1.27,1.36,1.26,1.35,1.35,154845300.0
2021-03-31,1.37,1.47,1.25,1.3,1.3,446059400.0
2021-04-01,1.32,1.35,1.31,1.35,1.35,73338300.0
2021-04-02,1.37,1.41,1.36,1.41,1.41,129172300.0
2021-04-05,1.4,1.44,1.36,1.42,1.42,126344900.0
2021-04-07,1.42,1.44,1.39,1.4,1.4,87957500.0
2021-04-08,1.41,1.42,1.39,1.41,1.41,39278400.0
2021-04-09,1.41,1.45,1.36,1.4,1.4,170274500.0
2021-04-12,1.4,1.42,1.36,1.4,1.4,59538900.0
2021-04-16,1.39,1.41,1.37,1.41,1.41,32826500.0
2021-04-19,1.41,1.44,1.41,1.42,1.42,40729000.0
2021-04-20,1.43,1.49,1.43,1.45,1.45,128829800.0
2021-04-21,1.45,1.47,1.39,1.42,1.42,122185200.0
2021-04-22,1.42,1.43,1.41,1.42,1.42,22127300.0
2021-04-23,1.41,1.43,1.41,1.41,1.41,20591900.0
2021-04-26,1.4,1.42,1.39,1.41,1.41,30560500.0
2021-04-27,1.4,1.41,1.32,1.32,1.32,66271500.0
2021-04-28,1.32,1.37,1.32,1.35,1.35,47334300.0
2021-04-29,1.34,1.35,1.32,1.32,1.32,19738000.0
2021-04-30,1.32,1.33,1.26,1.28,1.28,60678300.0
2021-05-05,1.28,1.28,1.18,1.2,1.2,76195300.0
2021-05-06,1.2,1.31,1.2,1.3,1.3,54534400.0
2021-05-07,1.32,1.33,1.25,1.27,1.27,38273700.0
2021-05-10,1.26,1.28,1.23,1.25,1.25,21913800.0
2021-05-11,1.25,1.27,1.23,1.25,1.25,17721700.0
2021-05-12,1.25,1.25,1.22,1.25,1.25,11089900.0
2021-05-13,1.23,1.23,1.18,1.2,1.2,37231300.0
2021-05-14,1.21,1.25,1.19,1.25,1.25,25629600.0
2021-05-17,1.24,1.24,1.18,1.19,1.19,30069000.0
2021-05-18,1.2,1.22,1.2,1.22,1.22,8501100.0
2021-05-19,1.21,1.22,1.18,1.2,1.2,18504300.0
2021-05-20,1.19,1.2,1.1,1.1,1.1,44979800.0
2021-05-21,1.12,1.18,1.11,1.17,1.17,53023700.0
2021-05-24,1.17,1.17,1.14,1.15,1.15,21157700.0
2021-05-25,1.16,1.23,1.16,1.18,1.18,42217900.0
2021-05-27,1.18,1.23,1.18,1.22,1.22,48829700.0
2021-05-28,1.24,1.24,1.2,1.23,1.23,26499300.0
2021-05-31,1.23,1.24,1.2,1.22,1.22,20245200.0
2021-06-01,1.22,1.23,1.21,1.22,1.22,13934900.0
2021-06-02,1.22,1.29,1.22,1.27,1.27,50611400.0
2021-06-04,1.27,1.29,1.24,1.24,1.24,34966400.0
2021-06-07,1.26,1.26,1.2,1.2,1.2,41949800.0
2021-06-08,1.21,1.22,1.2,1.2,1.2,14090700.0
2021-06-09,1.2,1.21,1.19,1.19,1.19,10694300.0
2021-06-10,1.2,1.2,1.17,1.18,1.18,18209400.0
2021-06-11,1.19,1.23,1.19,1.22,1.22,25062700.0
2021-06-14,1.23,1.28,1.23,1.24,1.24,54527100.0
2021-06-15,1.25,1.26,1.22,1.22,1.22,25546200.0
2021-06-16,1.23,1.25,1.23,1.24,1.24,12411500.0
2021-06-17,1.24,1.36,1.24,1.35,1.35,216117800.0
2021-06-18,1.37,1.43,1.31,1.32,1.32,261207000.0
2021-06-21,1.29,1.33,1.29,1.31,1.31,31666000.0
2021-06-22,1.33,1.37,1.31,1.31,1.31,45170700.0
2021-06-23,1.33,1.33,1.26,1.26,1.26,33714100.0
2021-06-24,1.26,1.28,1.2,1.27,1.27,57365100.0
2021-06-25,1.27,1.29,1.24,1.27,1.27,25239000.0
2021-06-28,1.24,1.27,1.24,1.26,1.26,15506300.0
2021-06-29,1.26,1.3,1.25,1.26,1.26,27242700.0
2021-06-30,1.27,1.29,1.25,1.28,1.28,14306600.0
2021-07-01,1.29,1.29,1.25,1.27,1.27,11295900.0
2021-07-02,1.27,1.27,1.23,1.23,1.23,18559900.0
2021-07-05,1.23,1.24,1.21,1.22,1.22,12472800.0
2021-07-06,1.22,1.26,1.22,1.26,1.26,14946400.0
2021-07-07,1.26,1.26,1.23,1.24,1.24,12270900.0
2021-07-08,1.23,1.24,1.16,1.2,1.2,69438000.0
2021-07-09,1.18,1.26,1.17,1.24,1.24,42402700.0
2021-07-12,1.27,1.29,1.22,1.22,1.22,43730500.0
2021-07-13,1.23,1.24,1.21,1.23,1.23,23615400.0
2021-07-14,1.23,1.26,1.21,1.26,1.26,29290400.0
2021-07-15,1.26,1.26,1.22,1.24,1.24,35657200.0
2021-07-16,1.25,1.27,1.23,1.27,1.27,38439300.0
2021-07-19,1.25,1.27,1.23,1.27,1.27,53795400.0
2021-07-20,1.27,1.27,1.23,1.27,1.27,53378100.0
2021-07-21,1.27,1.36,1.26,1.35,1.35,346217300.0
2021-07-22,1.35,1.4,1.33,1.35,1.35,219172000.0
2021-07-23,1.4,1.51,1.38,1.44,1.44,847700800.0
2021-07-27,1.47,1.48,1.31,1.31,1.31,384846400.0
2021-07-29,1.3,1.35,1.22,1.28,1.28,298628600.0
