Date,Open,High,Low,Close,Adj Close,Volume
2020-09-11,1.15,1.17,1.14,1.17,1.17,83500
2020-09-14,1.14,1.16,1.14,1.14,1.14,25900
2020-09-15,1.16,1.16,1.12,1.15,1.15,33600
2020-09-16,1.15,1.16,1.15,1.15,1.15,19800
2020-09-18,1.15,1.15,1.12,1.15,1.15,54600
2020-09-21,1.11,1.15,1.1,1.14,1.14,14000
2020-09-22,1.14,1.18,1.13,1.13,1.13,191500
2020-09-23,1.14,1.15,1.11,1.14,1.14,171500
2020-09-24,1.14,1.17,1.12,1.14,1.14,159900
2020-09-25,1.13,1.14,1.09,1.14,1.14,320600
2020-09-28,1.11,1.14,1.08,1.13,1.13,112100
2020-09-29,1.14,1.14,1.13,1.14,1.14,12400
2020-09-30,1.14,1.21,1.14,1.18,1.18,390000
2020-10-01,1.17,1.25,1.15,1.25,1.25,622900
2020-10-02,1.25,1.38,1.14,1.17,1.17,2572600
2020-10-05,1.17,1.21,1.17,1.17,1.17,19700
2020-10-06,1.2,1.2,1.17,1.18,1.18,76000
2020-10-07,1.18,1.2,1.18,1.2,1.2,2800
2020-10-08,1.2,1.26,1.19,1.22,1.22,151800
2020-10-09,1.2,1.26,1.2,1.26,1.26,344800
2020-10-12,1.26,1.31,1.24,1.28,1.28,454700
2020-10-14,1.29,1.3,1.27,1.28,1.28,299500
2020-10-15,1.27,1.28,1.23,1.24,1.24,532200
2020-10-16,1.23,1.23,1.17,1.2,1.2,507300
2020-10-19,1.18,1.18,1.17,1.17,1.17,120500
2020-10-20,1.18,1.18,1.16,1.18,1.18,19300
2020-10-21,1.18,1.2,1.18,1.19,1.19,45100
2020-10-22,1.19,1.21,1.19,1.21,1.21,19200
2020-10-26,1.19,1.21,1.19,1.21,1.21,13000
2020-10-27,1.19,1.2,1.19,1.2,1.2,21500
2020-10-29,1.19,1.2,1.19,1.2,1.2,5300
2020-10-30,1.19,1.2,1.17,1.17,1.17,58500
2020-11-02,1.17,1.17,1.17,1.17,1.17,13500
2020-11-04,1.19,1.19,1.18,1.18,1.18,10100
2020-11-05,1.18,1.2,1.18,1.19,1.19,31200
2020-11-06,1.19,1.2,1.18,1.2,1.2,26000
2020-11-09,1.19,1.19,1.17,1.17,1.17,71700
2020-11-10,1.19,1.2,1.18,1.2,1.2,47200
2020-11-12,1.19,1.2,1.19,1.2,1.2,7400
2020-11-13,1.2,1.24,1.2,1.24,1.24,108000
2020-11-16,1.25,1.26,1.21,1.21,1.21,35500
2020-11-17,1.18,1.23,1.14,1.19,1.19,861200
2020-11-18,1.17,1.2,1.16,1.2,1.2,45100
2020-11-20,1.19,1.21,1.19,1.21,1.21,300
2020-11-23,1.2,1.22,1.19,1.21,1.21,63700
2020-11-24,1.2,1.23,1.19,1.21,1.21,140800
2020-11-25,1.21,1.23,1.19,1.23,1.23,82500
2020-11-26,1.24,1.24,1.18,1.22,1.22,272600
2020-11-27,1.22,1.23,1.17,1.18,1.18,371600
2020-11-30,1.2,1.2,1.17,1.19,1.19,129900
2020-12-01,1.18,1.19,1.17,1.18,1.18,65900
2020-12-02,1.18,1.18,1.14,1.18,1.18,331900
2020-12-03,1.19,1.23,1.17,1.17,1.17,134000
2020-12-04,1.17,1.19,1.17,1.19,1.19,10500
2020-12-08,1.2,1.25,1.2,1.21,1.21,292600
2020-12-09,1.24,1.25,1.21,1.21,1.21,181100
2020-12-14,1.21,1.28,1.21,1.24,1.24,33700
2020-12-15,1.22,1.22,1.2,1.21,1.21,41800
2020-12-16,1.21,1.21,1.19,1.2,1.2,130300
2020-12-17,1.22,1.23,1.2,1.21,1.21,42100
2020-12-18,1.21,1.23,1.21,1.22,1.22,59400
2020-12-21,1.18,1.25,1.18,1.23,1.23,378200
2020-12-22,1.19,1.23,1.17,1.23,1.23,178200
2020-12-23,1.2,1.23,1.2,1.23,1.23,16700
2020-12-24,1.23,1.23,1.22,1.23,1.23,15300
2020-12-25,1.22,1.25,1.22,1.25,1.25,123500
2020-12-28,1.22,1.28,1.2,1.25,1.25,137000
2020-12-29,1.22,1.25,1.21,1.24,1.24,37700
2021-01-04,1.21,1.25,1.2,1.24,1.24,12600
2021-01-05,1.22,1.26,1.2,1.26,1.26,18200
2021-01-07,1.22,1.26,1.2,1.25,1.25,36800
2021-01-11,1.28,1.28,1.24,1.24,1.24,18000
2021-01-12,1.25,1.26,1.25,1.25,1.25,13100
2021-01-13,1.27,1.27,1.25,1.25,1.25,63100
2021-01-14,1.24,1.25,1.24,1.25,1.25,247100
