Date,Open,High,Low,Close,Adj Close,Volume
2020-09-17,0.9,0.9,0.86,0.86,0.86,164500
2020-09-18,0.87,0.93,0.87,0.9,0.9,895200
2020-09-21,0.87,0.9,0.87,0.87,0.87,58200
2020-09-22,0.87,0.88,0.85,0.88,0.88,111800
2020-09-23,0.89,0.9,0.86,0.9,0.9,155200
2020-09-24,0.9,0.9,0.87,0.9,0.9,239000
2020-09-25,0.9,0.91,0.87,0.87,0.87,93100
2020-09-28,0.91,0.91,0.86,0.89,0.89,121900
2020-09-29,0.89,0.91,0.89,0.9,0.9,6000
2020-09-30,0.91,0.91,0.87,0.87,0.87,54200
2020-10-01,0.88,0.89,0.88,0.88,0.88,29900
2020-10-02,0.86,0.91,0.83,0.9,0.9,81000
2020-10-05,0.88,0.9,0.83,0.85,0.85,12800
2020-10-06,0.9,0.9,0.89,0.89,0.89,700
2020-10-07,0.89,0.9,0.85,0.89,0.89,12400
2020-10-08,0.89,0.9,0.81,0.82,0.82,164700
2020-10-09,0.84,0.88,0.84,0.86,0.86,81600
2020-10-12,0.86,0.89,0.85,0.88,0.88,28300
2020-10-14,0.89,0.89,0.83,0.85,0.85,51800
2020-10-15,0.89,0.89,0.84,0.88,0.88,18900
2020-10-16,0.85,0.87,0.84,0.87,0.87,49900
2020-10-19,0.85,0.87,0.84,0.87,0.87,21300
2020-10-20,0.87,0.87,0.84,0.85,0.85,21800
2020-10-21,0.85,0.87,0.81,0.86,0.86,43000
2020-10-26,0.89,0.89,0.87,0.87,0.87,400
2020-10-27,0.89,0.89,0.84,0.85,0.85,12900
2020-10-28,0.85,0.87,0.84,0.86,0.86,9500
2020-10-30,0.9,0.91,0.83,0.89,0.89,59400
2020-11-02,0.89,0.89,0.86,0.86,0.86,13000
2020-11-03,0.84,0.91,0.84,0.91,0.91,84900
2020-11-04,0.9,0.9,0.87,0.89,0.89,7600
2020-11-05,0.89,0.9,0.84,0.89,0.89,8300
2020-11-06,0.89,0.9,0.85,0.89,0.89,7700
2020-11-10,0.86,0.88,0.84,0.88,0.88,49700
2020-11-11,0.9,0.9,0.84,0.84,0.84,1100
2020-11-12,0.87,0.9,0.87,0.9,0.9,200
2020-11-16,0.83,0.91,0.77,0.8,0.8,980100
2020-11-17,0.76,0.79,0.73,0.73,0.73,1804800
2020-11-18,0.73,0.75,0.72,0.75,0.75,362700
2020-11-19,0.75,0.76,0.74,0.75,0.75,146800
2020-11-20,0.77,0.78,0.76,0.76,0.76,198000
2020-11-23,0.77,0.79,0.75,0.78,0.78,237700
2020-11-24,0.78,0.79,0.77,0.78,0.78,80300
2020-11-25,0.78,0.78,0.76,0.77,0.77,130800
2020-11-26,0.77,0.82,0.76,0.82,0.82,222800
2020-11-27,0.81,0.81,0.78,0.8,0.8,138300
2020-11-30,0.8,0.82,0.78,0.79,0.79,252200
2020-12-01,0.79,0.81,0.79,0.81,0.81,216300
2020-12-02,0.81,0.81,0.79,0.81,0.81,156400
2020-12-03,0.8,0.81,0.79,0.81,0.81,69300
2020-12-04,0.81,0.83,0.81,0.81,0.81,552200
2020-12-08,0.81,0.82,0.81,0.82,0.82,51300
2020-12-09,0.82,0.82,0.8,0.8,0.8,593800
2020-12-14,0.8,0.82,0.8,0.81,0.81,108400
2020-12-15,0.81,0.82,0.81,0.82,0.82,13300
2020-12-16,0.82,0.85,0.81,0.83,0.83,748900
2020-12-17,0.83,0.83,0.82,0.83,0.83,206500
2020-12-18,0.83,0.84,0.82,0.82,0.82,1440000
2020-12-21,0.77,0.85,0.77,0.79,0.79,612500
2020-12-22,0.79,0.83,0.78,0.8,0.8,30500
2020-12-23,0.8,0.81,0.79,0.8,0.8,93500
2020-12-24,0.8,0.81,0.79,0.81,0.81,6000
2020-12-25,0.81,0.83,0.79,0.79,0.79,16800
2020-12-28,0.79,0.82,0.79,0.8,0.8,143200
2020-12-29,0.8,0.82,0.8,0.82,0.82,605000
2020-12-30,0.82,0.83,0.8,0.83,0.83,50700
2021-01-04,0.82,0.82,0.81,0.82,0.82,27300
2021-01-05,0.82,0.83,0.81,0.81,0.81,58700
2021-01-06,0.81,0.82,0.8,0.82,0.82,18500
2021-01-07,0.82,0.83,0.8,0.8,0.8,62200
2021-01-08,0.8,0.83,0.8,0.82,0.82,62800
2021-01-11,0.82,0.82,0.8,0.82,0.82,98700
2021-01-12,0.82,0.83,0.82,0.83,0.83,5700
2021-01-13,0.83,0.85,0.82,0.83,0.83,265000
2021-01-14,0.82,0.87,0.81,0.87,0.87,983200
2021-01-15,0.87,0.87,0.83,0.87,0.87,175500
2021-01-18,0.86,0.88,0.86,0.88,0.88,406300
2021-01-19,0.88,0.89,0.88,0.88,0.88,3300
2021-01-20,0.88,0.89,0.83,0.83,0.83,250900
2021-01-21,0.83,0.85,0.83,0.85,0.85,28500
2021-01-22,0.85,0.85,0.82,0.85,0.85,83800
2021-01-25,0.85,0.85,0.84,0.85,0.85,46300
2021-01-26,0.84,0.85,0.82,0.85,0.85,52700
2021-01-27,0.83,0.85,0.82,0.85,0.85,30600
2021-01-28,0.83,0.85,0.82,0.85,0.85,38200
2021-01-29,0.86,0.87,0.86,0.87,0.87,5900
2021-02-01,0.85,0.87,0.82,0.87,0.87,8400
2021-02-02,0.86,0.86,0.86,0.86,0.86,3400
2021-02-03,0.86,0.87,0.82,0.84,0.84,343800
2021-02-04,0.85,0.85,0.83,0.83,0.83,6100
2021-02-05,0.83,0.84,0.82,0.83,0.83,46800
2021-02-08,0.85,0.85,0.82,0.84,0.84,30700
2021-02-09,0.84,0.84,0.83,0.84,0.84,213500
2021-02-10,0.84,0.84,0.8,0.83,0.83,1169100
2021-02-11,0.82,0.83,0.8,0.82,0.82,273700
2021-02-15,0.83,0.83,0.81,0.82,0.82,71400
2021-02-16,0.81,0.82,0.8,0.82,0.82,23900
2021-02-17,0.82,0.84,0.81,0.84,0.84,238100
2021-02-18,0.84,0.84,0.82,0.83,0.83,54300
2021-02-19,0.83,0.84,0.81,0.82,0.82,181300
2021-02-22,0.81,0.83,0.81,0.83,0.83,14300
2021-02-23,0.8,0.85,0.8,0.85,0.85,600900
2021-02-24,0.82,0.84,0.81,0.84,0.84,222200
2021-02-25,0.93,1.09,0.9,1.09,1.09,12610800
2021-03-01,1.06,1.06,0.97,1.03,1.03,2770800
2021-03-02,1.03,1.05,0.98,0.98,0.98,1962200
2021-03-03,1.01,1.01,0.94,0.98,0.98,1333100
2021-03-04,0.98,0.98,0.93,0.98,0.98,1364300
2021-03-05,0.98,0.99,0.97,0.98,0.98,480900
2021-03-08,0.99,1.1,0.98,1.07,1.07,7867400
2021-03-09,1.07,1.08,1.03,1.05,1.05,2765000
2021-03-10,1.07,1.07,1.01,1.03,1.03,3475600
2021-03-11,1.05,1.05,1.02,1.02,1.02,806200
2021-03-12,0.99,1.01,0.98,0.98,0.98,718300
2021-03-15,0.97,1.02,0.97,1.0,1.0,1532600
2021-03-16,1.02,1.02,0.98,0.99,0.99,590800
2021-03-17,0.99,1.0,0.99,1.0,1.0,423100
2021-03-18,1.0,1.14,0.97,1.05,1.05,30918500
2021-03-19,1.05,1.07,1.03,1.07,1.07,3234100
2021-03-22,1.08,1.08,1.05,1.05,1.05,1740300
2021-03-23,1.05,1.07,1.05,1.06,1.06,2632300
2021-03-24,1.05,1.13,1.05,1.09,1.09,9904900
2021-03-25,1.11,1.11,1.06,1.06,1.06,3633400
2021-03-26,1.06,1.12,1.06,1.11,1.11,6509300
2021-03-29,1.12,1.18,1.08,1.1,1.1,5738100
2021-03-30,1.11,1.13,1.07,1.1,1.1,2684000
2021-03-31,1.11,1.12,1.07,1.08,1.08,2855700
2021-04-01,1.08,1.12,1.08,1.09,1.09,2683000
2021-04-02,1.11,1.13,1.1,1.11,1.11,4531200
2021-04-05,1.12,1.13,1.11,1.11,1.11,1611400
2021-04-07,1.11,1.11,1.06,1.08,1.08,3037800
2021-04-08,1.06,1.09,1.06,1.08,1.08,677000
2021-04-09,1.09,1.09,1.06,1.06,1.06,702800
2021-04-12,1.06,1.06,1.03,1.03,1.03,1061100
2021-04-16,1.03,1.03,0.99,1.02,1.02,1999900
2021-04-19,1.03,1.07,1.02,1.06,1.06,1652600
2021-04-20,1.07,1.07,1.03,1.04,1.04,1975700
2021-04-21,1.06,1.08,1.05,1.07,1.07,1674500
2021-04-22,1.09,1.39,1.09,1.21,1.21,37212000
2021-04-23,1.24,1.24,1.18,1.23,1.23,4773400
2021-04-26,1.22,1.23,1.19,1.23,1.23,2627900
2021-04-27,1.23,1.36,1.22,1.28,1.28,15532100
2021-04-28,1.38,1.51,1.32,1.43,1.43,41178500
2021-04-29,1.46,1.51,1.42,1.44,1.44,19548900
2021-04-30,1.53,1.57,1.45,1.46,1.46,15923500
2021-05-05,1.49,1.5,1.41,1.42,1.42,8633600
2021-05-06,1.42,1.53,1.42,1.46,1.46,16176000
2021-05-07,1.47,1.49,1.44,1.47,1.47,4458500
2021-05-10,1.47,1.5,1.42,1.48,1.48,9428800
2021-05-11,1.48,1.48,1.43,1.45,1.45,4892000
2021-05-12,1.45,1.57,1.43,1.48,1.48,18876100
2021-05-13,1.44,1.49,1.16,1.39,1.39,18233800
2021-05-14,1.42,1.42,1.3,1.31,1.31,5680000
2021-05-17,1.5,1.5,1.41,1.46,1.46,25098900
2021-05-18,1.44,1.55,1.42,1.55,1.55,29185300
2021-05-19,1.53,1.72,1.5,1.69,1.69,95694200
2021-05-20,1.66,1.67,1.56,1.61,1.61,19914800
2021-05-21,1.6,1.62,1.55,1.56,1.56,8817300
2021-05-24,1.56,1.66,1.55,1.57,1.57,19837900
2021-05-25,1.57,1.59,1.56,1.57,1.57,3879200
2021-05-27,1.57,1.64,1.57,1.58,1.58,11018100
2021-05-28,1.6,1.65,1.58,1.6,1.6,11876700
2021-05-31,1.6,1.7,1.6,1.69,1.69,21585400
2021-06-01,1.66,1.75,1.61,1.68,1.68,30514300
2021-06-02,1.72,1.81,1.69,1.72,1.72,31997900
2021-06-04,1.7,1.75,1.7,1.71,1.71,5369400
2021-06-07,1.72,1.76,1.72,1.72,1.72,2682100
2021-06-08,1.73,1.73,1.66,1.68,1.68,5730900
2021-06-09,1.68,1.72,1.66,1.69,1.69,3562500
2021-06-10,1.69,1.71,1.67,1.68,1.68,2652500
2021-06-11,1.68,1.84,1.68,1.72,1.72,54127800
2021-06-14,1.7,1.74,1.68,1.7,1.7,11587300
2021-06-15,1.72,1.72,1.67,1.68,1.68,3262100
2021-06-16,1.69,1.71,1.69,1.69,1.69,2960600
2021-06-17,1.7,1.71,1.69,1.69,1.69,1590800
2021-06-18,1.7,1.71,1.68,1.7,1.7,1701800
2021-06-21,1.68,1.69,1.62,1.65,1.65,2405700
2021-06-22,1.68,1.77,1.67,1.67,1.67,11647600
2021-06-23,1.68,1.74,1.67,1.68,1.68,6725000
2021-06-24,1.7,1.7,1.65,1.66,1.66,2423400
2021-06-25,1.69,1.7,1.66,1.66,1.66,2036200
2021-06-28,1.66,1.67,1.63,1.64,1.64,2077800
2021-06-29,1.64,1.7,1.64,1.67,1.67,3398300
2021-06-30,1.67,1.8,1.67,1.74,1.74,40845200
2021-07-01,1.79,1.79,1.7,1.71,1.71,15497000
2021-07-02,1.73,1.73,1.67,1.67,1.67,4607700
2021-07-05,1.67,1.67,1.65,1.66,1.66,2275800
2021-07-06,1.67,1.7,1.65,1.66,1.66,7374700
2021-07-07,1.66,1.73,1.65,1.66,1.66,15747500
2021-07-08,1.64,1.65,1.5,1.51,1.51,8115100
2021-07-09,1.41,1.48,1.41,1.46,1.46,6509900
2021-07-12,1.46,1.47,1.42,1.43,1.43,3582400
2021-07-13,1.46,1.57,1.45,1.54,1.54,7156100
2021-07-14,1.57,1.6,1.52,1.54,1.54,3936500
2021-07-15,1.57,1.58,1.54,1.54,1.54,1893500
2021-07-16,1.54,1.57,1.54,1.56,1.56,1290900
2021-07-19,1.54,1.54,1.47,1.5,1.5,2136600
2021-07-20,1.49,1.49,1.44,1.45,1.45,2061700
2021-07-21,1.46,1.47,1.45,1.45,1.45,1317700
2021-07-22,1.46,1.49,1.44,1.44,1.44,1310700
2021-07-23,1.46,1.46,1.43,1.43,1.43,754200
2021-07-27,1.43,1.45,1.42,1.43,1.43,760600
2021-07-29,1.43,1.45,1.39,1.39,1.39,2287000
2021-07-30,1.39,1.4,1.3,1.31,1.31,3081500
2021-08-02,1.29,1.3,1.23,1.3,1.3,1581200
2021-08-03,1.28,1.34,1.28,1.33,1.33,1595500
2021-08-04,1.33,1.34,1.27,1.3,1.3,1905400
2021-08-05,1.3,1.31,1.27,1.28,1.28,2031800
2021-08-06,1.26,1.3,1.26,1.27,1.27,1091400
2021-08-09,1.27,1.3,1.27,1.29,1.29,786200
2021-08-10,1.29,1.32,1.29,1.31,1.31,1770600
2021-08-11,1.31,1.32,1.27,1.29,1.29,2119600
2021-08-13,1.28,1.28,1.2,1.2,1.2,2196600
2021-08-16,1.18,1.2,1.12,1.17,1.17,2194700
2021-08-17,1.17,1.18,1.15,1.17,1.17,1121100
2021-08-18,1.17,1.18,1.16,1.17,1.17,574200
2021-08-19,1.19,1.25,1.18,1.22,1.22,2388600
2021-08-20,1.23,1.3,1.22,1.3,1.3,3530900
2021-08-23,1.32,1.34,1.29,1.31,1.31,4131900
2021-08-24,1.35,1.37,1.3,1.37,1.37,4944000
2021-08-25,1.37,1.42,1.34,1.38,1.38,10028800
2021-08-26,1.38,1.4,1.36,1.36,1.36,3167800
2021-08-27,1.36,1.37,1.34,1.34,1.34,1863700
2021-08-30,1.35,1.35,1.33,1.33,1.33,1203700
2021-08-31,1.34,1.41,1.34,1.4,1.4,4208000
2021-09-01,1.42,1.52,1.42,1.48,1.48,13634200
2021-09-02,1.49,1.51,1.44,1.44,1.44,7785200
2021-09-03,1.46,1.46,1.43,1.43,1.43,1372200
2021-09-06,1.44,1.46,1.42,1.44,1.44,1646000
2021-09-07,1.47,1.47,1.39,1.42,1.42,3645600
2021-09-08,1.43,1.44,1.4,1.43,1.43,1348900
2021-09-09,1.43,1.57,1.41,1.5,1.5,45423800
2021-09-10,1.49,1.49,1.45,1.47,1.47,5576700
2021-09-13,1.49,1.51,1.45,1.47,1.47,6796800
2021-09-14,1.47,1.53,1.45,1.49,1.49,17235500
2021-09-15,1.5,1.5,1.45,1.47,1.47,4017300
2021-09-16,1.47,1.47,1.43,1.43,1.43,3114500
2021-09-17,1.44,1.45,1.41,1.43,1.43,1560100
2021-09-20,1.43,1.45,1.42,1.42,1.42,2966000
2021-09-21,1.44,1.52,1.41,1.46,1.46,15334600
2021-09-22,1.46,1.56,1.46,1.5,1.5,23290000
2021-09-23,1.52,1.52,1.44,1.44,1.44,4786900
