Date,Open,High,Low,Close,Adj Close,Volume
2020-09-22,0.65,0.68,0.62,0.63,0.63,59300
2020-09-23,0.64,0.71,0.62,0.68,0.68,635800
2020-09-24,0.64,0.7,0.62,0.65,0.65,953800
2020-09-25,0.63,0.65,0.62,0.65,0.65,235500
2020-09-28,0.64,0.65,0.63,0.64,0.64,76100
2020-09-29,0.64,0.64,0.61,0.63,0.63,148400
2020-09-30,0.64,0.64,0.62,0.63,0.63,134400
2020-10-01,0.63,0.63,0.6,0.62,0.62,124600
2020-10-02,0.62,0.63,0.62,0.62,0.62,70000
2020-10-05,0.62,0.63,0.61,0.63,0.63,55500
2020-10-06,0.61,0.63,0.61,0.63,0.63,310800
2020-10-07,0.62,0.62,0.61,0.61,0.61,159000
2020-10-08,0.62,0.62,0.61,0.62,0.62,69000
2020-10-09,0.62,0.65,0.61,0.64,0.64,840500
2020-10-12,0.63,0.65,0.61,0.64,0.64,347700
2020-10-14,0.61,0.63,0.61,0.62,0.62,20000
2020-10-15,0.61,0.63,0.61,0.62,0.62,20200
2020-10-16,0.61,0.63,0.52,0.62,0.62,226500
2020-10-19,0.62,0.62,0.57,0.6,0.6,383800
2020-10-20,0.62,0.62,0.6,0.62,0.62,26900
2020-10-21,0.62,0.62,0.61,0.61,0.61,19900
2020-10-22,0.6,0.62,0.6,0.62,0.62,87000
2020-10-27,0.62,0.62,0.6,0.62,0.62,20500
2020-10-28,0.62,0.62,0.6,0.62,0.62,50300
2020-10-29,0.62,0.62,0.6,0.62,0.62,37600
2020-10-30,0.61,0.61,0.6,0.61,0.61,50000
2020-11-02,0.6,0.6,0.57,0.57,0.57,263700
2020-11-03,0.6,0.6,0.57,0.58,0.58,14300
2020-11-04,0.6,0.6,0.58,0.6,0.6,13800
2020-11-05,0.6,0.61,0.58,0.61,0.61,116600
2020-11-06,0.59,0.6,0.59,0.6,0.6,400
2020-11-09,0.61,0.61,0.6,0.61,0.61,400
2020-11-10,0.62,0.62,0.59,0.6,0.6,97000
2020-11-11,0.59,0.59,0.54,0.57,0.57,1249500
2020-11-12,0.59,0.59,0.54,0.54,0.54,707000
2020-11-13,0.54,0.55,0.54,0.54,0.54,112100
2020-11-16,0.55,0.56,0.53,0.54,0.54,312000
2020-11-17,0.55,0.55,0.54,0.55,0.55,100800
2020-11-18,0.55,0.56,0.53,0.55,0.55,41200
