Date,Open,High,Low,Close,Adj Close,Volume
2021-03-24,0.01,0.01,0.01,0.01,0.01,12012300
2021-03-25,0.01,0.01,0.01,0.01,0.01,7381100
2021-03-26,0.01,0.01,0.01,0.01,0.01,11242400
2021-03-29,0.01,0.02,0.01,0.01,0.01,109953800
2021-03-30,0.01,0.02,0.01,0.01,0.01,31428900
2021-03-31,0.01,0.02,0.01,0.01,0.01,24858900
2021-04-01,0.02,0.02,0.01,0.01,0.01,11430000
2021-04-02,0.02,0.02,0.01,0.02,0.02,4449500
2021-04-05,0.02,0.02,0.01,0.02,0.02,18643500
2021-04-07,0.01,0.02,0.01,0.02,0.02,6695900
2021-04-08,0.02,0.02,0.01,0.02,0.02,6156800
2021-04-09,0.01,0.02,0.01,0.01,0.01,37428900
2021-04-12,0.01,0.02,0.01,0.01,0.01,40416000
2021-04-16,0.01,0.02,0.01,0.01,0.01,461995300
2021-04-19,0.01,0.02,0.01,0.01,0.01,31843500
2021-04-20,0.01,0.02,0.01,0.01,0.01,86587900
2021-04-21,0.01,0.02,0.01,0.01,0.01,40673200
2021-04-22,0.01,0.02,0.01,0.01,0.01,22424100
2021-04-23,0.01,0.02,0.01,0.01,0.01,283241900
2021-04-26,0.01,0.02,0.01,0.01,0.01,24906500
2021-04-27,0.01,0.02,0.01,0.01,0.01,101969600
2021-04-28,0.01,0.02,0.01,0.01,0.01,9093100
2021-04-29,0.02,0.02,0.01,0.01,0.01,26012600
2021-04-30,0.01,0.02,0.01,0.01,0.01,25296700
2021-05-05,0.01,0.02,0.01,0.01,0.01,13742800
2021-05-06,0.01,0.02,0.01,0.01,0.01,35848300
2021-05-07,0.01,0.02,0.01,0.01,0.01,36560500
2021-05-10,0.01,0.02,0.01,0.01,0.01,46481000
2021-05-11,0.01,0.02,0.01,0.01,0.01,52206100
2021-05-12,0.02,0.02,0.01,0.02,0.02,12381200
2021-05-13,0.01,0.02,0.01,0.02,0.02,39623700
2021-05-14,0.01,0.02,0.01,0.02,0.02,29243000
2021-05-17,0.01,0.02,0.01,0.01,0.01,112824700
2021-05-18,0.02,0.02,0.01,0.01,0.01,70708200
2021-05-19,0.02,0.02,0.01,0.01,0.01,39055800
2021-05-20,0.01,0.02,0.01,0.02,0.02,36260000
2021-05-21,0.02,0.02,0.01,0.02,0.02,149978000
2021-05-24,0.01,0.02,0.01,0.01,0.01,38870200
2021-05-25,0.01,0.02,0.01,0.02,0.02,16891500
2021-05-27,0.02,0.02,0.01,0.01,0.01,17259100
2021-05-28,0.02,0.02,0.01,0.01,0.01,25175400
2021-05-31,0.01,0.02,0.01,0.01,0.01,44402100
2021-06-01,0.02,0.02,0.01,0.02,0.02,16487000
2021-06-02,0.01,0.02,0.01,0.01,0.01,35156700
2021-06-04,0.01,0.02,0.01,0.02,0.02,19917700
2021-06-07,0.01,0.02,0.01,0.01,0.01,35174600
2021-06-08,0.02,0.02,0.01,0.01,0.01,24128600
2021-06-09,0.02,0.02,0.01,0.02,0.02,32443800
2021-06-10,0.02,0.02,0.01,0.02,0.02,19676900
2021-06-11,0.02,0.03,0.01,0.02,0.02,1592011200
2021-06-14,0.02,0.02,0.01,0.01,0.01,444216800
2021-06-15,0.02,0.02,0.01,0.01,0.01,53281900
2021-06-16,0.02,0.02,0.01,0.02,0.02,38327600
2021-06-17,0.02,0.02,0.01,0.01,0.01,106484100
2021-06-18,0.02,0.02,0.01,0.02,0.02,38920500
