Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,4.4,4.46,4.32,4.32,4.32,6070600
2020-09-24,4.32,4.36,4.18,4.18,4.18,6687200
2020-09-25,4.18,4.26,4.16,4.2,4.2,5719600
2020-09-28,4.24,4.3,4.2,4.22,4.22,3557200
2020-09-29,4.24,4.36,4.22,4.3,4.3,9246400
2020-09-30,4.32,4.34,4.22,4.22,4.22,4197300
2020-10-01,4.22,4.24,4.08,4.08,4.08,5628800
2020-10-02,4.06,4.26,4.06,4.16,4.16,5831100
2020-10-05,4.22,4.28,4.18,4.2,4.2,4641200
2020-10-06,4.22,4.24,4.2,4.2,4.2,2062900
2020-10-07,4.2,4.56,4.2,4.56,4.56,24767400
2020-10-08,4.68,4.74,4.44,4.44,4.44,37596100
2020-10-09,4.46,4.78,4.44,4.74,4.74,39697100
2020-10-12,4.78,4.96,4.72,4.72,4.72,54530200
2020-10-14,4.76,4.8,4.66,4.66,4.66,11301500
2020-10-15,4.68,4.72,4.54,4.56,4.56,9524700
2020-10-16,4.54,4.62,4.34,4.38,4.38,10761800
2020-10-19,4.28,4.28,4.1,4.12,4.12,8849500
2020-10-20,4.08,4.26,4.08,4.16,4.16,9900800
2020-10-21,4.18,4.28,4.16,4.16,4.16,9483500
2020-10-22,4.16,4.2,4.1,4.16,4.16,4509400
2020-10-26,4.16,4.54,4.16,4.54,4.54,28235800
2020-10-27,4.52,4.6,4.36,4.38,4.38,29023600
2020-10-28,4.38,4.46,4.36,4.36,4.36,11840900
2020-10-29,4.32,4.36,4.18,4.18,4.18,9126700
2020-10-30,4.22,4.28,4.12,4.16,4.16,6841700
2020-11-02,4.16,4.24,4.14,4.16,4.16,6563300
2020-11-03,4.22,4.32,4.18,4.3,4.3,13992600
2020-11-04,4.34,4.36,4.22,4.22,4.22,12826000
2020-11-05,4.28,4.34,4.24,4.28,4.28,10356900
2020-11-06,4.3,4.48,4.26,4.36,4.36,29502100
2020-11-09,4.42,4.78,4.38,4.78,4.78,45922500
2020-11-10,4.74,4.78,4.38,4.4,4.4,35980600
