Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,0.29,0.3,0.29,0.29,0.29,2445500
2020-09-24,0.3,0.3,0.29,0.3,0.3,1168000
2020-09-25,0.3,0.3,0.29,0.3,0.3,881000
2020-09-28,0.29,0.3,0.29,0.3,0.3,837100
2020-09-29,0.29,0.3,0.29,0.29,0.29,1225500
2020-09-30,0.3,0.3,0.29,0.29,0.29,1304900
2020-10-01,0.3,0.3,0.29,0.29,0.29,736700
2020-10-02,0.29,0.3,0.29,0.29,0.29,4649100
2020-10-05,0.29,0.3,0.28,0.28,0.28,2604800
2020-10-06,0.29,0.3,0.28,0.29,0.29,3576100
2020-10-07,0.29,0.3,0.28,0.29,0.29,4444500
2020-10-08,0.29,0.3,0.29,0.29,0.29,2102100
2020-10-09,0.29,0.3,0.28,0.28,0.28,2536200
2020-10-12,0.29,0.29,0.28,0.28,0.28,4402500
2020-10-14,0.29,0.29,0.28,0.28,0.28,2756800
2020-10-15,0.29,0.29,0.28,0.28,0.28,1432400
2020-10-16,0.28,0.29,0.28,0.28,0.28,4215400
2020-10-19,0.28,0.28,0.26,0.26,0.26,5091200
2020-10-20,0.26,0.27,0.26,0.26,0.26,2624700
2020-10-21,0.27,0.27,0.26,0.26,0.26,3105000
2020-10-22,0.27,0.27,0.26,0.26,0.26,2381100
2020-10-26,0.27,0.27,0.26,0.27,0.27,2527600
2020-10-27,0.27,0.27,0.26,0.26,0.26,2169100
2020-10-28,0.27,0.27,0.26,0.26,0.26,5412000
2020-10-29,0.27,0.27,0.26,0.26,0.26,3680200
2020-10-30,0.26,0.27,0.25,0.25,0.25,14260600
2020-11-02,0.26,0.26,0.25,0.25,0.25,968900
2020-11-03,0.25,0.26,0.25,0.25,0.25,1676800
2020-11-04,0.26,0.26,0.25,0.25,0.25,1680200
2020-11-05,0.25,0.27,0.25,0.25,0.25,7059100
2020-11-06,0.25,0.26,0.25,0.25,0.25,5010500
2020-11-09,0.26,0.26,0.25,0.25,0.25,4746900
2020-11-10,0.26,0.27,0.25,0.26,0.26,10860400
2020-11-11,0.26,0.27,0.26,0.27,0.27,2077300
2020-11-12,0.27,0.27,0.23,0.25,0.25,69241000
2020-11-13,0.25,0.26,0.24,0.25,0.25,19866300
2020-11-16,0.25,0.27,0.25,0.26,0.26,7864800
