Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,36.5,37.0,36.0,36.25,36.25,10573800
2020-09-24,36.5,37.0,35.5,35.5,35.5,12754200
2020-09-25,35.5,36.0,35.0,35.5,35.5,13738400
2020-09-28,36.25,36.5,35.75,36.0,36.0,5224400
2020-09-29,36.25,36.25,35.5,35.75,35.75,4607200
2020-09-30,35.75,36.0,34.75,35.0,35.0,5748800
2020-10-01,35.25,36.0,34.75,35.75,35.75,5580500
2020-10-02,35.5,35.75,35.0,35.25,35.25,5530000
2020-10-05,35.5,35.5,34.75,35.5,35.5,4742700
2020-10-06,35.75,36.25,35.0,35.75,35.75,11985600
2020-10-07,35.5,36.25,35.25,35.75,35.75,7804300
2020-10-08,36.0,36.75,35.75,36.0,36.0,9177100
2020-10-09,36.0,36.25,34.75,35.0,35.0,13583200
2020-10-12,35.0,35.5,34.5,34.5,34.5,9925700
2020-10-14,34.5,34.75,34.0,34.0,34.0,5801900
2020-10-15,33.75,34.0,31.75,32.0,32.0,30043300
2020-10-16,32.25,33.0,31.5,31.75,31.75,11634600
2020-10-19,31.25,32.75,30.75,32.0,32.0,13110300
2020-10-20,32.5,33.0,31.5,32.0,32.0,13167000
2020-10-21,32.0,32.5,31.5,31.75,31.75,13471800
2020-10-22,31.75,32.25,31.25,31.75,31.75,7876700
2020-10-26,32.0,32.25,31.5,32.0,32.0,4258900
2020-10-27,31.5,32.5,31.25,32.0,32.0,8313500
2020-10-28,32.0,32.5,31.5,32.0,32.0,6254000
2020-10-29,31.75,32.25,31.75,32.25,32.25,5275200
2020-10-30,32.25,32.5,31.75,32.0,32.0,6097000
2020-11-02,32.25,32.5,31.75,32.5,32.5,5682900
2020-11-03,32.75,33.5,32.5,33.25,33.25,10093500
2020-11-04,33.5,34.75,33.25,34.5,34.5,17295300
2020-11-05,34.5,36.0,34.5,35.75,35.75,26752200
2020-11-06,36.0,36.0,34.75,35.25,35.25,9212900
2020-11-09,36.0,36.25,35.25,36.0,36.0,12069500
2020-11-10,36.5,36.5,35.5,36.25,36.25,12213300
2020-11-11,36.5,36.75,35.5,36.25,36.25,8073400
2020-11-12,36.75,37.75,36.25,37.75,37.75,18816500
2020-11-13,37.0,37.75,37.0,37.25,37.25,13668200
2020-11-16,37.75,38.5,37.5,37.5,37.5,9636200
2020-11-17,37.5,37.75,36.5,37.0,37.0,16129100
2020-11-18,37.25,37.25,36.0,37.0,37.0,12650400
2020-11-19,37.0,37.5,36.5,36.75,36.75,5951600
2020-11-20,37.0,37.5,36.25,37.5,37.5,10866700
2020-11-23,38.0,38.25,37.25,37.75,37.75,11387900
2020-11-24,38.0,38.25,37.25,37.5,37.5,7430500
2020-11-25,37.75,38.0,36.5,37.25,37.25,8056200
2020-11-26,37.75,38.0,37.0,37.25,37.25,12135300
2020-11-27,37.25,37.5,36.75,37.0,37.0,8012300
2020-11-30,36.75,37.0,36.25,36.5,36.5,11742700
2020-12-01,36.5,37.25,36.5,36.5,36.5,8170800
2020-12-02,36.5,37.0,36.5,36.5,36.5,5255600
2020-12-03,36.5,37.0,36.5,36.75,36.75,4080200
2020-12-04,36.5,37.0,36.5,36.75,36.75,8626100
2020-12-08,36.5,38.5,36.5,38.5,38.5,24267300
2020-12-09,39.25,40.25,39.25,39.75,39.75,35538600
2020-12-14,40.0,40.0,37.75,38.0,38.0,27228400
