Date,Open,High,Low,Close,Adj Close,Volume
2020-09-17,1.45,1.48,1.44,1.45,1.45,524800
2020-09-18,1.48,1.48,1.44,1.44,1.44,252600
2020-09-21,1.47,1.52,1.46,1.5,1.5,506200
2020-09-22,1.49,1.49,1.46,1.47,1.47,156800
2020-09-23,1.49,1.49,1.46,1.46,1.46,67100
2020-09-24,1.45,1.46,1.44,1.44,1.44,234700
2020-09-25,1.46,1.48,1.45,1.46,1.46,13000
2020-09-28,1.42,1.48,1.41,1.42,1.42,166000
2020-09-29,1.45,1.46,1.41,1.45,1.45,161000
2020-09-30,1.44,1.44,1.44,1.44,1.44,5100
2020-10-01,1.44,1.46,1.43,1.43,1.43,1100
2020-10-02,1.45,1.46,1.41,1.44,1.44,32400
2020-10-05,1.46,1.46,1.42,1.43,1.43,27700
2020-10-06,1.45,1.47,1.45,1.47,1.47,56200
2020-10-07,1.47,1.48,1.46,1.48,1.48,96100
2020-10-08,1.47,1.49,1.47,1.48,1.48,47900
2020-10-09,1.48,1.56,1.48,1.48,1.48,1341500
2020-10-12,1.46,1.52,1.46,1.5,1.5,37900
2020-10-14,1.5,1.5,1.48,1.5,1.5,23600
2020-10-15,1.47,1.5,1.47,1.47,1.47,63500
2020-10-16,1.46,1.46,1.44,1.45,1.45,225000
2020-10-19,1.4,1.44,1.38,1.39,1.39,268300
2020-10-20,1.41,1.41,1.36,1.36,1.36,25300
2020-10-21,1.4,1.42,1.39,1.4,1.4,29000
2020-10-22,1.42,1.42,1.4,1.4,1.4,10600
2020-10-26,1.42,1.42,1.4,1.4,1.4,57100
2020-10-27,1.38,1.43,1.34,1.4,1.4,62500
2020-10-28,1.39,1.41,1.37,1.39,1.39,150400
2020-10-29,1.42,1.42,1.36,1.36,1.36,22900
2020-10-30,1.4,1.4,1.36,1.38,1.38,994300
2020-11-02,1.36,1.42,1.36,1.39,1.39,522800
2020-11-04,1.42,1.42,1.4,1.42,1.42,500
2020-11-05,1.42,1.42,1.38,1.38,1.38,48800
2020-11-06,1.42,1.42,1.38,1.38,1.38,100900
2020-11-09,1.38,1.42,1.38,1.39,1.39,25500
2020-11-10,1.42,1.42,1.38,1.38,1.38,123300
2020-11-11,1.42,1.42,1.41,1.41,1.41,5100
2020-11-12,1.42,1.5,1.4,1.4,1.4,1819000
2020-11-13,1.4,1.44,1.4,1.43,1.43,36700
2020-11-16,1.4,1.44,1.38,1.39,1.39,51000
2020-11-17,1.41,1.41,1.38,1.41,1.41,2400
2020-11-18,1.42,1.42,1.38,1.4,1.4,78400
2020-11-20,1.4,1.41,1.4,1.41,1.41,27100
2020-11-23,1.38,1.41,1.37,1.4,1.4,113800
2020-11-24,1.42,1.42,1.38,1.41,1.41,61800
