Date,Open,High,Low,Close,Adj Close,Volume
2021-03-24,3.38,3.4,3.32,3.34,3.34,22800
2021-03-25,3.4,3.44,3.26,3.32,3.32,68500
2021-03-26,3.2800000000000002,3.32,3.24,3.26,3.26,21000
2021-03-29,3.2800000000000002,3.3,3.2,3.26,3.26,50300
2021-03-30,3.24,3.3,3.24,3.2800000000000002,3.2800000000000002,30700
2021-03-31,3.24,3.42,3.24,3.3,3.3,42900
2021-04-01,3.3,3.3,3.3,3.3,3.3,9000
2021-04-02,3.3,3.3,3.2800000000000002,3.3,3.3,18000
2021-04-05,3.2800000000000002,3.2800000000000002,3.26,3.26,3.26,38000
2021-04-07,3.34,3.34,3.22,3.24,3.24,4900
2021-04-08,3.24,3.26,3.22,3.24,3.24,8500
2021-04-09,3.2800000000000002,3.2800000000000002,3.24,3.24,3.24,16000
2021-04-12,3.2,3.24,3.18,3.22,3.22,13500
2021-04-16,3.36,3.36,3.26,3.26,3.26,30700
2021-04-19,3.24,3.34,3.22,3.34,3.34,15700
2021-04-20,3.3,3.3,3.3,3.3,3.3,16100
2021-04-21,3.32,3.32,3.24,3.3,3.3,6800
2021-04-22,3.3,3.3,3.24,3.2800000000000002,3.2800000000000002,3800
2021-04-23,3.38,3.38,3.22,3.2800000000000002,3.2800000000000002,22800
2021-04-26,3.2800000000000002,3.2800000000000002,3.22,3.24,3.24,5300
2021-04-27,3.22,3.2800000000000002,3.22,3.22,3.22,10500
2021-04-28,3.22,3.3,3.22,3.2800000000000002,3.2800000000000002,45600
2021-04-29,3.26,3.26,3.2,3.26,3.26,23000
2021-04-30,3.2800000000000002,3.2800000000000002,3.22,3.26,3.26,22200
2021-05-05,3.22,3.22,3.2,3.22,3.22,12400
2021-05-06,3.26,3.26,3.16,3.16,3.16,10900
2021-05-07,3.22,3.26,3.2,3.26,3.26,24700
2021-05-10,3.2800000000000002,3.2800000000000002,3.22,3.22,3.22,1400
2021-05-11,3.22,3.26,3.14,3.26,3.26,127000
