Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,5.47325,5.522118,5.375513,5.424381,5.424381,13092536
2020-09-24,5.424381,5.522118,5.375513,5.424381,5.424381,11885619
2020-09-25,5.47325,5.570986,5.326645,5.326645,5.326645,7441122
2020-09-28,5.375513,5.424381,5.326645,5.375513,5.375513,3393610
2020-09-29,5.424381,5.717591,5.424381,5.668723,5.668723,36968341
2020-09-30,5.766459,5.913064,5.570986,5.717591,5.717591,48108385
2020-10-01,5.766459,5.864196,5.619855,5.864196,5.864196,20713120
2020-10-02,5.913064,6.059669,5.766459,5.864196,5.864196,25579567
2020-10-05,5.913064,6.108538,5.864196,6.059669,6.059669,20213717
2020-10-06,6.157406,6.206274,6.010801,6.108538,6.108538,14067606
2020-10-07,6.108538,6.108538,5.961933,6.059669,6.059669,13916895
2020-10-08,6.059669,6.304011,6.010801,6.059669,6.059669,31226377
2020-10-09,6.059669,6.108538,5.717591,5.961933,5.961933,35341622
2020-10-12,6.010801,6.059669,5.815328,5.913064,5.913064,8497942
2020-10-14,5.913064,5.913064,5.668723,5.717591,5.717591,17910485
2020-10-15,5.668723,5.815328,5.522118,5.570986,5.570986,18104579
2020-10-16,5.570986,5.717591,5.375513,5.47325,5.47325,16038515
2020-10-19,5.424381,5.424381,5.033435,5.131172,5.131172,40853477
2020-10-20,5.131172,5.375513,5.082303,5.228908,5.228908,26727858
2020-10-21,5.277776,5.424381,5.18004,5.228908,5.228908,9647460
2020-10-22,5.228908,5.326645,5.18004,5.18004,5.18004,13045675
2020-10-26,5.18004,5.228908,5.131172,5.18004,5.18004,8257704
2020-10-27,5.18004,5.326645,5.131172,5.277776,5.277776,9978656
2020-10-28,5.228908,5.375513,5.228908,5.375513,5.375513,12744048
2020-10-29,5.326645,5.424381,5.277776,5.277776,5.277776,6491733
2020-10-30,5.277776,5.375513,5.228908,5.277776,5.277776,6491120
2020-11-02,5.277776,5.570986,5.277776,5.522118,5.522118,15435159
2020-11-03,5.570986,5.619855,5.424381,5.522118,5.522118,9001847
2020-11-04,5.522118,5.522118,5.326645,5.375513,5.375513,10514075
2020-11-05,5.424381,5.522118,5.326645,5.424381,5.424381,17409752
2020-11-06,5.47325,5.522118,5.326645,5.326645,5.326645,18471585
2020-11-09,5.424381,5.47325,5.375513,5.375513,5.375513,7151159
2020-11-10,5.717591,5.864196,5.570986,5.864196,5.864196,44407519
2020-11-11,5.961933,6.010801,5.668723,5.864196,5.864196,21381959
2020-11-12,5.815328,6.010801,5.668723,6.010801,6.010801,16052226
2020-11-13,6.010801,6.010801,5.864196,5.913064,5.913064,9887391
2020-11-16,5.961933,6.255142,5.961933,6.255142,6.255142,32094732
2020-11-17,6.255142,6.401747,6.010801,6.108538,6.108538,12969143
2020-11-18,6.108538,6.206274,6.010801,6.108538,6.108538,7037486
2020-11-19,6.108538,6.206274,5.961933,6.010801,6.010801,22758004
2020-11-20,6.059669,6.206274,5.961933,6.108538,6.108538,15471993
2020-11-23,6.108538,6.352879,6.059669,6.255142,6.255142,22887945
2020-11-24,6.304011,6.304011,5.913064,5.961933,5.961933,19499859
2020-11-25,6.059669,6.157406,5.913064,5.961933,5.961933,20480556
2020-11-26,5.961933,6.010801,5.864196,5.961933,5.961933,34628276
2020-11-27,5.961933,6.304011,5.961933,6.255142,6.255142,28337183
2020-11-30,6.255142,6.352879,6.108538,6.108538,6.108538,22905032
2020-12-01,6.157406,6.304011,6.059669,6.255142,6.255142,26943130
2020-12-02,6.157406,6.548352,6.157406,6.206274,6.206274,67108329
2020-12-03,6.206274,6.450616,6.206274,6.401747,6.401747,25698458
2020-12-04,6.450616,6.694957,6.401747,6.646089,6.646089,42112882
2020-12-08,6.646089,6.89043,6.548352,6.841562,6.841562,39644411
2020-12-09,6.939299,7.085904,6.597221,6.694957,6.694957,31581720
2020-12-14,6.694957,6.841562,6.597221,6.646089,6.646089,18985313
2020-12-15,6.548352,6.743825,6.548352,6.694957,6.694957,11191406
2020-12-16,6.743825,6.988167,6.694957,6.792694,6.792694,28535471
2020-12-17,6.841562,6.89043,6.694957,6.743825,6.743825,13692107
2020-12-18,6.743825,6.792694,6.646089,6.743825,6.743825,4058970
2020-12-21,6.108538,6.499484,6.010801,6.059669,6.059669,34366859
2020-12-22,6.059669,6.157406,5.913064,6.059669,6.059669,21861308
2020-12-23,6.108538,6.255142,5.961933,6.010801,6.010801,14616939
2020-12-24,6.010801,6.206274,5.913064,6.157406,6.157406,11034146
2020-12-25,6.157406,6.401747,6.157406,6.255142,6.255142,13712979
2020-12-28,6.352879,6.597221,6.206274,6.206274,6.206274,11216064
2020-12-29,6.206274,6.401747,6.206274,6.401747,6.401747,5471645
2020-12-30,6.401747,6.401747,6.059669,6.108538,6.108538,15308697
2021-01-04,6.010801,6.206274,5.864196,6.108538,6.108538,17292600
2021-01-05,6.255142,6.597221,6.206274,6.597221,6.597221,19767108
2021-01-06,6.646089,6.694957,6.401747,6.499484,6.499484,11309888
2021-01-07,6.646089,6.646089,6.450616,6.450616,6.450616,9894553
2021-01-08,6.548352,6.548352,6.304011,6.450616,6.450616,11881117
2021-01-11,6.450616,6.694957,6.401747,6.548352,6.548352,18050351
2021-01-12,6.597221,6.792694,6.450616,6.743825,6.743825,26051039
2021-01-13,6.792694,6.792694,6.597221,6.694957,6.694957,20571413
2021-01-14,6.694957,6.694957,6.499484,6.597221,6.597221,20128897
2021-01-15,6.597221,6.646089,6.255142,6.304011,6.304011,15660561
2021-01-18,6.255142,6.352879,6.255142,6.304011,6.304011,5122543
2021-01-19,6.352879,6.597221,6.304011,6.401747,6.401747,17416812
2021-01-20,6.401747,6.450616,6.304011,6.352879,6.352879,9292834
2021-01-21,6.352879,6.597221,6.352879,6.499484,6.499484,12519363
2021-01-22,6.450616,6.548352,6.304011,6.352879,6.352879,10546100
2021-01-25,6.352879,6.352879,6.157406,6.255142,6.255142,10874943
2021-01-26,6.206274,6.401747,6.206274,6.352879,6.352879,10705201
2021-01-27,6.352879,6.401747,6.206274,6.304011,6.304011,5528737
