Date,Open,High,Low,Close,Adj Close,Volume
2016-03-15,0.14,0.15,0.13,0.14,0.14,218434000
2016-03-16,0.15,0.15,0.14,0.15,0.15,75281700
2016-03-17,0.15,0.16,0.15,0.16,0.16,441899600
2016-03-18,0.16,0.17,0.16,0.16,0.16,413465000
2016-03-21,0.16,0.18,0.16,0.17,0.17,633412300
2016-03-22,0.17,0.18,0.17,0.17,0.17,417982900
2016-03-23,0.17,0.18,0.17,0.17,0.17,116215600
2016-03-24,0.17,0.18,0.16,0.17,0.17,370120800
2016-03-25,0.17,0.17,0.16,0.16,0.16,359992600
2016-03-28,0.17,0.17,0.16,0.17,0.17,59315600
2016-03-29,0.16,0.17,0.15,0.15,0.15,359417400
2016-03-30,0.15,0.16,0.15,0.15,0.15,206720400
2016-03-31,0.16,0.16,0.15,0.16,0.16,49502800
2016-04-01,0.16,0.16,0.15,0.16,0.16,155183700
2016-04-04,0.16,0.17,0.15,0.17,0.17,381134400
2016-04-05,0.16,0.17,0.14,0.15,0.15,658114400
2016-04-07,0.15,0.16,0.14,0.14,0.14,335803900
2016-04-08,0.14,0.14,0.13,0.13,0.13,116078100
2016-04-11,0.14,0.14,0.13,0.14,0.14,20179500
2016-04-12,0.14,0.14,0.13,0.14,0.14,9829200
2016-04-18,0.13,0.14,0.13,0.13,0.13,7407500
2016-04-19,0.13,0.15,0.13,0.13,0.13,148848300
2016-04-20,0.14,0.15,0.14,0.14,0.14,20286000
2016-04-21,0.15,0.15,0.14,0.14,0.14,29039700
2016-04-22,0.14,0.15,0.13,0.14,0.14,52814200
2016-04-25,0.13,0.14,0.13,0.13,0.13,10156200
2016-04-26,0.14,0.15,0.13,0.14,0.14,730851200
2016-04-27,0.14,0.15,0.13,0.14,0.14,141707500
2016-04-28,0.14,0.15,0.13,0.13,0.13,58378000
2016-04-29,0.14,0.14,0.12,0.13,0.13,277006200
2016-05-03,0.13,0.14,0.13,0.14,0.14,105932400
2016-05-04,0.13,0.14,0.13,0.13,0.13,43257200
2016-05-09,0.13,0.14,0.13,0.13,0.13,76766500
2016-05-10,0.13,0.14,0.12,0.13,0.13,63782900
2016-05-11,0.13,0.14,0.12,0.13,0.13,24037000
2016-05-12,0.13,0.14,0.12,0.13,0.13,146698700
2016-05-13,0.13,0.14,0.13,0.13,0.13,150862600
2016-05-16,0.13,0.15,0.13,0.13,0.13,951385400
2016-12-21,0.13,0.16,0.13,0.16,0.16,889711600
2016-12-22,0.18,0.19,0.17,0.18,0.18,679886700
2016-12-23,0.18,0.18,0.15,0.16,0.16,281978200
2016-12-26,0.16,0.16,0.14,0.15,0.15,84703000
2016-12-27,0.15,0.15,0.14,0.14,0.14,123197700
2016-12-28,0.14,0.16,0.13,0.15,0.15,105120500
2016-12-29,0.15,0.16,0.15,0.15,0.15,46289100
2016-12-30,0.15,0.16,0.15,0.15,0.15,5099200
2017-01-04,0.16,0.17,0.16,0.16,0.16,74173400
2017-01-05,0.17,0.17,0.16,0.16,0.16,8784700
2017-01-06,0.17,0.17,0.15,0.15,0.15,66406800
2017-01-09,0.16,0.16,0.15,0.15,0.15,19957000
2017-01-10,0.15,0.16,0.15,0.15,0.15,31125400
2017-01-11,0.15,0.16,0.15,0.15,0.15,45705700
2017-01-12,0.16,0.16,0.15,0.15,0.15,31357300
2017-01-13,0.15,0.16,0.15,0.15,0.15,49187700
2017-01-16,0.15,0.16,0.14,0.15,0.15,108878600
2017-01-17,0.15,0.15,0.14,0.14,0.14,15495100
2017-01-18,0.15,0.16,0.14,0.14,0.14,23783800
2017-01-19,0.15,0.15,0.14,0.15,0.15,6065500
2017-01-20,0.14,0.16,0.14,0.15,0.15,29285500
2017-01-23,0.15,0.16,0.15,0.15,0.15,34379000
2017-01-24,0.15,0.15,0.15,0.15,0.15,75565800
2017-01-25,0.15,0.16,0.15,0.15,0.15,10504200
2017-01-26,0.15,0.16,0.15,0.15,0.15,73485100
2017-01-27,0.15,0.16,0.15,0.15,0.15,5352200
2017-01-30,0.16,0.17,0.15,0.16,0.16,116030500
2017-01-31,0.16,0.17,0.15,0.16,0.16,45225200
2017-02-01,0.15,0.16,0.15,0.16,0.16,61925900
2017-02-02,0.16,0.17,0.15,0.16,0.16,69742700
2017-02-03,0.15,0.16,0.15,0.16,0.16,48385500
2017-02-06,0.15,0.17,0.15,0.16,0.16,119396500
2017-02-07,0.16,0.17,0.16,0.16,0.16,11814800
2017-02-08,0.17,0.17,0.15,0.16,0.16,84183500
2017-02-09,0.16,0.17,0.16,0.16,0.16,23144800
2017-02-10,0.16,0.17,0.16,0.16,0.16,17870600
2017-02-14,0.17,0.18,0.16,0.17,0.17,150587600
2017-02-15,0.17,0.18,0.17,0.17,0.17,82074800
2017-02-16,0.17,0.18,0.17,0.17,0.17,5116000
2017-02-17,0.18,0.18,0.17,0.18,0.18,22222200
2017-02-20,0.18,0.18,0.17,0.18,0.18,10097600
2017-02-21,0.17,0.18,0.16,0.16,0.16,55088600
2017-02-22,0.17,0.17,0.16,0.16,0.16,40918300
2017-02-23,0.17,0.17,0.16,0.17,0.17,983600
2017-02-24,0.16,0.17,0.16,0.16,0.16,6441200
2017-02-27,0.17,0.18,0.16,0.17,0.17,53074500
2017-02-28,0.17,0.17,0.15,0.15,0.15,74794900
2019-07-01,0.06,0.12,0.05,0.11,0.11,759399900
2019-07-02,0.11,0.11,0.09,0.1,0.1,99043500
2019-07-03,0.1,0.11,0.1,0.1,0.1,56127500
2019-07-04,0.1,0.13,0.1,0.13,0.13,307038000
2019-07-05,0.14,0.15,0.13,0.14,0.14,88250700
2019-07-08,0.14,0.15,0.14,0.14,0.14,60266300
2019-07-09,0.15,0.15,0.14,0.14,0.14,127147200
2019-07-10,0.14,0.15,0.14,0.14,0.14,105477100
2019-07-11,0.14,0.15,0.14,0.14,0.14,141537100
2019-07-12,0.14,0.15,0.13,0.13,0.13,51044800
2019-07-15,0.13,0.13,0.11,0.12,0.12,191282300
2019-07-17,0.11,0.12,0.11,0.11,0.11,53749200
2019-07-18,0.1,0.11,0.1,0.1,0.1,27086000
2019-07-19,0.1,0.11,0.1,0.1,0.1,14722300
2019-07-22,0.1,0.11,0.1,0.1,0.1,68214600
2019-07-23,0.1,0.11,0.1,0.1,0.1,39129700
2019-07-24,0.1,0.11,0.1,0.1,0.1,29037900
2019-07-25,0.1,0.11,0.09,0.1,0.1,151881100
2019-07-26,0.1,0.1,0.09,0.09,0.09,26198000
2019-07-30,0.09,0.11,0.09,0.1,0.1,111666600
2019-07-31,0.1,0.1,0.09,0.09,0.09,158715600
