Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,10.1,10.2,10.0,10.2,10.2,0
2020-01-03,10.2,10.3,10.0,10.0,10.0,0
2020-01-06,10.1,10.2,10.0,10.1,10.1,0
2020-01-07,10.0,10.2,9.95,10.1,10.1,0
2020-01-08,10.0,10.0,9.95,10.0,10.0,0
2020-01-09,10.0,10.0,9.9,9.9,9.9,0
2020-01-10,9.95,10.0,9.95,9.95,9.95,0
2020-01-13,10.0,10.0,10.0,10.0,10.0,0
2020-01-14,10.0,10.0,9.8,9.8,9.8,0
2020-01-15,10.0,10.2,10.0,10.2,10.2,0
2020-01-16,10.2,10.2,10.2,10.2,10.2,0
2020-01-17,10.3,10.4,10.3,10.3,10.3,0
2020-01-20,10.3,10.4,10.3,10.3,10.3,0
2020-01-21,10.4,10.4,10.4,10.4,10.4,0
2020-01-22,10.3,10.3,10.1,10.1,10.1,0
2020-01-23,10.3,10.3,10.3,10.3,10.3,0
2020-01-24,10.5,10.5,10.3,10.3,10.3,0
2020-01-27,10.2,10.2,10.1,10.1,10.1,0
2020-01-28,10.1,10.2,10.1,10.1,10.1,0
2020-01-29,10.1,10.1,10.1,10.1,10.1,0
2020-01-30,10.2,10.2,10.1,10.1,10.1,0
2020-01-31,10.2,10.2,10.2,10.2,10.2,0
2020-02-04,10.2,10.2,10.2,10.2,10.2,0
2020-02-05,10.1,10.1,10.1,10.1,10.1,0
2020-02-06,10.4,10.4,10.2,10.2,10.2,0
2020-02-07,10.1,10.2,10.1,10.2,10.2,0
2020-02-11,10.2,10.2,10.2,10.2,10.2,0
2020-02-12,10.6,10.6,10.3,10.3,10.3,0
2020-02-13,10.4,10.6,10.4,10.6,10.6,0
2020-02-14,10.5,10.6,10.5,10.5,10.5,0
2020-02-17,10.3,10.3,10.3,10.3,10.3,0
2020-02-18,10.3,10.6,10.3,10.5,10.5,0
2020-02-19,10.5,10.7,10.5,10.7,10.7,0
2020-02-20,10.6,10.6,10.6,10.6,10.6,0
2020-02-21,10.6,10.7,10.6,10.7,10.7,0
2020-02-24,10.8,10.8,10.5,10.5,10.5,0
2020-02-25,10.5,10.6,10.5,10.6,10.6,0
2020-02-26,10.5,10.5,10.5,10.5,10.5,0
2020-02-27,10.5,10.5,10.5,10.5,10.5,0
2020-02-28,10.5,10.5,10.5,10.5,10.5,0
2020-03-02,10.5,10.5,10.1,10.5,10.5,0
2020-03-03,10.5,10.5,10.5,10.5,10.5,0
2020-03-04,10.5,10.5,10.5,10.5,10.5,0
2020-03-05,10.7,10.7,10.7,10.7,10.7,0
2020-03-06,10.4,10.4,10.4,10.4,10.4,0
2020-03-09,10.2,10.2,9.85,9.85,9.85,0
2020-03-10,9.85,10.6,9.8,10.5,10.5,0
2020-03-12,10.0,10.1,10.0,10.0,10.0,0
2020-03-13,9.8,9.9,9.7,9.9,9.9,0
2020-03-16,9.6,9.9,9.4,9.9,9.9,0
2020-03-17,9.5,9.9,9.5,9.5,9.5,0
2020-03-18,9.6,9.65,9.15,9.35,9.35,0
2020-03-19,9.2,9.5,9.2,9.35,9.35,0
2020-03-20,9.1,9.1,9.1,9.1,9.1,0
2020-03-23,9.0,9.65,9.0,9.1,9.1,0
2020-03-24,9.15,9.15,9.0,9.0,9.0,0
2020-03-25,9.0,9.2,8.95,9.1,9.1,0
2020-03-26,9.0,9.0,8.95,8.95,8.95,0
2020-03-27,9.0,9.0,8.6,9.0,9.0,0
2020-03-30,8.65,8.85,8.5,8.55,8.55,0
2020-03-31,8.55,8.95,8.5,8.95,8.95,0
2020-04-02,9.85,9.85,8.8,8.8,8.8,0
2020-04-03,8.7,8.85,8.7,8.85,8.85,0
2020-04-07,9.05,9.1,9.05,9.05,9.05,0
2020-04-08,9.0,9.1,8.85,8.95,8.95,0
2020-04-09,9.0,9.1,8.95,8.95,8.95,0
2020-04-10,9.05,9.05,8.95,8.95,8.95,0
2020-04-13,9.0,9.15,8.5,9.0,9.0,0
2020-04-14,9.1,9.1,8.8,9.05,9.05,0
2020-04-15,9.0,9.1,9.0,9.05,9.05,0
2020-04-16,9.1,9.1,9.0,9.0,9.0,0
