Date,Open,High,Low,Close,Adj Close,Volume
2021-03-24,1.31,1.33,1.3,1.32,1.32,1440368
2021-03-25,1.33,1.38,1.32,1.35,1.35,3364690
2021-03-26,1.37,1.42,1.35,1.3900000000000001,1.3900000000000001,6213185
2021-03-29,1.41,1.52,1.37,1.47,1.47,33674710
2021-03-30,1.47,1.48,1.3900000000000001,1.44,1.44,9015307
2021-03-31,1.44,1.52,1.44,1.49,1.49,13142324
2021-04-01,1.46,1.46,1.46,1.46,1.46,260559
2021-04-02,1.47,1.56,1.46,1.51,1.51,35081770
2021-04-05,1.49,1.5,1.44,1.44,1.44,6043019
2021-04-07,1.42,1.43,1.38,1.38,1.38,4773955
2021-04-08,1.3900000000000001,1.42,1.37,1.3900000000000001,1.3900000000000001,3250173
2021-04-09,1.41,1.45,1.4,1.41,1.41,2564724
2021-04-12,1.4,1.41,1.37,1.37,1.37,2656537
2021-04-16,1.3599999999999999,1.41,1.32,1.4,1.4,3835446
2021-04-19,1.45,1.47,1.42,1.45,1.45,7139159
2021-04-20,1.47,1.55,1.46,1.49,1.49,18062289
2021-04-21,1.49,1.51,1.46,1.48,1.48,3852637
2021-04-22,1.49,1.5,1.46,1.46,1.46,1750980
2021-04-23,1.46,1.75,1.46,1.5699999999999998,1.5699999999999998,92353553
2021-04-26,1.6,1.74,1.56,1.74,1.74,57270532
2021-04-27,1.73,1.74,1.65,1.67,1.67,18778748
2021-04-28,1.6800000000000002,1.76,1.6600000000000001,1.6600000000000001,1.6600000000000001,10285592
2021-04-29,1.6600000000000001,1.69,1.6600000000000001,1.6600000000000001,1.6600000000000001,2402923
2021-04-30,1.6600000000000001,1.67,1.62,1.63,1.63,2758488
2021-05-05,1.63,1.63,1.54,1.56,1.56,4583617
2021-05-06,1.56,1.56,1.5,1.51,1.51,4635312
2021-05-07,1.52,1.65,1.52,1.65,1.65,7416466
2021-05-10,1.6600000000000001,1.6600000000000001,1.62,1.65,1.65,3591203
2021-05-11,1.6400000000000001,1.6400000000000001,1.6,1.62,1.62,1584874
2021-05-12,1.62,1.62,1.56,1.56,1.56,1064090
2021-05-13,1.55,1.5699999999999998,1.37,1.46,1.46,4170293
2021-05-14,1.48,1.52,1.47,1.48,1.48,1367084
2021-05-17,1.27,1.28,1.2,1.22,1.22,19557450
2021-05-18,1.22,1.25,1.21,1.24,1.24,9881640
2021-05-19,1.24,1.26,1.21,1.22,1.22,9199057
2021-05-20,1.22,1.23,1.2,1.22,1.22,8906966
2021-05-21,1.23,1.27,1.21,1.24,1.24,18882561
2021-05-24,1.29,1.3,1.25,1.26,1.26,8496196
2021-05-25,1.25,1.33,1.25,1.27,1.27,33269689
2021-05-27,1.27,1.28,1.26,1.27,1.27,3973336
2021-05-28,1.27,1.33,1.27,1.32,1.32,11943832
2021-05-31,1.32,1.37,1.3,1.37,1.37,31522275
2021-06-01,1.4,1.48,1.3900000000000001,1.47,1.47,27268371
2021-06-02,1.48,1.49,1.44,1.46,1.46,13052002
2021-06-04,1.48,1.48,1.45,1.45,1.45,7825609
2021-06-07,1.46,1.46,1.43,1.43,1.43,5684281
2021-06-08,1.44,1.44,1.4,1.42,1.42,3992083
2021-06-09,1.41,1.42,1.3900000000000001,1.4,1.4,4349413
2021-06-10,1.4,1.47,1.4,1.47,1.47,13077212
2021-06-11,1.46,1.46,1.43,1.44,1.44,6310098
2021-06-14,1.45,1.53,1.45,1.51,1.51,48823801
2021-06-15,1.53,1.55,1.48,1.48,1.48,20899700
2021-06-16,1.49,1.5,1.46,1.47,1.47,5780396
2021-06-17,1.48,1.53,1.47,1.48,1.48,9302329
2021-06-18,1.49,1.49,1.45,1.47,1.47,4093596
2021-06-21,1.46,1.46,1.41,1.43,1.43,5775541
2021-06-22,1.44,1.46,1.44,1.45,1.45,2226034
2021-06-23,1.44,1.45,1.42,1.43,1.43,3679481
2021-06-24,1.42,1.42,1.37,1.4,1.4,4378843
2021-06-25,1.4,1.43,1.3900000000000001,1.41,1.41,1582794
2021-06-28,1.3900000000000001,1.4,1.37,1.38,1.38,2068194
2021-06-29,1.38,1.45,1.38,1.44,1.44,7682308
2021-06-30,1.44,1.46,1.42,1.43,1.43,3263748
2021-07-01,1.43,1.54,1.43,1.54,1.54,29781568
2021-07-02,1.5699999999999998,1.72,1.56,1.58,1.58,127125794
2021-07-05,1.6600000000000001,1.9,1.6,1.83,1.83,268500926
2021-07-06,1.75,1.76,1.67,1.72,1.72,32714308
