Date,Open,High,Low,Close,Adj Close,Volume
2020-09-18,6.5,6.5,6.4,6.4,6.4,17500
2020-09-21,6.45,6.45,6.35,6.45,6.45,69100
2020-09-22,6.5,6.5,6.35,6.45,6.45,74100
2020-09-23,6.5,6.5,6.35,6.4,6.4,85500
2020-09-24,6.4,6.45,6.35,6.35,6.35,61400
2020-09-25,6.4,6.5,6.25,6.4,6.4,510900
2020-09-28,6.35,6.5,6.35,6.35,6.35,10500
2020-09-29,6.45,6.45,6.35,6.4,6.4,10400
2020-09-30,6.45,6.45,6.35,6.4,6.4,12400
2020-10-01,6.45,6.45,6.35,6.4,6.4,20300
2020-10-02,6.45,6.45,6.3,6.35,6.35,30200
2020-10-05,6.4,6.4,6.3,6.4,6.4,8500
2020-10-06,6.35,6.4,6.25,6.3,6.3,129500
2020-10-07,6.35,6.45,6.35,6.4,6.4,76500
2020-10-08,6.45,6.45,6.35,6.35,6.35,41700
2020-10-09,6.4,6.4,6.2,6.2,6.2,187600
2020-10-12,6.2,6.35,6.2,6.3,6.3,81000
2020-10-14,6.25,6.35,6.25,6.3,6.3,56400
2020-10-15,6.3,6.35,6.2,6.3,6.3,93200
2020-10-16,6.35,6.35,6.2,6.25,6.25,26200
2020-10-19,6.3,6.3,6.05,6.05,6.05,329400
2020-10-20,6.1,6.25,6.1,6.2,6.2,142400
2020-10-21,6.25,6.25,6.15,6.25,6.25,25900
2020-10-22,6.3,6.3,6.15,6.2,6.2,240100
2020-10-26,6.2,6.2,6.0,6.1,6.1,269300
2020-10-27,6.15,6.15,6.0,6.05,6.05,60900
2020-10-28,6.15,6.15,6.0,6.1,6.1,100700
2020-10-29,6.1,6.15,6.0,6.05,6.05,32800
2020-10-30,6.15,6.15,6.05,6.05,6.05,129500
2020-11-02,6.1,6.15,6.1,6.1,6.1,460300
2020-11-03,6.15,6.15,6.1,6.15,6.15,52600
2020-11-04,6.15,6.15,6.1,6.1,6.1,45300
2020-11-05,6.1,6.15,6.0,6.1,6.1,218500
2020-11-06,6.1,6.2,6.1,6.15,6.15,217600
2020-11-09,6.15,6.15,6.1,6.15,6.15,204100
