Date,Open,High,Low,Close,Adj Close,Volume
2020-01-06,12.3,12.4,12.2,12.4,12.4,0
2020-01-07,13.9,15.1,12.5,12.5,12.5,0
2020-01-08,12.6,12.6,12.5,12.5,12.5,0
2020-01-09,12.5,12.7,12.5,12.7,12.7,0
2020-01-10,12.5,12.5,12.4,12.5,12.5,0
2020-01-13,12.3,12.5,12.3,12.5,12.5,0
2020-01-14,12.7,13.0,12.3,12.4,12.4,0
2020-01-15,12.4,12.4,12.4,12.4,12.4,0
2020-01-16,12.4,12.4,12.4,12.4,12.4,0
2020-01-17,12.4,12.4,12.4,12.4,12.4,0
2020-01-20,12.4,12.4,12.3,12.4,12.4,0
2020-01-21,12.3,12.4,12.0,12.4,12.4,0
2020-01-22,12.3,12.4,12.3,12.4,12.4,0
2020-01-24,12.4,12.4,12.3,12.3,12.3,0
2020-01-27,12.2,12.3,12.2,12.3,12.3,0
2020-01-28,12.3,12.3,12.3,12.3,12.3,0
2020-01-29,12.2,12.2,12.2,12.2,12.2,0
2020-01-30,12.2,12.2,12.2,12.2,12.2,0
2020-01-31,12.2,12.2,12.2,12.2,12.2,0
2020-02-04,12.2,12.2,12.2,12.2,12.2,0
2020-02-05,12.1,12.2,12.0,12.2,12.2,0
2020-02-06,12.2,12.9,12.2,12.8,12.8,0
2020-02-07,12.2,12.2,12.2,12.2,12.2,0
2020-02-11,12.3,12.3,12.2,12.2,12.2,0
2020-02-12,12.3,12.5,12.3,12.3,12.3,0
2020-02-13,12.3,12.3,12.3,12.3,12.3,0
2020-02-14,12.3,12.3,12.2,12.2,12.2,0
2020-02-17,12.2,12.2,12.2,12.2,12.2,0
2020-02-18,12.2,12.2,12.1,12.1,12.1,0
2020-02-19,12.1,12.1,12.1,12.1,12.1,0
2020-02-20,12.0,12.0,11.8,11.8,11.8,0
2020-02-21,11.9,11.9,11.7,11.7,11.7,0
2020-02-24,11.7,11.7,11.4,11.6,11.6,0
2020-02-25,11.2,11.2,11.2,11.2,11.2,0
2020-02-26,11.2,11.2,11.2,11.2,11.2,0
2020-02-27,11.3,11.4,11.3,11.4,11.4,0
2020-02-28,11.4,11.5,11.4,11.5,11.5,0
2020-03-02,11.5,11.6,11.5,11.6,11.6,0
2020-03-03,11.7,12.0,11.7,11.8,11.8,0
2020-03-04,11.8,12.0,11.7,12.0,12.0,0
2020-03-10,12.0,12.0,12.0,12.0,12.0,0
2020-03-11,12.0,12.0,12.0,12.0,12.0,0
2020-03-12,11.9,11.9,11.5,11.5,11.5,0
2020-03-13,11.3,11.3,11.3,11.3,11.3,0
