Date,Open,High,Low,Close,Adj Close,Volume
2020-09-01,1.54,1.6,1.51,1.6,1.6,917000
2020-09-02,1.59,1.6,1.56,1.58,1.58,212100
2020-09-03,1.55,1.6,1.52,1.6,1.6,906600
2020-09-08,1.6,1.6,1.6,1.6,1.6,156200
2020-09-09,1.59,1.6,1.55,1.6,1.6,59500
2020-09-10,1.58,1.6,1.58,1.6,1.6,49100
2020-09-11,1.61,1.61,1.59,1.6,1.6,38000
2020-09-14,1.6,1.6,1.59,1.6,1.6,144000
2020-09-15,1.6,1.61,1.59,1.6,1.6,54800
2020-09-16,1.61,1.61,1.6,1.6,1.6,21000
2020-09-17,1.6,1.6,1.6,1.6,1.6,102500
2020-09-18,1.6,1.63,1.59,1.61,1.61,334600
2020-09-21,1.63,1.64,1.61,1.61,1.61,1476800
2020-09-22,1.6,1.64,1.6,1.62,1.62,326900
2020-09-23,1.64,1.67,1.62,1.63,1.63,210200
2020-09-24,1.63,1.64,1.62,1.63,1.63,104400
2020-09-25,1.63,1.63,1.62,1.62,1.62,37700
2020-09-28,1.62,1.64,1.62,1.64,1.64,317100
2020-09-29,1.63,1.67,1.63,1.64,1.64,667000
2020-09-30,1.64,1.64,1.63,1.64,1.64,313700
2020-10-01,1.64,1.64,1.64,1.64,1.64,601500
2020-10-02,1.63,1.64,1.63,1.64,1.64,152200
2020-10-05,1.65,1.65,1.64,1.64,1.64,151100
2020-10-06,1.63,1.64,1.62,1.63,1.63,273800
2020-10-07,1.62,1.65,1.62,1.64,1.64,173600
2020-10-08,1.64,1.65,1.64,1.64,1.64,237500
2020-10-09,1.64,1.65,1.63,1.64,1.64,512100
2020-10-12,1.63,1.64,1.63,1.64,1.64,76800
2020-10-14,1.64,1.64,1.63,1.63,1.63,66000
2020-10-15,1.64,1.64,1.63,1.64,1.64,59500
2020-10-16,1.65,1.65,1.64,1.64,1.64,480800
2020-10-19,1.64,1.64,1.63,1.64,1.64,736200
2020-10-20,1.64,1.64,1.63,1.64,1.64,713800
2020-10-21,1.64,1.65,1.62,1.64,1.64,22600
2020-10-22,1.56,1.65,1.53,1.64,1.64,353100
2020-10-26,1.6,1.64,1.6,1.64,1.64,69000
2020-10-27,1.64,1.65,1.63,1.64,1.64,473300
2020-10-28,1.65,1.65,1.64,1.64,1.64,149300
2020-10-29,1.65,1.65,1.64,1.64,1.64,41000
2020-10-30,1.64,1.65,1.63,1.64,1.64,473100
2020-11-02,1.64,1.65,1.64,1.65,1.65,175100
2020-11-03,1.64,1.66,1.64,1.66,1.66,283000
2020-11-04,1.67,1.67,1.66,1.67,1.67,61200
2020-11-05,1.7,1.7,1.67,1.67,1.67,6700
2020-11-06,1.7,1.7,1.68,1.68,1.68,255400
2020-11-09,1.69,1.7,1.67,1.7,1.7,4200
2020-11-11,1.66,1.7,1.63,1.66,1.66,63700
2020-11-13,1.67,1.7,1.66,1.68,1.68,155900
2020-11-16,1.7,1.7,1.67,1.69,1.69,88000
2020-11-17,1.67,1.7,1.67,1.69,1.69,49000
2020-11-19,1.7,1.7,1.67,1.7,1.7,41400
2020-11-20,1.7,1.7,1.68,1.7,1.7,36700
2020-11-23,1.7,1.7,1.67,1.7,1.7,135100
2020-11-24,1.71,1.71,1.67,1.7,1.7,73600
2020-11-25,1.7,1.7,1.67,1.7,1.7,263100
2020-11-26,1.7,1.75,1.7,1.75,1.75,319600
2020-11-27,1.72,1.79,1.72,1.77,1.77,247800
2020-11-30,1.77,1.77,1.73,1.74,1.74,222900
2020-12-01,1.77,1.78,1.69,1.76,1.76,513400
2020-12-02,1.74,1.77,1.72,1.76,1.76,88800
2020-12-03,1.79,1.8,1.7,1.78,1.78,851600
2020-12-04,1.75,1.78,1.74,1.78,1.78,170500
2020-12-08,1.79,1.79,1.75,1.77,1.77,360200
