Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,2.66,2.7,2.64,2.7,2.7,1017200.0
2020-09-24,2.7,2.7,2.64,2.64,2.64,462900.0
2020-09-25,2.66,2.68,2.64,2.66,2.66,512100.0
2020-09-28,2.68,2.74,2.68,2.74,2.74,1287900.0
2020-09-29,2.76,2.76,2.66,2.7,2.7,1238600.0
2020-09-30,2.7,2.7,2.64,2.64,2.64,813900.0
2020-10-01,2.64,2.7,2.64,2.68,2.68,485300.0
2020-10-02,2.68,2.68,2.64,2.68,2.68,596300.0
2020-10-05,2.66,2.7,2.66,2.7,2.7,423200.0
2020-10-06,2.72,2.74,2.7,2.72,2.72,542500.0
2020-10-07,2.72,2.72,2.66,2.72,2.72,542800.0
2020-10-08,2.72,2.72,2.66,2.7,2.7,608300.0
2020-10-09,2.68,2.68,2.62,2.64,2.64,1092100.0
2020-10-12,2.62,2.7,2.62,2.68,2.68,737500.0
2020-10-14,2.64,2.68,2.62,2.68,2.68,170700.0
2020-10-15,2.66,2.68,2.6,2.62,2.62,385700.0
2020-10-16,2.62,2.64,2.54,2.56,2.56,1086600.0
2020-10-19,2.58,2.58,2.52,2.54,2.54,576200.0
2020-10-20,2.56,2.6,2.54,2.6,2.6,1040600.0
2020-10-21,2.6,2.64,2.58,2.64,2.64,246600.0
2020-10-22,2.64,2.64,2.56,2.6,2.6,226300.0
2020-10-26,2.6,2.6,2.56,2.6,2.6,300600.0
2020-10-27,2.6,2.6,2.58,2.6,2.6,75400.0
2020-10-28,2.6,2.62,2.54,2.62,2.62,555200.0
2020-10-29,2.58,2.6,2.56,2.58,2.58,801900.0
2020-10-30,2.58,2.62,2.54,2.58,2.58,1217400.0
2020-11-02,2.58,2.6,2.54,2.6,2.6,301300.0
2020-11-03,2.6,2.6,2.54,2.6,2.6,725400.0
2020-11-04,2.6,2.62,2.56,2.62,2.62,833800.0
2020-11-05,2.6,2.7,2.6,2.68,2.68,1067200.0
2020-11-06,2.7,2.7,2.6,2.64,2.64,1047900.0
2020-11-09,2.64,2.66,2.62,2.66,2.66,976100.0
2020-11-10,2.68,2.72,2.66,2.72,2.72,1393300.0
2020-11-11,2.74,2.74,2.68,2.74,2.74,704500.0
2020-11-12,2.74,2.74,2.66,2.7,2.7,495500.0
2020-11-13,2.72,2.72,2.68,2.72,2.72,443800.0
2020-11-16,2.72,2.72,2.66,2.7,2.7,379000.0
2020-11-17,2.7,2.72,2.68,2.7,2.7,293500.0
2020-11-18,2.7,2.74,2.68,2.74,2.74,638600.0
2020-11-19,2.72,2.74,2.7,2.74,2.74,927200.0
2020-11-20,2.74,2.96,2.74,2.88,2.88,6480700.0
