Date,Open,High,Low,Close,Adj Close,Volume
2021-04-26,2.0,2.0,2.0,2.0,2.0,0
2021-04-27,4.0,5.0,3.32,3.36,3.36,558441300
2021-04-28,3.2,3.36,3.06,3.06,3.06,61856800
2021-04-29,3.14,3.4,3.1,3.32,3.32,67364100
2021-04-30,3.28,3.36,3.18,3.18,3.18,23020900
2021-05-05,3.22,3.24,3.12,3.12,3.12,14892800
2021-05-06,3.14,3.2,3.08,3.12,3.12,10780400
2021-05-07,3.14,3.18,3.08,3.08,3.08,14523100
2021-05-10,3.08,3.1,2.92,2.96,2.96,13086300
2021-05-11,2.94,3.06,2.92,2.98,2.98,18377600
2021-05-12,2.96,3.04,2.92,2.98,2.98,13170600
2021-05-13,3.02,3.16,2.94,3.1,3.1,24034600
2021-05-14,3.2,3.44,3.08,3.24,3.24,127472500
2021-05-17,3.18,3.46,3.1,3.42,3.42,108825500
2021-05-18,3.52,3.54,3.34,3.36,3.36,51075100
2021-05-19,3.38,3.4,3.28,3.28,3.28,19753500
2021-05-20,3.3,3.62,3.28,3.6,3.6,99128100
2021-05-21,3.54,3.7,3.4,3.4,3.4,79174500
2021-05-24,3.44,3.56,3.4,3.5,3.5,32036800
2021-05-25,3.5,3.58,3.42,3.42,3.42,28101200
2021-05-27,3.44,3.46,3.32,3.34,3.34,14988100
2021-05-28,3.34,3.44,3.26,3.3,3.3,12244600
2021-05-31,3.3,3.32,3.22,3.26,3.26,9337100
2021-06-01,3.28,3.4,3.26,3.36,3.36,18258600
2021-06-02,3.36,3.46,3.28,3.28,3.28,27211400
2021-06-04,3.34,3.46,3.32,3.42,3.42,32609800
2021-06-07,3.42,3.44,3.34,3.34,3.34,11048900
2021-06-08,3.36,3.4,3.32,3.32,3.32,5238900
2021-06-09,3.34,3.36,3.26,3.28,3.28,9583500
2021-06-10,3.3,3.38,3.3,3.32,3.32,9180600
2021-06-11,3.34,3.34,3.26,3.28,3.28,6218100
2021-06-14,3.32,3.34,3.28,3.32,3.32,8705200
2021-06-15,3.32,3.34,3.28,3.3,3.3,3315100
2021-06-16,3.3,3.36,3.28,3.3,3.3,7272500
2021-06-17,3.3,3.32,3.24,3.24,3.24,3067200
2021-06-18,3.26,3.28,3.14,3.16,3.16,8617900
2021-06-21,3.12,3.2,3.12,3.18,3.18,2989900
2021-06-22,3.2,3.26,3.16,3.18,3.18,4921700
2021-06-23,3.18,3.2,3.14,3.14,3.14,1913800
