Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,4.5,4.92,4.5,4.82,4.82,73943900
2020-09-24,4.78,4.9,4.66,4.76,4.76,29577600
2020-09-25,5.0,5.2,4.94,5.15,5.15,48219100
2020-09-28,5.4,5.55,5.3,5.4,5.4,45688200
2020-09-29,5.25,5.5,5.25,5.45,5.45,16076500
2020-09-30,5.45,5.5,5.25,5.4,5.4,14368200
2020-10-01,5.5,5.6,5.4,5.45,5.45,9827900
2020-10-02,5.6,5.9,5.6,5.9,5.9,53522500
2020-10-05,6.1,6.25,5.95,5.95,5.95,39970700
2020-10-06,6.0,6.05,5.7,5.8,5.8,25600100
2020-10-07,5.75,5.9,5.65,5.85,5.85,15506600
2020-10-08,5.8,5.8,5.45,5.5,5.5,21147600
2020-10-09,5.3,5.45,5.15,5.25,5.25,18070800
2020-10-12,5.1,5.4,5.05,5.4,5.4,11009400
2020-10-14,5.25,5.35,5.15,5.2,5.2,7883100
2020-10-15,5.15,5.45,5.15,5.4,5.4,14457100
2020-10-16,5.3,5.35,4.94,5.0,5.0,13072500
2020-10-19,4.9,4.9,4.76,4.78,4.78,7823600
2020-10-20,4.74,4.92,4.74,4.88,4.88,7682700
2020-10-21,4.88,5.05,4.66,4.66,4.66,18469800
2020-10-22,4.7,4.96,4.7,4.84,4.84,16249100
2020-10-26,4.92,5.1,4.86,5.1,5.1,16110200
2020-10-27,5.05,5.2,4.92,5.2,5.2,13359800
2020-10-28,5.2,5.2,5.05,5.1,5.1,7966100
2020-10-29,4.98,5.15,4.96,5.0,5.0,6967700
2020-10-30,4.98,4.98,4.86,4.86,4.86,7405900
2020-11-02,4.92,5.1,4.9,5.05,5.05,7322200
2020-11-03,5.1,5.15,4.96,5.1,5.1,8886400
2020-11-04,5.1,5.1,4.94,4.96,4.96,9611600
2020-11-05,4.98,5.1,4.98,4.98,4.98,11060100
2020-11-06,4.98,5.0,4.88,4.92,4.92,6883600
2020-11-09,5.05,5.2,4.98,5.15,5.15,23666000
2020-11-10,5.25,5.3,5.0,5.15,5.15,20871900
2020-11-11,5.05,5.6,5.05,5.55,5.55,40733600
2020-11-12,5.35,5.45,5.2,5.4,5.4,20094700
2020-11-13,5.35,5.6,5.35,5.5,5.5,14703500
2020-11-16,5.5,5.85,5.45,5.7,5.7,23035200
2020-11-17,5.7,5.8,5.3,5.4,5.4,18843800
2020-11-18,5.45,5.65,5.35,5.6,5.6,24267100
2020-11-19,5.65,5.7,5.45,5.55,5.55,15780900
2020-11-20,5.7,6.25,5.7,5.9,5.9,90503800
2020-11-23,6.1,6.4,6.05,6.25,6.25,79479700
2020-11-24,6.35,6.45,6.15,6.2,6.2,47556400
2020-11-25,6.35,6.35,5.85,6.0,6.0,46553200
2020-11-26,6.1,6.45,6.05,6.35,6.35,48495600
2020-11-27,6.3,6.6,6.25,6.4,6.4,35133200
2020-11-30,6.3,6.3,6.05,6.15,6.15,15301700
2020-12-01,6.2,6.25,5.9,6.0,6.0,9559700
2020-12-02,5.95,6.1,5.9,6.0,6.0,7906300
2020-12-03,6.1,6.3,6.1,6.2,6.2,16308800
2020-12-04,6.15,6.25,6.1,6.2,6.2,4727100
2020-12-08,6.1,6.25,6.05,6.15,6.15,11159600
2020-12-09,6.1,6.15,5.65,5.8,5.8,21942600
2020-12-14,6.1,6.25,6.0,6.25,6.25,21670200
2020-12-15,6.15,6.55,6.15,6.5,6.5,35252100
2020-12-16,6.85,7.0,6.7,6.9,6.9,31375600
2020-12-17,6.95,7.2,6.9,7.1,7.1,21411300
2020-12-18,7.0,7.35,6.9,7.35,7.35,15855100
2020-12-21,6.7,7.35,6.7,7.1,7.1,27535600
2020-12-22,7.05,7.05,6.55,6.85,6.85,15169900
2020-12-23,7.0,7.65,6.85,7.4,7.4,24771100
2020-12-24,7.45,7.8,7.3,7.8,7.8,17625900
2020-12-25,7.9,8.3,7.75,8.3,8.3,24160300
2020-12-28,8.25,8.3,7.45,7.8,7.8,33029600
2020-12-29,7.8,8.1,7.65,7.95,7.95,16751500
2020-12-30,8.0,8.0,7.5,7.6,7.6,12943600
2021-01-04,7.25,8.2,7.0,7.95,7.95,21582400
2021-01-05,7.9,8.15,7.7,8.05,8.05,19783900
2021-01-06,8.3,8.55,8.0,8.15,8.15,28162800
2021-01-07,8.35,8.65,8.25,8.45,8.45,36738200
2021-01-08,8.55,8.65,7.8,8.1,8.1,46388300
2021-01-11,8.65,9.35,8.6,8.8,8.8,110396800
2021-01-12,8.95,9.05,8.65,9.0,9.0,45955900
2021-01-13,9.05,9.15,8.65,8.8,8.8,41402000
2021-01-14,8.8,8.8,8.5,8.65,8.65,27511300
2021-01-15,8.5,8.5,8.1,8.15,8.15,45614900
2021-01-18,8.15,8.3,8.0,8.05,8.05,31940300
2021-01-19,8.1,8.15,7.8,7.95,7.95,26130100
2021-01-20,8.1,8.1,7.95,8.05,8.05,23140000
2021-01-21,8.15,8.25,8.0,8.0,8.0,22822400
2021-01-22,8.0,8.05,7.55,7.6,7.6,27072700
2021-01-25,7.8,7.8,7.55,7.65,7.65,16668500
2021-01-26,7.6,7.6,7.35,7.5,7.5,19663200
2021-01-27,7.35,7.55,7.35,7.45,7.45,15270100
2021-01-28,7.3,7.35,7.05,7.05,7.05,27873000
2021-01-29,7.15,7.25,7.05,7.2,7.2,12768500
2021-02-01,7.2,7.55,7.2,7.5,7.5,25387200
2021-02-02,7.5,7.6,7.35,7.4,7.4,15376000
2021-02-03,7.4,7.55,7.3,7.4,7.4,11827000
2021-02-04,7.4,7.45,7.3,7.35,7.35,3628500
2021-02-05,7.45,7.85,7.4,7.7,7.7,35043600
2021-02-08,7.75,8.05,7.75,8.05,8.05,21257400
2021-02-09,8.05,8.1,7.9,7.9,7.9,11609000
2021-02-10,8.05,8.05,7.85,7.9,7.9,7926200
2021-02-11,7.9,8.35,7.8,8.3,8.3,23060100
2021-02-15,8.7,8.7,8.4,8.55,8.55,28981800
2021-02-16,8.75,8.95,8.6,8.6,8.6,50315300
2021-02-17,8.8,9.0,8.75,8.85,8.85,48109500
2021-02-18,9.1,9.35,9.05,9.35,9.35,48697500
2021-02-19,9.1,9.55,8.75,9.55,9.55,49615900
2021-02-22,9.35,10.7,9.3,10.4,10.4,88311700
2021-02-23,10.5,11.5,10.2,11.2,11.2,58412500
2021-02-24,11.8,11.8,11.0,11.3,11.3,51346100
2021-02-25,11.4,11.9,11.0,11.0,11.0,44969200
2021-03-01,10.3,11.8,9.95,11.4,11.4,31114800
2021-03-02,11.6,12.9,11.5,12.7,12.7,40406800
2021-03-03,12.7,13.0,12.3,12.6,12.6,20593200
2021-03-04,12.6,12.7,11.8,12.3,12.3,21902100
2021-03-05,12.3,13.0,12.2,12.9,12.9,14202200
