Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,3.88,3.92,3.86,3.88,3.88,1184700
2020-09-24,3.88,3.88,3.8,3.82,3.82,1108000
2020-09-25,3.82,3.82,3.7,3.7,3.7,1742200
2020-09-28,3.7,3.9,3.7,3.72,3.72,5876000
2020-09-29,3.74,3.74,3.66,3.7,3.7,2081200
2020-09-30,3.7,3.72,3.54,3.56,3.56,2249300
2020-10-01,3.54,3.56,3.46,3.48,3.48,3401000
2020-10-02,3.48,3.48,3.42,3.46,3.46,1584400
2020-10-05,3.48,3.52,3.44,3.5,3.5,897100
2020-10-06,3.52,3.58,3.52,3.54,3.54,2489800
2020-10-07,3.56,3.66,3.56,3.64,3.64,1611700
2020-10-08,3.68,3.74,3.66,3.7,3.7,1654900
2020-10-09,3.76,3.76,3.68,3.68,3.68,1468100
2020-10-12,3.7,3.7,3.64,3.68,3.68,636400
2020-10-14,3.68,3.68,3.6,3.62,3.62,1053200
2020-10-15,3.62,3.64,3.54,3.56,3.56,1105600
2020-10-16,3.54,3.58,3.52,3.54,3.54,568100
2020-10-19,3.54,3.54,3.42,3.46,3.46,870300
2020-10-20,3.46,3.5,3.44,3.48,3.48,449100
2020-10-21,3.48,3.56,3.48,3.54,3.54,716800
2020-10-22,3.58,3.58,3.5,3.54,3.54,501700
2020-10-26,3.56,3.58,3.52,3.54,3.54,671300
2020-10-27,3.52,3.52,3.48,3.48,3.48,396800
2020-10-28,3.48,3.48,3.44,3.44,3.44,1078600
2020-10-29,3.42,3.44,3.4,3.42,3.42,654300
2020-10-30,3.42,3.48,3.42,3.44,3.44,559300
2020-11-02,3.4,3.44,3.38,3.44,3.44,575600
2020-11-03,3.46,3.56,3.46,3.56,3.56,575500
2020-11-04,3.58,3.6,3.52,3.56,3.56,340700
2020-11-05,3.56,3.68,3.56,3.64,3.64,1054000
2020-11-06,3.64,3.68,3.6,3.6,3.6,378500
2020-11-09,3.62,3.7,3.62,3.64,3.64,811600
