Date,Open,High,Low,Close,Adj Close,Volume
2020-07-14,4.62,4.66,4.62,4.66,4.66,1400
2020-07-15,4.6,4.76,4.6,4.64,4.64,19900
2020-07-16,4.76,4.8,4.76,4.78,4.78,6800
2020-07-17,4.9,4.9,4.74,4.76,4.76,7200
2020-07-21,4.84,4.84,4.82,4.84,4.84,1300
2020-07-23,5.0,5.0,4.74,4.74,4.74,1000
2020-07-29,4.74,4.8,4.7,4.8,4.8,35800
2020-07-30,4.68,4.68,4.68,4.68,4.68,100
2020-07-31,4.68,4.8,4.68,4.78,4.78,15800
2020-08-03,4.78,4.78,4.78,4.78,4.78,1200
2020-08-04,4.96,5.0,4.9,4.9,4.9,16300
2020-08-05,4.9,4.92,4.9,4.9,4.9,16000
2020-08-06,4.9,4.9,4.88,4.88,4.88,6000
2020-08-10,4.98,4.98,4.8,4.8,4.8,55400
2020-08-11,4.82,4.84,4.82,4.84,4.84,6000
2020-08-13,4.84,4.84,4.82,4.82,4.82,28400
2020-08-17,4.84,4.86,4.84,4.86,4.86,20100
2020-08-18,4.88,4.88,4.84,4.84,4.84,20300
2020-08-19,4.86,4.86,4.74,4.74,4.74,19000
2020-08-20,4.64,4.82,4.64,4.82,4.82,2200
2020-08-21,4.8,4.8,4.64,4.64,4.64,500
2020-08-24,4.84,4.84,4.82,4.82,4.82,500
2020-08-25,4.8,4.8,4.64,4.64,4.64,19200
2020-08-28,4.68,4.76,4.68,4.76,4.76,2400
2020-08-31,4.76,4.76,4.66,4.74,4.74,19000
2020-09-15,4.5,4.7,4.5,4.58,4.58,2000
2020-09-18,4.82,4.82,4.82,4.82,4.82,200
2020-09-21,4.54,4.54,4.54,4.54,4.54,5900
2020-09-22,4.54,4.54,4.54,4.54,4.54,100
2020-09-23,4.96,4.96,4.96,4.96,4.96,100
2020-09-25,4.88,4.88,4.88,4.88,4.88,4200
2020-10-01,4.7,4.7,4.7,4.7,4.7,200
2020-10-08,4.74,4.76,4.74,4.76,4.76,16800
2020-10-09,4.62,5.0,4.62,5.0,5.0,5600
2020-10-12,5.0,5.0,5.0,5.0,5.0,29000
2020-10-15,4.8,4.8,4.8,4.8,4.8,3900
2020-10-21,4.62,4.62,4.62,4.62,4.62,1000
2020-10-26,4.8,4.8,4.64,4.66,4.66,1400
2020-10-27,4.6,4.7,4.6,4.7,4.7,1400
2020-10-28,4.62,4.62,4.6,4.6,4.6,15000
2020-10-30,4.88,4.98,4.88,4.98,4.98,400
2020-11-04,4.98,4.98,4.68,4.68,4.68,1200
2020-11-05,4.7,4.7,4.7,4.7,4.7,100
2020-11-06,4.7,4.7,4.7,4.7,4.7,200
2020-11-10,4.66,4.68,4.66,4.66,4.66,6100
2020-11-12,4.7,4.7,4.64,4.7,4.7,37500
2020-11-13,4.7,4.7,4.62,4.62,4.62,5900
2020-11-16,4.68,4.68,4.62,4.62,4.62,29700
