Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,2.16,2.22,2.16,2.22,2.22,18716300
2020-09-24,2.2,2.22,2.18,2.22,2.22,13062800
2020-09-25,2.2,2.22,2.18,2.18,2.18,10847500
2020-09-28,2.18,2.2,2.18,2.18,2.18,12123100
2020-09-29,2.2,2.22,2.18,2.2,2.2,7501800
2020-09-30,2.2,2.24,2.18,2.2,2.2,12762500
2020-10-01,2.22,2.22,2.18,2.2,2.2,9048400
2020-10-02,2.22,2.24,2.18,2.18,2.18,9580700
2020-10-05,2.18,2.2,2.12,2.12,2.12,34143200
2020-10-06,2.12,2.18,2.1,2.12,2.12,42181200
2020-10-07,2.14,2.16,2.1,2.12,2.12,36202500
2020-10-08,2.12,2.18,2.12,2.16,2.16,26024200
2020-10-09,2.16,2.16,2.1,2.14,2.14,33561800
2020-10-12,2.16,2.16,2.12,2.16,2.16,20103100
2020-10-14,2.16,2.18,2.12,2.18,2.18,22767600
2020-10-15,2.18,2.18,2.12,2.12,2.12,28327400
2020-10-16,2.14,2.14,2.06,2.1,2.1,52461000
2020-10-19,2.1,2.1,2.04,2.04,2.04,37156900
2020-10-20,2.04,2.1,2.04,2.1,2.1,13146700
2020-10-21,2.1,2.12,2.08,2.12,2.12,18377400
2020-10-22,2.1,2.18,2.08,2.14,2.14,85125400
2020-10-26,2.14,2.16,2.08,2.08,2.08,22284500
2020-10-27,2.08,2.16,2.08,2.16,2.16,15778100
2020-10-28,2.14,2.16,2.1,2.14,2.14,15490900
2020-10-29,2.12,2.14,2.1,2.1,2.1,17455300
2020-10-30,2.1,2.12,2.06,2.08,2.08,23841100
2020-11-02,2.1,2.1,2.06,2.1,2.1,12096700
2020-11-03,2.1,2.12,2.08,2.08,2.08,19579200
2020-11-04,2.1,2.12,2.08,2.1,2.1,5889600
2020-11-05,2.12,2.14,2.1,2.12,2.12,15230000
2020-11-06,2.12,2.16,2.12,2.12,2.12,17060400
2020-11-09,2.14,2.22,2.14,2.22,2.22,33273300
2020-11-10,2.24,2.26,2.16,2.2,2.2,82810000
2020-11-11,2.24,2.28,2.2,2.24,2.24,71227300
2020-11-12,2.26,2.26,2.2,2.22,2.22,27717300
2020-11-13,2.22,2.26,2.2,2.26,2.26,14507200
2020-11-16,2.26,2.28,2.22,2.22,2.22,33171600
2020-11-17,2.24,2.3,2.22,2.26,2.26,45784800
2020-11-18,2.24,2.28,2.22,2.26,2.26,14840500
2020-11-19,2.28,2.3,2.26,2.28,2.28,23942800
2020-11-20,2.28,2.32,2.28,2.28,2.28,32390600
2020-11-23,2.3,2.32,2.28,2.3,2.3,47698400
2020-11-24,2.32,2.32,2.28,2.3,2.3,28960800
2020-11-25,2.32,2.32,2.26,2.28,2.28,41905800
2020-11-26,2.3,2.32,2.28,2.3,2.3,25748300
2020-11-27,2.3,2.38,2.28,2.32,2.32,59155400
2020-11-30,2.32,2.34,2.26,2.32,2.32,63346200
2020-12-01,2.3,2.34,2.3,2.34,2.34,24374000
2020-12-02,2.34,2.36,2.3,2.32,2.32,22972600
2020-12-03,2.3,2.38,2.3,2.36,2.36,28426800
2020-12-04,2.36,2.4,2.34,2.36,2.36,46228300
2020-12-08,2.36,2.4,2.34,2.36,2.36,39996000
2020-12-09,2.36,2.44,2.36,2.38,2.38,103814100
2020-12-14,2.38,2.46,2.38,2.42,2.42,66580200
2020-12-15,2.42,2.44,2.38,2.42,2.42,23015300
2020-12-16,2.42,2.48,2.4,2.46,2.46,47059300
2020-12-17,2.46,2.52,2.44,2.48,2.48,53574500
2020-12-18,2.5,2.56,2.48,2.52,2.52,52251900
2020-12-21,2.4,2.42,2.34,2.34,2.34,88509800
