Date,Open,High,Low,Close,Adj Close,Volume
2021-09-17,9.9,9.95,9.9,9.95,9.95,740500
2021-09-20,9.95,10.0,9.85,9.9,9.9,882600
2021-09-21,9.9,9.95,9.8,9.95,9.95,506700
2021-09-22,9.95,9.95,9.85,9.95,9.95,587300
2021-09-23,9.95,9.95,9.85,9.85,9.85,435100
2021-09-27,9.85,9.95,9.8,9.8,9.8,862200
2021-09-28,9.8,9.95,9.8,9.9,9.9,282000
2021-09-29,9.9,9.95,9.8,9.85,9.85,744600
2021-09-30,9.85,9.9,9.8,9.8,9.8,572600
2021-10-01,9.9,9.9,9.8,9.8,9.8,102700
2021-10-04,9.8,9.9,9.8,9.85,9.85,66800
2021-10-05,9.85,9.9,9.8,9.85,9.85,138800
2021-10-06,9.85,9.9,9.8,9.9,9.9,264600
2021-10-07,9.9,9.95,9.9,9.95,9.95,385700
2021-10-08,9.95,10.0,9.9,9.9,9.9,92500
2021-10-11,9.95,9.95,9.8,9.8,9.8,341900
2021-10-12,9.85,9.9,9.8,9.9,9.9,265900
2021-10-14,9.85,9.9,9.85,9.9,9.9,224300
2021-10-15,9.85,9.95,9.85,9.9,9.9,86400
2021-10-18,9.85,9.95,9.85,9.95,9.95,167200
2021-10-19,9.95,9.95,9.9,9.95,9.95,65100
2021-10-20,9.95,9.95,9.9,9.9,9.9,86700
2021-10-21,9.95,10.0,9.9,9.95,9.95,204700
2021-10-25,9.95,10.0,9.95,10.0,10.0,32300
2021-10-26,10.0,10.1,9.95,10.1,10.1,266300
2021-10-27,10.1,10.1,10.0,10.1,10.1,37100
2021-10-28,10.1,10.1,10.0,10.0,10.0,25000
2021-10-29,10.1,10.2,10.0,10.1,10.1,353900
2021-11-01,10.2,10.4,10.1,10.3,10.3,1010100
2021-11-02,10.4,10.4,10.2,10.4,10.4,523600
2021-11-03,10.3,10.3,10.2,10.2,10.2,220300
2021-11-04,10.2,10.3,10.2,10.3,10.3,307600
2021-11-05,10.3,10.4,10.2,10.3,10.3,666700
2021-11-08,10.3,10.4,10.2,10.4,10.4,408500
2021-11-09,10.2,10.3,10.2,10.3,10.3,564700
2021-11-10,10.2,10.3,10.2,10.3,10.3,262600
2021-11-11,10.3,10.3,10.1,10.1,10.1,172700
2021-11-12,10.2,10.3,10.2,10.2,10.2,314800
2021-11-15,10.2,10.3,10.2,10.3,10.3,168100
2021-11-16,10.3,10.5,10.2,10.4,10.4,980400
2021-11-17,10.4,10.5,10.3,10.5,10.5,481700
2021-11-18,10.5,10.6,10.4,10.5,10.5,557300
2021-11-19,10.5,10.6,10.5,10.5,10.5,269000
2021-11-22,10.5,10.7,10.5,10.6,10.6,197300
2021-11-23,10.7,10.7,10.6,10.7,10.7,261400
2021-11-24,10.7,11.1,10.7,11.0,11.0,818700
2021-11-25,11.1,11.2,11.0,11.1,11.1,621600
2021-11-26,11.1,11.1,10.9,11.0,11.0,1401800
2021-11-29,11.0,11.1,10.7,10.9,10.9,959200
2021-11-30,10.9,11.0,10.8,10.9,10.9,438400
2021-12-01,10.8,10.9,10.6,10.9,10.9,422400
2021-12-02,10.9,11.0,10.8,11.0,11.0,518900
2021-12-03,11.0,11.0,10.9,10.9,10.9,33200
2021-12-07,10.9,11.0,10.9,11.0,11.0,433900
2021-12-08,11.0,11.0,10.9,11.0,11.0,73500
2021-12-09,11.0,11.2,11.0,11.1,11.1,345500
2021-12-13,11.1,11.2,11.0,11.2,11.2,544300
2021-12-14,11.2,11.2,11.0,11.1,11.1,474300
2021-12-15,11.1,11.2,11.0,11.1,11.1,472900
2021-12-16,11.1,11.1,10.9,10.9,10.9,691500
2021-12-17,10.9,11.0,10.9,11.0,11.0,500800
2021-12-20,10.9,11.0,10.8,10.9,10.9,455700
2021-12-21,10.8,11.0,10.8,10.9,10.9,150000
2021-12-22,11.0,11.0,10.9,11.0,11.0,197700
2021-12-23,10.9,11.0,10.9,11.0,11.0,140500
2021-12-24,10.9,11.0,10.9,11.0,11.0,51000
2021-12-27,11.0,11.0,10.9,10.9,10.9,52200
2021-12-28,10.9,11.0,10.9,11.0,11.0,67800
2021-12-29,10.9,11.0,10.9,11.0,11.0,262700
2021-12-30,11.0,11.1,10.9,10.9,10.9,322000
2022-01-04,11.0,11.0,10.9,11.0,11.0,376500
2022-01-05,11.0,11.0,10.9,10.9,10.9,106100
2022-01-06,10.9,11.0,10.9,10.9,10.9,203200
2022-01-07,10.9,11.0,10.8,10.8,10.8,1244700
2022-01-10,10.9,10.9,10.8,10.9,10.9,182600
2022-01-11,10.9,10.9,10.8,10.9,10.9,74500
2022-01-12,10.9,10.9,10.8,10.9,10.9,429400
2022-01-13,10.8,10.9,10.8,10.9,10.9,295100
2022-01-14,10.8,10.9,10.8,10.9,10.9,102100
2022-01-17,10.9,10.9,10.8,10.9,10.9,227800
2022-01-18,10.9,10.9,10.8,10.9,10.9,579500
2022-01-19,10.9,10.9,10.8,10.8,10.8,211900
2022-01-20,10.9,11.0,10.9,11.0,11.0,138800
2022-01-21,11.0,11.0,10.9,10.9,10.9,183900
2022-01-24,10.9,10.9,10.8,10.9,10.9,329000
2022-01-25,10.8,10.9,10.8,10.9,10.9,502000
2022-01-26,10.9,10.9,10.8,10.8,10.8,403700
2022-01-27,10.8,10.9,10.8,10.9,10.9,223400
2022-01-28,10.9,10.9,10.8,10.9,10.9,133400
2022-01-31,10.9,10.9,10.8,10.9,10.9,420700
2022-02-01,10.9,11.0,10.9,10.9,10.9,188500
2022-02-02,11.0,11.0,10.9,11.0,11.0,397600
2022-02-03,11.0,11.0,10.9,11.0,11.0,75600
2022-02-04,11.0,11.0,10.9,11.0,11.0,131000
2022-02-07,11.0,11.1,10.9,11.1,11.1,270800
2022-02-08,11.0,11.1,11.0,11.1,11.1,110600
2022-02-09,11.1,11.1,10.9,11.0,11.0,406400
2022-02-10,11.0,11.1,11.0,11.1,11.1,320700
2022-02-11,11.0,11.1,11.0,11.1,11.1,130200
2022-02-14,11.0,11.0,10.9,11.0,11.0,358300
2022-02-15,10.9,11.1,10.9,11.1,11.1,241400
2022-02-17,11.0,11.1,11.0,11.1,11.1,219800
2022-02-18,11.1,11.2,11.1,11.2,11.2,306000
2022-02-21,11.2,11.3,11.1,11.2,11.2,403000
2022-02-22,11.2,11.2,11.1,11.1,11.1,345000
2022-02-23,11.1,11.2,11.0,11.2,11.2,426600
2022-02-24,11.2,11.2,10.7,10.8,10.8,1327800
2022-02-25,10.8,11.0,10.8,11.0,11.0,222400
2022-02-28,10.8,11.0,10.8,10.9,10.9,112100
2022-03-01,10.9,11.0,10.8,10.9,10.9,397700
2022-03-02,10.9,10.9,10.8,10.9,10.9,477900
2022-03-03,10.9,11.1,10.9,11.0,11.0,346200
2022-03-04,11.0,11.0,10.9,11.0,11.0,225100
2022-03-07,10.9,11.0,10.7,10.9,10.9,460100
2022-03-08,10.7,10.8,10.2,10.7,10.7,2515700
2022-03-09,10.6,10.8,10.6,10.8,10.8,437300
2022-03-10,10.7,10.8,10.6,10.7,10.7,855400
2022-03-11,10.7,10.7,10.6,10.7,10.7,121200
2022-03-14,10.7,10.7,10.6,10.7,10.7,27200
2022-03-15,10.7,10.7,10.6,10.7,10.7,274100
2022-03-16,10.6,10.7,10.5,10.7,10.7,195100
2022-03-17,10.7,10.8,10.7,10.7,10.7,224200
2022-03-18,10.8,10.8,10.6,10.6,10.6,195800
2022-03-21,10.6,10.7,10.5,10.5,10.5,165000
2022-03-22,10.6,10.7,10.5,10.5,10.5,218800
2022-03-23,10.6,10.6,10.5,10.5,10.5,215500
2022-03-24,10.6,10.6,10.6,10.6,10.6,137700
2022-03-25,10.6,10.6,10.5,10.5,10.5,568100
2022-03-28,10.5,10.6,10.4,10.5,10.5,346100
2022-03-29,10.6,10.6,10.5,10.6,10.6,66000
2022-03-30,10.6,10.6,10.5,10.6,10.6,97600
2022-03-31,10.6,10.7,10.6,10.7,10.7,151300
2022-04-01,10.7,10.7,10.7,10.7,10.7,137200
2022-04-04,10.7,10.7,10.5,10.6,10.6,445200
2022-04-05,10.6,10.6,10.4,10.6,10.6,584500
2022-04-07,10.6,10.6,10.5,10.5,10.5,66600
2022-04-08,10.5,10.6,10.4,10.5,10.5,539600
2022-04-11,10.4,10.6,10.4,10.4,10.4,365800
2022-04-12,10.4,10.6,10.4,10.5,10.5,140800
2022-04-18,10.6,10.7,10.5,10.6,10.6,286700
2022-04-19,10.6,10.6,10.5,10.5,10.5,401500
2022-04-20,10.6,10.7,10.6,10.6,10.6,342900
2022-04-21,10.7,10.7,10.6,10.6,10.6,320800
2022-04-22,10.5,10.6,10.5,10.5,10.5,231200
2022-04-25,10.5,10.6,10.4,10.4,10.4,226600
2022-04-26,10.5,10.5,10.4,10.4,10.4,403100
2022-04-27,10.4,10.5,10.3,10.4,10.4,346500
2022-04-28,10.4,10.4,10.3,10.4,10.4,251700
2022-04-29,10.4,10.4,10.2,10.2,10.2,728200
2022-05-03,10.3,10.3,9.95,10.1,10.1,740300
2022-05-05,10.2,10.2,10.1,10.2,10.2,246000
2022-05-06,10.1,10.1,9.95,10.0,10.0,425700
2022-05-09,10.0,10.1,9.85,9.9,9.9,1083700
2022-05-10,9.9,9.95,9.85,9.9,9.9,552600
2022-05-11,9.9,10.0,9.9,9.95,9.95,180900
2022-05-12,9.95,9.95,9.85,9.9,9.9,333100
2022-05-13,9.85,9.95,9.8,9.95,9.95,320500
2022-05-17,9.95,9.95,9.9,9.95,9.95,173200
2022-05-18,9.95,10.0,9.95,10.0,10.0,60000
2022-05-19,10.0,10.0,9.95,9.95,9.95,205300
2022-05-20,10.0,10.1,10.0,10.1,10.1,71800
2022-05-23,10.1,10.1,10.0,10.1,10.1,93311
2022-05-24,10.1,10.2,10.0,10.2,10.2,167901
2022-05-25,10.1,10.2,10.0,10.2,10.2,64200
2022-05-26,10.1,10.2,10.0,10.2,10.2,41152
2022-05-27,10.2,10.2,10.0,10.2,10.2,63490
2022-05-30,10.2,10.3,10.1,10.1,10.1,72250
2022-05-31,10.1,10.2,10.1,10.1,10.1,71408
2022-06-01,10.1,10.2,10.1,10.1,10.1,51100
2022-06-02,10.1,10.3,10.1,10.1,10.1,197100
2022-06-06,10.2,10.2,10.1,10.2,10.2,54200
2022-06-07,10.2,10.2,10.0,10.0,10.0,105915
2022-06-08,10.1,10.2,10.0,10.2,10.2,249246
2022-06-09,10.1,10.2,10.1,10.1,10.1,146909
2022-06-10,10.1,10.2,10.0,10.1,10.1,136150
2022-06-13,10.1,10.1,10.0,10.0,10.0,318125
2022-06-14,10.0,10.1,9.95,10.0,10.0,79722
2022-06-15,10.0,10.1,9.95,10.1,10.1,97973
2022-06-16,10.1,10.1,7.1,9.9,9.9,858399
2022-06-17,9.95,9.95,9.65,9.7,9.7,1136900
2022-06-20,9.65,9.8,9.65,9.75,9.75,192931
2022-06-21,9.75,9.85,9.75,9.85,9.85,87357
2022-06-22,9.9,9.9,9.8,9.85,9.85,81855
2022-06-23,9.85,9.85,9.6,9.7,9.7,788321
2022-06-24,9.7,9.8,9.65,9.75,9.75,255207
2022-06-27,9.75,9.8,9.75,9.8,9.8,218160
2022-06-28,9.75,9.85,9.75,9.8,9.8,354620
2022-06-29,9.8,9.8,9.75,9.75,9.75,224649
2022-06-30,9.8,9.8,9.75,9.8,9.8,181641
2022-07-01,9.8,9.85,9.65,9.8,9.8,493562
2022-07-04,9.75,9.75,9.6,9.65,9.65,903625
2022-07-05,9.65,9.7,9.65,9.7,9.7,315900
2022-07-06,9.7,9.7,9.55,9.55,9.55,309620
2022-07-07,9.6,9.65,9.55,9.6,9.6,252017
2022-07-08,9.6,9.6,9.35,9.5,9.5,945403
2022-07-11,9.5,9.5,9.35,9.4,9.4,532730
2022-07-12,9.35,9.5,9.35,9.45,9.45,245115
2022-07-14,9.45,9.5,9.45,9.5,9.5,37812
2022-07-15,9.5,9.5,9.35,9.4,9.4,116128
2022-07-18,9.35,9.5,9.35,9.5,9.5,127908
2022-07-19,9.5,9.5,9.4,9.5,9.5,54900
2022-07-20,9.4,9.45,9.4,9.4,9.4,158300
2022-07-21,9.35,9.45,9.35,9.45,9.45,222000
2022-07-22,9.4,9.5,9.4,9.45,9.45,100000
2022-07-25,9.5,9.55,9.45,9.5,9.5,61907
2022-07-26,9.5,9.55,9.45,9.55,9.55,64610
2022-07-27,9.55,9.55,9.5,9.55,9.55,17005
2022-08-01,9.55,9.6,9.5,9.5,9.5,123277
2022-08-02,9.55,9.55,9.45,9.45,9.45,257833
2022-08-03,9.45,9.5,9.45,9.5,9.5,111608
2022-08-04,9.5,9.55,9.5,9.5,9.5,99700
2022-08-05,9.5,9.55,9.45,9.45,9.45,138900
2022-08-08,9.55,9.55,9.4,9.45,9.45,370546
2022-08-09,9.4,9.5,9.4,9.5,9.5,278600
2022-08-10,9.5,9.5,9.45,9.45,9.45,100141
2022-08-11,9.45,9.55,9.45,9.5,9.5,580656
2022-08-15,9.55,9.6,9.45,9.55,9.55,609624
2022-08-16,9.55,9.6,9.45,9.55,9.55,152775
2022-08-17,9.5,9.6,9.5,9.55,9.55,265791
2022-08-18,9.55,9.7,9.55,9.65,9.65,409869
2022-08-19,9.6,9.7,9.6,9.65,9.65,177525
2022-08-22,9.65,9.7,9.6,9.6,9.6,100604
2022-08-23,9.65,9.65,9.6,9.6,9.6,63800
2022-08-24,9.6,9.65,9.6,9.6,9.6,136920
2022-08-25,9.65,9.7,9.6,9.7,9.7,170217
2022-08-26,9.65,9.7,9.65,9.65,9.65,84509
2022-08-29,9.65,9.7,9.65,9.65,9.65,135230
2022-08-30,9.65,9.7,9.65,9.7,9.7,45535
2022-08-31,9.7,9.75,9.7,9.7,9.7,100730
2022-09-01,9.75,9.75,9.65,9.7,9.7,81962
2022-09-02,9.7,9.7,9.65,9.65,9.65,54670
2022-09-05,9.7,9.75,9.65,9.75,9.75,438592
2022-09-06,9.75,9.75,9.7,9.75,9.75,340468
2022-09-07,9.7,9.7,9.6,9.65,9.65,111473
2022-09-08,9.6,9.75,9.6,9.65,9.65,462800
2022-09-09,9.7,9.7,9.65,9.7,9.7,52201
2022-09-12,9.65,9.65,9.55,9.55,9.55,580456
2022-09-13,9.55,9.65,9.55,9.65,9.65,88905
2022-09-14,9.6,9.65,9.6,9.65,9.65,193800
2022-09-15,9.6,9.65,9.6,9.65,9.65,130101
2022-09-16,9.6,9.65,9.3,9.3,9.3,594200
2022-09-19,9.4,9.55,9.35,9.55,9.55,177400
2022-09-20,9.55,9.6,9.5,9.5,9.5,202900
2022-09-21,9.5,9.5,9.45,9.45,9.45,315322
2022-09-22,9.5,9.6,9.45,9.55,9.55,336502
2022-09-23,9.6,9.65,9.55,9.6,9.6,249450
2022-09-26,9.6,9.65,9.55,9.55,9.55,339710
