Date,Open,High,Low,Close,Adj Close,Volume
2020-07-31,27.9,27.9,27.8,27.8,27.8,6500
2020-08-03,28.0,28.0,28.0,28.0,28.0,1500
2020-08-04,28.0,28.0,27.8,27.8,27.8,1500
2020-08-05,28.0,28.0,27.8,27.8,27.8,1500
2020-08-07,28.0,28.0,27.8,27.8,27.8,2500
2020-08-10,27.7,27.9,27.7,27.9,27.9,5000
2020-08-11,27.9,27.9,27.9,27.9,27.9,9500
2020-08-13,27.8,27.8,27.8,27.8,27.8,10500
2020-08-17,27.7,27.7,27.7,27.7,27.7,3500
2020-08-18,27.6,27.7,27.6,27.6,27.6,30500
2020-08-19,27.5,27.8,27.5,27.6,27.6,26500
2020-08-20,27.8,27.8,27.8,27.8,27.8,3000
2020-08-21,27.8,27.8,27.6,27.6,27.6,14000
2020-08-25,27.8,27.8,27.8,27.8,27.8,1500
2020-08-26,27.8,27.8,27.7,27.8,27.8,56500
2020-08-27,27.7,27.7,27.7,27.7,27.7,2000
2020-08-31,27.8,27.8,27.8,27.8,27.8,10500
2020-09-02,27.7,27.8,27.7,27.8,27.8,39000
2020-09-03,27.8,27.8,27.8,27.8,27.8,10500
2020-09-08,27.8,27.8,27.7,27.7,27.7,10500
2020-09-09,27.7,27.7,27.6,27.6,27.6,6500
2020-09-14,27.7,27.7,27.7,27.7,27.7,21500
2020-09-15,27.7,27.7,27.6,27.7,27.7,59000
2020-09-17,27.7,27.7,27.7,27.7,27.7,152000
2020-09-18,27.7,27.7,27.6,27.6,27.6,197500
2020-09-21,27.7,27.7,27.6,27.6,27.6,2500
2020-09-22,27.6,27.8,27.6,27.6,27.6,111500
2020-09-23,27.6,27.6,27.6,27.6,27.6,14000
2020-09-24,27.6,27.6,27.5,27.5,27.5,62500
2020-09-25,27.6,27.6,27.6,27.6,27.6,2500
2020-09-28,27.7,27.7,27.7,27.7,27.7,36000
2020-09-29,27.6,27.7,27.6,27.6,27.6,50500
2020-09-30,27.6,27.6,27.6,27.6,27.6,7500
2020-10-01,27.5,27.6,27.3,27.6,27.6,14500
2020-10-02,27.6,27.6,27.6,27.6,27.6,500
2020-10-05,27.3,27.6,27.3,27.6,27.6,21000
2020-10-06,27.6,27.8,27.5,27.7,27.7,50500
2020-10-07,27.6,27.8,27.6,27.8,27.8,30000
2020-10-09,27.8,27.8,27.6,27.8,27.8,51000
2020-10-12,27.5,28.0,27.5,28.0,28.0,56000
2020-10-14,28.0,28.0,27.9,27.9,27.9,20500
2020-10-15,27.9,28.0,27.8,28.0,28.0,52000
2020-10-19,27.9,28.0,27.9,27.9,27.9,36000
2020-10-20,27.9,27.9,27.6,27.6,27.6,3000
2020-10-21,27.7,28.0,27.6,27.9,27.9,65000
2020-10-22,27.9,27.9,27.9,27.9,27.9,10000
2020-10-26,27.9,28.0,27.9,28.0,28.0,38500
2020-10-27,28.0,28.0,27.9,28.0,28.0,47000
2020-10-28,27.7,28.0,27.4,27.9,27.9,30000
2020-10-29,28.0,28.0,27.9,28.0,28.0,72500
2020-10-30,28.0,28.0,28.0,28.0,28.0,23500
2020-11-03,28.0,28.2,28.0,28.1,28.1,114000
2020-11-04,28.0,28.1,28.0,28.1,28.1,45000
2020-11-05,28.1,28.1,28.1,28.1,28.1,18000
2020-11-06,28.1,28.2,28.1,28.1,28.1,101500
2020-11-09,28.3,28.3,28.0,28.3,28.3,70000
2020-11-10,28.0,28.3,28.0,28.3,28.3,122000
2020-11-12,28.4,28.4,28.2,28.2,28.2,71500
2020-11-13,28.2,28.2,28.2,28.2,28.2,6500
2020-11-16,28.3,28.3,28.1,28.3,28.3,92000
2020-11-17,28.0,28.2,28.0,28.1,28.1,20500
2020-11-18,28.0,28.1,28.0,28.1,28.1,11500
2020-11-19,28.1,28.1,27.7,27.9,27.9,35000
2020-11-20,27.8,27.9,27.7,27.9,27.9,14500
2020-11-23,27.9,28.2,27.9,28.1,28.1,62000
2020-11-24,27.9,28.1,27.9,28.1,28.1,8500
2020-11-26,28.1,28.1,27.7,27.7,27.7,38000
2020-11-30,28.0,28.1,28.0,28.0,28.0,41000
2020-12-01,28.0,28.1,28.0,28.1,28.1,52500
2020-12-02,28.1,28.1,28.1,28.1,28.1,25000
2020-12-03,27.8,28.1,27.8,28.1,28.1,26500
