Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,48.640555,48.877826,47.928742,47.928742,47.928742,3024389
2020-09-24,47.691471,47.928742,46.742387,46.742387,46.742387,6026547
2020-09-25,46.505116,47.691471,46.505116,47.4542,47.4542,3986159
2020-09-28,47.691471,48.640555,47.691471,48.166013,48.166013,3018700
2020-09-29,48.403284,48.403284,47.4542,47.691471,47.691471,3231326
2020-09-30,47.928742,48.640555,47.216929,47.691471,47.691471,5340307
2020-10-01,48.166013,48.403284,47.4542,48.166013,48.166013,2995941
2020-10-02,47.928742,48.640555,47.691471,48.166013,48.166013,3462496
2020-10-05,48.640555,48.640555,47.928742,48.403284,48.403284,3648149
2020-10-06,48.640555,48.877826,47.928742,48.166013,48.166013,4595905
2020-10-07,48.166013,48.403284,47.4542,47.928742,47.928742,5226302
2020-10-08,47.928742,49.115097,47.928742,48.877826,48.877826,5471064
2020-10-09,49.115097,49.82691,48.403284,48.640555,48.640555,5507520
2020-10-12,48.640555,50.301452,48.640555,49.352368,49.352368,5717302
2020-10-14,49.589639,49.589639,48.403284,48.640555,48.640555,4521412
2020-10-15,48.403284,48.877826,47.4542,48.166013,48.166013,4423106
2020-10-16,47.928742,48.166013,47.4542,47.691471,47.691471,2222880
2020-10-19,47.4542,48.166013,47.4542,47.691471,47.691471,2625584
2020-10-20,47.691471,48.166013,47.216929,47.4542,47.4542,2207813
2020-10-21,47.691471,47.928742,46.505116,46.979658,46.979658,4365367
2020-10-22,46.979658,47.4542,46.742387,47.216929,47.216929,2923555
2020-10-26,47.216929,47.4542,46.742387,47.4542,47.4542,1952830
2020-10-27,47.216929,47.216929,45.793303,46.267845,46.267845,5853222
2020-10-28,46.267845,46.505116,46.030574,46.267845,46.267845,2590603
2020-10-29,46.030574,46.267845,44.369677,44.369677,44.369677,8824508
2020-10-30,44.606948,44.844219,43.657864,44.132406,44.132406,3410340
2020-11-02,44.132406,44.606948,43.895135,44.369677,44.369677,2455420
2020-11-03,44.606948,45.793303,44.606948,45.318761,45.318761,5432501
2020-11-04,45.793303,46.030574,45.08149,45.318761,45.318761,2782788
2020-11-05,45.556032,48.640555,45.556032,48.640555,48.640555,10626140
2020-11-06,48.877826,49.589639,48.403284,48.877826,48.877826,6774742
2020-11-09,49.589639,50.064181,49.115097,49.352368,49.352368,5189530
2020-11-10,49.82691,50.301452,48.877826,49.589639,49.589639,8617572
2020-11-11,50.301452,51.962349,50.064181,51.250536,51.250536,8549612
2020-11-12,51.013265,51.013265,50.064181,50.301452,50.301452,2921764
2020-11-13,50.064181,51.013265,49.352368,50.775994,50.775994,4000910
2020-11-16,51.487807,51.487807,50.064181,50.064181,50.064181,3779855
2020-11-17,50.064181,50.301452,49.352368,49.352368,49.352368,5119462
2020-11-18,49.589639,50.538723,49.115097,50.301452,50.301452,2799962
2020-11-19,50.301452,50.775994,49.82691,49.82691,49.82691,3383156
2020-11-20,49.589639,51.013265,49.589639,50.775994,50.775994,5504676
2020-11-23,51.250536,53.860517,51.013265,53.148704,53.148704,11210598
2020-11-24,53.623246,53.623246,51.962349,52.19962,52.19962,7531156
2020-11-25,52.674162,53.148704,50.775994,52.19962,52.19962,7385331
2020-11-26,52.436891,52.674162,51.962349,52.436891,52.436891,4728664
2020-11-27,52.436891,55.046872,52.19962,54.097788,54.097788,11569471
2020-11-30,53.623246,54.57233,53.148704,53.860517,53.860517,8616940
2020-12-01,53.860517,54.097788,51.962349,52.911433,52.911433,8799642
2020-12-02,52.436891,53.623246,52.436891,52.911433,52.911433,5358429
2020-12-03,53.148704,54.57233,52.674162,54.097788,54.097788,6398801
2020-12-04,54.335059,55.046872,53.623246,54.335059,54.335059,5688221
2020-12-08,54.57233,55.521414,54.335059,54.57233,54.57233,7914789
2020-12-09,55.046872,55.046872,53.623246,53.860517,53.860517,7321691
2020-12-14,54.097788,54.335059,53.148704,53.623246,53.623246,3606846
2020-12-15,53.148704,53.623246,52.436891,53.148704,53.148704,4063180
2020-12-16,53.148704,54.097788,52.911433,53.385975,53.385975,3586405
2020-12-17,53.385975,53.860517,52.911433,53.148704,53.148704,3704730
2020-12-18,53.148704,53.385975,52.19962,53.148704,53.148704,6087027
2020-12-21,51.250536,51.962349,49.82691,49.82691,49.82691,8549717
2020-12-22,49.589639,51.013265,49.115097,50.301452,50.301452,3405704
2020-12-23,50.301452,51.487807,50.064181,50.301452,50.301452,3020385
2020-12-24,50.301452,51.725078,50.064181,51.013265,51.013265,2865183
2020-12-25,51.487807,51.962349,50.538723,50.775994,50.775994,2902588
2020-12-28,51.013265,52.911433,50.775994,51.725078,51.725078,10117755
2020-12-29,51.962349,52.436891,50.538723,51.013265,51.013265,10527835
2020-12-30,51.013265,51.725078,50.064181,50.301452,50.301452,6704569
2021-01-04,49.82691,51.250536,49.589639,51.013265,51.013265,5186158
2021-01-05,50.538723,52.436891,50.538723,51.725078,51.725078,11989455
2021-01-06,52.19962,54.57233,51.013265,51.250536,51.250536,20333079
2021-01-07,51.725078,52.436891,51.013265,51.250536,51.250536,10265687
2021-01-08,51.487807,51.725078,50.301452,50.538723,50.538723,9269147
2021-01-11,50.538723,51.487807,50.301452,50.538723,50.538723,6303024
2021-01-12,50.775994,51.250536,50.301452,50.538723,50.538723,6593936
2021-01-13,50.538723,50.775994,50.064181,50.301452,50.301452,5681478
2021-01-14,50.301452,50.775994,50.064181,50.301452,50.301452,3823160
2021-01-15,50.538723,50.538723,49.115097,49.352368,49.352368,8825667
2021-01-18,49.352368,49.352368,48.640555,48.877826,48.877826,5416801
2021-01-19,49.115097,50.301452,49.115097,49.352368,49.352368,6357393
2021-01-20,49.352368,49.82691,48.877826,49.115097,49.115097,6042563
2021-01-21,49.352368,49.82691,47.928742,47.928742,47.928742,11025789
2021-01-22,48.166013,48.877826,47.691471,48.166013,48.166013,6146874
2021-01-25,47.928742,48.403284,47.691471,47.691471,47.691471,3888696
2021-01-26,47.928742,48.166013,47.4542,47.928742,47.928742,7467516
2021-01-27,47.928742,48.877826,47.4542,47.4542,47.4542,6431042
2021-01-28,47.4542,47.691471,46.742387,46.979658,46.979658,7275014
2021-01-29,47.216929,47.216929,46.505116,46.979658,46.979658,7452975
2021-02-01,46.979658,46.979658,46.030574,46.505116,46.505116,6464865
2021-02-02,46.742387,47.4542,46.267845,46.979658,46.979658,6046988
2021-02-03,47.216929,47.691471,46.505116,46.505116,46.505116,6537461
2021-02-04,46.505116,47.216929,46.267845,46.979658,46.979658,6116634
2021-02-05,47.216929,47.4542,46.742387,46.979658,46.979658,5575481
2021-02-08,47.216929,49.115097,47.216929,48.403284,48.403284,10442489
2021-02-09,48.877826,49.352368,48.640555,48.877826,48.877826,5791268
2021-02-10,49.115097,50.064181,48.877826,49.82691,49.82691,9731804
2021-02-11,50.064181,50.064181,49.115097,49.115097,49.115097,6466867
2021-02-15,49.115097,49.352368,48.403284,48.877826,48.877826,5384981
2021-02-16,49.82691,50.064181,49.589639,49.82691,49.82691,8069359
2021-02-17,49.82691,50.064181,49.589639,49.82691,49.82691,4832132
2021-02-18,49.82691,50.064181,49.115097,49.352368,49.352368,5867763
2021-02-19,49.352368,49.589639,48.877826,49.115097,49.115097,3555638
2021-02-22,49.115097,49.352368,48.640555,48.640555,48.640555,3625074
2021-02-23,48.640555,49.115097,48.403284,48.877826,48.877826,4212166
2021-02-24,48.877826,49.589639,48.877826,49.589639,49.589639,4253364
2021-02-25,49.82691,49.82691,48.403284,48.640555,48.640555,8350578
2021-03-01,48.640555,49.82691,48.166013,49.352368,49.352368,5978079
2021-03-02,48.166013,48.403284,47.691471,48.166013,48.166013,3484623
2021-03-03,48.166013,48.640555,47.928742,48.403284,48.403284,5269396
2021-03-04,48.166013,48.403284,47.691471,47.928742,47.928742,7264162
2021-03-05,47.691471,48.403284,47.216929,47.691471,47.691471,6552528
2021-03-08,47.691471,48.877826,47.4542,47.4542,47.4542,7435695
2021-03-09,47.4542,47.928742,46.979658,47.4542,47.4542,8888781
2021-03-10,47.691471,48.166013,47.4542,48.166013,48.166013,5556410
2021-03-11,48.403284,49.352368,48.166013,48.403284,48.403284,7520303
2021-03-12,48.640555,49.589639,48.640555,48.877826,48.877826,10907569
2021-03-15,49.352368,49.589639,48.877826,49.115097,49.115097,3433099
2021-03-16,49.115097,49.589639,48.877826,48.877826,48.877826,3021334
2021-03-17,48.877826,49.115097,48.403284,48.640555,48.640555,3395063
2021-03-18,48.877826,49.115097,48.640555,48.640555,48.640555,3729174
2021-03-19,48.640555,48.877826,48.166013,48.166013,48.166013,4216908
2021-03-22,48.403284,49.589639,47.928742,49.589639,49.589639,7914157
2021-03-23,50.064181,50.538723,48.403284,48.640555,48.640555,15139123
2021-03-24,48.877826,49.352368,48.166013,49.115097,49.115097,6084814
2021-03-25,49.115097,49.589639,49.115097,49.115097,49.115097,3889750
2021-03-26,49.115097,49.589639,48.877826,49.115097,49.115097,2743382
2021-03-29,49.352368,49.589639,48.877826,48.877826,48.877826,5423650
2021-03-30,48.877826,49.352368,48.640555,48.640555,48.640555,4855418
2021-03-31,48.640555,49.115097,48.640555,48.640555,48.640555,3216785
2021-04-01,48.640555,49.115097,48.640555,48.877826,48.877826,3175904
