Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,22.0,22.200001,22.0,22.200001,22.200001,137000
2020-09-24,22.200001,22.5,22.0,22.0,22.0,286000
2020-09-25,22.299999,22.4,22.0,22.299999,22.299999,106000
2020-09-28,22.4,22.5,22.200001,22.299999,22.299999,106400
2020-09-29,22.299999,22.6,22.299999,22.299999,22.299999,179700
2020-09-30,22.200001,22.5,22.200001,22.4,22.4,143100
2020-10-01,22.4,22.4,21.9,22.1,22.1,151300
2020-10-02,22.4,22.4,22.0,22.200001,22.200001,52700
2020-10-05,21.9,22.299999,21.9,22.200001,22.200001,115200
2020-10-06,22.299999,22.299999,21.9,22.0,22.0,52600
2020-10-07,22.1,22.1,21.9,22.0,22.0,56400
2020-10-08,22.0,22.1,22.0,22.1,22.1,65100
2020-10-09,22.1,22.299999,22.0,22.0,22.0,13900
2020-10-12,22.1,22.299999,22.0,22.0,22.0,59100
2020-10-14,22.1,22.4,22.1,22.200001,22.200001,101600
2020-10-15,22.200001,22.5,22.200001,22.4,22.4,257000
2020-10-16,22.4,22.4,22.200001,22.4,22.4,50000
2020-10-19,22.1,22.200001,21.9,22.200001,22.200001,108800
2020-10-20,22.200001,22.200001,21.700001,22.1,22.1,392600
2020-10-21,22.200001,22.299999,22.200001,22.200001,22.200001,16100
2020-10-22,22.200001,22.200001,21.200001,21.200001,21.200001,865600
2020-10-26,21.4,21.6,21.200001,21.299999,21.299999,195100
2020-10-27,21.299999,21.5,21.200001,21.4,21.4,397300
2020-10-28,21.700001,21.799999,21.5,21.5,21.5,112500
2020-10-29,21.5,21.6,21.299999,21.299999,21.299999,70800
2020-10-30,21.299999,21.6,21.299999,21.5,21.5,83900
2020-11-02,21.5,21.6,21.299999,21.4,21.4,56500
2020-11-03,21.4,21.6,21.299999,21.299999,21.299999,221400
2020-11-04,21.4,21.5,21.299999,21.5,21.5,15400
2020-11-05,21.5,22.0,21.4,21.700001,21.700001,230600
2020-11-06,21.9,21.9,21.299999,21.6,21.6,129600
2020-11-09,21.799999,22.0,21.6,21.9,21.9,74700
2020-11-10,22.700001,22.9,22.299999,22.6,22.6,1060200
2020-11-11,22.6,22.799999,22.200001,22.6,22.6,390700
2020-11-12,22.700001,22.700001,22.299999,22.6,22.6,94500
2020-11-13,22.4,22.6,22.299999,22.299999,22.299999,298900
2020-11-16,22.6,23.200001,22.4,22.9,22.9,487500
2020-11-17,22.9,23.0,22.6,22.700001,22.700001,312900
2020-11-18,22.5,22.700001,22.4,22.700001,22.700001,199900
2020-11-19,22.9,23.0,22.6,22.700001,22.700001,120800
2020-11-20,22.6,22.799999,22.5,22.700001,22.700001,101900
2020-11-23,22.799999,23.299999,22.799999,23.299999,23.299999,333500
2020-11-24,23.5,23.5,22.700001,22.700001,22.700001,374800
2020-11-25,22.700001,23.0,22.4,22.6,22.6,273600
2020-11-26,22.799999,23.1,22.799999,22.9,22.9,151100
2020-11-27,22.9,23.299999,22.9,23.1,23.1,172000
2020-11-30,23.200001,23.299999,23.0,23.1,23.1,247000
2020-12-01,23.200001,23.200001,22.9,23.0,23.0,81400
2020-12-02,23.0,24.200001,22.9,23.9,23.9,667700
2020-12-03,24.0,24.0,23.6,23.6,23.6,330800
2020-12-04,23.700001,24.0,23.700001,23.9,23.9,149200
2020-12-08,24.0,24.0,23.6,23.6,23.6,285100
2020-12-09,23.700001,23.9,23.5,23.6,23.6,96700
2020-12-14,23.6,23.799999,23.5,23.6,23.6,63000
2020-12-15,23.700001,23.799999,23.6,23.6,23.6,112300
2020-12-16,23.9,23.9,23.5,23.5,23.5,132200
2020-12-17,23.5,24.0,23.5,23.799999,23.799999,246100
