Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,4.18,4.2,4.16,4.16,4.16,596900.0
2020-09-24,4.14,4.18,4.08,4.12,4.12,1201800.0
2020-09-25,4.12,4.12,4.02,4.06,4.06,2431700.0
2020-09-28,4.06,4.06,4.02,4.04,4.04,729800.0
2020-09-29,4.06,4.06,4.02,4.04,4.04,188100.0
2020-09-30,4.04,4.06,4.0,4.02,4.02,858300.0
2020-10-01,4.02,4.06,4.0,4.06,4.06,1030700.0
2020-10-02,4.04,4.04,3.98,4.02,4.02,573700.0
2020-10-05,4.02,4.08,4.0,4.04,4.04,279000.0
2020-10-06,4.08,4.1,4.02,4.04,4.04,1403400.0
2020-10-07,4.04,4.04,3.98,4.02,4.02,1200700.0
2020-10-08,4.0,4.06,4.0,4.04,4.04,282200.0
2020-10-09,4.04,4.06,4.0,4.02,4.02,435100.0
2020-10-12,4.04,4.04,4.0,4.02,4.02,382900.0
2020-10-14,4.04,4.06,4.0,4.04,4.04,367200.0
2020-10-15,4.04,4.04,3.98,3.98,3.98,694400.0
2020-10-16,4.0,4.0,3.88,3.92,3.92,1159700.0
2020-10-19,3.88,3.9,3.78,3.8,3.8,919900.0
2020-10-20,3.8,3.82,3.78,3.82,3.82,485200.0
2020-10-21,3.84,3.86,3.82,3.86,3.86,99200.0
2020-10-22,3.84,3.88,3.8,3.84,3.84,1735600.0
2020-10-26,3.88,3.88,3.78,3.84,3.84,1157000.0
2020-10-27,3.84,3.88,3.84,3.88,3.88,184200.0
2020-10-28,3.86,3.86,3.82,3.84,3.84,1054900.0
2020-10-29,3.84,3.84,3.78,3.84,3.84,1413600.0
2020-10-30,3.84,3.86,3.82,3.84,3.84,170200.0
2020-11-02,3.84,3.88,3.84,3.86,3.86,360700.0
2020-11-03,3.88,3.92,3.84,3.88,3.88,1016500.0
2020-11-04,4.04,4.04,3.9,3.9,3.9,493800.0
2020-11-05,3.98,4.02,3.96,4.02,4.02,724300.0
2020-11-06,4.02,4.02,3.94,3.96,3.96,706500.0
2020-11-09,4.02,4.04,3.96,4.0,4.0,920100.0
2020-11-10,4.06,4.1,4.04,4.04,4.04,1336200.0
2020-11-11,4.06,4.08,3.98,4.02,4.02,1376900.0
2020-11-12,4.02,4.02,3.98,4.0,4.0,413800.0
2020-11-13,4.02,4.02,3.98,4.0,4.0,2843900.0
2020-11-16,4.0,4.1,4.0,4.02,4.02,4792400.0
2020-11-17,4.04,4.06,4.0,4.02,4.02,4016000.0
2020-11-18,4.02,4.06,4.0,4.02,4.02,1422200.0
2020-11-19,4.06,4.08,4.02,4.04,4.04,2396700.0
2020-11-20,4.06,4.16,4.04,4.1,4.1,5823500.0
2020-11-23,4.16,4.24,4.12,4.24,4.24,9825300.0
2020-11-24,4.28,4.28,4.2,4.2,4.2,3990700.0
2020-11-25,4.24,4.3,4.2,4.22,4.22,2735500.0
2020-11-26,4.24,4.26,4.22,4.22,4.22,960900.0
2020-11-27,4.26,4.58,4.24,4.56,4.56,6460100.0
2020-11-30,4.58,4.6,4.48,4.52,4.52,3782800.0
2020-12-01,4.5,4.52,4.44,4.48,4.48,2708100.0
2020-12-02,4.5,4.5,4.44,4.44,4.44,1328300.0
2020-12-03,4.44,4.52,4.44,4.48,4.48,1578000.0
2020-12-04,4.48,4.5,4.48,4.48,4.48,897300.0
2020-12-08,4.48,4.58,4.46,4.52,4.52,2601400.0
2020-12-09,4.52,4.62,4.5,4.56,4.56,2284500.0
2020-12-14,4.6,4.64,4.54,4.58,4.58,2409600.0
2020-12-15,4.54,4.6,4.54,4.6,4.6,1557400.0
2020-12-16,4.6,4.68,4.56,4.64,4.64,3479300.0
2020-12-17,4.68,4.98,4.66,4.86,4.86,3594600.0
2020-12-18,4.9,4.94,4.78,4.8,4.8,1569500.0
2020-12-21,4.56,4.62,4.46,4.5,4.5,8380800.0
2020-12-22,4.46,4.56,4.42,4.5,4.5,2223300.0
2020-12-23,4.48,4.54,4.42,4.42,4.42,2115500.0
2020-12-24,4.4,4.54,4.38,4.5,4.5,504800.0
2020-12-25,4.56,4.6,4.52,4.56,4.56,807800.0
2020-12-28,4.58,4.58,4.48,4.5,4.5,1960700.0
2020-12-29,4.48,4.56,4.48,4.5,4.5,500200.0
2020-12-30,4.56,4.56,4.46,4.5,4.5,711600.0
2021-01-04,4.46,4.48,4.36,4.48,4.48,2416300.0
2021-01-05,4.44,4.5,4.44,4.5,4.5,1089500.0
2021-01-06,4.52,4.52,4.44,4.44,4.44,941200.0
2021-01-07,4.46,4.52,4.46,4.5,4.5,560300.0
2021-01-08,4.52,4.54,4.48,4.5,4.5,1195500.0
2021-01-11,4.54,4.54,4.46,4.46,4.46,713600.0
2021-01-12,4.48,4.56,4.46,4.56,4.56,1246000.0
2021-01-13,4.54,4.56,4.5,4.54,4.54,2100600.0
2021-01-14,4.56,4.58,4.5,4.52,4.52,2199500.0
2021-01-15,4.56,4.64,4.54,4.62,4.62,5409200.0
2021-01-18,4.66,4.66,4.58,4.58,4.58,1235500.0
2021-01-19,4.58,4.64,4.58,4.6,4.6,1248700.0
2021-01-20,4.62,4.66,4.58,4.58,4.58,1277100.0
2021-01-21,4.6,4.62,4.58,4.58,4.58,1023500.0
2021-01-22,4.58,4.6,4.42,4.44,4.44,2929300.0
2021-01-25,4.46,4.48,4.32,4.34,4.34,3175400.0
2021-01-26,4.32,4.42,4.32,4.4,4.4,542100.0
2021-01-27,4.42,4.42,4.36,4.42,4.42,464800.0
2021-01-28,4.36,4.4,4.34,4.36,4.36,1265800.0
2021-01-29,4.34,4.36,4.22,4.26,4.26,2154500.0
2021-02-01,4.26,4.34,4.26,4.3,4.3,1448800.0
