Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,6.55,6.6,6.4,6.6,6.6,0
2020-01-03,6.6,6.65,6.55,6.65,6.65,0
2020-01-06,6.55,6.7,6.4,6.55,6.55,0
2020-01-07,6.45,6.6,6.45,6.5,6.5,0
2020-01-08,6.5,6.7,6.45,6.45,6.45,0
2020-01-09,6.45,6.55,6.45,6.5,6.5,0
2020-01-10,6.5,6.55,6.4,6.4,6.4,0
2020-01-13,6.45,6.5,6.4,6.45,6.45,0
2020-01-14,6.45,6.55,6.45,6.55,6.55,0
2020-01-15,6.55,6.6,6.5,6.6,6.6,0
2020-01-16,6.6,6.65,6.55,6.65,6.65,0
2020-01-17,6.65,6.65,6.55,6.6,6.6,0
2020-01-20,6.65,6.65,6.5,6.5,6.5,0
2020-01-21,6.6,6.6,6.4,6.45,6.45,0
2020-01-22,6.5,6.55,6.45,6.55,6.55,0
2020-01-23,6.55,6.6,6.55,6.6,6.6,0
2020-01-24,6.6,6.6,6.55,6.6,6.6,0
2020-01-27,6.6,6.7,6.55,6.65,6.65,0
2020-01-28,6.65,6.7,6.55,6.55,6.55,0
2020-01-29,6.55,6.65,6.5,6.6,6.6,0
2020-01-30,6.55,6.6,6.45,6.55,6.55,0
2020-01-31,6.55,6.6,6.5,6.55,6.55,0
2020-02-03,6.55,6.65,6.45,6.45,6.45,0
2020-02-04,6.5,6.5,6.4,6.5,6.5,0
2020-02-05,6.5,6.65,6.5,6.65,6.65,0
2020-02-06,6.65,6.7,6.55,6.6,6.6,0
2020-02-07,6.6,6.65,6.55,6.6,6.6,0
2020-02-11,6.6,6.65,6.55,6.6,6.6,0
2020-02-12,6.6,6.65,6.5,6.6,6.6,0
2020-02-13,6.55,6.6,6.5,6.6,6.6,0
2020-02-14,6.55,6.55,6.45,6.5,6.5,0
2020-02-17,6.5,6.55,6.4,6.45,6.45,0
2020-02-18,6.45,6.5,6.4,6.5,6.5,0
2020-02-19,6.5,6.55,6.25,6.25,6.25,0
2020-02-20,6.25,6.35,6.1,6.25,6.25,0
2020-02-21,6.2,6.25,6.15,6.25,6.25,0
2020-02-24,6.4,6.45,6.1,6.3,6.3,0
2020-02-25,6.2,6.3,6.2,6.2,6.2,0
2020-02-26,6.2,6.2,5.85,5.85,5.85,0
2020-02-27,5.85,6.15,5.85,6.1,6.1,0
2020-02-28,5.85,6.1,5.85,5.95,5.95,0
2020-03-02,5.95,6.0,5.8,6.0,6.0,0
2020-03-03,6.05,6.15,5.9,6.0,6.0,0
2020-03-04,5.9,6.0,5.75,5.8,5.8,0
2020-03-05,5.95,5.95,5.8,5.85,5.85,0
2020-03-06,5.8,5.95,5.8,5.95,5.95,0
2020-03-09,5.9,5.9,5.7,5.75,5.75,0
2020-03-10,5.9,5.9,5.8,5.9,5.9,0
2020-03-11,5.9,5.9,5.8,5.8,5.8,0
2020-03-12,5.8,5.8,5.4,5.45,5.45,0
2020-03-13,5.3,5.4,4.98,5.35,5.35,0
2020-03-16,5.2,5.2,4.96,5.0,5.0,0
2020-03-17,5.0,5.0,4.78,4.8,4.8,0
2020-03-18,4.84,4.88,4.8,4.82,4.82,0
2020-03-19,4.82,4.82,4.76,4.82,4.82,0
2020-03-20,4.84,4.9,4.82,4.9,4.9,0
2020-03-23,4.8,4.84,4.58,4.58,4.58,0
2020-03-24,4.58,4.66,4.52,4.5600000000000005,4.5600000000000005,0
2020-03-25,4.58,4.68,4.54,4.58,4.58,0
2020-03-26,4.6,4.7,4.58,4.62,4.62,0
2020-03-27,4.66,4.68,4.62,4.64,4.64,0
2020-03-30,4.64,4.64,4.6,4.64,4.64,0
2020-03-31,4.64,4.68,4.64,4.68,4.68,0
2020-04-01,4.68,4.68,4.58,4.58,4.58,0
2020-04-02,4.62,5.0,4.6,4.68,4.68,0
