Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,4.84,4.84,4.78,4.84,4.84,313500.0
2020-09-24,4.82,4.82,4.76,4.82,4.82,365000.0
2020-09-25,4.82,4.84,4.8,4.82,4.82,450300.0
2020-09-28,4.82,4.82,4.78,4.8,4.8,229100.0
2020-09-29,4.82,4.82,4.74,4.82,4.82,940200.0
2020-09-30,4.8,4.82,4.76,4.82,4.82,584500.0
2020-10-01,4.8,4.82,4.76,4.82,4.82,786700.0
2020-10-02,4.82,4.84,4.78,4.84,4.84,941100.0
2020-10-05,4.84,5.0,4.84,4.94,4.94,4111000.0
2020-10-06,4.98,4.98,4.9,4.9,4.9,977800.0
2020-10-07,4.9,4.96,4.9,4.92,4.92,382900.0
2020-10-08,4.94,5.3,4.92,5.15,5.15,10795400.0
2020-10-09,5.25,5.25,5.05,5.2,5.2,2204200.0
2020-10-12,5.25,5.25,5.15,5.25,5.25,735400.0
2020-10-14,5.25,5.3,5.05,5.05,5.05,787400.0
2020-10-15,5.05,5.7,5.05,5.5,5.5,9613000.0
2020-10-16,5.45,5.45,5.15,5.15,5.15,3537200.0
2020-10-19,5.05,5.05,4.88,4.88,4.88,2512700.0
2020-10-20,4.9,4.92,4.84,4.92,4.92,1277100.0
2020-10-21,4.96,4.98,4.9,4.96,4.96,658100.0
2020-10-22,4.96,4.96,4.88,4.9,4.9,684400.0
2020-10-26,4.9,4.92,4.84,4.92,4.92,875100.0
2020-10-27,4.92,4.92,4.78,4.86,4.86,2275300.0
2020-10-28,4.86,4.92,4.84,4.92,4.92,430100.0
2020-10-29,4.84,4.9,4.84,4.9,4.9,456200.0
2020-10-30,4.86,4.9,4.82,4.88,4.88,366900.0
2020-11-02,4.84,4.86,4.82,4.84,4.84,646700.0
2020-11-03,4.86,4.92,4.86,4.92,4.92,284000.0
2020-11-04,4.92,4.92,4.88,4.92,4.92,261200.0
2020-11-05,4.92,4.96,4.86,4.96,4.96,996600.0
2020-11-06,4.98,4.98,4.9,4.94,4.94,390700.0
2020-11-09,4.94,4.96,4.86,4.94,4.94,761600.0
2020-11-10,4.96,4.96,4.88,4.96,4.96,770900.0
2020-11-11,4.92,4.94,4.9,4.92,4.92,918200.0
2020-11-12,4.92,4.94,4.9,4.92,4.92,346600.0
2020-11-13,4.9,4.94,4.88,4.92,4.92,514100.0
2020-11-16,4.9,4.92,4.86,4.92,4.92,1424500.0
2020-11-17,4.9,4.94,4.88,4.92,4.92,1163700.0
2020-11-18,4.92,4.96,4.9,4.96,4.96,638300.0
2020-11-19,4.96,5.1,4.96,4.98,4.98,2122700.0
2020-11-20,5.0,5.5,5.0,5.45,5.45,14871300.0
2020-11-23,5.5,5.55,5.2,5.3,5.3,7915700.0
2020-11-24,5.35,5.35,5.2,5.2,5.2,2800000.0
2020-11-25,5.25,5.3,5.05,5.1,5.1,2572700.0
2020-11-26,5.2,5.6,5.1,5.55,5.55,7589700.0
2020-11-27,5.6,5.7,5.4,5.45,5.45,3833000.0
2020-11-30,5.5,5.7,5.4,5.45,5.45,2149400.0
2020-12-01,5.5,5.5,5.3,5.4,5.4,1148300.0
2020-12-02,5.4,5.45,5.3,5.35,5.35,778300.0
2020-12-03,5.35,5.45,5.3,5.45,5.45,1006000.0
2020-12-04,5.5,5.5,5.35,5.4,5.4,549900.0
2020-12-08,5.35,5.75,5.35,5.7,5.7,3238100.0
2020-12-09,5.7,5.8,5.5,5.55,5.55,2650500.0
2020-12-14,5.6,5.75,5.55,5.55,5.55,1781800.0
2020-12-15,5.55,6.1,5.55,5.9,5.9,13111600.0
2020-12-16,5.95,6.05,5.8,6.05,6.05,4324300.0
2020-12-17,6.1,6.1,5.9,5.95,5.95,2208000.0
2020-12-18,6.0,6.2,5.85,5.95,5.95,4391100.0
2020-12-21,5.4,5.65,5.3,5.3,5.3,5092700.0
2020-12-22,5.25,5.5,5.2,5.4,5.4,1082500.0
