Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,7.95,8.1,7.95,8.05,8.05,0
2020-01-03,8.1,8.1,8.0,8.0,8.0,0
2020-01-06,8.0,8.0,7.2,7.4,7.4,0
2020-01-07,7.45,7.45,7.25,7.35,7.35,0
2020-01-08,7.25,7.3,6.9,7.3,7.3,0
2020-01-09,7.3,7.4,7.2,7.35,7.35,0
2020-01-10,7.35,7.35,7.1,7.15,7.15,0
2020-01-13,7.15,7.15,7.1,7.15,7.15,0
2020-01-14,7.15,7.25,7.1,7.15,7.15,0
2020-01-15,7.1,7.2,7.1,7.15,7.15,0
2020-01-16,7.25,7.3,7.15,7.3,7.3,0
2020-01-17,7.35,7.55,7.35,7.5,7.5,0
2020-01-20,7.5,7.6,7.4,7.5,7.5,0
2020-01-21,7.5,7.8,7.5,7.6,7.6,0
2020-01-22,7.7,7.7,7.45,7.5,7.5,0
2020-01-23,7.55,7.6,7.5,7.6,7.6,0
2020-01-24,7.5,7.5,7.45,7.45,7.45,0
2020-01-27,7.4,7.4,7.15,7.15,7.15,0
2020-01-28,7.2,7.2,7.0,7.15,7.15,0
2020-01-29,7.15,7.15,7.1,7.15,7.15,0
2020-01-30,7.2,7.2,7.05,7.15,7.15,0
2020-01-31,7.2,7.2,7.15,7.15,7.15,0
2020-02-03,7.1,7.3,7.05,7.1,7.1,0
2020-02-04,7.1,7.25,7.1,7.25,7.25,0
2020-02-05,7.15,7.5,7.15,7.45,7.45,0
2020-02-06,7.5,7.55,7.4,7.4,7.4,0
2020-02-07,7.35,7.35,7.15,7.25,7.25,0
2020-02-11,7.25,7.35,7.2,7.25,7.25,0
2020-02-12,7.3,7.35,7.25,7.35,7.35,0
2020-02-13,7.3,7.4,7.25,7.25,7.25,0
2020-02-14,7.25,7.5,7.25,7.3,7.3,0
2020-02-17,7.4,7.6,7.4,7.55,7.55,0
2020-02-18,7.65,7.8,7.6,7.65,7.65,0
2020-02-19,7.75,7.85,7.6,7.65,7.65,0
2020-02-20,7.75,7.75,7.4,7.45,7.45,0
2020-02-21,7.4,7.45,7.3,7.45,7.45,0
2020-02-24,7.35,7.35,6.8,6.8,6.8,0
2020-02-25,6.8,6.9,6.75,6.85,6.85,0
2020-02-26,6.95,6.95,6.7,6.75,6.75,0
2020-02-27,6.75,6.85,6.75,6.85,6.85,0
2020-02-28,6.75,6.8,6.65,6.7,6.7,0
2020-03-02,6.7,6.85,6.55,6.55,6.55,0
2020-03-03,6.6,6.7,6.6,6.7,6.7,0
2020-03-04,6.6,6.75,6.55,6.75,6.75,0
2020-03-05,6.85,7.0,6.8,6.85,6.85,0
2020-03-06,6.8,6.9,6.75,6.9,6.9,0
2020-03-09,6.6,6.75,6.55,6.6,6.6,0
2020-03-10,6.25,6.55,6.2,6.5,6.5,0
2020-03-11,6.5,6.5,6.35,6.4,6.4,0
2020-03-12,6.1,6.4,5.9,6.0,6.0,0
2020-03-13,4.92,6.15,4.92,5.7,5.7,0
2020-03-16,5.35,6.15,5.25,5.25,5.25,0
2020-03-17,5.2,5.55,5.1,5.4,5.4,0
2020-03-18,5.6,5.6,5.1,5.2,5.2,0
2020-03-19,5.3,5.3,5.2,5.25,5.25,0
2020-03-20,5.35,5.95,5.3,5.8,5.8,0
2020-03-23,5.5,5.5,5.15,5.15,5.15,0
2020-03-24,5.3,5.6,5.1,5.2,5.2,0
2020-03-25,5.25,5.25,4.96,4.98,4.98,0
2020-03-26,5.05,5.1,4.82,5.0,5.0,0
2020-03-27,5.0,5.1,4.9,4.9399999999999995,4.9399999999999995,0
2020-03-30,4.9,5.0,4.86,5.0,5.0,0
2020-03-31,5.05,5.05,4.9399999999999995,4.9399999999999995,4.9399999999999995,0
2020-04-01,4.9399999999999995,4.98,4.9399999999999995,4.98,4.98,0
2020-04-02,4.96,5.0,4.9399999999999995,5.0,5.0,0
2020-04-03,4.98,5.0,4.98,4.98,4.98,0
2020-04-07,5.1,5.3,5.05,5.15,5.15,0
2020-04-08,5.15,5.2,5.0,5.15,5.15,0
2020-04-09,5.2,5.6,5.2,5.3,5.3,0
2020-04-10,5.3,5.55,5.3,5.55,5.55,0
2020-04-13,5.6,5.75,5.55,5.65,5.65,0
2020-04-14,5.75,5.8,5.65,5.65,5.65,0
2020-04-15,5.65,5.85,5.4,5.55,5.55,0
2020-04-16,5.45,5.5,5.25,5.3,5.3,0
2020-04-17,5.35,5.5,5.35,5.4,5.4,0
2020-04-20,5.45,5.6,5.4,5.6,5.6,0
2020-04-21,5.55,5.55,5.45,5.5,5.5,0
2020-04-22,5.5,5.5,5.4,5.5,5.5,0
2020-04-23,5.65,5.85,5.6,5.75,5.75,0
2020-04-24,5.85,5.85,5.65,5.65,5.65,0
2020-04-27,5.75,5.95,5.65,5.65,5.65,0
2020-04-28,5.75,5.75,5.65,5.75,5.75,0
2020-04-29,5.75,5.8,5.65,5.7,5.7,0
2020-04-30,5.8,5.85,5.75,5.8,5.8,0
2020-05-05,5.75,5.8,5.6,5.7,5.7,0
2020-05-07,5.65,5.7,5.55,5.55,5.55,0
2020-05-08,5.55,5.55,5.45,5.5,5.5,0
2020-05-11,5.5,5.65,5.5,5.55,5.55,0
2020-05-12,5.55,5.7,5.55,5.6,5.6,0
2020-05-13,5.4,5.45,5.3,5.3,5.3,0
2020-05-14,5.25,5.35,5.0,5.0,5.0,0
2020-05-15,5.0,5.05,4.98,4.98,4.98,0
2020-05-18,4.98,5.0,4.9399999999999995,5.0,5.0,0
2020-05-19,5.05,5.2,5.0,5.2,5.2,0
2020-05-20,5.2,5.4,5.2,5.4,5.4,0
2020-05-21,5.45,5.45,5.2,5.25,5.25,0
2020-05-22,5.2,5.2,5.0,5.15,5.15,0
2020-05-25,5.15,5.2,5.15,5.2,5.2,0
2020-05-26,5.3,5.35,5.25,5.3,5.3,0
2020-05-27,5.35,5.35,5.1,5.2,5.2,0
2020-05-28,5.25,5.65,5.25,5.4,5.4,0
2020-05-29,5.4,5.45,5.25,5.3,5.3,0
2020-06-01,5.4,5.5,5.35,5.4,5.4,0
2020-06-02,5.45,5.5,5.4,5.5,5.5,0
2020-06-04,5.5,5.65,5.5,5.6,5.6,0
2020-06-05,5.65,5.8,5.65,5.75,5.75,0
2020-06-08,5.9,5.9,5.7,5.7,5.7,0
2020-06-09,5.8,5.85,5.5,5.5,5.5,0
2020-06-10,5.6,5.6,5.5,5.6,5.6,0
2020-06-11,5.55,5.55,5.3,5.35,5.35,0
2020-06-12,5.15,5.35,5.15,5.35,5.35,0
2020-06-15,5.35,5.35,5.15,5.15,5.15,0
2020-06-16,5.25,5.35,5.2,5.2,5.2,0
2020-06-17,5.25,5.3,5.15,5.2,5.2,0
2020-06-18,5.3,5.35,5.25,5.35,5.35,0
2020-06-19,5.4,5.5,5.4,5.4,5.4,0
2020-06-22,5.4,5.65,5.4,5.6,5.6,0
2020-06-23,5.7,6.25,5.65,6.15,6.15,0
2020-06-24,6.3,6.4,5.9,5.9,5.9,0
2020-06-25,5.7,5.85,5.6,5.85,5.85,0
2020-06-26,6.15,6.3,6.0,6.1,6.1,0
2020-06-29,6.0,6.0,5.8,6.0,6.0,0
2020-06-30,6.2,6.5,6.05,6.25,6.25,0
2020-07-01,6.3,6.35,6.1,6.25,6.25,0
2020-07-02,6.25,6.35,6.2,6.3,6.3,0
2020-07-03,6.3,6.35,6.2,6.2,6.2,0
2020-07-07,6.25,6.3,6.0,6.05,6.05,0
2020-07-08,6.05,6.05,5.85,5.85,5.85,0
2020-07-09,5.8,5.95,5.75,5.85,5.85,0
2020-07-10,5.85,5.9,5.75,5.85,5.85,0
2020-07-13,5.9,6.1,5.85,5.95,5.95,0
2020-07-14,6.05,6.35,6.05,6.2,6.2,0
2020-07-15,6.5,6.65,6.4,6.5,6.5,0
2020-07-16,6.6,6.65,6.3,6.35,6.35,0
2020-07-17,6.4,6.4,6.2,6.35,6.35,0
2020-07-20,6.3,6.4,6.1,6.25,6.25,0
2020-07-21,6.25,6.45,6.2,6.45,6.45,0
2020-07-22,6.5,6.55,6.1,6.15,6.15,0
2020-07-23,6.15,6.25,6.1,6.15,6.15,0
2020-07-24,6.1,6.1,5.9,6.05,6.05,0
2020-07-29,6.1,6.1,5.85,5.9,5.9,0
2020-07-30,5.9,5.95,5.5,5.55,5.55,0
2020-07-31,5.5,5.55,5.4,5.5,5.5,0
2020-08-03,5.5,5.65,5.5,5.6,5.6,0
2020-08-04,5.55,5.65,5.55,5.6,5.6,0
2020-08-05,5.6,5.6,5.5,5.6,5.6,0
2020-08-06,5.6,5.65,5.55,5.55,5.55,0
2020-08-07,5.55,5.6,5.5,5.55,5.55,0
2020-08-10,5.55,5.6,5.5,5.5,5.5,0
2020-08-11,5.55,5.7,5.55,5.6,5.6,0
2020-08-13,5.15,5.25,5.1,5.2,5.2,0
2020-08-14,5.2,5.2,4.98,5.05,5.05,0
2020-08-17,5.0,5.0,4.96,5.0,5.0,0
2020-08-18,5.05,5.05,4.96,5.0,5.0,0
2020-08-19,5.0,5.0,4.82,4.92,4.92,0
2020-08-20,4.84,4.9,4.82,4.9,4.9,0
2020-08-21,4.88,4.92,4.82,4.88,4.88,0
2020-08-24,4.88,4.9399999999999995,4.86,4.9399999999999995,4.9399999999999995,0
2020-08-25,4.98,5.0,4.9,4.9399999999999995,4.9399999999999995,0
2020-08-26,4.96,5.1,4.9399999999999995,5.05,5.05,0
2020-08-27,5.15,5.2,5.1,5.15,5.15,0
2020-08-28,5.2,5.25,5.15,5.2,5.2,0
2020-08-31,5.3,5.3,5.0,5.15,5.15,0
2020-09-01,5.1,5.1,4.98,4.98,4.98,0
2020-09-02,4.98,5.05,4.98,5.05,5.05,0
2020-09-03,5.0,5.05,4.96,5.05,5.05,0
2020-09-08,5.0,5.0,4.9399999999999995,4.96,4.96,0
2020-09-09,4.9399999999999995,5.0,4.92,5.0,5.0,0
2020-09-10,5.0,5.05,4.96,5.0,5.0,0
2020-09-11,5.0,5.05,4.96,4.96,4.96,0
2020-09-14,4.96,4.98,4.9399999999999995,4.9399999999999995,4.9399999999999995,0
2020-09-15,4.9399999999999995,4.96,4.9,4.92,4.92,0
2020-09-16,4.92,4.96,4.9,4.9,4.9,0
2020-09-17,4.9,4.96,4.9,4.9,4.9,0
2020-09-18,4.92,4.92,4.88,4.9,4.9,0
2020-09-21,4.9,4.92,4.88,4.9,4.9,0
2020-09-22,4.9,4.9,4.86,4.88,4.88,0
2020-09-23,4.92,4.92,4.84,4.88,4.88,0
2020-09-24,4.84,4.92,4.84,4.92,4.92,0
2020-09-25,4.92,4.92,4.84,4.86,4.86,0
2020-09-28,4.86,4.9,4.84,4.88,4.88,0
2020-09-29,4.9,4.9,4.86,4.88,4.88,0
2020-09-30,4.88,4.9,4.84,4.86,4.86,0
2020-10-01,4.84,4.86,4.84,4.86,4.86,0
2020-10-02,4.88,4.92,4.84,4.92,4.92,0
2020-10-05,4.84,4.98,4.84,4.9399999999999995,4.9399999999999995,0
2020-10-06,5.0,5.0,4.9,4.9,4.9,0
2020-10-07,4.92,4.9399999999999995,4.9,4.9399999999999995,4.9399999999999995,0
2020-10-08,4.9,5.15,4.9,5.05,5.05,0
2020-10-09,5.05,5.1,4.98,5.05,5.05,0
2020-10-12,5.25,5.25,4.98,4.98,4.98,0
2020-10-14,5.0,5.05,4.96,4.96,4.96,0
2020-10-15,4.9399999999999995,5.35,4.9399999999999995,5.1,5.1,0
2020-10-16,5.1,5.1,5.0,5.0,5.0,0
2020-10-19,5.0,5.0,4.86,4.92,4.92,0
2020-10-20,4.92,4.96,4.86,4.92,4.92,0
2020-10-21,4.98,4.98,4.92,4.92,4.92,0
2020-10-22,4.92,4.92,4.88,4.88,4.88,0
2020-10-26,4.9,4.9399999999999995,4.88,4.9399999999999995,4.9399999999999995,0
2020-10-27,4.9399999999999995,4.9399999999999995,4.84,4.9,4.9,0
2020-10-28,4.9,4.92,4.88,4.9,4.9,0
2020-10-29,4.88,4.9399999999999995,4.84,4.88,4.88,0
2020-10-30,4.86,4.88,4.84,4.86,4.86,0
2020-11-02,4.88,4.9,4.86,4.88,4.88,0
2020-11-03,4.88,4.9399999999999995,4.88,4.9399999999999995,4.9399999999999995,0
2020-11-04,4.9399999999999995,4.9399999999999995,4.9,4.9399999999999995,4.9399999999999995,0
2020-11-05,4.9,5.0,4.9,5.0,5.0,0
2020-11-06,5.05,5.05,4.9399999999999995,5.0,5.0,0
2020-11-09,5.0,5.0,4.92,4.9399999999999995,4.9399999999999995,0
2020-11-10,4.98,4.98,4.92,4.96,4.96,0
2020-11-11,4.9399999999999995,4.9399999999999995,4.92,4.9399999999999995,4.9399999999999995,0
2020-11-12,4.88,4.9399999999999995,4.88,4.92,4.92,0
2020-11-13,4.92,4.92,4.86,4.9,4.9,0
2020-11-16,4.88,4.9,4.8,4.88,4.88,0
2020-11-17,4.88,4.92,4.88,4.88,4.88,0
2020-11-18,4.88,4.88,4.86,4.86,4.86,0
2020-11-19,4.92,5.05,4.9,4.98,4.98,0
2020-11-20,5.05,5.15,5.0,5.15,5.15,0
2020-11-23,5.2,5.2,5.1,5.1,5.1,0
2020-11-24,5.2,5.2,5.0,5.0,5.0,0
2020-11-25,5.0,5.1,5.0,5.1,5.1,0
2020-11-26,5.15,5.3,5.05,5.3,5.3,0
2020-11-27,5.4,5.65,5.4,5.45,5.45,0
2020-11-30,5.5,5.55,5.45,5.5,5.5,0
2020-12-01,5.45,5.5,5.3,5.4,5.4,0
2020-12-02,5.3,5.4,5.15,5.25,5.25,0
2020-12-03,5.25,5.4,5.25,5.35,5.35,0
2020-12-04,5.35,5.4,5.3,5.3,5.3,0
2020-12-08,5.4,5.5,5.35,5.5,5.5,0
2020-12-09,5.55,5.6,5.45,5.5,5.5,0
2020-12-14,5.55,5.65,5.45,5.55,5.55,0
