Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,28.25,28.75,28.0,28.75,28.75,1128600
2020-09-24,28.5,28.5,27.75,27.75,27.75,628800
2020-09-25,28.25,28.25,27.75,28.0,28.0,288700
2020-09-28,28.5,29.0,28.25,28.25,28.25,474800
2020-09-29,28.5,28.75,28.25,28.25,28.25,254300
2020-09-30,28.5,28.5,27.5,27.5,27.5,685800
2020-10-01,27.75,27.75,27.25,27.5,27.5,806300
2020-10-02,27.5,27.5,27.0,27.25,27.25,364000
2020-10-05,27.5,27.75,27.25,27.5,27.5,223100
2020-10-06,27.75,27.75,27.25,27.5,27.5,559900
2020-10-07,27.5,29.0,27.5,28.75,28.75,1660700
2020-10-08,28.75,29.5,28.75,28.75,28.75,1179300
2020-10-09,28.75,29.0,28.0,28.5,28.5,821400
2020-10-12,28.25,28.5,27.75,28.25,28.25,628000
2020-10-14,28.5,29.25,28.5,29.0,29.0,1815100
2020-10-15,29.0,29.25,28.25,28.25,28.25,1219200
2020-10-16,28.5,28.75,27.75,28.25,28.25,1279400
2020-10-19,28.0,28.0,27.25,27.75,27.75,687900
2020-10-20,27.75,28.5,27.5,27.75,27.75,428800
2020-10-21,28.0,29.5,28.0,29.5,29.5,1348400
2020-10-22,29.25,29.25,27.25,27.75,27.75,5667000
2020-10-26,27.5,27.75,26.75,27.0,27.0,1367600
2020-10-27,27.0,27.25,26.75,27.0,27.0,797200
2020-10-28,27.0,27.5,27.0,27.25,27.25,753400
2020-10-29,27.0,27.5,26.75,27.0,27.0,801400
2020-10-30,27.5,27.75,27.0,27.25,27.25,553300
2020-11-02,27.5,27.5,27.0,27.5,27.5,303600
2020-11-03,27.5,28.25,27.25,28.0,28.0,1016900
2020-11-04,28.25,28.25,27.25,27.5,27.5,743500
2020-11-05,27.75,28.75,27.75,28.25,28.25,1867800
2020-11-06,28.0,28.75,27.75,28.0,28.0,1301200
2020-11-09,28.25,28.25,27.25,27.25,27.25,2010100
2020-11-10,27.5,27.75,27.0,27.75,27.75,2140500
2020-11-11,27.75,28.0,27.0,27.5,27.5,1211100
2020-11-12,27.5,28.25,27.25,28.25,28.25,2058100
2020-11-13,28.0,28.25,27.75,28.0,28.0,1202200
