Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,332.0,333.0,329.0,331.0,331.0,2104200
2020-09-24,329.0,330.0,322.0,323.0,323.0,2383400
2020-09-25,323.0,325.0,320.0,321.0,321.0,2556000
2020-09-28,324.0,327.0,323.0,324.0,324.0,1740200
2020-09-29,325.0,327.0,321.0,324.0,324.0,1791400
2020-09-30,325.0,326.0,322.0,322.0,322.0,2209900
2020-10-01,326.0,339.0,324.0,337.0,337.0,4893300
2020-10-02,337.0,340.0,335.0,337.0,337.0,2559000
2020-10-05,339.0,339.0,334.0,337.0,337.0,1327400
2020-10-06,341.0,350.0,341.0,347.0,347.0,3841500
2020-10-07,345.0,349.0,341.0,349.0,349.0,2072200
2020-10-08,350.0,352.0,347.0,351.0,351.0,1632300
2020-10-09,352.0,352.0,345.0,351.0,351.0,1624700
2020-10-12,350.0,351.0,349.0,350.0,350.0,865300
2020-10-14,346.0,348.0,345.0,348.0,348.0,1347300
2020-10-15,345.0,347.0,339.0,341.0,341.0,2241500
2020-10-16,340.0,341.0,333.0,334.0,334.0,2760300
2020-10-19,332.0,338.0,331.0,334.0,334.0,2601900
2020-10-20,337.0,349.0,336.0,339.0,339.0,4475900
2020-10-21,340.0,344.0,336.0,341.0,341.0,3144600
2020-10-22,340.0,342.0,335.0,335.0,335.0,3913000
2020-10-26,334.0,340.0,334.0,340.0,340.0,1471600
2020-10-27,337.0,348.0,336.0,346.0,346.0,3098500
2020-10-28,346.0,348.0,344.0,345.0,345.0,1966000
2020-10-29,345.0,347.0,342.0,346.0,346.0,2746800
2020-10-30,347.0,347.0,336.0,338.0,338.0,3830000
2020-11-02,338.0,340.0,335.0,337.0,337.0,2092700
2020-11-03,339.0,343.0,339.0,343.0,343.0,3140400
2020-11-04,343.0,344.0,339.0,341.0,341.0,1935400
2020-11-05,343.0,350.0,343.0,350.0,350.0,5063400
2020-11-06,350.0,353.0,347.0,350.0,350.0,3335500
2020-11-09,355.0,365.0,354.0,361.0,361.0,5968600
2020-11-10,363.0,367.0,359.0,367.0,367.0,7701000
2020-11-11,367.0,368.0,358.0,363.0,363.0,6352500
2020-11-12,360.0,362.0,356.0,358.0,358.0,2921400
2020-11-13,355.0,363.0,355.0,361.0,361.0,3105600
2020-11-16,364.0,365.0,357.0,358.0,358.0,2749200
2020-11-17,357.0,361.0,357.0,360.0,360.0,2125600
2020-11-18,360.0,363.0,356.0,363.0,363.0,2099000
2020-11-19,360.0,363.0,358.0,358.0,358.0,3161200
2020-11-20,358.0,365.0,358.0,364.0,364.0,3111400
2020-11-23,366.0,372.0,365.0,371.0,371.0,4242300
2020-11-24,372.0,372.0,367.0,368.0,368.0,3069100
2020-11-25,369.0,375.0,366.0,371.0,371.0,4923200
2020-11-26,371.0,375.0,369.0,375.0,375.0,3508100
2020-11-27,375.0,378.0,374.0,377.0,377.0,2440000
2020-11-30,374.0,376.0,371.0,374.0,374.0,5871300
2020-12-01,376.0,377.0,374.0,375.0,375.0,1812100
2020-12-02,373.0,377.0,373.0,376.0,376.0,1557700
