Date,Open,High,Low,Close,Adj Close,Volume
2020-09-22,6.0,6.05,6.0,6.0,6.0,525900
2020-09-23,6.0,6.0,5.95,6.0,6.0,33000
2020-09-24,5.95,6.0,5.95,6.0,6.0,374600
2020-09-25,5.95,6.0,5.95,5.95,5.95,31900
2020-09-28,5.95,6.35,5.95,6.2,6.2,729500
2020-09-29,6.15,6.3,6.15,6.15,6.15,297000
2020-09-30,6.1,6.1,5.9,5.9,5.9,199300
2020-10-01,5.9,6.0,5.9,5.9,5.9,14900
2020-10-02,5.8,5.9,5.8,5.85,5.85,94500
2020-10-05,5.85,5.9,5.85,5.85,5.85,58400
2020-10-06,5.85,5.95,5.8,5.85,5.85,167100
2020-10-07,5.85,5.95,5.85,5.95,5.95,72800
2020-10-08,5.9,6.0,5.9,5.9,5.9,53400
2020-10-09,5.9,5.95,5.9,5.95,5.95,29700
2020-10-12,6.0,6.0,5.95,5.95,5.95,59900
2020-10-14,6.0,6.0,5.9,6.0,6.0,36400
2020-10-15,6.0,6.0,5.9,5.9,5.9,29000
2020-10-16,5.9,5.9,5.85,5.9,5.9,20700
2020-10-19,5.85,5.85,5.75,5.8,5.8,141900
2020-10-20,5.7,5.85,5.7,5.8,5.8,71700
2020-10-21,5.8,5.85,5.8,5.8,5.8,112000
2020-10-22,5.85,5.85,5.8,5.85,5.85,49300
2020-10-26,5.85,5.85,5.75,5.8,5.8,9800
2020-10-27,5.8,5.8,5.8,5.8,5.8,10500
2020-10-28,5.75,5.8,5.75,5.8,5.8,30400
2020-10-29,5.75,5.8,5.75,5.8,5.8,67100
2020-10-30,5.8,5.85,5.75,5.75,5.75,145300
2020-11-02,5.75,5.8,5.75,5.8,5.8,12300
2020-11-03,5.8,5.8,5.75,5.8,5.8,202500
2020-11-04,5.8,5.85,5.8,5.85,5.85,77400
2020-11-05,5.85,5.9,5.8,5.9,5.9,79300
2020-11-06,5.9,5.9,5.8,5.85,5.85,115100
2020-11-09,5.9,5.95,5.85,5.9,5.9,236100
2020-11-10,6.0,6.0,5.9,6.0,6.0,325800
2020-11-11,6.05,6.05,5.95,5.95,5.95,233700
2020-11-12,5.95,6.0,5.9,5.95,5.95,177000
2020-11-13,5.95,6.0,5.9,5.95,5.95,222900
2020-11-16,6.05,6.05,5.95,6.05,6.05,2338800
2020-11-17,6.05,6.05,5.9,6.0,6.0,1082700
2020-11-18,5.95,6.0,5.95,6.0,6.0,58600
2020-11-19,6.0,6.05,5.95,6.0,6.0,191600
2020-11-20,6.0,6.1,6.0,6.0,6.0,511600
2020-11-23,6.05,6.15,6.05,6.05,6.05,420500
2020-11-24,6.05,6.15,6.05,6.1,6.1,366400
2020-11-25,6.15,6.2,6.15,6.15,6.15,245800
2020-11-26,6.15,6.2,6.1,6.15,6.15,216200
2020-11-27,6.2,6.2,6.15,6.2,6.2,158800
2020-11-30,6.2,6.2,6.1,6.1,6.1,189900
2020-12-01,6.1,6.15,6.1,6.15,6.15,107800
2020-12-02,6.1,6.15,6.1,6.15,6.15,181600
2020-12-03,6.15,6.15,6.1,6.15,6.15,79400
2020-12-04,6.15,6.2,6.1,6.15,6.15,210700
2020-12-08,6.15,6.25,6.1,6.25,6.25,425500
2020-12-09,6.25,6.25,6.2,6.25,6.25,198700
2020-12-14,6.25,6.3,6.25,6.3,6.3,463700
2020-12-15,6.3,6.3,6.2,6.25,6.25,392500
2020-12-16,6.25,6.3,6.2,6.25,6.25,449500
2020-12-17,6.25,6.3,6.25,6.3,6.3,719400
2020-12-18,6.3,6.5,6.25,6.35,6.35,1260800
2020-12-21,6.15,6.25,6.0,6.05,6.05,869700
