Date,Open,High,Low,Close,Adj Close,Volume
2021-06-30,16.0,16.0,16.0,16.0,16.0,0
2021-07-01,27.5,28.25,23.6,24.200001,24.200001,68254400
2021-07-02,24.200001,27.5,24.1,27.25,27.25,25374800
2021-07-05,27.25,33.25,26.25,29.75,29.75,47622400
2021-07-06,29.5,32.5,29.5,30.0,30.0,16429200
2021-07-07,30.0,30.5,27.75,27.75,27.75,5793200
2021-07-08,27.75,28.75,25.75,25.75,25.75,6093600
2021-07-09,25.75,27.5,25.25,27.0,27.0,7049000
2021-07-12,26.75,27.5,25.75,26.25,26.25,1218800
2021-07-13,26.5,27.75,26.5,27.75,27.75,1059200
2021-07-14,28.0,28.5,27.25,28.0,28.0,1407600
2021-07-15,27.75,28.75,27.0,27.0,27.0,1156300
2021-07-16,27.25,27.5,26.5,27.25,27.25,534200
2021-07-19,26.25,27.25,26.25,26.25,26.25,488000
2021-07-20,26.25,26.25,23.5,24.9,24.9,3938400
2021-07-21,24.9,24.9,23.9,24.1,24.1,1005900
2021-07-22,24.200001,24.4,23.700001,24.0,24.0,546000
2021-07-23,23.9,26.25,23.5,26.25,26.25,2274800
2021-07-27,25.75,26.0,24.700001,25.0,25.0,578600
2021-07-29,25.25,25.5,24.5,24.9,24.9,350700
2021-07-30,24.799999,25.0,24.299999,24.4,24.4,308000
2021-08-02,24.200001,24.6,24.1,24.299999,24.299999,287800
2021-08-03,24.5,25.5,24.4,25.5,25.5,409700
2021-08-04,25.5,26.5,24.5,26.25,26.25,1434400
2021-08-05,26.25,26.25,24.799999,25.5,25.5,1288800
2021-08-06,25.5,25.5,24.700001,25.0,25.0,340600
2021-08-09,25.0,25.25,24.6,25.0,25.0,380900
2021-08-10,24.9,25.5,24.9,25.25,25.25,343500
2021-08-11,25.25,25.5,24.5,24.700001,24.700001,525100
2021-08-13,24.799999,26.75,24.700001,25.0,25.0,1645100
2021-08-16,24.799999,24.9,23.700001,24.299999,24.299999,983500
2021-08-17,24.5,24.5,23.9,24.5,24.5,290000
2021-08-18,24.4,25.5,24.299999,24.9,24.9,841900
2021-08-19,24.9,25.25,24.799999,24.799999,24.799999,660300
2021-08-20,24.9,25.75,24.700001,25.5,25.5,962000
2021-08-23,26.0,26.0,24.4,24.6,24.6,1667100
2021-08-24,24.700001,25.0,24.6,24.700001,24.700001,242300
2021-08-25,24.700001,27.5,24.700001,27.5,27.5,4588000
2021-08-26,27.5,28.25,26.75,27.25,27.25,2726200
2021-08-27,27.25,28.5,26.5,26.75,26.75,2722100
2021-08-30,26.75,27.0,25.75,26.75,26.75,1318700
2021-08-31,26.75,27.25,24.799999,25.0,25.0,2925400
2021-09-01,25.25,25.25,24.700001,24.9,24.9,899100
2021-09-02,24.9,25.25,24.700001,24.9,24.9,789200
2021-09-03,24.9,25.25,24.4,24.6,24.6,1944600
2021-09-06,24.700001,24.799999,24.5,24.700001,24.700001,681800
2021-09-07,25.75,26.75,25.75,26.5,26.5,4461800
2021-09-08,27.5,28.25,26.75,27.5,27.5,5211800
2021-09-09,27.25,27.5,26.5,26.75,26.75,1235300
2021-09-10,27.75,30.0,26.75,29.75,29.75,8982600
2021-09-13,30.5,30.5,28.25,29.25,29.25,3646700
2021-09-14,29.25,33.5,28.25,33.5,33.5,9382700
2021-09-15,32.5,34.25,31.5,32.25,32.25,5169800
2021-09-16,31.75,32.5,29.0,29.75,29.75,3685800
2021-09-17,29.75,31.0,29.25,29.75,29.75,1460800
2021-09-20,29.25,29.75,27.25,28.5,28.5,1582200
2021-09-21,28.0,29.5,27.5,29.25,29.25,574400
2021-09-22,29.25,29.25,28.5,28.75,28.75,245700
2021-09-23,28.5,29.25,27.0,27.75,27.75,2046400
2021-09-27,27.5,27.75,25.5,26.25,26.25,2137800
2021-09-28,26.0,26.75,25.75,26.0,26.0,754200
2021-09-29,25.5,27.0,25.5,26.75,26.75,962200
2021-09-30,27.0,27.25,26.0,26.0,26.0,621700
2021-10-01,25.75,26.25,25.0,26.0,26.0,656600
2021-10-04,26.25,26.25,25.75,26.0,26.0,453400
2021-10-05,25.75,27.5,25.75,27.0,27.0,896900
2021-10-06,27.25,27.75,27.0,27.5,27.5,642800
2021-10-07,27.25,27.5,27.0,27.25,27.25,189900
2021-10-08,27.5,27.75,25.5,26.25,26.25,1110700
2021-10-11,26.25,26.25,25.75,26.25,26.25,324600
2021-10-12,26.5,27.0,26.25,27.0,27.0,480000
2021-10-14,26.75,27.5,26.75,27.25,27.25,303100
2021-10-15,27.0,27.25,26.75,26.75,26.75,119000
2021-10-18,27.5,28.0,27.0,27.25,27.25,657200
2021-10-19,27.5,27.5,26.75,27.25,27.25,397500
2021-10-20,27.5,28.75,27.0,28.5,28.5,1406300
2021-10-21,28.75,29.5,28.0,29.25,29.25,983200
2021-10-25,29.25,29.5,28.0,28.75,28.75,714900
2021-10-26,28.75,30.25,28.75,30.0,30.0,1282600
2021-10-27,30.0,31.0,29.25,30.75,30.75,1998200
2021-10-28,30.75,31.0,30.0,30.25,30.25,1043500
2021-10-29,30.5,31.25,29.75,30.75,30.75,1554600
2021-11-01,30.75,31.75,30.0,31.5,31.5,1809900
2021-11-02,31.5,32.5,28.25,28.75,28.75,4600400
2021-11-03,28.75,29.25,27.5,27.75,27.75,1500800
2021-11-04,28.0,29.25,28.0,29.25,29.25,881500
2021-11-05,29.5,29.5,28.75,29.0,29.0,407500
2021-11-08,29.25,29.5,28.5,29.0,29.0,640200
2021-11-09,29.0,29.25,28.0,28.75,28.75,322200
2021-11-10,28.75,29.75,28.5,28.5,28.5,1499700
2021-11-11,28.75,28.75,27.75,27.75,27.75,1017000
2021-11-12,27.5,28.5,27.5,28.25,28.25,409100
2021-11-15,28.25,29.25,27.5,29.25,29.25,1061300
2021-11-16,29.0,29.25,28.5,28.75,28.75,475000
2021-11-17,28.75,29.5,28.25,28.75,28.75,1020000
2021-11-18,28.75,31.5,28.25,30.25,30.25,4285500
2021-11-19,30.25,30.25,29.25,29.5,29.5,1251200
2021-11-22,29.5,30.5,29.5,30.0,30.0,776700
2021-11-23,30.25,30.25,29.0,29.25,29.25,702900
2021-11-24,29.5,30.0,29.0,29.25,29.25,803000
2021-11-25,29.5,31.5,29.0,31.25,31.25,3318700
2021-11-26,31.0,31.75,30.0,30.25,30.25,2511100
2021-11-29,30.25,30.75,29.5,30.75,30.75,1779600
2021-11-30,31.0,32.5,29.5,29.75,29.75,4659300
2021-12-01,29.75,30.75,29.5,30.75,30.75,1251500
2021-12-02,30.75,31.0,29.75,30.25,30.25,2284900
