Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,2.68,2.72,2.64,2.68,2.68,1765800
2020-09-24,2.68,2.7,2.64,2.68,2.68,675300
2020-09-25,2.68,2.7,2.64,2.68,2.68,749100
2020-09-28,2.7,2.72,2.68,2.72,2.72,1421300
2020-09-29,2.72,2.72,2.68,2.7,2.7,281300
2020-09-30,2.7,2.7,2.64,2.68,2.68,1623100
2020-10-01,2.68,2.68,2.66,2.68,2.68,211000
2020-10-02,2.7,2.7,2.66,2.66,2.66,429400
2020-10-05,2.66,2.68,2.64,2.68,2.68,767400
2020-10-06,2.68,2.7,2.66,2.7,2.7,521400
2020-10-07,2.7,2.72,2.68,2.72,2.72,897600
2020-10-08,2.72,2.82,2.7,2.78,2.78,3070400
2020-10-09,2.84,2.84,2.76,2.8,2.8,1124300
2020-10-12,2.8,2.84,2.8,2.84,2.84,1233500
2020-10-14,2.82,2.82,2.78,2.82,2.82,1136300
2020-10-15,2.82,2.86,2.8,2.8,2.8,1320400
2020-10-16,2.84,2.84,2.76,2.78,2.78,924300
2020-10-19,2.78,2.78,2.52,2.62,2.62,6966000
2020-10-20,2.58,2.68,2.58,2.64,2.64,916800
2020-10-21,2.64,2.66,2.62,2.66,2.66,469300
2020-10-22,2.66,2.78,2.62,2.72,2.72,1976200
2020-10-26,2.72,2.74,2.7,2.72,2.72,430100
2020-10-27,2.7,2.72,2.68,2.72,2.72,441600
2020-10-28,2.7,2.74,2.7,2.72,2.72,242600
2020-10-29,2.7,2.74,2.68,2.7,2.7,206900
2020-10-30,2.7,2.74,2.68,2.68,2.68,160300
2020-11-02,2.7,2.74,2.7,2.72,2.72,836600
2020-11-03,2.72,2.78,2.72,2.74,2.74,2425100
2020-11-04,2.76,2.76,2.72,2.76,2.76,286100
2020-11-05,2.76,2.78,2.74,2.78,2.78,1058000
2020-11-06,2.76,2.82,2.76,2.78,2.78,1139400
2020-11-09,2.8,2.82,2.78,2.82,2.82,1948100
2020-11-10,2.84,2.9,2.84,2.88,2.88,2015300
2020-11-11,2.9,2.9,2.86,2.9,2.9,1713000
2020-11-12,2.9,2.9,2.84,2.88,2.88,1413900
2020-11-13,2.88,2.92,2.88,2.9,2.9,1072700
2020-11-16,2.98,3.1,2.98,3.06,3.06,7554400
2020-11-17,3.1,3.14,3.06,3.08,3.08,4172500
2020-11-18,3.12,3.12,3.08,3.1,3.1,1547400
2020-11-19,3.12,3.3,3.12,3.3,3.3,5320200
2020-11-20,3.34,3.44,3.34,3.4,3.4,4597300
2020-11-23,3.46,3.46,3.36,3.38,3.38,2647000
2020-11-24,3.36,3.38,3.26,3.26,3.26,2140200
2020-11-25,3.28,3.36,3.28,3.32,3.32,2166200
2020-11-26,3.32,3.36,3.3,3.36,3.36,1262000
2020-11-27,3.36,3.46,3.34,3.36,3.36,4916000
2020-11-30,3.36,3.4,3.32,3.36,3.36,1354000
2020-12-01,3.36,3.42,3.36,3.4,3.4,1727400
2020-12-02,3.38,3.4,3.34,3.36,3.36,1024500
2020-12-03,3.34,3.4,3.34,3.38,3.38,1078400
2020-12-04,3.36,3.46,3.36,3.4,3.4,2605700
2020-12-08,3.38,3.42,3.36,3.4,3.4,1877800
2020-12-09,3.4,3.46,3.4,3.44,3.44,904000
