Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,0.23,0.23,0.22,0.23,0.23,325400
2020-09-24,0.23,0.23,0.22,0.22,0.22,234200
2020-09-25,0.23,0.23,0.22,0.23,0.23,1145900
2020-09-28,0.23,0.23,0.21,0.22,0.22,3475500
2020-09-29,0.23,0.23,0.22,0.22,0.22,1082700
2020-09-30,0.22,0.23,0.22,0.22,0.22,3319800
2020-10-01,0.22,0.23,0.21,0.22,0.22,521500
2020-10-02,0.22,0.23,0.21,0.23,0.23,411700
2020-10-05,0.22,0.23,0.2,0.21,0.21,3353400
2020-10-06,0.21,0.22,0.21,0.21,0.21,326800
2020-10-07,0.21,0.22,0.21,0.21,0.21,1529200
2020-10-08,0.21,0.22,0.21,0.22,0.22,3588300
2020-10-09,0.22,0.22,0.21,0.22,0.22,821100
2020-10-12,0.23,0.23,0.22,0.23,0.23,676200
2020-10-14,0.23,0.23,0.22,0.23,0.23,102200
2020-10-15,0.22,0.23,0.21,0.22,0.22,1202400
2020-10-16,0.22,0.23,0.21,0.22,0.22,1137900
2020-10-19,0.22,0.22,0.21,0.22,0.22,99700
2020-10-20,0.23,0.23,0.21,0.22,0.22,662800
2020-10-21,0.22,0.23,0.22,0.22,0.22,55700
2020-10-22,0.22,0.22,0.21,0.22,0.22,397600
2020-10-26,0.22,0.22,0.21,0.22,0.22,210800
2020-10-27,0.22,0.22,0.21,0.21,0.21,1655800
2020-10-28,0.22,0.22,0.21,0.21,0.21,182800
2020-10-29,0.21,0.22,0.21,0.22,0.22,42100
2020-10-30,0.21,0.22,0.21,0.21,0.21,283100
2020-11-02,0.21,0.22,0.21,0.21,0.21,344000
2020-11-03,0.21,0.22,0.21,0.21,0.21,518700
2020-11-04,0.22,0.22,0.21,0.22,0.22,2394600
2020-11-05,0.22,0.22,0.21,0.21,0.21,586900
2020-11-06,0.22,0.22,0.21,0.22,0.22,72300
2020-11-09,0.21,0.22,0.21,0.21,0.21,1696400
2020-11-10,0.21,0.22,0.21,0.21,0.21,1062100
2020-11-11,0.21,0.22,0.21,0.21,0.21,59700
2020-11-12,0.21,0.21,0.2,0.21,0.21,916600
2020-11-13,0.21,0.21,0.2,0.21,0.21,293400
2020-11-16,0.21,0.22,0.2,0.21,0.21,1546400
2020-11-17,0.22,0.22,0.21,0.21,0.21,288900
2020-11-18,0.21,0.22,0.21,0.22,0.22,174400
2020-11-19,0.22,0.22,0.21,0.22,0.22,53200
2020-11-20,0.22,0.25,0.22,0.23,0.23,9576400
2020-11-23,0.23,0.24,0.22,0.22,0.22,1962000
2020-11-24,0.23,0.23,0.22,0.23,0.23,3298100
2020-11-25,0.23,0.23,0.22,0.22,0.22,522000
