Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,0.53,0.53,0.5,0.53,0.53,386600
2020-09-24,0.53,0.53,0.52,0.53,0.53,209600
2020-09-25,0.53,0.53,0.51,0.53,0.53,53400
2020-09-28,0.53,0.54,0.52,0.53,0.53,336300
2020-09-29,0.53,0.53,0.52,0.53,0.53,742600
2020-09-30,0.52,0.53,0.51,0.53,0.53,2878700
2020-10-01,0.53,0.54,0.52,0.54,0.54,1153600
2020-10-02,0.54,0.54,0.53,0.54,0.54,398900
2020-10-05,0.54,0.56,0.54,0.54,0.54,1175800
2020-10-06,0.54,0.58,0.54,0.57,0.57,3998700
2020-10-07,0.58,0.59,0.58,0.59,0.59,1523700
2020-10-08,0.59,0.61,0.59,0.61,0.61,610700
2020-10-09,0.61,0.61,0.59,0.59,0.59,940100
2020-10-12,0.59,0.59,0.58,0.59,0.59,121400
2020-10-14,0.62,0.65,0.61,0.63,0.63,3980900
2020-10-15,0.65,0.65,0.6,0.6,0.6,1066800
2020-10-16,0.6,0.61,0.56,0.6,0.6,873200
2020-10-19,0.57,0.6,0.57,0.6,0.6,443900
2020-10-20,0.59,0.61,0.58,0.61,0.61,392800
2020-10-21,0.61,0.62,0.6,0.6,0.6,349000
2020-10-22,0.61,0.61,0.59,0.6,0.6,76100
2020-10-26,0.58,0.6,0.58,0.6,0.6,199300
2020-10-27,0.6,0.6,0.59,0.6,0.6,398800
2020-10-28,0.59,0.61,0.59,0.61,0.61,631300
2020-10-29,0.61,0.62,0.59,0.61,0.61,162000
2020-10-30,0.61,0.61,0.6,0.61,0.61,557600
2020-11-02,0.61,0.61,0.6,0.61,0.61,1647100
2020-11-03,0.63,0.63,0.6,0.62,0.62,133900
2020-11-04,0.63,0.63,0.61,0.62,0.62,345500
2020-11-05,0.63,0.64,0.62,0.64,0.64,925100
2020-11-06,0.63,0.64,0.62,0.62,0.62,265100
2020-11-09,0.64,0.64,0.62,0.64,0.64,95200
2020-11-10,0.65,0.65,0.59,0.62,0.62,760200
2020-11-11,0.62,0.63,0.6,0.62,0.62,567400
2020-11-12,0.64,0.64,0.6,0.62,0.62,155000
2020-11-13,0.62,0.62,0.6,0.62,0.62,136000
2020-11-16,0.62,0.62,0.58,0.61,0.61,975100
2020-11-17,0.61,0.62,0.59,0.6,0.6,166200
2020-11-18,0.6,0.61,0.6,0.61,0.61,11600
2020-11-19,0.61,0.63,0.6,0.63,0.63,646100
2020-11-20,0.63,0.63,0.6,0.62,0.62,2895000
2020-11-23,0.62,0.7,0.61,0.67,0.67,4543000
2020-11-24,0.67,0.71,0.66,0.68,0.68,2719000
2020-11-25,0.68,0.68,0.65,0.68,0.68,980300
2020-11-26,0.68,0.68,0.65,0.67,0.67,1820300
2020-11-27,0.69,0.69,0.65,0.67,0.67,3316200
2020-11-30,0.67,0.67,0.64,0.66,0.66,775500
2020-12-01,0.66,0.68,0.66,0.68,0.68,3743600
2020-12-02,0.68,0.68,0.67,0.67,0.67,3141200
2020-12-03,0.67,0.68,0.65,0.65,0.65,1200500
2020-12-04,0.65,0.67,0.65,0.66,0.66,2050300
2020-12-08,0.67,0.67,0.65,0.66,0.66,2507300
2020-12-09,0.66,0.66,0.64,0.65,0.65,2097900
2020-12-14,0.65,0.65,0.64,0.64,0.64,2864900
2020-12-15,0.65,0.65,0.63,0.64,0.64,2256500
2020-12-16,0.64,0.64,0.62,0.63,0.63,4751400
2020-12-17,0.64,0.64,0.62,0.63,0.63,3828400
2020-12-18,0.63,0.63,0.61,0.63,0.63,3927300
2020-12-21,0.62,0.62,0.59,0.59,0.59,6743000
2020-12-22,0.58,0.59,0.57,0.58,0.58,4790500
2020-12-23,0.58,0.59,0.57,0.59,0.59,1940700
2020-12-24,0.58,0.59,0.57,0.59,0.59,870800
2020-12-25,0.59,0.6,0.58,0.59,0.59,965400
2020-12-28,0.59,0.64,0.59,0.61,0.61,2477400
2020-12-29,0.61,0.64,0.6,0.63,0.63,1476000
2020-12-30,0.63,0.64,0.63,0.64,0.64,1206900
2021-01-04,0.63,0.64,0.62,0.62,0.62,1115900
2021-01-05,0.62,0.64,0.62,0.64,0.64,598600
2021-01-06,0.64,0.65,0.63,0.64,0.64,852900
2021-01-07,0.64,0.65,0.63,0.64,0.64,688200
2021-01-08,0.64,0.64,0.61,0.61,0.61,2630600
2021-01-11,0.62,0.64,0.61,0.63,0.63,1621800
2021-01-12,0.63,0.64,0.62,0.64,0.64,448800
2021-01-13,0.65,0.67,0.64,0.66,0.66,2936000
2021-01-14,0.65,0.67,0.64,0.66,0.66,585900
2021-01-15,0.66,0.66,0.63,0.64,0.64,831600
2021-01-18,0.64,0.65,0.63,0.65,0.65,458400
2021-01-19,0.64,0.65,0.64,0.65,0.65,282300
2021-01-20,0.65,0.65,0.63,0.65,0.65,1286100
2021-01-21,0.64,0.65,0.63,0.63,0.63,933800
2021-01-22,0.63,0.64,0.63,0.63,0.63,171400
2021-01-25,0.63,0.65,0.63,0.64,0.64,1142600
2021-01-26,0.64,0.65,0.63,0.65,0.65,277900
2021-01-27,0.64,0.64,0.62,0.63,0.63,972600
2021-01-28,0.63,0.64,0.62,0.62,0.62,985900
2021-01-29,0.62,0.64,0.62,0.62,0.62,499200
2021-02-01,0.62,0.63,0.61,0.61,0.61,705400
2021-02-02,0.61,0.64,0.61,0.62,0.62,276900
