Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,2.42,2.44,2.38,2.4,2.4,243500
2020-09-24,2.42,2.58,2.42,2.48,2.48,604400
2020-09-25,2.5,2.52,2.44,2.5,2.5,315400
2020-09-28,2.48,2.58,2.48,2.54,2.54,369700
2020-09-29,2.56,2.56,2.44,2.46,2.46,147600
2020-09-30,2.46,2.5,2.42,2.42,2.42,204100
2020-10-01,2.48,2.5,2.42,2.46,2.46,227400
2020-10-02,2.46,2.48,2.42,2.46,2.46,256600
2020-10-05,2.48,2.58,2.48,2.48,2.48,171200
2020-10-06,2.52,2.54,2.48,2.48,2.48,349400
2020-10-07,2.5,2.6,2.48,2.54,2.54,470400
2020-10-08,2.64,2.66,2.54,2.54,2.54,479000
2020-10-09,2.54,2.62,2.48,2.52,2.52,412100
2020-10-12,2.58,2.6,2.52,2.56,2.56,155700
2020-10-14,2.6,2.6,2.54,2.54,2.54,102100
2020-10-15,2.6,2.6,2.48,2.52,2.52,299300
2020-10-16,2.52,2.54,2.38,2.4,2.4,813300
2020-10-19,2.38,2.44,2.3,2.36,2.36,628000
2020-10-20,2.32,2.4,2.3,2.32,2.32,401100
2020-10-21,2.3,2.38,2.3,2.3,2.3,429700
2020-10-22,2.34,2.38,2.32,2.32,2.32,210800
2020-10-26,2.38,2.42,2.38,2.42,2.42,269000
2020-10-27,2.4,2.48,2.38,2.42,2.42,150800
2020-10-28,2.5,2.5,2.44,2.46,2.46,69400
2020-10-29,2.42,2.5,2.42,2.48,2.48,132900
2020-10-30,2.52,2.52,2.48,2.5,2.5,263700
2020-11-02,2.46,2.54,2.42,2.48,2.48,166300
2020-11-03,2.5,2.54,2.46,2.5,2.5,154300
2020-11-04,2.46,2.5,2.44,2.5,2.5,153000
2020-11-05,2.5,2.54,2.48,2.5,2.5,207500
2020-11-06,2.54,2.54,2.48,2.5,2.5,195600
2020-11-09,2.5,2.66,2.5,2.54,2.54,342800
2020-11-10,2.56,2.56,2.46,2.46,2.46,179200
2020-11-11,2.54,2.54,2.36,2.42,2.42,1296300
2020-11-12,2.4,2.48,2.4,2.42,2.42,388500
2020-11-13,2.48,2.5,2.44,2.48,2.48,605300
2020-11-16,2.48,2.52,2.4,2.44,2.44,788600
2020-11-17,2.48,2.48,2.4,2.4,2.4,1884900
2020-11-18,2.36,2.4,2.3,2.34,2.34,3154800
2020-11-19,2.34,2.38,2.3,2.32,2.32,2548800
2020-11-20,2.34,2.42,2.34,2.38,2.38,3509600
2020-11-23,2.4,2.42,2.38,2.4,2.4,2716000
2020-11-24,2.4,2.42,2.34,2.38,2.38,1726100
2020-11-25,2.36,2.42,2.3,2.34,2.34,2104000
2020-11-26,2.36,2.4,2.36,2.38,2.38,1217300
2020-11-27,2.38,2.48,2.38,2.46,2.46,7885800
2020-11-30,2.34,2.34,2.24,2.26,2.26,3052600
2020-12-01,2.26,2.32,2.26,2.32,2.32,524700
2020-12-02,2.32,2.38,2.26,2.26,2.26,6877100
2020-12-03,2.28,2.32,2.26,2.3,2.3,632500
2020-12-04,2.32,2.32,2.26,2.28,2.28,350200
2020-12-08,2.26,2.3,2.26,2.28,2.28,432000
2020-12-09,2.28,2.28,2.24,2.26,2.26,1788400
2020-12-14,2.28,2.28,2.22,2.24,2.24,1754500
2020-12-15,2.24,2.24,2.16,2.18,2.18,1309200
