Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,3.06,3.18,2.96,2.98,2.98,79840400
2020-09-24,2.94,3.1,2.92,3.0,3.0,38975500
2020-09-25,3.02,3.04,2.92,2.92,2.92,18130200
2020-09-28,2.84,2.98,2.8,2.9,2.9,9767700
2020-09-29,2.9,2.94,2.86,2.88,2.88,2704200
2020-09-30,2.88,2.88,2.72,2.74,2.74,9384000
2020-10-01,2.76,2.78,2.36,2.6,2.6,15651600
2020-10-02,2.64,2.8,2.64,2.78,2.78,8655800
2020-10-05,2.86,2.94,2.8,2.9,2.9,8793600
2020-10-06,2.94,3.0,2.92,2.94,2.94,8711600
2020-10-07,2.98,3.0,2.88,2.96,2.96,4325600
2020-10-08,2.96,3.12,2.94,3.1,3.1,16223700
2020-10-09,3.06,3.08,2.92,3.06,3.06,7775500
2020-10-12,3.02,3.08,3.0,3.06,3.06,3149400
2020-10-14,3.06,3.32,3.0,3.08,3.08,24592100
2020-10-15,3.02,3.06,2.88,2.96,2.96,10479300
2020-10-16,2.96,2.98,2.72,2.86,2.86,6096100
2020-10-19,2.8,2.82,2.6,2.7,2.7,5621000
2020-10-20,2.64,2.74,2.64,2.74,2.74,3169500
2020-10-21,2.74,2.88,2.74,2.88,2.88,2092400
2020-10-22,2.88,2.88,2.76,2.82,2.82,1727300
2020-10-26,2.82,2.86,2.8,2.84,2.84,1316500
2020-10-27,2.82,2.84,2.78,2.8,2.8,1078400
2020-10-28,2.84,2.96,2.8,2.94,2.94,5485500
2020-10-29,2.88,2.94,2.82,2.86,2.86,4619600
2020-10-30,2.86,2.9,2.78,2.8,2.8,3161700
2020-11-02,2.82,2.88,2.78,2.86,2.86,2795100
2020-11-03,2.84,2.94,2.78,2.92,2.92,4730200
2020-11-04,2.98,3.12,2.92,3.12,3.12,14978400
2020-11-05,3.14,3.18,3.06,3.14,3.14,7014300
2020-11-06,3.1,3.14,2.96,3.02,3.02,9884100
2020-11-09,3.06,3.1,2.84,2.9,2.9,9181200
2020-11-10,2.8,2.84,2.66,2.76,2.76,8554800
2020-11-11,2.7,2.82,2.7,2.78,2.78,3056500
2020-11-12,2.8,2.98,2.8,2.92,2.92,7125600
2020-11-13,2.94,2.94,2.86,2.88,2.88,2351600
2020-11-16,2.92,2.92,2.8,2.8,2.8,1969700
2020-11-17,2.8,2.88,2.76,2.8,2.8,1503900
2020-11-18,2.82,2.86,2.8,2.86,2.86,925800
2020-11-19,2.82,2.86,2.8,2.8,2.8,1597800
2020-11-20,2.8,2.84,2.8,2.8,2.8,1329500
2020-11-23,2.74,2.78,2.72,2.74,2.74,2934600
2020-11-24,2.76,2.8,2.72,2.72,2.72,1392200
2020-11-25,2.72,2.78,2.68,2.68,2.68,3075800
2020-11-26,2.7,2.92,2.7,2.86,2.86,18199500
2020-11-27,2.86,2.96,2.84,2.92,2.92,16071000
2020-11-30,2.92,2.92,2.82,2.86,2.86,3159200
2020-12-01,2.86,2.88,2.76,2.78,2.78,3752100
2020-12-02,2.82,2.82,2.7,2.72,2.72,5823600
2020-12-03,2.76,2.78,2.72,2.78,2.78,2202700
2020-12-04,2.78,2.8,2.7,2.7,2.7,4213600
2020-12-08,2.7,2.86,2.68,2.76,2.76,14439100
2020-12-09,2.78,2.84,2.72,2.72,2.72,9944000
2020-12-14,2.74,2.76,2.7,2.7,2.7,1473100
2020-12-15,2.72,2.74,2.68,2.68,2.68,2401000
2020-12-16,2.7,2.72,2.68,2.7,2.7,2209300
2020-12-17,2.72,2.78,2.7,2.72,2.72,4883600
2020-12-18,2.72,2.74,2.7,2.7,2.7,1952800
2020-12-21,2.62,2.66,2.52,2.54,2.54,3097200
2020-12-22,2.52,2.62,2.48,2.62,2.62,1568000
2020-12-23,2.62,2.68,2.6,2.64,2.64,2164700
2020-12-24,2.62,2.62,2.48,2.52,2.52,7257500
2020-12-25,2.54,2.66,2.52,2.62,2.62,5001300
2020-12-28,2.62,2.84,2.58,2.78,2.78,17102200
2020-12-29,2.8,2.8,2.64,2.74,2.74,8078100
2020-12-30,2.76,2.8,2.64,2.66,2.66,5162000
2021-01-04,2.58,2.68,2.58,2.66,2.66,1915100
2021-01-05,2.72,2.92,2.7,2.84,2.84,18778500
2021-01-06,2.84,3.14,2.8,3.0,3.0,48967000
2021-01-07,3.34,3.46,3.2,3.34,3.34,65194800
2021-01-08,3.38,4.16,3.38,4.0,4.0,121236900
2021-01-11,3.82,4.1,3.6,3.9,3.9,22780000
2021-01-12,3.92,4.2,3.8,4.2,4.2,14599000
2021-01-13,4.2,4.28,4.1,4.18,4.18,10394500
2021-01-14,4.16,4.28,4.12,4.16,4.16,5231100
2021-01-15,4.16,4.68,4.16,4.68,4.68,27336400
2021-01-18,4.76,4.76,4.38,4.76,4.76,10545500
