Date,Open,High,Low,Close,Adj Close,Volume
2020-09-22,1.03,1.04,1.03,1.04,1.04,56200
2020-09-23,1.04,1.04,1.02,1.03,1.03,555700
2020-09-25,1.04,1.04,1.03,1.03,1.03,11100
2020-09-28,1.02,1.04,1.02,1.04,1.04,76700
2020-09-29,1.04,1.05,1.03,1.05,1.05,220400
2020-09-30,1.04,1.04,1.0,1.03,1.03,357600
2020-10-01,1.02,1.03,1.01,1.03,1.03,107600
2020-10-02,1.03,1.03,1.01,1.03,1.03,295600
2020-10-05,1.03,1.04,1.02,1.04,1.04,23000
2020-10-06,1.02,1.05,1.0,1.05,1.05,608900
2020-10-07,1.05,1.06,1.04,1.05,1.05,253000
2020-10-08,1.05,1.07,1.04,1.07,1.07,477600
2020-10-09,1.07,1.11,1.07,1.11,1.11,1176400
2020-10-12,1.1,1.23,1.1,1.23,1.23,16073200
2020-10-14,1.27,1.32,1.27,1.3,1.3,12554700
2020-10-15,1.28,1.31,1.25,1.28,1.28,4383500
2020-10-16,1.28,1.28,1.22,1.25,1.25,1366000
2020-10-19,1.22,1.24,1.17,1.19,1.19,919900
2020-10-20,1.19,1.21,1.18,1.2,1.2,161400
2020-10-21,1.21,1.26,1.21,1.26,1.26,485800
2020-10-22,1.26,1.29,1.26,1.28,1.28,1638200
2020-10-26,1.28,1.29,1.24,1.28,1.28,894900
2020-10-27,1.26,1.28,1.26,1.26,1.26,116100
2020-10-28,1.27,1.29,1.26,1.27,1.27,595100
2020-10-29,1.29,1.29,1.25,1.26,1.26,61100
2020-10-30,1.26,1.27,1.25,1.26,1.26,97900
2020-11-02,1.25,1.25,1.22,1.24,1.24,160000
2020-11-03,1.24,1.24,1.21,1.23,1.23,137500
2020-11-04,1.23,1.24,1.18,1.21,1.21,281900
2020-11-05,1.23,1.25,1.23,1.24,1.24,850500
2020-11-06,1.24,1.24,1.19,1.23,1.23,886000
2020-11-09,1.24,1.3,1.24,1.29,1.29,811900
2020-11-10,1.3,1.3,1.22,1.26,1.26,715500
2020-11-11,1.25,1.29,1.24,1.26,1.26,1199600
2020-11-12,1.29,1.29,1.26,1.28,1.28,479500
2020-11-13,1.29,1.29,1.26,1.29,1.29,253500
2020-11-16,1.29,1.29,1.27,1.29,1.29,418000
2020-11-17,1.26,1.28,1.24,1.28,1.28,69900
2020-11-18,1.27,1.29,1.27,1.28,1.28,541200
2020-11-19,1.28,1.34,1.28,1.3,1.3,6291700
2020-11-20,1.33,1.36,1.29,1.32,1.32,7604200
2020-11-23,1.34,1.34,1.29,1.32,1.32,2894000
2020-11-24,1.32,1.32,1.28,1.32,1.32,1075800
2020-11-25,1.33,1.33,1.3,1.33,1.33,1071800
2020-11-26,1.32,1.33,1.3,1.31,1.31,408400
2020-11-27,1.3,1.32,1.3,1.3,1.3,692800
2020-11-30,1.32,1.34,1.28,1.32,1.32,2436000
2020-12-01,1.33,1.35,1.31,1.32,1.32,1659300
2020-12-02,1.33,1.35,1.31,1.32,1.32,1826900
2020-12-03,1.32,1.34,1.32,1.33,1.33,940500
2020-12-04,1.43,1.54,1.42,1.53,1.53,32703700
2020-12-08,1.6,1.67,1.57,1.62,1.62,18764500
2020-12-09,1.66,1.66,1.59,1.63,1.63,7400500
2020-12-14,1.71,1.71,1.61,1.62,1.62,25254300
2020-12-15,1.66,1.66,1.53,1.54,1.54,20734400
2020-12-16,1.56,1.56,1.53,1.54,1.54,4260500
2020-12-17,1.55,1.65,1.54,1.65,1.65,15856200
2020-12-18,1.65,1.66,1.6,1.6,1.6,8240700
2020-12-21,1.51,1.59,1.5,1.5,1.5,8759500
2020-12-22,1.49,1.53,1.43,1.51,1.51,4396200
2020-12-23,1.51,1.58,1.51,1.53,1.53,4364200
2020-12-24,1.54,1.56,1.52,1.53,1.53,1955700
2020-12-25,1.55,1.62,1.52,1.54,1.54,10064500
2020-12-28,1.55,1.57,1.53,1.53,1.53,2502000
2020-12-29,1.52,1.54,1.5,1.5,1.5,2989700
2020-12-30,1.5,1.52,1.43,1.52,1.52,3374900
2021-01-04,1.46,1.52,1.45,1.5,1.5,2154000
2021-01-05,1.51,1.55,1.5,1.53,1.53,3132600
2021-01-06,1.55,1.65,1.53,1.65,1.65,23941800
2021-01-07,1.68,1.68,1.59,1.59,1.59,12118000
2021-01-08,1.61,1.65,1.57,1.59,1.59,8477200
2021-01-11,1.59,1.64,1.59,1.62,1.62,4124900
2021-01-12,1.63,1.79,1.62,1.76,1.76,58155600
2021-01-13,1.77,1.77,1.71,1.74,1.74,23565100
2021-01-14,1.75,1.77,1.69,1.71,1.71,12018600
2021-01-15,1.72,1.74,1.69,1.74,1.74,7537800
2021-01-18,1.75,1.85,1.74,1.85,1.85,40270000
2021-01-19,1.87,1.88,1.8,1.83,1.83,12299200
2021-01-20,1.84,1.84,1.79,1.81,1.81,6640500
2021-01-21,1.82,1.86,1.7,1.8,1.8,24939500
2021-01-22,1.8,1.8,1.73,1.77,1.77,8449800
2021-01-25,1.78,1.79,1.75,1.78,1.78,3834900
2021-01-26,1.81,1.84,1.77,1.8,1.8,18535200
2021-01-27,1.79,1.95,1.78,1.92,1.92,63510600
2021-01-28,1.88,1.91,1.8,1.8,1.8,32186900
2021-01-29,1.83,1.86,1.81,1.84,1.84,11742800
2021-02-01,1.88,2.02,1.87,2.0,2.0,57316300
2021-02-02,2.04,2.06,1.96,2.0,2.0,23445700
2021-02-03,2.04,2.3,2.04,2.26,2.26,71024300
2021-02-04,2.24,2.3,2.2,2.3,2.3,16113000
2021-02-05,2.3,2.36,2.24,2.26,2.26,12548000
2021-02-08,2.26,2.34,2.24,2.28,2.28,8359300
2021-02-09,2.28,2.32,2.24,2.26,2.26,7613300
2021-02-10,2.28,2.44,2.28,2.3,2.3,35897300
