Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,5.05,5.08,5.05,5.08,5.08,200
2020-01-06,5.0,5.0,5.0,5.0,5.0,300
2020-01-10,5.0,5.0,4.98,4.98,4.98,200
2020-01-13,5.0,5.0,5.0,5.0,5.0,300
2020-01-14,5.0,5.0,5.0,5.0,5.0,400
2020-01-15,5.0,5.0,5.0,5.0,5.0,100
2020-01-16,5.0,5.0,4.95,4.95,4.95,400
2020-01-17,4.95,4.95,4.9,4.95,4.95,1300
2020-01-20,4.95,4.95,4.88,4.88,4.88,1600
2020-01-21,4.9,4.9,4.88,4.88,4.88,300
2020-01-22,4.93,4.95,4.9,4.95,4.95,700
2020-01-23,4.95,4.95,4.9,4.9,4.9,500
2020-01-24,4.93,4.93,4.93,4.93,4.93,400
2020-01-27,4.93,4.98,4.93,4.98,4.98,200
2020-01-31,5.0,5.0,4.9,4.93,4.93,1400
2020-02-03,4.9,4.98,4.9,4.98,4.98,300
2020-02-05,4.98,4.98,4.98,4.98,4.98,1200
2020-02-06,4.95,4.95,4.95,4.95,4.95,5700
2020-02-13,4.93,4.93,4.9,4.9,4.9,200
2020-02-18,4.9,4.9,4.88,4.88,4.88,500
2020-02-19,4.93,4.93,4.93,4.93,4.93,200
2020-02-20,4.88,4.88,4.42,4.68,4.68,1300
2020-02-21,4.68,4.68,4.68,4.68,4.68,200
2020-02-24,4.73,4.73,4.5,4.5,4.5,2100
2020-02-25,4.63,4.71,4.4,4.58,4.58,4500
2020-02-26,4.53,4.6,4.4,4.5,4.5,8400
2020-02-27,4.48,4.5,4.42,4.42,4.42,31300
2020-02-28,4.4,4.4,4.4,4.4,4.4,200
2020-03-02,4.2,4.2,4.2,4.2,4.2,400
2020-03-03,4.18,5.0,4.18,5.0,5.0,4200
2020-03-04,4.98,4.98,4.8,4.95,4.95,15500
2020-03-05,4.83,4.83,4.7,4.7,4.7,4800
2020-03-06,4.65,4.8,4.65,4.75,4.75,800
2020-03-09,4.65,4.8100000000000005,4.6,4.8,4.8,1900
2020-03-10,4.7,4.7,4.68,4.68,4.68,2200
2020-03-12,4.65,4.65,4.25,4.53,4.53,1100
2020-03-13,4.2,4.48,3.23,4.4,4.4,1000
2020-03-16,4.5,4.5,4.2,4.38,4.38,44600
2020-03-17,4.3,4.4,4.25,4.4,4.4,9600
2020-03-18,4.33,4.5,4.3,4.5,4.5,3600
2020-03-19,4.3,4.68,4.1,4.68,4.68,2700
2020-03-20,4.5,4.7,4.4,4.7,4.7,3200
2020-03-23,4.5,4.5,4.3,4.3,4.3,4800
2020-03-24,4.3,4.3,4.3,4.3,4.3,3000
2020-03-30,4.33,4.33,4.33,4.33,4.33,6100
2020-04-01,4.6,4.68,4.6,4.68,4.68,300
2020-04-02,4.68,4.68,4.68,4.68,4.68,100
2020-04-03,4.45,4.55,4.45,4.55,4.55,1000
2020-04-07,4.55,4.55,4.55,4.55,4.55,6400
2020-04-08,4.5,4.5,4.5,4.5,4.5,200
2020-04-09,4.5,4.68,4.5,4.68,4.68,1900
2020-04-10,4.58,4.7,4.58,4.7,4.7,2600
2020-04-13,4.8,4.8100000000000005,4.78,4.8,4.8,4500
2020-04-14,4.8,4.8,4.8,4.8,4.8,1000
2020-04-16,4.7,4.7,4.55,4.55,4.55,4200
2020-04-21,4.65,4.65,4.65,4.65,4.65,2600
2020-04-22,4.7,4.7,4.6,4.6,4.6,500
2020-04-23,4.6,4.6,4.6,4.6,4.6,100
2020-04-24,4.6,4.6,4.6,4.6,4.6,100
2020-04-29,4.6,4.6,4.6,4.6,4.6,1000
2020-04-30,4.65,4.65,4.65,4.65,4.65,1000
2020-05-07,4.8,4.8,4.68,4.68,4.68,1600
2020-05-08,4.8,4.8,4.7,4.7,4.7,600
2020-05-11,4.68,4.7,4.68,4.68,4.68,0
2020-05-12,4.7,4.7,4.7,4.7,4.7,0
2020-05-13,4.95,4.95,4.95,4.95,4.95,0
2020-05-14,4.95,5.0,4.95,5.0,5.0,0
2020-05-15,5.2,5.2,5.0,5.0,5.0,0
2020-05-19,5.0,5.2,5.0,5.2,5.2,0
2020-05-20,5.2,5.2,5.18,5.2,5.2,0
2020-05-21,5.48,5.48,5.48,5.48,5.48,0
2020-05-22,5.53,5.53,5.2,5.2,5.2,0
2020-05-25,5.53,5.53,5.1,5.48,5.48,0
2020-05-26,5.5,5.5,5.45,5.45,5.45,0
2020-05-27,5.48,5.6,5.48,5.5,5.5,0
2020-05-28,5.0,5.48,5.0,5.48,5.48,0
2020-05-29,5.1,5.5,5.05,5.5,5.5,0
2020-06-01,5.5,5.5,5.1,5.2,5.2,0
2020-06-02,5.13,5.2,5.1,5.2,5.2,0
2020-06-04,5.2,5.3,5.2,5.28,5.28,0
2020-06-05,5.3,5.3,5.13,5.2,5.2,0
2020-06-08,5.3,5.3,5.3,5.3,5.3,0
2020-06-09,5.35,5.35,5.2,5.2,5.2,0
2020-06-10,5.35,5.35,5.2,5.2,5.2,0
2020-06-11,5.2,5.3,5.2,5.3,5.3,0
2020-06-15,5.1,5.1,5.03,5.1,5.1,0
2020-06-16,5.28,5.28,5.13,5.25,5.25,0
2020-06-17,5.1,5.25,5.1,5.15,5.15,0
2020-06-18,5.08,5.25,5.05,5.1,5.1,0
2020-06-19,5.13,5.18,5.13,5.18,5.18,0
2020-06-22,5.15,5.18,5.15,5.18,5.18,0
2020-06-23,5.1,5.1,5.1,5.1,5.1,0
2020-06-24,5.1,5.18,5.1,5.1,5.1,0
2020-06-25,5.05,5.1,4.93,5.1,5.1,0
2020-06-26,4.98,5.0,4.98,4.98,4.98,0
2020-06-30,5.15,5.15,5.13,5.13,5.13,0
2020-07-01,5.13,5.13,5.13,5.13,5.13,0
2020-07-02,5.18,5.3,5.0,5.1,5.1,0
2020-07-03,5.25,5.25,5.2,5.2,5.2,0
2020-07-07,5.03,5.1,5.0,5.05,5.05,0
2020-07-08,5.15,5.15,5.15,5.15,5.15,0
2020-07-10,5.15,5.15,5.03,5.03,5.03,0
2020-07-13,5.08,5.08,5.03,5.03,5.03,0
2020-07-14,4.93,4.95,4.9,4.95,4.95,0
2020-07-15,5.1,5.1,5.1,5.1,5.1,0
2020-07-16,5.1,5.18,4.98,4.98,4.98,0
2020-07-17,4.9,5.1,4.9,5.1,5.1,0
2020-07-20,5.1,5.1,5.1,5.1,5.1,0
2020-07-22,5.1,5.1,5.1,5.1,5.1,0
2020-07-23,5.15,5.18,5.15,5.18,5.18,0
2020-07-24,5.23,5.23,5.03,5.15,5.15,0
2020-07-29,5.15,5.15,5.15,5.15,5.15,0
2020-07-30,5.2,5.2,5.0,5.0,5.0,0
2020-07-31,5.15,5.15,5.15,5.15,5.15,0
2020-08-03,5.15,5.2,5.0,5.05,5.05,0
2020-08-04,5.15,5.2,5.15,5.15,5.15,0
2020-08-05,5.05,5.35,5.05,5.35,5.35,0
2020-08-06,5.15,5.15,5.15,5.15,5.15,0
2020-08-07,5.2,5.2,5.05,5.05,5.05,0
2020-08-11,5.1,5.25,5.05,5.1,5.1,0
2020-08-13,5.1,5.2,5.0,5.0,5.0,0
2020-08-14,5.05,5.05,5.0,5.05,5.05,0
2020-08-17,5.2,5.2,5.05,5.1,5.1,0
2020-08-18,5.05,5.15,5.05,5.1,5.1,0
2020-08-19,5.1,5.1,5.1,5.1,5.1,0
2020-08-20,5.1,5.15,5.0,5.1,5.1,0
2020-08-21,5.1,5.1,5.0,5.05,5.05,0
2020-08-24,5.05,5.1,5.05,5.05,5.05,0
2020-08-25,5.0,5.1,4.98,5.05,5.05,0
2020-08-26,5.1,5.1,5.0,5.0,5.0,0
2020-08-27,5.05,5.05,5.0,5.05,5.05,0
2020-08-28,5.05,5.05,5.0,5.05,5.05,0
2020-08-31,5.05,5.15,5.05,5.1,5.1,0
2020-09-01,5.15,5.15,5.0,5.1,5.1,0
2020-09-02,5.15,5.15,5.0,5.15,5.15,0
2020-09-03,5.05,5.15,5.05,5.15,5.15,0
2020-09-08,5.05,5.45,5.05,5.35,5.35,0
2020-09-09,5.25,5.55,5.25,5.45,5.45,0
2020-09-10,5.4,5.45,5.25,5.45,5.45,0
2020-09-11,5.5,5.5,5.35,5.4,5.4,0
2020-09-14,5.45,5.45,5.2,5.2,5.2,0
2020-09-15,5.1,5.2,5.1,5.1,5.1,0
2020-09-16,5.1,5.35,5.1,5.2,5.2,0
2020-09-17,5.2,5.2,5.15,5.2,5.2,0
2020-09-18,5.2,5.3,5.15,5.25,5.25,0
2020-09-21,5.25,5.25,5.2,5.25,5.25,0
2020-09-22,5.3,5.35,5.25,5.3,5.3,0
2020-09-23,5.3,5.3,5.25,5.25,5.25,0
2020-09-24,5.25,5.35,5.15,5.3,5.3,0
2020-09-25,5.3,5.4,5.3,5.3,5.3,0
2020-09-28,5.4,5.45,5.25,5.25,5.25,0
2020-09-29,5.3,5.35,5.2,5.3,5.3,0
2020-09-30,5.25,5.4,5.2,5.3,5.3,0
2020-10-01,5.2,5.25,5.1,5.2,5.2,0
2020-10-02,5.2,5.25,5.15,5.25,5.25,0
2020-10-05,5.15,5.2,5.1,5.15,5.15,0
2020-10-06,5.15,5.35,5.15,5.3,5.3,0
2020-10-07,5.3,5.35,5.3,5.35,5.35,0
2020-10-08,5.35,5.4,5.15,5.15,5.15,0
2020-10-09,5.2,5.95,5.2,5.3,5.3,0
2020-10-12,5.3,5.3,5.3,5.3,5.3,0
2020-10-14,5.35,5.65,5.35,5.4,5.4,0
2020-10-15,5.9,5.9,5.4,5.4,5.4,0
2020-10-16,5.35,5.5,5.35,5.4,5.4,0
2020-10-19,5.15,5.6,5.15,5.2,5.2,0
2020-10-20,5.35,5.35,5.2,5.2,5.2,0
2020-10-21,5.15,5.35,5.15,5.2,5.2,0
2020-10-22,5.6,5.6,5.2,5.2,5.2,0
2020-10-26,5.4,5.45,5.25,5.45,5.45,0
2020-10-27,5.75,5.75,5.35,5.5,5.5,0
2020-10-28,5.5,5.6,5.4,5.6,5.6,0
2020-10-29,5.55,5.65,5.55,5.6,5.6,0
2020-10-30,5.5,5.7,5.5,5.7,5.7,0
2020-11-02,5.7,5.7,5.3,5.5,5.5,0
2020-11-03,5.5,5.6,5.5,5.6,5.6,0
2020-11-04,5.35,5.6,5.3,5.4,5.4,0
2020-11-05,5.55,5.55,5.45,5.5,5.5,0
2020-11-06,5.5,5.55,5.5,5.55,5.55,0
