Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,6.15,6.2,6.05,6.2,6.2,442700
2020-09-24,6.1,6.25,6.05,6.1,6.1,461800
2020-09-25,6.1,6.3,6.1,6.2,6.2,1098200
2020-09-28,6.2,6.25,6.1,6.1,6.1,406700
2020-09-29,6.1,6.65,6.1,6.45,6.45,5935000
2020-09-30,6.6,6.6,6.2,6.2,6.2,3815200
2020-10-01,6.25,6.3,6.1,6.2,6.2,1048900
2020-10-02,6.2,6.25,6.1,6.2,6.2,747800
2020-10-05,6.25,6.25,6.15,6.25,6.25,249800
2020-10-06,6.3,6.35,6.2,6.25,6.25,812600
2020-10-07,6.25,6.45,6.2,6.45,6.45,3474200
2020-10-08,6.4,6.45,6.3,6.3,6.3,1990500
2020-10-09,6.4,6.45,6.25,6.25,6.25,2787500
2020-10-12,6.25,6.3,6.15,6.15,6.15,408600
2020-10-14,6.15,6.3,6.1,6.15,6.15,1093400
2020-10-15,6.1,6.25,5.8,5.9,5.9,1340200
2020-10-16,5.85,5.9,5.75,5.8,5.8,809200
2020-10-19,5.7,5.8,5.55,5.6,5.6,1092500
2020-10-20,5.6,5.8,5.6,5.65,5.65,472700
2020-10-21,5.7,6.0,5.7,5.8,5.8,432200
2020-10-22,5.85,6.1,5.75,5.85,5.85,453100
2020-10-26,5.85,5.95,5.75,5.8,5.8,129000
2020-10-27,5.75,5.8,5.65,5.75,5.75,348400
2020-10-28,5.75,5.8,5.7,5.7,5.7,250100
2020-10-29,5.8,5.8,5.65,5.7,5.7,185100
2020-10-30,5.7,5.85,5.65,5.65,5.65,1012800
2020-11-02,5.7,5.75,5.65,5.75,5.75,243900
2020-11-03,5.75,6.0,5.75,5.8,5.8,675400
2020-11-04,5.9,6.0,5.8,5.85,5.85,363300
2020-11-05,5.95,5.95,5.85,5.9,5.9,982100
2020-11-06,5.95,5.95,5.8,5.8,5.8,314300
2020-11-09,5.9,5.95,5.8,5.9,5.9,307500
2020-11-10,6.75,6.85,6.2,6.5,6.5,16204800
2020-11-11,6.4,6.5,6.35,6.4,6.4,1538100
2020-11-12,6.45,6.45,6.3,6.4,6.4,556300
2020-11-13,6.35,6.45,6.25,6.25,6.25,1019400
2020-11-16,6.25,6.45,6.25,6.45,6.45,1728700
2020-11-17,6.7,6.8,6.6,6.7,6.7,7695000
2020-11-18,6.7,6.75,6.6,6.75,6.75,1252100
2020-11-19,6.75,6.9,6.7,6.8,6.8,2636200
2020-11-20,6.85,6.9,6.75,6.85,6.85,2556600
2020-11-23,7.0,7.25,6.9,6.95,6.95,5932500
2020-11-24,7.0,7.1,6.8,6.85,6.85,2533800
2020-11-25,6.95,7.1,6.9,7.0,7.0,4318200
2020-11-26,7.0,7.35,7.0,7.25,7.25,5996700
2020-11-27,7.3,7.5,7.25,7.4,7.4,3513400
2020-11-30,7.2,7.3,7.05,7.05,7.05,2930000
2020-12-01,7.1,7.2,7.0,7.05,7.05,2113300
2020-12-02,7.1,7.2,6.95,6.95,6.95,3316300
2020-12-03,7.0,7.4,7.0,7.35,7.35,3709800
2020-12-04,7.4,7.4,7.3,7.3,7.3,1800000
2020-12-08,7.2,7.6,7.05,7.6,7.6,3854100
2020-12-09,7.65,7.7,7.35,7.4,7.4,2843600
2020-12-14,7.7,7.85,7.55,7.55,7.55,9343300
2020-12-15,7.55,7.6,7.3,7.45,7.45,3723500
2020-12-16,7.5,7.55,7.4,7.45,7.45,2986400
2020-12-17,7.4,7.5,7.35,7.45,7.45,1625700
2020-12-18,7.55,7.7,7.35,7.35,7.35,4724800
2020-12-21,6.7,7.1,6.7,6.75,6.75,8742600
2020-12-22,6.75,6.85,6.45,6.75,6.75,1959900
2020-12-23,6.7,6.7,6.35,6.4,6.4,2295300
2020-12-24,6.5,6.9,6.2,6.85,6.85,3402800
2020-12-25,6.9,6.9,6.75,6.85,6.85,698200
2020-12-28,7.1,7.15,6.85,6.85,6.85,7942100
2020-12-29,7.0,7.0,6.85,6.9,6.9,698700
2020-12-30,6.85,7.05,6.65,6.95,6.95,3905000
2021-01-04,6.55,7.0,6.45,7.0,7.0,5213600
2021-01-05,6.9,6.95,6.75,6.85,6.85,1030400
2021-01-06,6.85,7.05,6.65,6.7,6.7,3041100
2021-01-07,6.65,6.8,6.65,6.7,6.7,1500800
2021-01-08,6.7,6.85,6.6,6.6,6.6,2103900
2021-01-11,6.6,6.8,6.6,6.75,6.75,1175900
2021-01-12,6.7,6.9,6.7,6.9,6.9,658900
2021-01-13,6.9,7.15,6.9,7.0,7.0,2709800
2021-01-14,7.05,7.05,6.95,7.0,7.0,1018400
2021-01-15,7.05,7.05,6.9,6.95,6.95,548100
2021-01-18,7.0,7.0,6.95,6.95,6.95,664400
2021-01-19,6.95,7.05,6.95,7.0,7.0,732200
2021-01-20,7.05,7.3,7.05,7.2,7.2,3397600
2021-01-21,7.5,7.6,7.35,7.6,7.6,11575700
2021-01-22,7.45,7.5,7.2,7.3,7.3,3532900
2021-01-25,7.45,7.45,7.3,7.45,7.45,2211700
2021-01-26,7.45,7.5,7.35,7.4,7.4,839300
2021-01-27,7.4,7.45,7.3,7.45,7.45,1853700
2021-01-28,7.4,7.8,7.25,7.4,7.4,9215200
2021-01-29,7.45,7.5,7.0,7.3,7.3,5687000
2021-02-01,7.2,7.35,7.15,7.2,7.2,837100
2021-02-02,7.55,7.55,7.3,7.3,7.3,984600
2021-02-03,7.35,7.5,7.3,7.4,7.4,850700
2021-02-04,7.5,7.55,7.4,7.45,7.45,1076200
2021-02-05,7.55,7.9,7.55,7.75,7.75,8604100
2021-02-08,7.85,8.05,7.75,7.95,7.95,9909100
2021-02-09,8.0,8.0,7.7,7.7,7.7,5143500
2021-02-10,7.65,7.85,7.65,7.7,7.7,1302600
2021-02-11,7.7,7.75,7.65,7.75,7.75,549200
2021-02-15,7.8,7.9,7.7,7.7,7.7,541900
2021-02-16,7.85,7.85,7.7,7.7,7.7,998100
2021-02-17,7.7,7.75,7.6,7.6,7.6,1293000
2021-02-18,7.6,7.7,7.5,7.65,7.65,1353800
2021-02-19,7.65,7.65,7.35,7.4,7.4,2990800
2021-02-22,7.45,7.5,7.25,7.35,7.35,1881700
2021-02-23,7.35,8.1,7.3,8.1,8.1,13139100
2021-02-24,8.15,8.15,7.75,7.75,7.75,9919300
2021-02-25,7.85,7.9,7.65,7.65,7.65,3981400
2021-03-01,7.65,7.65,7.5,7.55,7.55,2196600
2021-03-02,7.55,7.9,7.55,7.7,7.7,3775300
2021-03-03,7.7,8.0,7.7,7.9,7.9,5522000
2021-03-04,7.85,8.05,7.8,7.9,7.9,5206000
2021-03-05,7.9,8.6,7.8,8.45,8.45,14138600
2021-03-08,8.35,8.45,8.25,8.3,8.3,6904000
2021-03-09,8.4,9.05,8.35,9.0,9.0,28827000
2021-03-10,8.95,9.2,8.9,9.05,9.05,8709300
2021-03-11,9.2,9.2,8.75,8.8,8.8,9882400
2021-03-12,8.9,8.9,8.7,8.7,8.7,4720500
2021-03-15,8.7,8.9,8.6,8.9,8.9,2501700
2021-03-16,8.8,8.9,8.5,8.55,8.55,7742100
2021-03-17,8.5,8.65,8.4,8.45,8.45,3286100
2021-03-18,8.5,8.65,8.45,8.45,8.45,5830900
2021-03-19,8.5,8.5,8.35,8.35,8.35,1957000
2021-03-22,8.5,8.5,8.35,8.45,8.45,2049100
2021-03-23,8.5,8.8,8.4,8.75,8.75,7341200
2021-03-24,8.65,8.7,8.5,8.55,8.55,3023700
2021-03-25,8.6,8.7,8.5,8.5,8.5,3016000
2021-03-26,8.5,8.7,8.4,8.55,8.55,4378200
2021-03-29,8.65,8.95,8.6,8.9,8.9,8523700
2021-03-30,8.95,8.95,8.75,8.75,8.75,2663500
2021-03-31,8.85,8.85,8.55,8.6,8.6,4472600
2021-04-01,8.65,8.8,8.6,8.7,8.7,2206100
2021-04-02,8.75,8.85,8.7,8.75,8.75,2883700
2021-04-05,8.7,8.7,8.25,8.35,8.35,5165400
2021-04-07,8.0,8.1,7.9,7.9,7.9,6075700
2021-04-08,7.9,7.95,7.7,7.85,7.85,2695200
2021-04-09,7.9,7.95,7.75,7.8,7.8,1939600
2021-04-12,7.6,7.7,7.55,7.6,7.6,2364300
2021-04-16,7.5,7.6,7.4,7.6,7.6,2044800
2021-04-19,7.55,7.95,7.55,7.9,7.9,1814700
2021-04-20,7.8,7.85,7.7,7.75,7.75,1229400
2021-04-21,7.65,7.8,7.6,7.8,7.8,1282800
2021-04-22,7.7,7.9,7.7,7.9,7.9,3876100
2021-04-23,7.8,7.85,7.65,7.7,7.7,1602000
2021-04-26,7.6,7.7,7.55,7.65,7.65,1655700
2021-04-27,7.5,7.7,7.5,7.55,7.55,1599700
2021-04-28,7.55,7.7,7.55,7.65,7.65,701900
2021-04-29,7.8,7.8,7.65,7.7,7.7,959600
2021-04-30,7.7,7.7,7.6,7.6,7.6,792600
2021-05-05,7.5,7.55,7.4,7.45,7.45,2604200
2021-05-06,7.55,7.75,7.5,7.7,7.7,1733900
2021-05-07,7.8,7.8,7.6,7.75,7.75,780800
