Date,Open,High,Low,Close,Adj Close,Volume
2020-09-16,2.36,2.48,2.36,2.42,2.42,625900
2020-09-17,2.42,2.48,2.4,2.42,2.42,621500
2020-09-18,2.42,2.46,2.2,2.2,2.2,432900
2020-09-21,2.32,2.36,2.28,2.3,2.3,786800
2020-09-22,2.3,2.34,2.28,2.28,2.28,627100
2020-09-23,2.3,2.4,2.3,2.36,2.36,526700
2020-09-24,2.34,2.42,2.34,2.36,2.36,306800
2020-09-25,2.42,2.46,2.36,2.44,2.44,916400
2020-09-28,2.48,2.5,2.42,2.42,2.42,374500
2020-09-29,2.42,2.48,2.42,2.44,2.44,474400
2020-09-30,2.46,2.56,2.36,2.38,2.38,1472500
2020-10-01,2.4,2.42,2.38,2.4,2.4,398400
2020-10-02,2.4,2.48,2.38,2.42,2.42,657500
2020-10-05,2.42,2.46,2.42,2.42,2.42,306000
2020-10-06,2.44,2.46,2.42,2.42,2.42,339900
2020-10-07,2.42,2.54,2.42,2.48,2.48,1281900
2020-10-08,2.54,2.54,2.48,2.48,2.48,312000
2020-10-09,2.44,2.62,2.42,2.56,2.56,1959600
2020-10-12,2.64,2.96,2.64,2.92,2.92,8013900
2020-10-14,2.9,3.04,2.82,2.86,2.86,4628800
2020-10-15,2.86,3.02,2.82,2.86,2.86,2977800
2020-10-16,2.92,3.28,2.92,3.06,3.06,21090800
2020-10-19,3.04,3.22,3.0,3.06,3.06,9835600
2020-10-20,3.22,3.22,3.04,3.04,3.04,4429900
2020-10-21,3.1,3.2,3.04,3.08,3.08,3478200
2020-10-22,3.1,3.12,2.94,2.94,2.94,2423700
2020-10-26,2.94,3.0,2.94,2.94,2.94,1025600
2020-10-27,2.98,3.16,2.98,3.1,3.1,4948100
2020-10-28,3.14,3.24,3.1,3.2,3.2,7041100
2020-10-29,3.18,3.42,3.18,3.38,3.38,12083800
2020-10-30,3.48,3.58,3.36,3.42,3.42,9176400
2020-11-02,3.54,3.54,3.36,3.4,3.4,3128100
2020-11-03,3.42,3.46,3.36,3.38,3.38,2158700
2020-11-04,3.4,3.46,3.38,3.42,3.42,2538900
2020-11-05,3.42,3.5,3.4,3.4,3.4,2656000
2020-11-06,3.42,3.48,3.4,3.4,3.4,1565100
2020-11-09,3.44,3.48,2.94,2.94,2.94,6466600
2020-11-10,2.58,2.6,2.34,2.38,2.38,6892100
2020-11-11,2.3,2.64,2.3,2.64,2.64,3373300
2020-11-12,2.66,2.68,2.56,2.6,2.6,844900
2020-11-13,2.66,2.66,2.56,2.6,2.6,883400
2020-11-16,2.56,2.58,2.4,2.48,2.48,2130100
2020-11-17,2.48,2.5,2.38,2.4,2.4,1626400
2020-11-18,2.38,2.52,2.38,2.5,2.5,939400
2020-11-19,2.54,2.54,2.42,2.46,2.46,1257600
2020-11-20,2.48,2.5,2.46,2.46,2.46,716500
2020-11-23,2.46,2.52,2.42,2.44,2.44,1083700
2020-11-24,2.46,2.46,2.4,2.42,2.42,771900
2020-11-25,2.46,2.46,2.4,2.4,2.4,535700
2020-11-26,2.44,2.44,2.4,2.4,2.4,527300
2020-11-27,2.4,2.48,2.38,2.42,2.42,738400
2020-11-30,2.44,2.46,2.38,2.38,2.38,715100
2020-12-01,2.42,2.42,2.38,2.38,2.38,653000
2020-12-02,2.42,2.42,2.36,2.42,2.42,423700
2020-12-03,2.4,2.44,2.38,2.38,2.38,1121900
2020-12-04,2.4,2.4,2.34,2.34,2.34,1203200
2020-12-08,2.36,2.4,2.34,2.34,2.34,612000
2020-12-09,2.36,2.38,2.32,2.32,2.32,743500
2020-12-14,2.34,2.34,2.26,2.28,2.28,1020000
2020-12-15,2.28,2.3,2.24,2.26,2.26,675500
2020-12-16,2.24,2.28,2.22,2.26,2.26,626900
2020-12-17,2.3,2.32,2.26,2.32,2.32,849900
2020-12-18,2.34,2.38,2.32,2.36,2.36,646900
2020-12-21,2.44,2.86,2.34,2.72,2.72,22611400
2020-12-22,2.78,2.8,2.4,2.5,2.5,6050200
2020-12-23,2.58,2.7,2.46,2.58,2.58,7464900
2020-12-24,2.58,2.58,2.44,2.46,2.46,2656500
2020-12-25,2.52,2.54,2.42,2.48,2.48,1609700
2020-12-28,2.48,2.5,2.42,2.42,2.42,1257000
2020-12-29,2.4,2.44,2.38,2.42,2.42,690500
2020-12-30,2.42,2.46,2.4,2.44,2.44,297200
2021-01-04,2.44,2.58,2.44,2.54,2.54,1304600
2021-01-05,2.58,2.58,2.5,2.52,2.52,1041000
2021-01-06,2.54,2.54,2.46,2.48,2.48,876400
2021-01-07,2.48,2.5,2.44,2.46,2.46,563800
2021-01-08,2.46,2.48,2.46,2.48,2.48,531100
2021-01-11,2.46,2.5,2.46,2.48,2.48,446900
2021-01-12,2.46,2.58,2.46,2.52,2.52,975000
2021-01-13,2.54,2.64,2.54,2.58,2.58,1740500
2021-01-14,2.64,2.68,2.58,2.6,2.6,3124200
2021-01-15,2.62,2.64,2.54,2.58,2.58,794500
2021-01-18,2.58,2.6,2.56,2.6,2.6,370600
2021-01-19,2.62,2.62,2.52,2.52,2.52,848900
2021-01-20,2.56,2.6,2.52,2.54,2.54,552000
2021-01-21,2.54,2.72,2.54,2.72,2.72,3484900
2021-01-22,2.82,2.92,2.56,2.56,2.56,17051100
2021-01-25,2.6,2.66,2.6,2.62,2.62,2156700
2021-01-26,2.64,2.64,2.6,2.6,2.6,571900
2021-01-27,2.58,2.68,2.58,2.64,2.64,1324800
2021-01-28,2.62,2.64,2.56,2.56,2.56,988200
2021-01-29,2.58,2.6,2.46,2.5,2.5,1015400
2021-02-01,2.48,2.56,2.48,2.56,2.56,498600
2021-02-02,2.58,2.58,2.54,2.56,2.56,535500
2021-02-03,2.56,2.8,2.54,2.8,2.8,8733600
2021-02-04,2.8,2.8,2.72,2.76,2.76,2501300
2021-02-05,2.78,2.78,2.7,2.74,2.74,671700
2021-02-08,2.78,2.8,2.68,2.68,2.68,1482000
2021-02-09,2.72,2.72,2.68,2.7,2.7,675600
2021-02-10,2.7,2.7,2.64,2.7,2.7,447100
2021-02-11,2.7,2.72,2.66,2.7,2.7,320200
2021-02-15,2.66,2.72,2.62,2.7,2.7,1153700
2021-02-16,2.7,2.7,2.66,2.68,2.68,448100
2021-02-17,2.7,2.78,2.7,2.76,2.76,2630700
2021-02-18,2.78,2.84,2.72,2.8,2.8,2840300
2021-02-19,2.84,2.96,2.7,2.74,2.74,8627600
2021-02-22,2.72,2.9,2.72,2.9,2.9,8616100
2021-02-23,2.96,2.98,2.8,2.84,2.84,3571800
2021-02-24,2.9,2.9,2.8,2.8,2.8,1109000
2021-02-25,3.0,3.0,2.8,2.8,2.8,6172600
2021-03-01,2.72,2.72,2.6,2.6,2.6,2270500
2021-03-02,2.58,2.68,2.56,2.6,2.6,731700
2021-03-03,2.6,2.66,2.58,2.6,2.6,663900
2021-03-04,2.6,2.64,2.6,2.6,2.6,423300
2021-03-05,2.64,2.64,2.6,2.62,2.62,205900
2021-03-08,2.64,2.64,2.54,2.58,2.58,574500
2021-03-09,2.54,2.58,2.52,2.56,2.56,566500
2021-03-10,2.58,2.6,2.58,2.58,2.58,483800
2021-03-11,2.58,2.66,2.58,2.62,2.62,841300
2021-03-12,2.66,2.66,2.56,2.6,2.6,488000
2021-03-15,2.56,2.6,2.56,2.6,2.6,576700
2021-03-16,2.58,2.62,2.54,2.6,2.6,772500
2021-03-17,2.62,2.62,2.58,2.6,2.6,248300
2021-03-18,2.6,2.72,2.58,2.68,2.68,3611900
2021-03-19,2.7,2.8,2.66,2.74,2.74,5277000
2021-03-22,2.76,2.86,2.74,2.76,2.76,3842200
2021-03-23,2.78,2.8,2.72,2.72,2.72,1110700
2021-03-24,2.74,2.76,2.72,2.74,2.74,400800
2021-03-25,2.76,2.78,2.72,2.76,2.76,907300
2021-03-26,2.76,2.78,2.7,2.7,2.7,729600
2021-03-29,2.74,2.74,2.7,2.74,2.74,1408100
2021-03-30,2.72,2.78,2.7,2.7,2.7,419400
2021-03-31,2.74,2.78,2.7,2.7,2.7,657400
2021-04-01,2.74,2.74,2.7,2.72,2.72,532200
2021-04-02,2.72,2.92,2.72,2.82,2.82,5320900
2021-04-05,2.86,2.88,2.76,2.76,2.76,1947400
2021-04-07,2.72,2.96,2.66,2.96,2.96,4057300
2021-04-08,3.06,3.3,2.98,3.0,3.0,27856400
2021-04-09,3.04,3.04,2.84,2.86,2.86,5454500
2021-04-12,2.86,3.28,2.8,3.14,3.14,23661400
2021-04-16,3.22,3.44,3.08,3.08,3.08,17766600
2021-04-19,3.1,3.18,2.98,3.1,3.1,4191600
2021-04-20,3.14,3.14,3.02,3.06,3.06,2663700
2021-04-21,3.1,3.26,3.02,3.24,3.24,4373800
2021-04-22,3.28,3.32,3.1,3.1,3.1,3116900
2021-04-23,3.12,3.24,3.06,3.08,3.08,3038100
2021-04-26,3.1,3.1,3.0,3.08,3.08,2081300
2021-04-27,3.1,3.26,3.06,3.08,3.08,4981100
2021-04-28,3.14,3.3,3.1,3.22,3.22,7821400
2021-04-29,3.3,3.54,3.26,3.38,3.38,30493500
2021-04-30,3.42,3.58,3.32,3.48,3.48,14206700
2021-05-05,3.52,3.6,3.42,3.46,3.46,6657500
2021-05-06,3.5,3.52,3.42,3.44,3.44,3123700
2021-05-07,3.46,3.48,3.4,3.44,3.44,2306000
2021-05-10,3.42,3.42,3.32,3.36,3.36,1643200
2021-05-11,3.38,3.4,3.1,3.28,3.28,2645300
2021-05-12,3.28,3.3,3.16,3.18,3.18,1463400
2021-05-13,2.96,3.1,2.7,2.94,2.94,6159500
2021-05-14,2.98,3.06,2.92,2.94,2.94,2535800
2021-05-17,2.92,2.92,2.8,2.84,2.84,1286700
2021-05-18,2.82,2.9,2.82,2.84,2.84,588100
2021-05-19,2.9,2.96,2.84,2.86,2.86,873100
2021-05-20,2.84,2.9,2.82,2.84,2.84,1427000
2021-05-21,2.88,2.88,2.76,2.78,2.78,1701200
2021-05-24,2.74,2.78,2.74,2.74,2.74,584700
2021-05-25,2.72,2.76,2.7,2.72,2.72,952800
2021-05-27,2.78,2.86,2.76,2.86,2.86,1239600
2021-05-28,2.9,2.9,2.8,2.82,2.82,1058700
2021-05-31,2.84,2.84,2.8,2.82,2.82,458100
2021-06-01,2.82,2.88,2.82,2.84,2.84,470700
2021-06-02,2.86,2.86,2.76,2.76,2.76,1045300
2021-06-04,2.8,2.88,2.78,2.84,2.84,1010700
2021-06-07,2.9,2.9,2.82,2.82,2.82,758700
2021-06-08,2.84,3.16,2.84,3.16,3.16,16071300
2021-06-09,3.14,3.2,3.08,3.1,3.1,4090400
2021-06-10,3.14,3.22,3.1,3.1,3.1,4408500
2021-06-11,3.08,3.18,3.06,3.08,3.08,2792000
2021-06-14,3.08,3.14,3.08,3.1,3.1,1009000
2021-06-15,3.08,3.14,3.04,3.04,3.04,815400
2021-06-16,3.04,3.06,3.02,3.02,3.02,556500
2021-06-17,3.02,3.04,2.96,2.98,2.98,745400
2021-06-18,3.0,3.0,2.86,2.88,2.88,961800
2021-06-21,2.88,2.88,2.82,2.84,2.84,681900
2021-06-22,2.86,2.9,2.84,2.84,2.84,623500
