Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,18.200001,19.0,18.1,18.6,18.6,3229600
2020-09-24,18.4,19.1,18.299999,19.0,19.0,3078900
2020-09-25,18.9,19.1,18.799999,19.0,19.0,1348900
2020-09-28,19.0,19.1,18.799999,19.1,19.1,1832700
2020-09-29,19.0,19.6,19.0,19.6,19.6,4398800
2020-09-30,19.6,19.700001,19.299999,19.5,19.5,2548700
2020-10-01,19.700001,19.799999,19.5,19.799999,19.799999,2347000
2020-10-02,19.799999,20.0,19.5,19.799999,19.799999,2134100
2020-10-05,19.799999,19.799999,19.4,19.5,19.5,1821900
2020-10-06,19.6,19.6,19.299999,19.5,19.5,1211500
2020-10-07,19.299999,19.5,18.9,19.0,19.0,1802700
2020-10-08,19.299999,19.299999,18.9,19.0,19.0,1484200
2020-10-09,19.0,19.1,18.9,19.0,19.0,594400
2020-10-12,19.0,19.1,18.4,18.5,18.5,1708700
2020-10-14,18.5,18.9,18.5,18.9,18.9,1086500
2020-10-15,18.9,19.0,18.6,18.799999,18.799999,917900
2020-10-16,19.0,19.200001,18.6,19.200001,19.200001,1160000
2020-10-19,19.299999,19.4,18.700001,19.1,19.1,2009000
2020-10-20,19.200001,19.700001,19.0,19.700001,19.700001,2293700
2020-10-21,19.799999,19.799999,19.5,19.700001,19.700001,1087300
2020-10-22,19.5,19.9,19.4,19.9,19.9,4145800
2020-10-26,20.0,20.0,19.5,19.5,19.5,1458100
2020-10-27,19.5,19.9,19.4,19.799999,19.799999,1409900
2020-10-28,19.799999,20.4,19.700001,20.4,20.4,3414200
2020-10-29,20.299999,20.4,20.0,20.0,20.0,1480500
2020-10-30,20.1,20.200001,19.799999,19.799999,19.799999,862100
2020-11-02,20.0,20.299999,19.9,20.1,20.1,593800
2020-11-03,20.200001,20.200001,19.9,20.0,20.0,290700
2020-11-04,20.0,20.1,19.9,20.0,20.0,220600
2020-11-05,20.0,20.1,19.700001,19.9,19.9,1339400
2020-11-06,20.1,20.1,19.799999,20.0,20.0,1631100
2020-11-09,20.200001,21.299999,20.200001,21.200001,21.200001,7979500
2020-11-10,20.799999,21.1,20.700001,21.0,21.0,4078200
2020-11-11,21.0,21.0,20.6,20.6,20.6,1777700
2020-11-12,20.6,21.200001,20.6,20.9,20.9,3190900
2020-11-13,20.9,21.799999,20.799999,21.299999,21.299999,5454400
2020-11-16,21.5,21.5,20.799999,20.9,20.9,1494000
2020-11-17,20.9,21.0,20.6,20.799999,20.799999,2046800
2020-11-18,20.799999,20.799999,20.299999,20.700001,20.700001,1001900
2020-11-19,20.700001,21.1,20.6,20.799999,20.799999,1603100
2020-11-20,20.799999,21.1,20.799999,20.799999,20.799999,977300
2020-11-23,20.9,20.9,20.5,20.700001,20.700001,3546200
2020-11-24,20.700001,22.200001,20.700001,21.299999,21.299999,14160000
2020-11-25,21.5,21.799999,20.799999,21.299999,21.299999,4582900
2020-11-26,21.9,22.0,21.299999,22.0,22.0,10567100
2020-11-27,22.1,22.299999,21.799999,21.799999,21.799999,6574700
2020-11-30,21.799999,21.9,21.5,21.5,21.5,1880800
2020-12-01,21.4,21.4,20.799999,21.0,21.0,6515200
2020-12-02,21.1,21.1,20.700001,21.0,21.0,2341100
2020-12-03,21.0,21.0,20.6,20.799999,20.799999,4058600
2020-12-04,20.9,21.0,20.6,20.6,20.6,2797900
2020-12-08,20.700001,21.1,20.5,20.799999,20.799999,7707700
2020-12-09,20.9,21.200001,20.799999,21.1,21.1,6584700
2020-12-14,21.200001,21.4,21.0,21.1,21.1,2991600
2020-12-15,21.5,21.799999,20.700001,20.799999,20.799999,15589800
2020-12-16,21.1,21.1,20.700001,20.700001,20.700001,6606900
2020-12-17,20.799999,21.200001,20.700001,21.0,21.0,6213800
2020-12-18,20.9,21.0,20.6,20.700001,20.700001,3706000
2020-12-21,20.299999,20.5,19.6,19.6,19.6,5545000
2020-12-22,19.6,20.0,19.299999,20.0,20.0,2985200
2020-12-23,19.799999,20.1,19.6,19.700001,19.700001,1554000
2020-12-24,19.700001,20.4,19.700001,20.0,20.0,1243900
2020-12-25,20.0,20.299999,20.0,20.200001,20.200001,786600
2020-12-28,20.200001,20.299999,19.9,19.9,19.9,1502100
2020-12-29,20.0,20.299999,19.9,20.200001,20.200001,1078300
2020-12-30,20.299999,20.4,20.0,20.1,20.1,968500
2021-01-04,19.9,20.1,19.700001,20.0,20.0,997200
2021-01-05,19.9,20.799999,19.9,20.6,20.6,8490600
2021-01-06,20.6,21.0,20.299999,20.299999,20.299999,7165400
2021-01-07,20.6,20.799999,20.4,20.4,20.4,3824600
2021-01-08,20.6,20.700001,20.299999,20.299999,20.299999,1752100
2021-01-11,20.5,20.700001,20.299999,20.700001,20.700001,1855200
2021-01-12,20.6,20.700001,20.4,20.700001,20.700001,1787500
2021-01-13,20.799999,20.799999,20.4,20.799999,20.799999,3437400
2021-01-14,20.799999,20.799999,20.5,20.5,20.5,2756100
2021-01-15,20.5,20.5,19.9,20.0,20.0,5456800
2021-01-18,20.0,20.1,19.799999,20.1,20.1,962800
2021-01-19,20.1,20.1,19.9,20.0,20.0,949100
2021-01-20,20.0,20.1,19.9,20.0,20.0,1072700
2021-01-21,19.9,20.1,19.9,19.9,19.9,987100
2021-01-22,20.0,20.0,19.700001,19.799999,19.799999,2086900
2021-01-25,19.799999,19.9,19.5,19.799999,19.799999,2855300
2021-01-26,19.799999,19.799999,19.5,19.5,19.5,2166300
