Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,145.5,146.5,145.0,145.5,145.5,32400
2020-09-24,145.5,146.0,143.5,144.5,144.5,27400
2020-09-25,144.5,146.0,143.0,144.0,144.0,28900
2020-09-28,148.0,149.5,146.5,146.5,146.5,53800
2020-09-29,147.5,148.0,146.5,147.0,147.0,29400
2020-09-30,148.0,148.0,145.5,145.5,145.5,28700
2020-10-01,146.5,146.5,144.0,145.5,145.5,10800
2020-10-02,147.0,147.5,145.0,147.5,147.5,36200
2020-10-05,147.0,147.5,145.5,146.0,146.0,26900
2020-10-06,146.5,146.5,144.0,146.5,146.5,81500
2020-10-07,146.5,148.0,145.5,147.5,147.5,24100
2020-10-08,148.0,148.0,146.0,147.0,147.0,13000
2020-10-09,148.5,149.0,147.5,147.5,147.5,34800
2020-10-12,147.0,147.5,145.5,146.5,146.5,16000
2020-10-14,146.5,147.0,144.5,145.5,145.5,30800
2020-10-15,147.0,147.0,144.0,144.5,144.5,16400
2020-10-16,143.5,147.0,143.5,145.5,145.5,15900
2020-10-19,143.0,145.5,142.5,145.0,145.0,38800
2020-10-20,145.5,145.5,144.0,145.0,145.0,16600
2020-10-21,145.0,147.0,143.5,145.0,145.0,16600
2020-10-22,145.0,148.5,143.5,147.0,147.0,75100
2020-10-26,145.0,146.0,144.0,145.5,145.5,26800
2020-10-27,144.5,146.5,144.5,146.0,146.0,16500
2020-10-28,145.0,145.5,143.5,143.5,143.5,61100
2020-10-29,144.0,146.0,142.0,145.5,145.5,80600
2020-10-30,145.0,145.0,143.5,144.5,144.5,21500
2020-11-02,146.0,151.5,146.0,150.0,150.0,86000
2020-11-03,152.0,152.5,149.0,149.0,149.0,70500
2020-11-04,149.5,149.5,146.0,147.5,147.5,62600
2020-11-05,148.5,149.0,147.5,148.5,148.5,32400
2020-11-06,148.0,148.5,147.0,147.5,147.5,14500
2020-11-09,149.0,149.5,147.5,148.0,148.0,55300
2020-11-10,149.5,151.0,148.5,150.5,150.5,71000
2020-11-11,151.0,154.0,151.0,154.0,154.0,98600
2020-11-12,152.5,153.5,152.5,152.5,152.5,48200
2020-11-13,151.5,153.0,151.0,152.5,152.5,69600
2020-11-16,153.5,157.0,153.5,155.5,155.5,58100
2020-11-17,155.5,159.5,155.5,159.0,159.0,68800
2020-11-18,157.5,159.0,156.0,158.0,158.0,29000
2020-11-19,158.0,162.0,158.0,160.5,160.5,51200
2020-11-20,160.0,165.0,160.0,164.0,164.0,50200
2020-11-23,166.5,167.5,165.5,166.5,166.5,55300
2020-11-24,166.0,166.5,160.0,162.0,162.0,50300
2020-11-25,162.5,165.0,162.5,163.0,163.0,55600
2020-11-26,162.5,166.0,162.5,164.0,164.0,11500
2020-11-27,166.0,166.0,163.0,164.5,164.5,39600
2020-11-30,164.0,164.0,161.5,162.5,162.5,28300
2020-12-01,163.5,163.5,160.5,161.5,161.5,78300
